Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1
EA_G__IL27RA	6.0024	5.1022	5.0221	5.7103	7.1938	6.6624	6.6978	8.022	7.9466	6.8401	5.94	5.6764	7.2059	6.6802	7.4566	5.1144	5.553	6.2494	6.6266	6.157	7.1711	5.3261	5.8236	6.248	6.0306	5.0143	6.6472	5.6912	5.1369	6.6607	6.1566	8.514	5.3116	5.9985	7.3052	5.8023	5.2485	4.6204	5.5587	6.4946	5.6416	5.9907	6.8361	6.5847
EA_G__SCGB2A2	12.6118	9.8772	8.7434	4.9163	4.5575	4.7525	3.3581	3.9114	3.6815	4.2876	8.0848	9.2045	4.3656	4.1009	3.8167	4.6634	4.8316	4.8143	4.7045	3.2776	3.7315	3.2395	3.9797	4.1868	4.2224	11.0566	3.8864	11.9379	13.4059	4.3471	4.4485	4.792	8.9496	8.726	3.6321	4.6471	4.4829	11.275	12.4996	3.4075	10.5325	7.0412	5.6038	6.2511
EA_G__NUCB2	8.3375	8.7157	8.4499	8.8637	8.9026	8.6827	8.154	7.1967	8.1436	7.9698	10.6382	8.5007	7.5709	8.2088	6.6121	7.5803	7.6532	7.554	7.7445	9.0064	6.7309	7.8589	8.1065	9.1274	9.5115	8.1295	7.082	9.2346	9.7391	7.1966	6.2866	7.2563	7.7278	8.9057	6.1318	7.6199	8.7289	10.644	8.6014	8.2067	9.3802	8.8152	8.3263	8.1127
EA_G__SSBP2	8.3969	7.8904	7.7099	8.8606	8.9385	9.1352	7.952	5.8563	7.4923	4.8792	9.0532	9.2008	5.6999	5.7499	6.6821	6.6132	8.7875	8.1612	6.3327	9.0123	8.1559	6.9695	8.1809	8.3771	9.2692	9.2683	6.0354	9.053	10.8126	6.1611	7.7207	8.1091	8.5794	7.5941	6.8185	8.8049	9.8563	9.3494	8.7077	9.181	9.4	7.4341	8.6779	8.1298
EA_G__XRRA1	5.7765	7.1913	6.8953	7.0019	6.751	9.0243	6.8098	6.2267	6.1716	6.0347	6.7577	7.4104	6.3959	6.8068	6.1913	6.7148	6.9976	6.6006	6.1169	6.3403	5.6784	6.9339	6.3593	6.4787	8.9478	7.292	5.8769	6.7333	6.2248	6.0701	6.2942	6.2106	6.7648	6.319	6.0596	7.3182	6.4957	8.6852	7.0542	6.8012	6.902	7.1678	6.1429	6.3133
EA_G__HMGCS2	4.5544	5.8913	10.0884	4.2474	4.296	4.3704	4.3929	4.3897	4.5313	4.5194	7.4041	4.6301	4.2111	4.6196	4.2624	4.3031	5.2777	4.8674	4.6161	4.3498	4.6828	4.1835	4.5064	4.7543	5.1079	7.9965	4.5988	9.1804	10.6013	4.1646	4.9517	4.0877	5.0354	4.5088	4.4993	4.4967	8.0871	7.1196	6.6758	5.8813	7.594	5.2846	7.4631	4.9667
EA_G__TFF3	9.2227	5.933	10.0034	10.7125	5.7698	6.0317	5.2183	5.2869	5.5149	5.2225	11.1718	9.6618	5.4121	5.8319	5.6036	5.5634	8.4004	6.5691	5.6123	5.5181	5.8234	5.3069	7.253	7.5253	7.3798	11.3167	5.6698	10.8538	8.3961	5.329	6.3143	5.1787	6.2639	5.6818	5.5285	5.7962	10.7256	9.6442	7.1122	7.4428	11.8709	8.9864	7.4014	9.3846
EA_G__PCSK6	7.1586	4.6948	5.5289	5.7538	4.8491	6.2989	6.0206	7.61	7.1067	5.7957	5.1029	6.1242	8.5599	6.6614	6.6498	5.2313	4.925	5.7878	7.2933	5.2077	5.5007	4.5885	6.6723	7.1479	4.8654	5.7664	6.5565	5.7258	7.1817	6.3074	6.0447	6.3876	5.1569	4.9026	6.0826	6.3855	5.3919	5.1635	5.2944	5.4918	6.0321	5.1572	5.5935	6.2738
EA_G__C8orf70	6.3122	8.2221	7.3	7.2787	6.3892	7.3927	5.0567	5.1872	4.6854	5.8793	6.3406	6.6928	6.4459	4.6041	4.8404	6.2984	6.6454	6.0818	3.9604	6.8544	3.6945	7.2507	5.4824	5.9799	9.1624	7.4489	5.818	6.9457	5.686	5.5804	5.02	3.7103	8.1596	6.8189	6.3265	6.361	6.7806	6.2953	6.4562	5.4987	7.5006	6.9235	5.0697	6.3193
EA_G__TMEM63C	7.9641	8.592	8.7886	7.8238	4.5419	8.2991	5.1121	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.603	7.3911	4.2781	5.8289	6.3846	8.1346	8.2487	4.4405	7.4794	8.0082	4.2713	9.2885	4.4969	7.5344	4.2336	4.6113	4.8724	8.902	8.8578	7.7339	5.4872	9.4194	7.9501	7.6357	6.3547
EA_G__C20orf23	6.6434	7.0294	8.5777	7.7217	6.111	6.1433	5.0456	6.0096	5.5281	5.8938	7.6529	7.4873	6.7683	5.7552	5.4711	5.6375	6.6432	6.4804	5.8272	6.818	6.417	5.6887	6.2267	6.8451	7.7531	7.0432	5.4199	8.0795	8.5849	5.5292	5.696	5.9288	7.2235	6.1562	5.674	5.9679	6.9491	8.3955	7.4319	6.3719	7.427	6.4546	6.6283	6.1755
EA_G__HERPUD1	8.6285	10.4478	10.5562	10.0457	9.4448	10.349	8.7374	8.6294	9.3023	9.4727	9.8717	10.0827	8.4007	9.3534	9.6033	8.7193	9.3618	9.3689	9.1327	10.4734	9.8305	9.1198	9.0948	9.0238	9.215	9.8406	9.1072	10.4887	10.6213	8.5564	8.9895	9.9165	10.5573	10.2198	9.2076	10.4204	10.2215	9.8356	10.1602	8.8683	9.8176	11.1517	10.4281	9.3348
EA_G__CMTM7	7.8658	5.9188	7.1049	5.3678	7.6197	5.935	8.3251	8.8032	7.0911	8.1796	5.1804	5.5291	8.2411	8.1877	7.9604	5.5399	5.3654	5.849	8.9538	7.5776	8.2734	7.6982	6.3971	5.7649	5.2491	6.7889	8.3036	5.4139	6.5478	7.7845	6.1254	8.0959	6.2854	8.5469	7.8743	7.6306	7.0904	5.6719	6.2845	7.1193	7.5985	5.9114	5.557	5.7201
EA_G__CMBL	7.624	6.338	9.1109	8.546	6.8474	9.2152	7.7202	4.834	4.6645	8.4506	8.7606	9.0487	8.3741	8.3704	5.8067	5.4072	8.3263	7.0077	4.5286	8.5597	4.5799	4.8784	5.3033	8.8598	9.7006	7.0049	7.7211	10.0716	10.0458	6.9269	8.9201	4.1451	6.1403	8.2328	4.3995	8.0143	8.3546	10.7614	9.2449	7.8362	8.4592	9.5418	9.1821	7.9908
EA_G__ZNF486	4.5816	7.0878	7.1927	5.793	6.8734	4.4232	3.3021	3.6427	4.2603	3.7728	7.781	6.35	6.4402	5.1709	5.4276	4.1531	7.3461	4.5009	3.6526	6.5268	4.5546	5.5434	6.4414	4.1299	6.1025	5.19	4.159	7.2738	6.9093	4.1851	4.6083	7.2476	6.9688	4.5652	5.4232	4.2516	8.1507	6.1999	4.0817	5.6763	8.2316	5.9927	3.6857	4.9399
EA_G__TGFB3	7.1774	8.6881	8.3173	7.5047	5.5213	7.607	5.4798	5.4247	6.0167	7.2469	8.7177	7.0531	5.7405	5.0309	4.787	4.6977	7.879	8.3291	5.2017	9.4529	6.474	5.1135	6.187	6.6684	7.2071	8.396	4.6681	7.9033	8.6527	5.2024	8.8772	6.1634	8.7065	7.2984	5.3984	5.4579	8.0666	7.244	8.7559	8.4583	8.7206	7.1575	7.4674	6.7545
EA_G__CREB3L1	9.8394	5.7003	8.1597	6.4411	7.9758	6.5769	7.7733	5.0554	5.3369	5.3828	9.6733	6.7566	5.3707	5.4155	5.177	5.3977	7.2904	8.1821	5.1207	7.0109	5.3815	7.4772	5.7465	6.3243	5.6174	8.099	5.9731	7.5816	9.0088	7.0945	6.794	5.1558	6.1524	7.5719	5.7424	7.9441	9.9034	8.1475	8.3592	5.4368	8.1701	9.2216	7.3627	7.0549
EA_G__MLKL	5.3631	6.1258	4.5781	5.1028	4.5183	6.2781	5.8163	7.0054	6.323	5.5547	5.3495	6.0079	6.5081	8.1323	7.592	5.4048	5.0049	6.8008	5.6708	5.6666	6.4925	5.3979	6.5436	5.8378	4.4505	4.7333	8.6718	5.1648	6.1423	5.5543	5.9452	6.99	5.8479	5.0639	6.5892	6.6097	5.678	4.1789	5.9092	6.181	4.6377	4.7265	6.4913	6.3111
EA_G__KIAA1244	8.6271	9.1807	7.9794	7.8373	4.7103	7.731	5.3675	6.7773	5.926	4.9291	9.7452	7.5222	5.2587	7.0398	6.8008	7.5007	8.4461	9.4749	6.767	4.6396	7.3284	5.1369	8.4806	8.5158	8.9598	9.0587	6.9271	9.3135	10.3382	6.9759	9.7247	7.5624	8.5838	6.5364	5.8571	5.421	9.2156	9.9446	10.1233	8.0033	9.1089	9.2651	8.061	7.4642
EA_G__CPD	9.3747	8.7616	8.591	7.9697	7.4279	6.8474	8.0933	6.9443	6.197	7.6405	8.5175	7.8527	7.1831	7.399	7.9085	8.1861	10.4439	8.1158	7.7507	8.3135	7.4291	7.6176	7.0061	6.5808	8.3172	8.0914	7.639	9.4888	7.614	6.8774	6.9496	7.991	8.7706	7.5042	6.6126	8.0174	8.8798	8.1072	8.0774	8.4328	9.356	8.5244	8.5785	7.9506
EA_G__PPAPDC1B	6.7988	6.7719	7.4609	7.6138	8.1184	8.4847	7.2943	5.9723	7.2835	6.7645	8.4434	7.5461	7.6034	6.7695	6.515	6.2917	7.9819	7.1062	6.6868	7.8694	5.7329	6.6646	6.65	6.7462	9.7689	7.3445	6.6301	8.1141	7.7679	6.6082	7.2382	6.573	6.6002	6.8594	6.7839	6.4509	8.5883	10.484	9.4031	8.0144	7.6513	7.6044	8.7271	8.6681
EA_G__LOX	4.0749	4.3528	4.4889	3.8604	11.8002	3.914	6.3952	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	4.5193	6.5508	7.0379	9.1134	6.2016	11.1703	4.2671	4.1135	3.8759	4.1215	7.2851	4.4892	3.6242	7.0178	4.1681	5.7811	3.9021	11.4184	9.062	6.3026	3.8599	3.6901	4.396	3.8898	4.255	3.6751	5.2499	3.5707
EA_G__INHBA	4.4157	5.1581	4.5395	5.5901	8.8598	4.8232	5.4281	7.3236	6.0828	7.322	4.2724	4.7245	4.8786	6.9908	6.3432	8.1192	4.7776	4.7682	7.6801	5.3617	6.0516	8.9587	5.1789	4.9393	4.6262	5.2086	5.4346	4.3707	4.4921	5.635	5.5462	5.8324	5.3421	4.2383	8.171	4.7614	4.6445	4.5172	5.0919	5.2185	4.3351	5.1494	4.6254	4.2807
