Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	1	1
EA_G__SYT8	6.8303	7.6929	7.5678	6.44	6.5346	6.4279	6.1642	6.2781	6.3613	6.1181	6.3438	6.6819	6.2913	6.6771	6.3662	7.5477	6.5741	7.6114	6.0903	6.5336	6.3085	6.6102	6.4505	6.319	6.0314	9.1213	6.273	6.4885	5.9924	7.0635	8.2657	6.3503	6.5691	6.5606	7.982	7.136	7.9103	7.0497	6.2935	6.5223
EA_G__GBA2	7.0611	7.9182	7.2585	7.1177	7.7517	7.7342	8.9204	7.3434	7.9632	7.1583	7.0217	7.9961	8.1298	6.9633	7.4439	6.7869	10.8175	7.7709	7.9028	8.3792	7.6672	7.5137	7.7553	7.7022	7.8072	7.5787	7.9523	7.9938	8.3174	8.0147	7.6414	6.5285	6.4815	7.3485	7.3107	8.0718	7.2136	7.4953	7.6339	7.5122
EA_G__ST6GALNAC5	5.9522	5.516	5.6332	5.5457	5.3218	7.7685	5.2248	8.5429	5.7012	5.7852	7.0975	5.2275	8.0197	5.6697	8.2565	6.8828	6.238	9.2436	9.2887	9.1363	6.0635	5.6634	5.8365	6.786	5.8298	5.8212	6.8403	5.3974	7.3398	6.0806	5.9393	5.5472	7.7935	6.4576	5.4934	5.7869	4.7809	5.1216	5.1008	5.7477
EA_G__EHF	8.9418	7.9677	7.8953	8.8702	8.3787	3.4608	7.0353	8.5755	9.3891	3.7674	8.0012	6.4301	4.3068	9.4851	8.5171	8.2355	9.4367	7.3563	3.5329	8.1561	3.837	7.2835	4.963	5.5786	3.0694	8.5866	3.5169	8.217	8.8245	9.2446	7.1737	4.1825	7.2807	3.8479	9.2408	8.1504	9.8011	8.7526	8.8216	9.3806
EA_G__ACTG2	5.7094	6.42	8.1969	5.9149	7.4512	6.5615	7.8168	7.2358	6.044	9.6112	6.8146	6.0135	8.13	6.1929	6.7957	6.5218	6.5331	11.4434	7.5453	6.4375	9.7153	7.162	7.6086	6.4451	7.0741	9.1921	6.0054	8.2602	6.1646	6.5419	6.9759	6.7062	6.2758	7.635	6.1101	6.5448	6.3778	6.1246	5.9909	6.2103
EA_G__ST14	9.3704	10.0699	9.5095	9.4025	9.5064	5.3989	8.4103	9.1952	10.6256	5.1965	8.8454	9.6956	8.111	9.7844	9.82	10.1543	10.002	9.6359	5.0132	9.7185	5.5207	9.0798	8.8239	7.8911	5.3651	8.6958	5.8956	9.328	8.803	9.6571	10.0178	5.6156	9.5955	5.7331	9.2113	8.7602	11.0696	10.1267	9.1367	9.6422
EA_G__FAM102B	5.6143	7.6807	5.4958	6.4889	7.0483	6.2611	8.3148	6.6228	4.541	6.1593	8.3918	8.0497	6.9206	5.5418	6.8988	5.9772	7.4748	7.1613	7.6866	7.3443	6.8907	8.9932	10.8838	8.5057	7.036	6.8071	8.478	7.9942	6.5299	5.8843	7.6278	8.7208	5.7998	5.8155	4.5815	5.9812	6.7263	6.6192	6.9419	6.6286
EA_G__LOC342897	6.8877	9.3215	7.5298	6.5232	6.405	6.341	6.1959	5.9222	7.6628	6.4521	6.3118	6.4283	6.2297	6.6868	7.9023	6.4686	8.5321	6.0562	6.1129	9.8111	6.3895	6.4818	6.8347	6.4992	6.3021	7.7221	6.2784	6.5222	7.442	7.3158	8.7168	6.8808	6.9333	6.6187	9.7598	7.336	6.8452	7.8893	7.4687	6.4656
EA_G__CNN3	8.4208	5.6037	8.51	7.712	6.7753	9.0177	9.2162	8.9063	8.3886	8.6155	9.2855	7.7128	8.5625	7.7239	9.4372	9.1471	7.7323	9.3889	9.7847	9.7946	9.0441	4.2049	3.5971	9.1817	9.392	8.0108	9.5909	8.2272	9.1239	9.3042	7.601	9.0462	8.283	8.3459	8.8179	8.6341	8.8297	7.4936	8.3843	4.7103
EA_G__OGFRL1	7.2907	6.8486	7.834	7.3162	7.3684	9.7312	8.3226	8.0075	6.7988	7.4392	7.7099	6.852	10.0646	6.5605	8.1751	4.3906	7.2933	9.4914	8.5394	8.5703	6.9298	6.4392	7.7643	5.8689	6.9108	6.5117	9.3618	7.7996	7.9517	7.1129	7.0535	7.7615	8.2585	8.8917	6.7379	7.4452	7.4045	6.5472	7.6576	7.6894
EA_G__DLG5	8.5367	8.2051	7.6128	7.6054	7.9137	7.4257	7.389	7.1702	8.661	7.0411	7.5975	8.4243	6.8348	8.0736	7.2262	7.4377	7.5578	7.6163	7.1961	7.3677	6.5017	8.0798	8.3969	7.8307	7.1467	8.2111	7.1437	8.1074	8.0102	7.7634	8.54	7.7252	8.865	8.3913	7.819	8.1331	8.281	7.9264	7.9025	10.8081
EA_G__ZNF689	7.1686	7.9547	7.6914	7.2698	7.1272	7.1521	7.9025	7.8283	6.6913	7.788	10.1663	6.7056	7.5898	7.7696	7.5855	6.699	5.2033	7.4825	7.2877	7.3127	7.3883	7.8832	7.9564	7.4465	7.3665	7.1109	7.3277	7.8217	7.7445	8.2893	7.0525	7.7666	7.172	7.551	6.8933	6.9406	7.2193	7.0399	7.511	7.1368
EA_G__PTGES	8.2229	9.363	10.205	8.4199	10.1096	6.2238	6.4562	7.3142	8.7765	6.5956	6.2499	11.3213	7.35	9.7917	9.7996	11.1175	8.7993	7.7357	7.3284	9.463	7.4483	7.0428	6.8511	7.795	6.973	9.0897	7.1748	6.3624	6.1287	6.989	10.0222	6.047	10.3143	8.3105	7.3185	6.5114	8.3422	6.6971	6.68	7.0295
EA_G__EPHB6	5.857	8.4969	7.4338	6.3002	5.5279	5.4516	5.5827	5.6146	9.9697	5.9448	5.2634	5.6494	5.536	6.0019	6.8125	6.5558	8.6402	6.1908	5.7022	7.7802	7.2581	5.9095	5.8963	6.0219	5.4641	6.9214	5.4894	6.0295	6.1026	6.261	7.3595	5.6583	6.4799	6.0107	7.1052	6.6515	6.5689	5.6638	6.4258	5.5975
EA_G__PRSS23	5.5882	4.6783	7.2342	6.673	6.2032	7.4863	4.7843	7.1082	4.4011	7.4556	5.5755	4.58	4.9244	6.1456	6.2282	7.2194	4.7084	7.308	7.7035	5.6167	7.7645	5.6894	5.8347	7.336	7.9445	6.6193	7.4331	6.501	8.2965	6.1393	4.7616	6.3804	5.4088	5.1328	6.5064	7.8341	4.7269	6.3533	4.7555	4.7505
EA_G__BASP1	7.2406	7.5537	7.4218	9.3298	7.8868	9.6218	8.299	9.8899	8.5702	8.8385	7.615	7.3633	7.9699	7.3156	8.8249	7.1357	7.6596	7.8624	9.069	7.4602	9.3455	8.8172	9.5101	8.6996	10.2572	7.2745	8.6855	7.8865	7.1992	7.8206	7.9689	9.3781	8.3597	9.3406	7.4398	7.6651	7.2088	7.8876	7.0879	7.4299
EA_G__NBL1	5.6874	6.1693	6.0302	6.5123	7.91	7.2287	8.8627	7.4446	6.4894	6.4088	7.8477	8.9876	7.7277	7.8409	7.989	6.262	7.4926	6.8964	7.0244	9.3898	7.4014	6.5167	6.2728	8.6259	7.7704	5.8527	7.2223	7.4465	9.3873	8.9764	6.4183	6.2493	7.4905	7.3304	7.0402	6.3728	7.4907	7.1949	6.2454	6.7302
EA_G__STEAP4	8.7208	8.8261	8.2268	3.6065	3.9258	3.5677	3.5754	4.1022	7.0677	3.6997	6.8604	5.1387	3.3645	3.6121	8.0281	9.744	3.9855	4.4083	3.3684	9.233	3.3895	4.1094	4.5633	3.5896	3.4877	7.5717	3.6511	3.6823	8.3019	4.0973	6.8116	4.0102	10.6528	4.3021	9.1109	3.8375	5.9035	4.1422	4.1833	4.1754
EA_G__FAM83A	6.2667	9.2665	6.9613	6.4079	5.4584	5.1123	5.3789	5.0616	9.4749	5.205	6.0218	6.385	5.005	9.102	7.37	6.5828	7.5888	5.9004	5.0462	6.8265	5.0033	5.7755	5.9803	5.2402	4.9435	5.8912	5.5186	5.7117	4.9014	6.4144	6.7959	5.5079	6.2875	5.5004	5.8496	5.8332	5.7875	5.6898	5.2744	5.1521
EA_G__GFRA1	4.3521	4.1412	4.1306	5.4443	10.8364	10.5529	7.342	4.1267	9.2337	4.7233	4.2298	5.6427	4.5953	4.5522	5.9682	4.5526	4.3998	7.365	7.0256	4.3539	4.3863	9.5023	10.8982	6.6614	5.6593	5.4338	4.3427	9.6117	7.3103	5.0388	4.5726	4.6636	4.5616	4.5873	4.4514	4.9426	4.8111	4.3584	4.6337	5.7545
EA_G__SYK	6.4062	5.9849	7.3582	7.3327	7.0955	4.7423	5.0707	5.0835	6.2633	4.4833	4.4849	6.8967	4.6334	7.5505	7.6245	8.463	6.9189	8.076	4.409	4.8371	4.7997	6.8007	6.8805	4.6771	4.5247	7.3438	4.6861	6.3931	4.4987	5.1463	7.264	4.8881	4.8966	4.8173	7.2579	7.2591	6.9358	5.5448	6.3764	5.6168
