Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1
EA_G__P2RX5	6.5442	5.6535	5.9787	4.8513	5.2032	7.7908	4.405	7.3498	6.238	6.0583	4.9714	4.9715	7.6052	8.3032	6.583	4.7167	4.8552	4.6299	7.2043	4.7547	5.8678	4.9903	5.4081	6.8051	5.4568	5.6807	7.9649	4.5572	4.2916	5.3502	5.708	4.4613	7.9986	7.2148	4.7202	5.1506	7.4141	5.1753	7.0021	5.3453	6.1291
EA_G__ERBB2	9.7997	12.3532	8.5748	12.3566	10.2935	7.7806	9.1247	7.7491	8.9829	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	10.2349	8.7512	8.1322	8.6875	7.0841	8.5271	8.7417	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	12.2493	10.0611	9.751
EA_G__PLCH1	5.2438	7.5273	3.3755	6.9586	6.0596	3.9486	8.0482	4.651	7.1018	3.9777	7.7608	6.6251	5.4736	4.7252	4.4941	4.4556	8.1232	5.2036	3.6959	6.6154	3.6139	6.6504	6.832	4.0158	4.9347	7.0744	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	5.562	8.1434	7.3769
EA_G__ST6GAL1	7.1627	7.7394	5.4994	6.0727	5.7592	4.9826	5.8866	5.2929	4.8651	4.3675	7.1704	4.4732	6.6134	4.3999	5.6027	6.9928	6.3251	5.7577	4.7896	6.3255	4.7526	5.2073	4.6559	4.3331	4.6197	6.3901	4.8325	5.7496	8.8885	5.4107	6.5704	5.1495	6.8937	4.9485	5.7285	7.4109	6.9642	6.9889	6.987	7.0116	5.2249
EA_G__NR4A1	7.0106	8.5142	6.4987	7.7492	7.3327	6.1782	6.5968	6.4658	5.8281	6.2776	7.4587	6.4468	6.6935	6.3044	6.1826	6.3809	7.2553	6.2234	5.8215	6.1123	6.041	7.225	7.2685	6.542	5.7641	7.5251	5.9098	7.1353	6.7565	6.7356	7.0525	6.0845	7.8922	6.6425	6.9256	7.2672	7.5309	6.7901	6.6764	6.9464	8.454
EA_G__GRB7	8.5454	10.9211	8.0083	11.1297	8.1717	6.2075	7.1224	7.4261	7.5684	6.3606	11.6802	7.283	9.436	7.1132	6.9786	11.7721	8.4244	7.8473	5.9178	8.1182	6.2106	7.3692	7.4325	7.641	5.5442	8.1737	6.1796	9.8138	7.8417	8.799	10.5391	7.3985	7.0859	6.2713	7.9055	12.3691	8.1468	7.4714	10.6486	7.7878	8.0155
EA_G__AZGP1	11.8674	10.2938	5.2477	6.3166	7.9619	5.1861	7.8483	10.5743	5.8672	4.8475	9.8598	5.393	10.1989	5.1734	7.6159	8.1158	9.9126	7.6711	4.5263	11.0381	4.8353	5.798	5.7386	6.463	4.8156	8.6593	4.9316	8.3578	10.6706	10.6377	8.0518	5.702	6.1725	5.9591	6.4786	11.3448	7.3664	9.6307	9.8486	10.4682	8.0104
EA_G__SLC40A1	6.8502	8.0701	4.2189	8.1892	8.6575	3.7959	8.0269	4.4506	4.0922	4.2159	7.8833	10.106	6.5779	5.4936	4.2927	5.1166	8.1015	4.3603	6.1059	5.223	4.0297	4.289	4.0528	4.0146	5.7339	8.6986	4.346	9.6424	8.3737	9.2989	7.1985	4.2552	4.3975	4.2056	8.3935	7.4368	7.0743	10.0715	6.5471	8.6955	7.2722
EA_G__PERLD1	7.9981	10.4494	7.2334	11.5309	8.5186	7.0395	8.0143	6.7798	7.5363	7.5751	11.7835	7.7075	6.0197	6.9121	6.5128	11.3772	8.5531	7.9337	8.1056	7.9547	6.9567	7.2717	7.3187	7.6108	6.8706	8.1096	6.7476	10.1259	7.7315	8.2906	10.1853	7.6784	7.1932	6.6914	7.5985	12.8771	7.0808	7.6174	10.9271	8.078	7.8159
