Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	-1	1	-1	-1
EA_G__GRB7	8.5454	8.0083	11.1297	8.1717	6.2075	7.1224	7.4261	6.3606	11.6802	7.283	9.436	7.1132	6.9786	11.7721	8.4244	5.9178	8.1182	7.3692	7.641	5.5442	8.1737	6.1796	9.8138	7.8417	8.799	10.5391	7.3985	7.0859	6.2713	7.9055	12.3691	8.1468	10.6486	7.7878	8.0155
EA_G__ERBB2	9.7997	8.5748	12.3566	10.2935	7.7806	9.1247	7.7491	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	10.2349	8.1322	8.6875	8.5271	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	12.2493	10.0611	9.751
EA_G__PERLD1	7.9981	7.2334	11.5309	8.5186	7.0395	8.0143	6.7798	7.5751	11.7835	7.7075	6.0197	6.9121	6.5128	11.3772	8.5531	8.1056	7.9547	7.2717	7.6108	6.8706	8.1096	6.7476	10.1259	7.7315	8.2906	10.1853	7.6784	7.1932	6.6914	7.5985	12.8771	7.0808	10.9271	8.078	7.8159
EA_G__MIPEP	7.2902	7.1329	8.3486	7.9182	7.9982	7.4577	7.0585	6.9337	9.1829	6.9938	7.2814	6.5371	6.9973	6.836	7.4639	7.2798	6.5412	6.846	6.5897	6.2694	7.3512	6.953	9.0417	7.2708	7.9343	7.1788	7.671	8.1321	7.2004	6.8241	7.5816	6.9328	7.6996	7.7388	10.207
EA_G__DLX3	5.9564	6.5922	8.3925	7.6265	5.6094	5.938	5.6328	4.8388	7.9765	5.8754	6.3403	5.8666	5.3924	5.3154	6.1978	5.0285	5.6926	6.4653	6.8724	5.288	6.4617	4.7899	7.0145	5.9772	6.8321	7.7375	5.3032	7.0645	5.2161	6.9139	6.6169	6.2	6.3741	5.8481	6.3974
EA_G__ST6GAL1	7.1627	5.4994	6.0727	5.7592	4.9826	5.8866	5.2929	4.3675	7.1704	4.4732	6.6134	4.3999	5.6027	6.9928	6.3251	4.7896	6.3255	5.2073	4.3331	4.6197	6.3901	4.8325	5.7496	8.8885	5.4107	6.5704	5.1495	6.8937	4.9485	5.7285	7.4109	6.9642	6.987	7.0116	5.2249
EA_G__C17orf37	10.2627	9.4327	12.5067	10.0183	9.6297	9.9884	9.7393	9.4784	13.0107	9.7623	12.9521	9.5497	8.8984	13.0916	9.1605	10.2348	9.8217	9.7035	10.1657	9.7471	9.5811	9.5775	12.0721	10.1387	10.4964	12.051	9.5708	9.2545	9.6907	9.4564	13.376	9.9787	12.8045	10.2002	10.228
EA_G__ZNF704	8.1814	6.5403	8.2384	7.2142	4.6263	7.3683	6.9108	5.1148	7.714	7.8754	6.5857	6.0118	7.4215	7.6123	7.4168	5.3602	5.9619	6.1707	7.581	6.3429	7.9101	6.0438	7.7515	7.6132	7.9124	9.7141	6.9534	6.0965	4.8082	7.1864	8.0799	7.8858	6.9613	6.6039	6.1979
EA_G__GTF2H2	5.0168	6.1545	5.4935	6.4197	7.134	7.0588	5.2525	5.9034	6.7451	6.7485	5.7983	5.7171	6.458	5.5018	6.5077	6.4542	5.9592	6.3577	5.6664	6.2029	5.0151	7.1046	4.5368	7.9252	4.7259	6.7036	5.6078	5.7591	8.0914	6.4786	5.2863	6.4758	6.3934	6.5748	6.2038
