Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1
EA_G__CACNA1H	6.0676	6.82	7.2696	9.4583	6.1214	6.1458	7.018	5.7582	6.1617	6.0673	6.1627	6.4997	7.3923	6.3318	5.8868	5.9737	6.2978	6.1446	6.0735	5.927	6.2132	5.9137	8.2955	7.6072	8.1588	7.4458	8.0116	6.0461	7.8382	5.8969	6.3647	6.8471	6.4679	6.1379	6.0852	6.2573	6.1246	6.197	6.8091	7.2879	8.0756	6.4027	6.2936	7.9896	7.955
EA_G__PLOD2	6.1911	8.3419	7.0175	6.9131	10.2933	6.8168	7.9873	7.2038	5.3942	8.7914	7.1322	7.4866	8.0339	6.5989	8.2857	9.3417	7.8623	4.782	8.6845	9.2717	8.4052	9.1792	7.4818	7.5432	4.2248	9.0537	5.9173	8.1487	7.3068	7.3589	5.8456	6.2115	7.2225	8.2196	7.589	9.2253	8.3727	7.0657	7.2993	8.5125	7.6262	5.7386	6.8806	4.7021	7.1493
EA_G__GNG12	7.9257	8.0554	6.9215	6.2823	9.5214	5.0723	8.5558	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.5179	7.3246	8.9495	9.2848	9.2523	10.1455	5.2669	6.6554	6.6615	8.7552	6.672	9.0735	6.6523	8.8439	9.0434	7.2152	7.7602	9.2004	9.7441	7.9395	9.8269	7.4973	7.8464	7.0967	6.8414	7.6178	6.0561	8.1789	6.6101
EA_G__LEPREL1	5.7216	5.3689	4.9851	4.4724	10.3012	4.557	8.5513	8.9252	6.2886	8.0287	4.8272	4.6886	7.0575	7.3377	10.557	8.7823	4.979	4.9267	6.6553	7.275	10.0194	7.8041	5.1104	5.2716	4.6323	7.7667	5.025	8.5047	4.5016	8.1409	6.0743	5.3213	5.515	6.6211	5.8187	7.5245	8.0967	4.9053	5.3778	5.2092	5.118	4.8146	4.9238	5.2286	4.7824
EA_G__PLSCR1	6.007	4.9531	5.2434	5.7498	6.2815	4.905	5.7817	7.562	6.3723	6.1836	6.0387	5.7123	6.5254	6.119	8.0815	7.654	5.7333	5.5683	7.0136	5.5771	8.2668	6.0881	5.757	5.0735	5.4781	5.158	5.696	6.174	6.115	6.533	5.0341	5.08	5.103	7.8156	5.5	7.6768	6.8309	4.4089	5.4504	5.5249	5.2	5.6048	4.3885	3.9431	5.0149
EA_G__KIAA0953	5.8011	7.1466	6.4823	6.4155	5.2019	5.9649	5.5206	5.0737	5.2215	5.2114	7.1887	6.4801	6.417	5.2006	4.9367	5.1337	7.245	6.7991	5.5015	4.9454	5.1521	4.9522	6.5841	7.1799	7.1045	6.3501	6.4431	5.3853	6.697	5.4274	6.6405	6.3729	7.3694	5.2325	5.9187	5.1845	5.2015	7.2702	6.2853	5.4857	7.35	6.6109	6.0943	6.0649	5.5729
EA_G__ARHGAP18	5.5988	5.631	6.5887	4.7252	7.2885	5.2074	6.2727	6.6089	4.9579	5.6958	6.7369	5.1862	6.6774	6.4351	7.3713	6.3501	5.8168	6.7022	7.2933	7.8405	7.9695	7.5814	5.5177	6.6724	4.2449	6.1321	5.6656	6.8698	6.285	7.6441	6.3723	5.6892	5.7823	6.2946	5.9652	6.9738	9.2011	6.1521	5.8856	6.5006	5.9544	5.9172	4.8022	6.6651	6.3868
EA_G__KIAA0195	9.2317	8.1195	8.4064	8.8743	7.8452	8.7581	8.4206	7.6728	8.2281	8.5923	7.9728	8.9658	8.4402	7.6967	7.5845	7.5539	8.2679	8.6972	8.2867	8.4437	8.0899	7.5258	9.0136	9.5723	8.7357	7.8019	8.1276	7.7026	10.6093	7.8048	7.7409	9.2293	8.7163	7.4929	8.6271	7.8546	7.5508	7.9325	8.1096	8.3298	9.5459	11.3668	9.2109	8.2144	9.2433
EA_G__ITGA6	6.7446	3.5983	6.6671	6.3461	7.6542	5.1661	6.8924	9.2656	5.7846	8.5126	7.5573	5.6742	7.6857	10.5288	10.3204	8.9874	5.8986	3.6557	8.6883	6.2079	7.0879	7.2968	4.2723	3.9472	7.6904	6.793	5.9178	8.1442	6.6046	8.5089	7.6112	7.7496	4.1794	10.7535	7.3789	8.221	8.2275	6.6701	7.5001	6.7193	7.6797	8.0979	6.882	6.6226	4.358
