Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1
EA_G__PFKFB3	9.6621	7.9244	7.8908	6.6838	9.3741	8.2089	8.0552	8.9725	5.1075	8.1089	7.8609	8.3339	7.9878	9.0054	7.8649	8.9064	8.3666	8.1253	8.3542	8.5225	9.0713	7.795	7.96	7.957	8.6256	9.0899	8.6078	7.7026	7.5088	9.4832	8.3941	8.5568	7.2366	7.6397	7.6061	7.3748	7.7672	9.334	10.4883	8.9344	7.1817	8.0702
EA_G__SQRDL	8.7049	7.6228	8.294	8.2439	7.8447	3.6097	8.8551	8.5299	6.3138	6.2931	8.6975	6.6712	6.6656	8.8996	8.0078	8.6172	8.3024	7.4967	8.2497	5.8078	7.9002	3.82	6.066	7.3891	8.4042	4.1692	8.1481	7.528	7.0661	8.5646	9.2856	7.046	6.9046	7.5518	7.9414	5.0225	7.4127	8.804	8.5423	8.1667	7.3309	8.0341
EA_G__TUBA4A	8.6679	7.9277	9.8841	6.3558	7.2991	6.9787	7.7877	10.2872	5.4635	9.339	8.4505	7.3348	5.2554	9.8507	9.0392	9.883	7.864	6.864	6.8061	6.929	9.6147	5.9611	6.2718	5.9367	8.2313	5.3819	7.3407	6.8341	6.603	8.5443	7.9706	7.1037	7.6902	9.8575	10.3707	9.5426	9.8632	8.7304	7.511	5.7331	8.2523	9.6581
EA_G__EFEMP1	8.9932	7.9469	4.1539	5.1865	7.8477	9.5279	9.8558	10.6762	4.3132	6.7744	5.8441	8.2369	4.4974	8.7016	8.8237	7.8833	8.8453	9.5514	9.4495	10.4554	9.7036	7.9544	6.7067	7.2431	4.2682	10.2084	7.8036	6.9153	6.0749	8.1426	4.4023	9.074	4.0759	10.5316	9.6474	10.1493	7.0303	4.5549	9.4677	7.1217	7.8647	5.6764
EA_G__AMOT	7.4757	6.3747	6.7421	5.7743	5.5562	6.6864	5.1458	7.2264	6.3119	6.6321	4.9711	6.104	6.3481	5.0213	5.5256	6.1404	5.429	7.617	6.0115	7.2629	7.7889	4.9164	5.2089	6.1396	7.022	6.908	7.2307	4.8627	6.3627	6.935	5.8527	5.2869	5.6474	5.7734	4.8001	5.5353	5.9797	7.0603	5.2387	6.6051	6.1945	6.9362
EA_G__PODXL	6.5338	7.0465	6.9961	7.3009	7.4771	5.7421	7.7433	7.7858	7.9623	6.375	5.9186	6.1199	7.3042	7.5714	8.7707	6.8597	6.2644	6.5362	7.7635	6.0348	8.0322	7.3219	7.3969	7.7025	8.049	6.8305	7.3334	8.0699	7.5153	7.0734	6.5859	6.8237	7.3762	7.5898	6.6797	7.3501	6.5858	6.8752	6.2957	6.3991	6.2155	6.9749
EA_G__TNS4	10.7968	9.7714	7.8139	5.1035	5.6707	4.9406	8.7542	8.8222	4.9742	4.8131	8.2169	4.8104	5.0797	9.8753	7.1148	8.9879	5.137	5.6328	8.1433	5.1679	5.5463	4.9638	5.3947	5.5514	7.6197	5.0328	8.5011	5.5462	5.9443	8.2497	5.8093	7.4534	5.1079	9.5218	5.6571	6.1038	7.9988	8.6614	7.807	7.7563	6.6947	5.159
EA_G__APBA2	4.5532	4.5272	6.364	7.8097	6.695	7.5095	4.58	5.9088	8.2103	5.1304	4.3289	5.0186	7.1108	8.0731	6.4353	4.5005	4.8223	4.6544	6.5269	6.9753	4.8328	6.3827	5.5675	5.5326	4.6297	7.4866	4.9834	7.9591	5.0135	4.5746	5.3235	4.9345	6.3831	4.9759	8.2746	7.6773	5.7227	4.8344	4.8348	5.5316	6.5239	7.413
EA_G__BASP1	7.2406	7.5537	7.4218	9.3298	7.8868	9.6218	8.299	9.8899	8.5702	8.8385	7.615	7.3633	7.9699	7.3156	8.8249	7.1357	7.5611	7.6596	7.8624	9.069	7.4602	9.3455	8.8172	9.5101	8.6996	10.2572	7.2745	8.6855	7.8865	7.1992	7.8206	7.9689	9.3781	8.3597	9.3406	7.3915	7.4398	7.6651	7.2088	7.8876	7.0879	7.4299
