Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
Response	1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1
EA_G__CXCL1	6.2315	5.773	5.6481	5.2495	5.4843	8.6757	4.9909	8.9861	5.6913	5.6857	5.6354	5.3001	6.2977	8.0653	5.8269	5.4469	5.7465	5.7099	8.792	6.8879	5.3542	5.4661	5.6147	5.6269	6.921	6.1869	5.8693	5.6813	5.2917	6.2812	5.7848	8.2351	6.2625	5.2772	5.8319	5.3383	5.5119	5.9002
EA_G__ABCC5	5.9535	8.05	7.5093	8.3158	8.0661	6.8239	8.6461	6.9295	6.5499	7	7.9766	9.0062	7.5615	8.4078	7.2503	8.0671	9.2941	6.922	6.4032	8.0915	7.2329	8.4363	7.7763	6.6309	6.5591	7.5629	6.0979	8.1434	8.4676	6.6576	8.1011	6.0554	6.02	9.9184	6.9504	7.7622	8.1707	7.0775
EA_G__CYP1B1	8.3981	7.4445	7.3992	5.4862	6.4642	8.2514	5.7087	8.9724	10.3842	9.0891	6.3086	6.2613	5.1034	7.311	7.9491	7.2763	7.1478	6.2324	10.699	7.801	5.9282	7.7071	6.7353	10.1153	9.3325	8.9592	6.4875	8.4356	7.4339	6.9523	8.0295	8.0619	3.7017	7.7214	7.7367	7.916	9.0846	8.3429
EA_G__S100A3	4.4039	5.3412	4.9353	4.3282	4.2059	5.6023	4.3749	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	4.3606	8.4498	4.8696	6.8913	4.202	4.152	5.2117	6.455	6.0566	6.9666	4.1692	4.8878	4.3484	4.3764	5.108
EA_G__P2RX5	6.5442	5.6535	5.9787	4.8513	5.2032	7.7908	4.405	7.3498	6.238	6.0583	4.9714	4.9715	7.6052	6.583	4.7167	5.0817	4.8552	4.6299	7.2043	4.7547	5.8678	4.9903	5.4081	6.8051	5.4568	5.6807	7.9649	4.5572	4.2916	5.3502	5.708	4.4613	7.2148	4.7202	7.4141	5.1753	7.0021	5.3713
EA_G__SLFN11	4.0289	7.3239	5.1422	3.4401	6.6335	8.8063	3.6834	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	4.9768	6.6291	3.8912	8.1337	4.0513	8.2407	7.1963	5.6434	4.1892
EA_G__MGC9913	3.336	3.6127	8.0916	3.1926	6.7385	8.6099	3.049	6.463	7.247	6.3494	3.457	3.4942	7.1606	7.6152	3.1397	4.1229	3.0303	6.9023	7.4533	4.1407	3.4583	3.798	3.6016	7.1968	9.0628	6.4651	3.6274	3.4	3.0124	4.1512	4.3086	7.9567	3.4711	3.7313	3.5534	6.8504	3.3599	4.6384
EA_G__EDG3	7.4502	6.934	8.1139	10.4128	9.7139	6.3952	9.5367	8.0358	6.8443	8.9643	9.1369	8.9153	7.8993	7.8087	9.1444	9.3102	7.1815	7.2726	8.8852	8.5981	8.5947	8.383	8.9758	8.7868	9.7428	8.7596	7.7877	9.4427	8.5052	8.8173	8.0215	7.9986	7.2288	9.8528	8.3141	6.9779	7.5722	8.5797
EA_G__RAB34	9.3179	5.4145	7.7069	5.3779	6.2092	8.2862	5.2527	7.8298	5.8086	7.0027	8.1715	5.2251	8.0878	7.1519	5.3486	5.5521	7.3082	5.1948	8.7784	6.9035	8.527	6.3726	5.3114	4.9351	8.5876	7.1655	8.7138	5.5485	6.5644	6.2956	5.7314	8.5871	8.8448	5.3935	5.8463	7.3655	8.7954	7.5304
