Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	1
EA_G__GBA2	7.0611	7.9182	7.2585	7.1177	7.7517	7.7342	8.9204	7.3434	7.9632	7.1583	7.0217	7.9961	8.1298	7.4439	6.7869	10.8175	7.7709	7.9028	8.3792	7.6672	7.7553	7.7022	7.8072	7.5787	7.9938	8.3174	8.0147	7.6414	6.5285	6.4815	7.3485	8.6403	7.3107	8.0718	7.2136	7.4953	7.6339	7.5122
EA_G__KRT86	13.3379	10.3848	8.5794	8.4565	8.7735	8.3179	8.0746	7.4759	8.0969	8.9404	8.3171	8.7657	8.2766	8.6907	8.3822	8.3819	8.363	8.1089	8.5233	7.9741	10.0862	8.2085	7.6371	13.9235	9.2948	13.1366	8.3402	8.4784	9.2708	9.5647	8.9904	8.0865	13.6157	13.318	8.5214	9.642	8.7488	8.6665
EA_G__MUC1	10.7485	9.3354	8.5583	9.6525	11.0311	8.4104	10.0109	8.1385	7.6877	7.2345	9.5962	9.4833	6.9752	6.8465	9.0466	9.1369	6.9437	6.835	10.7156	7.125	9.84	6.573	7.0024	11.0353	9.2355	10.806	7.2765	7.6032	7.3348	9.1411	7.2021	8.4137	9.6284	9.3378	11.5556	11.9165	10.8592	11.0123
EA_G__C5orf13	5.5414	4.3653	4.1747	4.5417	5.3873	7.5209	7.8357	5.1632	8.383	7.2215	4.5145	4.5834	6.7748	5.0358	6.5435	6.0565	4.6739	6.0911	5.2714	8.5295	5.1223	7.5981	8.7321	5.6175	6.0678	8.1582	5.921	4.7948	5.9629	5.2228	9.0534	7.5218	5.122	5.3452	4.7828	5.8596	5.3181	5.0496
EA_G__STEAP4	8.7208	8.8261	8.2268	3.6065	3.9258	3.5677	3.5754	4.1022	7.0677	3.6997	6.8604	5.1387	3.3645	8.0281	9.744	3.9855	4.4083	3.3684	9.233	3.3895	4.5633	3.5896	3.4877	7.5717	3.6823	8.3019	4.0973	6.8116	4.0102	10.6528	4.3021	3.5768	9.1109	3.8375	5.9035	4.1422	4.1833	4.1754
EA_G__IL1R1	5.2433	6.2627	5.8067	6.4215	5.9244	6.9492	7.1119	4.9937	5.9677	7.8353	3.6556	3.6594	6.2725	4.4349	5.2934	8.6186	5.4512	6.8552	6.9971	6.0492	5.0264	7.5645	6.6671	6.0735	7.0316	7.5953	9.5627	5.5494	6.534	5.8414	5.9406	5.4326	4.8437	5.9686	5.867	5.7212	6.7576	4.3297
EA_G__FAM132A	6.6035	7.0726	6.7356	6.7905	6.7412	6.6927	6.7581	6.5001	7.0008	6.7711	6.4586	6.6316	6.6128	6.5886	6.8081	6.5194	6.706	6.4491	7.0554	6.5887	6.9314	6.6823	6.5831	6.9293	6.6262	6.5639	7.1606	7.0314	6.8575	6.9061	6.9675	6.5985	10.2581	7.3771	6.8498	6.9846	6.7779	7.1615
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	9.4381	9.6232	4.383	8.3525	4.2405	9.6597	4.2637	10.2763	6.5768	4.0202	10.0856	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	9.5589	10.3671	9.2285	9.8379	9.9968	10.6397	10.3255
EA_G__DDAH1	8.2975	8.0848	8.152	6.8764	7.1266	8.5481	6.7475	7.913	5.1987	6.4624	7.6645	7.6054	7.5138	8.2456	7.3184	7.9016	7.528	8.1061	7.6799	9.8182	7.2951	8.4799	7.6619	7.2348	7.3886	8.5508	7.5272	8.303	7.6419	6.6042	8.2063	8.1604	7.7275	8.0472	7.3595	7.8989	7.4722	7.056
EA_G__CDKN1A	7.6223	5.6813	6.1515	6.4516	8.1183	5.5956	5.843	7.4914	7.5622	5.7902	6.163	6.0874	5.8016	7.1044	6.6212	5.4977	7.7513	5.5767	6.2617	6.6892	7.4505	7.7351	6.1198	7.588	7.3511	5.8232	6.166	5.8865	6.8653	5.5836	6.0481	6.6928	7.0882	5.8646	6.8521	6.7727	7.4713	7.7466
EA_G__NBL1	5.6874	6.1693	6.0302	6.5123	7.91	7.2287	8.8627	7.4446	6.4894	6.4088	7.8477	8.9876	7.7277	7.989	6.262	7.4926	6.8964	7.0244	9.3898	7.4014	6.2728	8.6259	7.7704	5.8527	7.4465	9.3873	8.9764	6.4183	6.2493	7.4905	7.3304	6.0452	7.0402	6.3728	7.4907	7.1949	6.2454	6.7302
EA_G__UNC13D	7.2054	8.5678	8.403	6.589	8	5.9315	6.46	7.585	6.7512	6.1501	6.4098	7.9107	6.1484	6.5748	8.1147	6.6524	6.8474	5.9809	7.1011	5.9956	7.1245	6.1055	6.002	7.0397	7.4076	6.6057	6.9214	9.2958	6.2236	7.8169	6.2601	6.8333	6.4987	7.0049	7.8597	7.6537	6.2393	6.4333
EA_G__EFNB2	6.2732	4.2123	5.8805	7.449	6.8216	7.8088	7.6087	9.4634	5.9782	6.3978	7.6795	6.1879	5.0019	7.8717	7.0661	8.5742	6.675	7.7842	6.9406	7.8725	6.2913	6.4386	8.3838	6.3951	7.4016	6.648	7.1692	5.7584	4.591	7.7342	7.1411	7.4194	5.9107	4.8588	4.9203	4.3397	5.2883	5.3353
EA_G__WDR32	6.688	7.0005	6.9373	6.8804	10.0989	7.6017	8.0546	7.7223	7.6852	6.7785	8.2107	8.427	7.466	7.6113	7.4965	9.7947	6.7844	8.4793	8.3966	6.8673	7.1314	10.1064	7.2606	7.121	7.3108	8.0252	7.2598	7.0917	7.6321	5.6922	6.8736	8.3833	7.1692	7.345	7.1693	7.718	7.6429	8.1755
EA_G__STK17A	5.9146	6.3042	7.6759	6.7496	6.2505	6.8388	6.5173	7.0289	6.6728	8.0695	6.6336	6.8904	5.9002	7.6215	8.3165	5.6394	7.3603	7.5898	8.0327	7.2169	5.9265	5.4037	8.0381	6.2079	7.2486	5.5554	6.1393	6.0406	8.8014	8.1987	7.3813	5.9857	8.9739	6.1883	6.8924	6.6018	6.6526	6.332
EA_G__ZNF93	6.147	4.375	7.194	6.5279	5.7665	6.9342	6.3574	3.4943	7.5111	5.2389	7.2837	6.2869	6.2543	5.0808	3.6879	6.6652	4.4768	6.4007	5.336	5.0037	6.0368	6.6539	7.814	6.1453	6.68	5.6051	6.1785	4.4487	6.1894	5.6231	4.2672	7.0443	5.3449	4.1129	5.5432	5.9714	4.8962	4.0352
EA_G__SEPT3	6.9903	5.635	6.6031	6.7384	7.6211	7.1111	8.259	7.2777	8.3934	8.2094	6.1608	7.8876	8.5761	6.2407	6.9621	7.1455	7.637	7.8916	8.5005	5.7086	6.7981	8.7827	8.0446	6.7842	6.2873	7.0206	7.3441	6.1114	5.7419	6.6475	5.6368	8.9265	7.2357	5.9289	6.4781	6.64	7.4648	8.101
EA_G__NPAL2	6.9008	5.9027	6.8153	6.3489	6.9902	4.937	4.6577	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	7.2119	6.8325	7.1773	6.7199	5.7675	6.141	6.516	6.8102	4.6957	6.6986	7.2536	6.9277	6.313	5.4176	5.8846	5.0348	6.7427	5.276	5.5001	8.6295	6.5493	6.7587	7.214	6.7578	6.4154
