Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC893	ZR751	ZR75B
Response	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	1	1	-1	1	-1	1	1
EA_G__ZNF93	4.375	6.5279	5.7665	6.9342	3.4934	3.4943	7.5111	5.2389	7.2837	6.2869	6.2543	4.9129	5.0808	3.6879	6.8762	6.6652	4.4768	6.4007	5.336	5.0037	5.9715	6.0368	6.6539	7.814	6.1453	3.4652	6.68	5.6051	5.6067	6.1785	6.8532	6.1894	5.6231	4.2672	7.0443	4.1129	5.8492	4.8962	4.0352
EA_G__GPC4	3.5621	6.2868	5.1995	3.7073	3.7639	8.8753	5.5451	7.9676	6.8208	3.8903	5.23	3.9947	5.3175	5.8796	4.2999	5.083	7.0786	4.5048	6.9533	4.8186	4.7221	6.6727	8.2116	3.5094	6.5707	3.6208	4.4385	4.4442	5.5256	5.4234	6.4215	6.4853	4.2966	3.9069	7.6735	5.5025	7.3748	4.2425	4.573
EA_G__SEMA4C	7.5273	8.26	8.6249	7.0002	7.2498	6.9744	7.4205	8.0985	6.9877	9.8344	8.6208	6.4917	6.9693	7.1234	7.4942	6.9843	7.2017	7.7054	7.3261	7.1737	8.8988	9.6211	8.403	7.4376	7.8696	7.3859	9.169	6.8374	7.702	6.8478	7.3498	6.9353	7.2155	6.8307	8.7622	6.6063	7.8145	7.6439	7.2913
EA_G__FAM77C	5.2746	5.8177	9.2404	6.2285	6.5124	5.3808	8.9727	5.7255	5.6698	8.9535	6.7136	5.356	5.6356	5.4778	6.8957	5.3006	5.5056	5.3072	5.7193	5.0108	6.0272	7.3493	10.7015	7.2011	5.5719	5.2503	6.1178	5.1351	5.8361	6.0575	5.4689	5.5834	5.2124	5.4421	6.2118	6.0491	8.2077	5.5503	5.5351
EA_G__SEPT3	5.635	6.7384	7.6211	7.1111	7.194	7.2777	8.3934	8.2094	6.1608	7.8876	8.5761	6.0032	6.2407	6.9621	8.0979	7.1455	7.637	7.8916	8.5005	5.7086	6.6076	6.7981	8.7827	8.0446	6.7842	5.9076	6.2873	7.0206	7.49	7.3441	7.0543	5.7419	6.6475	5.6368	8.9265	5.9289	5.8467	7.4648	8.101
EA_G__ID1	6.5137	5.7936	5.7872	8.4098	8.8608	9.0987	8.9079	7.4013	9.3635	5.7669	5.3555	9.9187	9.9858	8.8705	8.6591	9.3233	8.0025	11.1838	9.2602	7.4053	8.0666	6.8268	7.6388	7.4791	8.5663	8.0305	7.5641	10.4555	6.425	8.1994	7.1203	8.7629	9.2204	9.3456	7.6309	7.9927	6.962	6.2584	8.281
EA_G__ZNF738	4.2	7.0941	6.7008	8.1237	4.317	3.7679	8.2316	8.3649	7.4396	7.9623	7.594	5.9306	7.2096	5.8127	6.8361	7.6064	6.9004	6.9812	6.5093	5.8654	6.2447	6.2862	7.1484	8.006	6.143	6.4364	7.0276	6.6833	5.7607	6.3408	5.8902	6.615	6.4667	5.976	7.0602	4.5332	6.8288	5.7957	5.798
EA_G__SLC38A3	5.271	6.6883	6.7268	4.9481	5.8474	4.9405	7.4643	8.4392	4.8034	5.4624	10.2451	5.2123	5.2395	5.0802	5.6798	6.2665	6.9133	8.6233	7.857	4.9367	5.4184	5.6316	5.5414	6.7443	5.5095	5.0972	7.5639	4.9274	5.8143	7.4685	7.5369	4.8996	5.2517	4.9624	5.3162	5.1546	6.3527	5.3782	4.9256
EA_G__PELI1	6.6992	5.8345	5.9866	5.4567	6.1829	8.9332	8.9104	7.3857	6.6035	8.0533	8.0148	7.0929	7.9337	7.2112	6.8029	6.9788	7.5129	7.2449	8.2749	6.8893	6.478	5.1032	8.3341	8.8709	5.3363	7.2298	6.4351	6.7005	6.7674	4.5744	8.2269	5.746	6.9879	5.8423	7.0353	5.4903	6.5594	5.8788	5.7152
