Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1
EA_G__EIF5A2	5.0671	5.3636	5.4876	7.0288	3.9816	6.5229	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	4.1127	7.1292	7.9963	5.1445	6.4023	6.2623	4.3311	7.3762	6.1378	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.8266	4.4717
EA_G__CTNND2	5.4629	7.5316	6.6776	5.4046	7.6145	5.578	5.2439	7.9285	5.2685	7.2004	5.5369	5.2641	7.6463	5.6685	5.1254	5.7386	7.963	7.877	7.7465	5.4372	7.0886	5.2979	8.3406	8.2045	7.5643	7.5688	5.3627	5.7529	5.5902	6.5579	5.7347	5.943	5.4129	7.3165	6.9607
EA_G__MB	5.5817	7.2958	5.4405	5.2965	6.4939	4.99	4.5217	6.6331	5.3755	4.4841	4.3542	5.2556	8.1329	5.7617	4.0266	5.7767	5.9646	5.6589	5.4337	3.8807	7.0531	4.2898	7.3515	7.1651	5.9651	7.5111	4.3969	4.8076	3.9391	5.781	6.2852	6.3506	5.5164	6.4085	7.0086
EA_G__RAB27B	9.4487	9.7252	8.7548	9.9569	8.8503	7.2326	5.5529	9.6875	7.5786	4.7529	6.7212	7.2258	8.5582	6.7514	6.7386	8.7507	8.1154	8.2999	9.2784	6.2771	8.7808	5.1949	9.7182	9.0257	9.2615	8.2384	5.5805	6.4372	6.374	8.4761	8.9339	8.1278	7.9657	8.0961	10.0686
EA_G__LHFP	6.1614	5.4274	5.774	8.7766	5.1859	7.2268	7.5145	5.1002	7.5025	6.0825	7.0349	6.7126	5.3806	6.8659	7.1626	5.8128	5.8162	5.6178	4.9328	7.6395	5.7058	7.2848	5.1617	5.2191	6.2937	6.4466	7.4815	5.9507	7.0226	7.117	5.2327	5.7135	6.1764	5.4187	5.6329
EA_G__ALDH3B2	7.8751	11.3608	8.8077	5.8866	9.7334	6.4255	6.1384	9.5823	7.6199	7.7955	6.3071	6.4469	10.2674	6.2786	6.047	6.1466	8.5602	9.6127	10.4301	5.6515	9.014	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.1133	9.2081	9.9559
EA_G__SELENBP1	9.3821	9.1265	9.3341	5.4145	10.1056	5.6859	8.1306	9.097	8.0519	8.1768	5.6338	7.0976	10.3951	5.9801	5.5176	9.058	8.4871	10.0174	9.0404	5.6347	8.8152	7.434	9.528	10.4363	10.1032	10.6142	5.3724	6.0275	6.422	9.7696	9.591	9.8577	8.6891	10.0604	10.8426
EA_G__GPD1L	7.1581	8.9161	7.7328	6.4188	7.7827	6.2488	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	9.6036	7.1174	6.939	6.6889	8.6801	8.5606	7.1846	6.3214	7.8672	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	7.872	8.385
EA_G__PIB5PA	6.827	8.2578	6.7071	5.9039	9.6074	6.094	5.745	6.4018	5.6085	5.7297	5.4173	6.1321	8.1127	6.2215	5.7362	7.4908	6.5917	7.1141	8.8762	5.4621	7.9441	5.8495	7.7113	8.0325	8.7984	8.1997	5.6103	6.7177	5.7789	8.9248	8.6425	8.3854	7.2749	8.3268	7.7171
EA_G__GAS6	8.408	6.2495	7.4227	8.7318	6.9574	8.0175	8.2738	5.6314	8.2318	6.8698	9.5241	8.0954	6.0168	7.7492	8.9542	6.1677	6.3184	6.3637	6.9333	9.0093	7.2096	8.1029	6.1465	6.9816	6.629	6.2172	7.3513	9.7676	8.4195	6.3654	8.4263	6.6006	7.6072	6.1753	7.0646
EA_G__KIAA1324	9.1151	9.9689	9.3165	4.7668	10.7206	4.988	4.92	9.8157	9.2718	5.0802	4.8433	5.3249	8.9328	5.2349	4.8067	6.1461	8.0162	10.4682	9.8777	4.8393	8.4161	5.5117	10.5581	11.1607	8.8761	8.3421	5.2686	5.0444	5.1043	8.8778	10.1644	9.1857	8.7249	9.1258	9.4421
EA_G__FOXA1	9.78	10.3303	10.2426	5.7805	10.2446	6.6946	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	9.8686	7.3927	5.4563	7.5836	9.5923	9.8998	10.0039	5.6855	9.643	6.0524	10.1447	9.4248	10.0194	8.8238	6.1961	6.457	6.1073	9.5103	9.6063	9.8896	9.6996	9.7959	10.3109
EA_G__MYB	6.4454	7.7499	7.6455	5.0163	7.364	5.9692	5.1898	8.3839	7.6386	5.2504	4.5412	5.2464	8.0208	5.3536	4.5154	5.93	7.1808	8.0709	7.0712	4.4789	6.9476	5.6926	8.6746	7.4365	7.2492	6.6892	4.7019	5.5426	4.7383	6.1985	6.1338	6.9719	6.8456	7.1594	6.537
EA_G__CYR61	8.1331	6.2582	7.0497	10.1687	6.6562	8.8232	7.8517	6.3522	6.707	7.4924	7.1965	9.2169	7.3317	9.6694	10.232	7.091	6.3553	5.982	5.9694	8.6434	7.9536	11.0584	6.8937	6.6652	6.7454	8.1061	10.084	8.4031	9.4395	6.6971	7.8889	6.4717	6.9073	7.0874	6.1877
EA_G__SLC39A14	7.2392	6.7073	6.6778	9.7325	7.094	7.6136	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.898	7.8345	8.1108	6.6582	7.1446	6.7092	6.6707	7.542	7.0018	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	7.5143	6.2866
EA_G__C4orf34	8.8336	9.2875	9.0579	5.2272	9.1582	4.721	8.1851	9.7532	7.4229	7.588	5.1128	6.5668	9.1999	5.4193	6.848	8.0783	8.3072	8.1002	9.1603	6.5726	8.8801	5.1194	9.9662	9.103	8.0987	7.3907	8.1597	7.0955	5.3506	8.451	9.2518	9.4196	8.058	8.6313	9.0896
EA_G__KIAA1244	8.6271	7.9794	7.8373	4.7103	7.731	6.7773	4.9291	9.7452	7.5222	5.2587	7.0398	6.8008	9.4749	6.767	4.6396	7.3284	8.4806	8.5158	8.9598	4.7583	9.0587	6.9271	9.3135	10.3382	9.7247	8.5838	6.5364	5.8571	5.421	9.2156	9.3295	10.1233	8.0033	9.1089	8.061
EA_G__XBP1	11.283	11.4285	11.4319	8.6723	11.3432	8.5408	9.4895	11.6752	10.8517	8.688	9.1233	8.734	11.2423	8.6586	8.207	9.7409	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.4501	11.6409
EA_G__ARHGAP23	7.2203	5.8044	6.1833	7.0529	5.4752	6.3843	6.3489	5.4214	5.2812	6.1932	8.4672	9.3409	6.4165	6.8485	7.6738	6.8463	5.9048	5.7858	5.5407	7.3588	5.8461	8.653	5.7958	5.8236	6.2527	5.9964	6.9923	6.3647	8.3173	6.3409	6.3077	5.9923	7.0707	6.1537	5.8307
EA_G__GLIPR1	3.2087	3.4702	3.5103	8.225	3.4968	6.1064	7.0228	3.3575	3.7556	4.2416	6.6397	6.1565	3.5767	6.5325	8.5465	4.8932	3.6517	3.3135	2.8019	7.2825	5.5198	6.9605	3.1331	5.5399	3.7158	3.6556	7.0461	6.3423	9.0025	3.6353	4.0555	3.3701	4.2331	3.4115	3.1647
EA_G__ARNTL2	6.1217	4.8596	6.2176	6.4819	3.8273	7.7471	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	5.9108	7.6544	6.7791	6.4344	5.4205	5.5538	4.4456	4.9612	4.6794	7.737	5.8374	4.5655	4.671	4.5466	8.1851	7.4415	7.0224	6.74	4.5638	5.8324	5.2486	4.1156	5.0043
EA_G__KIRREL	7.5887	5.6081	5.7258	10.3544	5.5244	9.7389	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	5.5174	9.3051	9.8443	7.0456	5.8194	5.7806	5.2632	10.0757	6.4854	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.6723	5.8787	5.7361	6.8062	6.3514	5.7109
EA_G__YIPF1	8.1538	8.3387	7.4043	7.2018	7.6327	6.9169	7.0897	8.6056	7.8128	7.3801	6.5796	6.9075	7.7843	7.0031	6.9285	7.6619	7.168	7.7474	7.5846	7.1724	7.4127	7.3375	8.7118	8.8558	7.7027	8.1777	7.4907	7.4336	7.036	8.3011	8.8785	7.9406	8.1006	8.0957	8.5275
EA_G__SPDEF	9.8828	10.7931	10.5658	5.6685	11.013	5.9359	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	10.0929	6.9762	5.6718	6.3194	10.0469	10.246	9.7584	5.6466	10.4039	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.6581	9.6624	10.226	11.1169
