Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1
EA_G__GBE1	6.8244	7.5239	8.155	6.3966	6.5794	8.5971	6.6869	8.843	7.4889	4.9943	8.6312	7.5394	6.471	7.5278	7.1057	7.6762	7.967	6.3813	5.8657	7.6057	8.2961	6.5153	9.4952	6.8885	7.5212	7.8519	7.2937	6.8441	8.7027	6.8781	5.6533	7.102	7.1436	8.6559	8.4116	9.5431	6.0081	6.5628	6.1145	7.2027	7.0531	6.4247
EA_G__TNFSF10	7.2591	5.7198	3.5621	6.1808	6.6762	3.9131	4.191	3.6986	3.5048	7.7882	3.4474	7.5689	6.5684	3.5722	4.645	6.3477	6.4558	5.204	8.1757	5.2783	3.5772	9.709	3.725	3.7304	4.1417	6.1581	6.8426	5.5207	4.6852	7.0454	8.5212	6.1688	4.2662	3.6572	4.2944	3.437	7.5867	9.1214	7.7597	6.7804	5.9878	4.0143
EA_G__NCOA1	5.7013	6.7755	6.6703	6.6969	6.4277	6.0786	5.9324	6.1676	5.7387	6.4161	5.8875	7.9094	7.0539	6.4869	5.1038	6.4759	6.3607	7.8082	6.9388	5.9142	6.0282	6.6922	6.4098	6.6132	6.8043	5.7002	7.2551	6.1257	5.8861	7.114	6.5122	6.1483	6.4088	5.6262	5.6425	5.8318	7.6638	6.5291	6.9219	6.5437	6.6471	6.328
EA_G__GBA2	7.0611	7.9182	7.2585	7.1177	7.7517	7.7342	8.9204	7.6969	7.3434	7.9632	7.1583	7.0217	7.9961	8.1298	6.9633	7.4439	6.7869	7.8723	10.8175	7.7709	7.9028	8.3792	7.6672	7.5137	7.7553	7.7022	7.8072	7.5787	7.9523	7.9938	8.3174	8.0147	7.6414	6.5285	6.4815	7.3485	8.6403	7.3107	8.0718	7.2136	7.6339	7.5122
EA_G__KIAA0644	6.6204	7.8892	5.8869	7.22	7.5292	5.0429	7.1733	5.0666	4.6612	6.9032	4.7288	6.0241	7.1183	5.0476	5.3085	5.1206	6.1557	7.8377	7.1336	5.2546	5.1951	6.8486	4.7598	5.9194	5.6884	7.036	4.7568	6.3434	4.8293	6.4892	6.3319	6.5456	7.9545	4.9716	5.2662	5.3064	7.3471	7.7024	6.1171	6.8002	6.8457	5.1298
EA_G__FOSL1	5.7631	6.0413	7.5462	6.1458	5.9209	7.919	5.8606	9.2825	9.0589	5.8613	8.9972	6.4142	5.6608	6.5225	9.6121	8.7498	8.1476	6.1033	5.9831	8.443	7.8496	6.2968	9.5414	6.2276	6.2266	5.9202	7.7186	6.2518	9.0294	6.0945	5.7333	6.9064	6.1028	9.2315	7.675	8.8965	6.0134	6.702	6.2235	6.2177	6.0999	6.6548
EA_G__CTNNAL1	6.2431	4.2542	7.954	6.4387	5.6072	8.7735	6.3931	8.6011	8.1612	4.1256	7.0137	7.1051	6.4816	7.2239	8.0383	7.9871	8.3836	6.2664	5.4545	6.4832	7.6805	5.2114	7.9664	6.1901	5.6676	6.3907	8.9997	5.5644	8.7663	6.723	5.544	5.0793	5.2778	7.4006	6.8008	8.0664	7.008	3.6217	5.7089	6.5608	5.4776	5.9197
EA_G__TESK1	7.8959	8.3032	8.1661	8.4928	8.928	7.993	8.7249	8.2875	8.4959	8.4588	7.8626	8.4984	8.442	8.6059	8.527	8.1811	8.2056	8.9132	11.6165	8.5538	7.971	8.7505	8.1073	8.3541	8.3853	8.6143	8.4285	8.7537	7.8268	9.5718	8.7004	9.3688	8.2201	7.8973	7.1274	7.8586	9.2457	8.4639	8.6664	8.1986	9.1038	8.8505
EA_G__DOPEY2	8.2239	7.9457	6.5423	8.2781	7.6848	6.7292	6.8553	5.8713	6.4959	7.261	5.4701	8.972	8.176	5.1726	5.2203	5.5628	6.4086	7.668	8.0014	5.6175	5.1986	6.0869	5.9919	7.9673	7.5194	7.1617	6.3299	8.384	5.0722	7.8844	7.5647	7.2843	7.5263	6.4388	5.1658	5.6352	8.4635	7.2463	8.5448	7.6241	7.2307	6.2296
EA_G__SUSD2	10.6325	11.4387	6.1719	6.7655	7.094	5.582	7.4337	5.9165	6.5795	6.7565	5.8544	8.182	10.5693	5.5116	6.6145	6.8722	7.7756	10.1901	9.6472	8.8452	6.4276	6.2375	6.632	6.5745	6.9248	8.1435	6.8947	6.7371	6.8246	7.9512	10.1454	9.4259	11.7924	6.2425	7.9071	5.6027	8.9238	10.8731	8.8168	6.2593	6.4449	5.7019
