Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1
EA_G__INPP4B	7.4601	5.5609	8.2586	7.8952	6.7976	9.0549	5.5846	5.2547	3.8202	3.6908	6.6821	9.0399	6.2207	7.1384	7.9002	8.0145	5.8217	4.926	6.9207	4.0702	6.683	6.1541	8.4551	8.0536	8.007	6.2776	8.6376	6.7377	9.2115	8.2744	4.0436	4.6256	5.8411	5.9112	7.3532	6.4328	7.1682	6.4642	4.5528	6.9154	7.0869	6.5131	7.803	4.7484	4.2681
EA_G__AREG	6.2041	5.7836	5.8584	10.9135	5.1731	6.7787	5.4119	6.5017	4.8797	4.9522	6.8361	6.199	4.9694	8.1086	7.338	7.7748	4.7889	5.5203	5.7802	4.7099	5.6865	4.9715	6.0426	5.9791	6.5608	4.6884	5.5337	5.8989	6.7826	5.4017	5.678	5.6694	6.1571	5.462	10.5997	5.2824	10.2272	6.2371	5.898	5.7593	6.9511	6.4223	6.0565	6.0466	5.9556
EA_G__NCOA3	8.1052	9.2571	10.8214	9.0906	8.4774	8.7035	7.7347	8.4412	7.5889	8.6077	9.7062	7.983	7.965	8.448	8.4315	9.4085	8.0727	7.9253	7.81	8.1464	7.7562	7.9493	10.8399	11.1574	8.5521	8.1327	8.578	7.2583	8.1256	8.9069	7.2047	7.9599	8.7304	9.2201	8.4439	7.7563	7.9861	7.9172	7.8126	8.8724	8.4034	7.8476	8.7819	8.766	8.1996
EA_G__GPR124	6.1572	6.2907	6.1908	6.7786	6.6865	5.9578	7.3058	6.2679	6.3984	7.2256	5.9889	5.9476	8.1697	6.24	6.1227	6.2101	6.0348	6.7991	6.4929	6.6489	7.1157	7.4119	6.6003	6.3922	6.541	10.3343	6.8439	6.3286	6.0251	6.1809	6.6576	6.7951	6.924	6.4529	6.0167	6.7114	6.3026	6.7205	6.3336	6.7618	6.3279	6.2505	6.2481	6.1435	6.1915
EA_G__NHEDC2	5.1404	4.6241	5.0185	4.8827	6.6627	4.1264	6.27	5.9421	5.7687	7.6438	4.8055	5.3737	6.7333	6.4724	6.1886	5.7758	5.6225	6.4636	6.7411	6.1157	5.8529	7.1676	5.7495	5.4824	4.453	6.4926	5.3535	4.4558	5.0307	4.3183	7.0453	5.1944	7.3446	5.7618	5.6396	7.2622	6.4832	7.8141	6.5272	4.7038	5.6645	5.6493	4.624	4.6542	5.4813
EA_G__DZIP1	3.8423	3.8318	3.9976	3.6467	7.9986	3.7616	6.9908	7.7736	7.865	6.4633	3.7432	3.8025	7.1699	5.7347	7.3229	3.8667	4.0447	3.9119	5.2573	8.0773	5.5767	6.5828	3.9509	3.9015	3.7455	8.5714	4.2862	3.9174	3.8676	3.8059	8.098	4.6561	7.0349	4.3905	6.1114	7.8718	4.8824	6.8542	4.2409	4.2736	4.0125	6.6612	4.0882	4.1754	4.1316
EA_G__GJA7	4.8989	4.8475	5.84	5.5942	7.4714	4.7178	8.1015	8.5742	7.3874	6.8312	5.3196	4.6661	6.5742	6.9284	6.4528	6.9926	4.8027	6.2159	6.8559	7.0645	7.013	7.5561	4.9328	4.7611	4.9592	7.6568	5.2429	4.7212	6.6205	4.4482	6.7532	5.435	6.8885	4.9082	5.4605	8.624	6.5147	7.1838	5.9559	6.474	6.7178	4.9803	4.9229	6.6005	6.5818
EA_G__CCND1	10.5395	9.3268	9.3457	9.8957	7.3944	10.0676	6.6398	11.4027	8.7569	8.04	9.2783	9.2807	5.4172	9.3223	9.806	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	11.9805	8.5732	9.7956	9.4326	9.5072	10.9368	7.7167	9.1561	7.8883	9.1446	8.0608	7.8095	6.6524	8.9671	8.6034	8.793	8.0185	8.4978	9.4889	8.9741	9.6589
EA_G__LEPRE1	6.6604	6.106	6.4096	6.721	8.8094	6.5042	8.5858	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	8.4926	7.0673	7.5154	6.3158	7.0666	9.2172	7.4327	8.3081	7.7253	7.4537	6.4544	6.851	7.4008	6.5327	6.3042
