Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	-1	-1	-1
EA_G__TFF1	11.84	6.7837	11.4404	12.9215	5.4971	7.8702	5.5529	4.3741	5.1241	5.0018	11.8255	12.4366	5.5277	5.3954	4.6693	5.167	7.8188	8.9703	4.6936	5.1043	4.7645	11.9278	12.3462	9.3139	4.4746	11.1606	5.7316	11.3324	5.6288	5.0357	8.5496	4.6178	6.452	5.1672	5.3551	4.8953	4.847	10.6487	5.7562	7.7064	12.854	9.7638	6.1027	6.5283	12.0692
EA_G__IGFBP3	6.5418	6.2321	6.194	6.6882	10.4666	5.8726	7.3738	10.7593	8.2432	10.8471	5.6892	5.5772	5.9308	8.7316	10.2826	10.7306	6.27	10.0307	9.709	11.3362	9.3579	6.1592	6.4941	7.5947	8.1435	7.0694	7.4194	5.9981	6.6661	8.2027	7.6014	10.0085	6.7459	6.4972	8.8475	7.5569	6.2586	7.9654	6.7155	5.8457	6.3318	6.6212	5.853	6.6931	5.7447
EA_G__DPYD	5.7967	5.64	4.3788	4.2825	8.3159	4.2017	7.8964	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	5.538	4.5943	4.9597	8.6987	8.286	4.1438	5.5058	6.1088	7.1156	4.7003	8.739	4.3333	7.724	7.2207	5.5622	5.0709	5.8884	6.865	7.8689	7.0905	7.6585	4.0732	6.7683	4.2669	4.0758	4.686	4.0451	6.4362	4.3467
EA_G__SLC19A2	7.8428	7.7834	8.6972	9.2989	5.8688	8.05	6.2701	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.8503	6.6471	7.8194	8.4896	7.8273	3.9396	8.397	7.9704	7.8213	8.2376	7.6021	7.1089	7.6994	7.2999	7.3381	6.8343	7.3796	7.4287	7.7499	6.9377	7.6287	8.3672	7.6606	8.0226	7.4034	7.9977
EA_G__TNC	6.8419	4.5317	7.9377	5.5042	6.5045	4.5282	9.2391	10.3359	11.7961	10.5952	4.4803	4.2461	6.7117	5.6666	6.5706	9.083	5.1491	6.9443	8.7277	9.8215	9.1583	4.8052	4.8852	9.5513	10.3004	5.5014	6.8871	5.9621	9.4908	8.5841	9.8865	6.5795	4.591	8.5754	9.3078	7.1626	9.313	6.8903	9.3018	4.8565	4.7517	9.4154	4.5568	8.0679	4.34
EA_G__ROR1	5.1251	5.3372	5.2175	4.9534	6.5973	5.439	6.7696	7.28	10.4317	8.9012	4.743	5.6664	5.7236	6.7942	8.3774	7.9003	5.2403	4.7319	7.7308	7.9918	9.5253	5.5238	5.0728	7.0798	7.725	5.7081	9.3852	4.8051	6.7134	6.9942	5.6738	7.9718	5.391	7.1617	5.9191	7.2763	8.7107	5.8718	6.0622	5.2006	5.3266	6.4913	4.955	5.8288	5.4154
EA_G__LMX1B	6.9476	7.0005	9.3656	9.0905	6.9439	7.6305	7.3941	7.1723	6.8839	6.6951	8.6262	8.5572	6.8858	6.9417	6.9284	6.8258	6.8833	7.4215	6.8074	7.5919	6.4544	7.7392	8.5642	7.4095	6.6147	8.2031	6.5912	8.4106	7.433	7.2189	7.7919	7.3849	6.7515	7.5622	6.5205	6.695	6.3187	8.6843	7.564	7.6533	7.8472	7.4149	7.4231	7.671	8.3092
EA_G__PRICKLE1	5.9948	4.5443	4.252	5.1478	7.3218	4.5123	6.7573	7.167	8.6264	5.8312	4.1537	4.2335	5.0097	5.6541	7.094	9.0665	6.3816	6.6933	6.198	6.4523	6.2232	4.8193	4.7194	5.3831	7.5982	5.5517	7.7122	4.4927	5.8358	5.3536	6.7387	7.0873	5.2414	5.5256	4.7019	8.662	4.792	4.9397	5.4265	4.7979	5.337	6.6547	5.0727	5.1695	4.717
EA_G__TP53INP1	7.1211	4.0339	8.5398	8.086	6.3946	6.9129	4.3717	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	8.0398	6.8808	4.0731	6.1896	5.8195	7.2924	7.6158	7.3659	6.6539	7.4096	4.5579	8.3123	7.0256	4.7112	6.518	5.8487	4.5237	7.0364	3.7159	4.1588	3.8629	7.5959	5.8419	6.9661	7.8789	7.0846	6.8327	7.7196	6.9651
