Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	1
EA_G__PLCH1	7.5273	3.3755	6.9586	3.9486	8.0482	4.651	7.1018	7.7608	6.6251	5.4736	4.7252	8.1232	5.2036	3.6959	6.6154	3.6139	6.6504	6.832	4.0158	4.9347	7.0744	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	5.562	8.1434
EA_G__ALDH3B2	9.1519	7.5805	11.3608	5.8866	9.7334	6.4255	8.223	9.5823	7.6199	7.7955	6.3071	10.2674	6.2786	6.047	6.1466	5.7429	8.5602	9.6127	10.4301	5.6515	9.014	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.1133	9.2081	9.9559
EA_G__EIF5A2	6.2951	7.8413	5.3636	7.0288	3.9816	6.5229	4.6112	4.0049	6.0151	6.4365	8.0195	4.1127	7.1292	7.9963	5.1445	8.1412	6.4023	6.2623	4.3311	7.3762	6.1378	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.8266	4.4717
EA_G__CRIP1	5.31	5.3267	9.7731	5.334	5.4641	5.3474	8.9387	11.7544	5.561	8.2598	7.0206	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	9.0144	5.3967	8.9139	4.9174	9.2424	6.8474	7.5698	5.9588	5.2163	8.9972	5.2167	5.7411	6.8932	5.2574	9.2766	9.2825	9.7626
EA_G__CYP2J2	6.4435	5.1334	6.7259	4.78	5.8339	6.1137	5.5908	7.7706	6.8903	5.9356	4.8007	7.4097	4.6187	4.4382	6.0827	4.8923	6.3696	7.0868	5.2002	4.2793	4.9988	5.9153	7.5381	8.3749	5.4937	7.2803	4.893	5.2515	5.3152	6.042	7.5127	5.895	5.9996	6.2447	7.9614
EA_G__HINT2	8.1953	8.0627	8.3493	8.0287	8.444	8.6324	8.2309	7.9605	8.1995	7.829	7.835	11.004	8.228	7.9399	9.7754	7.7405	8.2384	8.5383	8.2892	7.8426	7.7491	8.1583	8.8464	8.33	8.9275	8.1775	7.4303	7.5048	7.462	7.8726	8.327	7.5324	8.6064	8.5092	8.5007
EA_G__SNAI2	3.7124	6.6607	3.6871	9.1313	3.88	6.4837	3.2197	3.8197	3.4385	9.9938	8.7811	3.6267	5.6992	9.113	6.23	9.6167	3.8127	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	4.4566	3.9037
EA_G__MPP1	4.6149	5.5659	4.1933	7.3661	5.2864	5.9491	6.1238	4.0628	4.851	6.9422	6.5674	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	6.1798	8.3037	5.8638	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406
EA_G__ALDH4A1	7.563	7.3057	9.6464	6.4231	8.4263	6.2446	7.1993	8.3781	7.28	7.0017	6.8621	8.1332	6.577	6.5174	8.276	6.5183	7.8706	7.9981	7.9767	6.5559	8.9964	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	7.3929	8.1326	7.6348	9.4543
