Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	1	1	-1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	1
EA_G__TTYH2	6.2957	6.6553	6.0106	6.5553	5.9514	6.2996	6.4936	7.415	5.2801	6.7154	5.6287	6.4406	7.8237	7.6494	5.8357	5.2787	5.7379	5.5356	7.1352	7.4015	5.3558	5.6399	6.1033	5.7759	5.4237	6.2308	5.1456	5.9844	5.3898	5.909	6.252	5.0411	6.9804	7.2142	6.6988	5.6698	5.921	5.4572	6.5865	6.6331	5.7809	6.2074	8.1749
EA_G__SLFN11	4.0289	7.3239	3.4401	6.6335	8.8063	3.6834	7.9094	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	7.1813	3.6201	7.8717	3.9968	7.7132	4.9768	6.3828	6.6291	3.8912	4.3298	8.1337	4.0513	8.2407	7.1963	5.6434	3.8951	3.6617	3.6138
EA_G__RASA3	6.7536	7.7281	6.1854	6.9515	7.9914	7.8598	7.0314	6.9166	5.544	7.3455	5.6888	5.9938	6.6235	8.0798	6.9662	5.7554	6.9974	6.2026	6.7827	8.3408	5.2362	8.4783	6.8907	6.387	6.2322	6.7883	7.6861	6.3381	5.3877	8.6468	6.1545	7.3252	8.2353	7.4424	7.5334	7.737	5.1827	5.7501	6.5498	6.1496	5.6435	6.8251	6.7331
EA_G__MIPEP	7.2902	6.7835	8.3486	7.9182	7.9982	7.4577	7.3639	7.0585	6.8196	6.9337	9.1829	6.9938	7.2814	6.5371	6.9973	6.836	6.8542	7.4639	7.5026	7.2798	6.5412	6.6633	6.846	7.1347	6.5897	7.3512	6.953	9.0417	7.2708	7.597	7.9343	7.5689	7.1788	7.671	8.1321	7.2004	6.8241	6.9328	7.2435	7.6996	7.0772	7.7388	10.207
EA_G__C8orf38	5.6885	5.2961	7.4005	6.7728	6.36	6.5944	5.2213	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	5.5815	7.5749	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.3628	6.663	6.598	6.087	6.4429	6.5667	6.5273	5.2261	6.1991	6.3634	5.3366	5.7822	6.0141	5.8823	5.7278	5.6055	6.2685	6.7931	6.9358	6.1164	6.5177
EA_G__BNC1	4.4225	4.6525	4.5391	4.5794	4.9046	4.5271	7.8292	4.5858	4.6519	5.013	4.2098	4.5758	5.4908	8.9293	5.375	4.532	4.5223	4.7651	7.5959	5.5354	6.9696	4.4421	5.2848	4.9453	4.6273	4.7857	4.8329	4.6672	4.1558	7.6679	5.0196	4.6605	4.7998	4.616	8.4732	8.6029	4.718	5.0088	4.6339	4.9844	4.5514	4.6371	5.0175
EA_G__PAR5	7.6718	5.5575	7.0457	6.1032	4.1781	7.223	5.8183	7.644	3.7977	4.7074	4.3404	3.9709	4.176	7.2172	7.0402	4.4654	4.0041	7.4913	7.5145	7.5487	3.8751	5.1615	4.3599	3.9022	5.156	6.1612	4.0247	7.6116	7.5501	7.0344	6.749	3.6227	5.1666	8.4151	6.7324	6.4475	4.5124	4.9471	6.4211	6.0077	7.1031	7.188	6.7668
EA_G__ZNF738	6.4199	4.2	7.0941	6.7008	8.1237	3.3839	4.317	3.7679	8.2316	8.3649	7.4396	7.9623	7.594	5.9306	7.2096	5.8127	6.8361	7.6064	6.9004	6.9812	6.5093	5.8654	6.2447	6.2862	7.1484	6.143	6.4364	7.0276	6.6833	5.7607	6.3408	5.8902	4.2731	6.615	6.4667	5.976	7.0602	4.5332	6.6024	6.8515	6.8288	5.7957	5.798
EA_G__ABCD3	8.0706	8.5544	7.6145	8.5018	7.8171	8.6562	8.3929	7.2693	7.5809	8.6903	8.75	8.8656	8.5035	6.866	8.9051	8.1507	8.3039	7.9655	8.0947	8.2058	8.9356	8.0793	6.8327	7.1561	9.1548	7.2648	8.7925	7.6617	9.0646	6.9224	7.2414	8.4559	7.932	7.7466	8.6189	7.6636	8.5949	8.0512	7.576	7.7226	8.0997	7.1523	7.1825
EA_G__MGAT4A	7.1175	7.2337	7.9405	6.6441	3.5648	7.0458	3.4187	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	7.5161	4.4567	7.106	7.0817	5.0159	5.7758	7.1053	6.8743	4.1153	5.0296	3.4517	7.4609	6.3828	5.6407	6.6198	8.6996	5.7478	4.6306
EA_G__CXCL1	6.2315	5.773	5.2495	5.4843	8.6757	4.9909	6.1395	8.9861	5.6913	5.6857	5.6354	5.3001	6.2977	7.2266	8.0653	5.8269	5.4469	5.7465	5.7099	8.792	6.8879	5.3542	5.4661	5.6147	5.6269	6.1869	5.8693	5.6813	5.2917	8.0614	6.2812	5.7624	5.7848	8.2351	11.2877	6.2625	5.2772	5.8319	5.3383	5.5119	5.6976	5.1903	5.5626
EA_G__ETS2	7.6868	8.1544	5.9882	6.7044	7.6179	5.7312	8.6726	9.8797	4.4996	6.946	4.4589	6.0857	8.0416	9.1314	8.521	9.0216	4.9514	7.524	7.3306	7.2601	7.5177	8.7817	7.6743	7.6445	5.9571	7.4479	7.4919	6.9607	4.9855	8.4996	6.1512	8.0778	7.8091	9.6944	8.9333	9.2659	6.9815	8.1139	5.8419	7.1329	6.7168	6.2789	6.8801
EA_G__IRF9	6.9987	5.7972	6.4872	9.006	7.0059	5.6445	6.3465	7.1758	7.357	7.505	6.2185	6.9788	7.1472	5.6094	7.7845	7.583	7.7266	7.061	6.5593	6.0724	9.0531	6.4571	7.1904	6.8928	8.3532	6.9745	6.2395	7.5352	8.6384	6.5629	6.0192	6.2491	6.1231	6.3522	7.2759	5.5514	5.9676	5.5177	6.4678	5.6357	8.2194	5.2085	5.0718
