Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1
EA_G__MYO1B	6.8615	5.8133	10.7501	8.945	8.9788	8.7951	8.0103	8.3575	8.0004	9.5503	8.8665	7.959	7.7712	10.269	10.4487	10.9518	9.8555	8.4377	8.6697	8.274	9.5011	9.0457	9.1488	9.2139	9.7362	8.7937	8.4929	7.8878	9.3267	4.9158	6.4471	10.0282	7.5577	9.3042	8.6803	7.6236	7.0142	7.2785	5.7675	4.6242
EA_G__LRP5	10.892	8.703	7.987	8.8621	7.9264	7.5126	8.5881	8.1926	8.9058	8.58	8.414	8.2928	9.3271	8.2984	8.0782	7.6569	8.1084	8.3069	7.8191	8.308	7.622	8.8173	8.5587	8.2826	7.3464	10.2027	8.3532	7.8468	8.1839	8.2632	8.5023	6.7977	8.6427	7.7481	8.4709	8.8114	8.2113	8.0194	8.6581	8.1795
EA_G__THRA	7.6633	8.9597	6.4384	8.027	7.7901	7.1068	8.7645	6.8579	8.0306	7.0542	6.2938	7.2483	7.7367	6.9753	6.3581	6.7029	7.0508	7.1104	7.967	8.2489	6.9226	7.4362	7.3108	8.392	7.9166	7.2986	6.6786	7.2192	7.9817	7.2929	8.3527	6.7823	7.784	7.8335	7.7586	7.5549	7.6964	9.9698	8.0602	8.0673
EA_G__MAPT	5.7018	5.1448	5.1469	6.9443	9.1397	5.1979	8.0624	5.4416	6.2766	5.0627	4.9614	9.0827	5.6293	5.3387	5.1081	5.4602	5.7802	6.5011	5.2449	5.3896	5.4343	7.0464	7.1596	8.4538	5.1361	6.1992	5.4871	5.6839	6.2724	6.3443	5.4325	5.4093	5.6854	5.1477	6.9415	5.8018	5.8948	7.4277	7.6494	7.3209
EA_G__SNAI2	4.1699	3.7124	6.6607	3.6871	4.9983	9.1313	3.88	6.4837	3.2197	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	8.0586	3.6267	5.6992	9.113	6.23	9.6167	3.8127	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	3.8284	5.6708	3.7912	4.4566	3.9037	4.1802
EA_G__MLLT6	8.5446	7.5689	7.9745	10.2659	8.1938	7.2075	7.8921	7.3103	7.924	7.3901	6.9293	7.4125	7.6523	7.1562	7.5017	7.4407	7.9772	7.9221	7.1573	7.9475	7.3379	7.5901	7.3045	7.6289	6.8315	7.8394	7.544	8.5385	7.1777	8.2068	8.0174	7.181	7.6071	7.4195	7.3583	7.2287	7.7259	8.7446	7.8067	7.7721
EA_G__DST	5.7695	5.6314	6.6489	5.8496	6.8365	6.522	5.4187	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	6.8962	7.5451	7.2884	6.3799	7.9233	6.8408	6.4526	8.5037	5.407	5.7353	5.4619	7.1812	6.4687	7.7141	7.1402	8.3095	5.1303	5.9384	9.1508	6.632	8.1101	8.0696	6.6125	6.5333	5.4791	6.8436	5.1731
EA_G__NRP1	5.8023	6.0498	8.0452	6.71	4.9308	8.2096	4.441	8.138	8.1895	9.1956	6.0792	6.4417	4.4621	6.9841	7.1779	7.9053	8.0159	6.4355	6.616	7.5902	8.3999	7.107	6.9777	5.0405	7.6503	7.3881	7.5617	6.343	7.5409	5.0336	6.1362	8.3488	6.1973	8.7035	5.9388	5.1546	4.6438	4.8869	4.5539	5.6674
EA_G__ELL2	6.8523	5.9738	8.4801	5.4848	6.3876	9.0239	5.5223	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	8.4219	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4627	7.4624	6.6419	7.7774	5.8231	9.4469	6.9037	5.7191	7.9853	7.358	9.1605	7.4441	6.8344	5.428	6.024	5.6388	5.8718
EA_G__CTNNAL1	6.2431	4.2542	7.954	6.4387	5.6072	8.7735	6.3931	8.1612	4.1256	7.0137	7.1051	6.4816	7.2239	8.0383	7.9871	8.3836	5.4545	6.4832	7.6805	5.2114	7.9664	6.1901	5.6676	6.3907	8.9997	5.5644	8.7663	6.723	5.544	5.0793	5.2778	7.4006	6.8008	8.0664	3.6217	5.7089	6.5608	6.3006	5.4776	5.9197
EA_G__PLK2	7.5236	7.8727	8.5494	8.8925	8.5242	10.5128	8.5205	8.6085	7.4595	7.9545	10.1316	8.5336	7.8623	8.9048	9.9297	9.543	9.8103	8.7463	8.8406	9.5894	8.67	9.0988	10.4749	9.3449	9.7563	9.7828	8.3677	8.7253	10.3724	9.3284	6.7134	7.406	8.4268	8.0216	7.9646	8.9164	9.9098	7.2602	7.4777	7.7337
EA_G__TMEM45A	3.4262	5.435	6.4061	3.6833	3.8514	7.4132	3.5319	7.2249	4.0808	6.8617	7.5313	3.9416	3.8688	6.2257	8.9489	7.9683	6.9746	6.5289	6.6702	7.6299	7.5793	2.931	3.9082	4.449	8.7799	5.8345	6.7967	3.7988	7.9835	4.2971	5.4476	8.3158	10.5267	8.06	6.3913	8.6417	3.2231	4.2422	2.72	3.9655
EA_G__ACTG2	5.7094	6.42	8.1969	5.9149	7.4512	6.5615	7.8168	7.2358	6.044	9.6112	6.8146	6.0135	8.13	6.1929	6.7957	6.5218	6.5331	11.4434	7.5453	6.4375	9.7153	7.162	7.6086	6.4451	7.0741	9.1921	6.0054	8.2602	6.1646	6.5419	6.9759	6.7062	6.2758	7.635	6.1101	6.5448	6.3778	6.1246	5.9909	6.2103
EA_G__AMIGO2	6.0828	5.9431	5.8181	5.7276	6.6004	7.6002	4.288	6.3002	4.3864	7.5383	6.3951	6.1074	4.0049	7.5771	6.8291	6.8701	5.3816	6.2299	6.9895	5.2112	6.5632	5.7651	6.3204	5.9356	6.9502	5.9428	8.2119	6.5058	6.0749	6.2811	5.603	9.0508	8.0812	7.7022	4.9309	5.5583	6.3676	5.9183	7.4356	5.6362
EA_G__SLFN11	4.0289	7.3239	5.1422	3.4401	6.6335	8.8063	3.6834	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	4.9768	6.6291	3.8912	4.3298	8.1337	4.9569	8.2407	7.1963	5.6434	3.6617	3.6138
