Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	-1	-1
EA_G__GFRA1	4.3521	4.1412	4.1306	5.4443	10.8364	10.5529	7.342	8.0869	4.1267	9.2337	4.7233	4.2298	5.6427	4.5953	4.5522	5.9682	4.5526	4.3163	4.3998	7.365	7.0256	4.3539	4.3863	9.5023	10.8982	6.6614	5.6593	5.4338	4.3427	9.6117	7.3103	5.0388	4.5726	4.6636	4.5616	4.5873	4.644	4.4514	4.9426	4.8111	4.3584	4.6337	5.7545
EA_G__CCL28	6.3841	4.5541	6.9258	4.4882	5.5135	3.9286	3.9476	5.7813	6.9018	5.03	3.7831	6.3095	9.8222	4.2333	6.598	6.3216	7.205	7.008	7.8981	4.3006	3.8536	8.3271	3.7685	4.202	5.9563	4.2058	3.8438	4.8442	5.0595	3.9539	6.7971	6.9669	4.5795	3.7521	4.022	3.8049	4.1642	7.147	5.9627	6.8893	7.1737	4.6225	4.278
EA_G__PAR5	7.6718	5.5575	3.7372	7.0457	6.1032	4.1781	7.223	5.8183	7.644	3.7977	4.7074	4.3404	3.9709	4.176	7.2172	7.0402	4.4654	4.0041	7.4913	7.5145	7.5487	3.8751	5.1615	4.3599	3.9022	5.156	7.8936	6.1612	4.0247	7.6116	7.5501	6.749	5.1666	8.4151	6.7324	6.4475	4.5124	5.1255	4.9471	6.4211	6.0077	7.188	6.7668
EA_G__FLVCR2	5.4626	7.5535	5.8178	6.0793	5.5116	5.4953	5.8176	4.9526	5.7567	5.4905	4.6849	6.7961	5.7686	6.7249	5.3441	5.2273	6.0838	6.2811	6.3586	5.1808	6.5591	5.3062	5.2765	7.8993	7.8073	5.1212	6.1356	6.6858	5.195	6.0687	5.9393	5.4928	6.996	5.1607	5.8194	8.6946	6.6511	6.7542	5.458	6.6322	6.6091	5.2316	5.2693
EA_G__B4GALNT1	6.4731	5.449	5.1942	5.1344	5.891	8.2262	7.3138	7.5268	7.4049	7.3268	6.8971	4.6753	6.7284	7.6681	7.8394	5.1563	5.2945	5.1335	4.9134	6.8708	7.8115	7.1808	7.2349	7.1537	7.3249	6.5747	7.1554	5.2487	6.2731	8.1105	6.3089	6.1507	5.5622	7.7587	6.5329	6.9668	5.2211	5.1367	5.7415	6.2031	5.0823	7.2733	7.8176
EA_G__DDHD2	7.5814	6.6682	7.8297	7.8708	8.5831	8.425	9.225	7.7	7.1647	8.3195	7.1887	8.076	8.2407	8.7901	7.4931	7.7637	7.3346	7.6528	6.9961	7.2047	9.0409	7.0119	7.5496	7.439	7.0192	10.2308	8.2695	7.0951	7.648	8.3489	7.3949	6.6243	7.3787	7.3833	7.7	8.0667	7.9687	6.793	9.6374	7.7394	7.461	8.5178	8.6977
EA_G__ELOVL2	4.4509	4.6151	4.3309	5.704	9.5104	6.7806	10.4794	9.2658	5.3619	7.6891	5.4073	4.5827	8.883	4.305	4.3237	5.0745	4.4337	4.4856	4.1933	5.8873	7.049	4.4812	5.4261	5.5976	7.0984	9.7788	7.7464	7.391	4.2232	9.6627	4.1122	4.6696	4.8449	4.488	4.8972	4.6371	4.6223	5.2547	5.3316	8.008	4.9692	5.4117	6.5635
EA_G__MUC15	8.7485	6.7062	5.3818	3.1545	2.8744	3.1976	3.1265	3.0377	2.9569	3.5301	3.3951	3.0137	3.7435	8.8728	3.839	3.6233	4.4829	9.7328	5.3579	3.4762	3.2478	7.3963	6.1638	3.4122	3.5301	3.8066	8.5474	4.2104	5.6505	6.995	5.9823	4.0725	7.3091	3.8653	3.4493	8.1164	7.4566	9.6232	3.7407	4.7309	2.9492	4.2067	3.438
EA_G__SYNC1	7.0774	6.8386	5.8062	7.1353	6.3291	8.3521	6.3548	6.3298	6.0271	6.4187	6.3479	8.0639	6.9374	6.2798	6.1223	6.5169	6.1864	7.4619	6.8066	6.8255	8.6518	6.0233	9.3674	5.8655	6.1316	6.8932	8.1406	6.0901	6.2374	6.941	6.7395	6.5252	7.2985	7.4915	7.1135	6.1686	6.6719	6.4151	6.8579	6.3923	6.4336	7.746	6.459
EA_G__CIDEB	6.7477	6.2914	5.4914	6.7375	5.6719	6.0288	5.9969	6.2352	8.6825	6.0453	6.7875	5.4524	5.9515	7.6309	6.0745	5.9656	5.8184	6.4338	6.6053	6.7948	5.9141	7.1682	6.3395	6.0126	6.0216	7.2718	5.4722	5.6627	5.5882	7.2947	7.3061	6.195	6.6796	5.3783	7.264	5.7203	5.9402	5.2516	5.7178	5.4952	5.6488	6.3937	6.1744
EA_G__GABRE	4.7424	8.6461	7.7588	5.6551	5.0391	4.3938	4.6382	7.7647	4.1758	4.9124	8.2618	4.3276	5.3118	4.7007	5.8278	7.9141	9.1162	8.1704	8.7248	8.8724	7.7033	8.6508	7.3543	4.7152	4.3835	4.7165	7.3917	8.2525	7.6055	4.2923	5.0037	5.1805	7.3929	4.7613	8.6802	7.5516	7.0601	7.9522	5.0646	4.7438	6.7075	4.5927	4.6551
EA_G__CLIC3	7.0648	8.1927	8.3041	6.5415	7.5044	6.185	7.7296	6.65	6.0092	6.5107	6.4449	10.2002	10.0641	6.4205	6.5692	6.8843	6.2405	6.6602	8.2096	5.9382	5.5997	7.1404	5.8165	7.4794	7.7337	6.5956	5.9123	8.0755	5.9865	8.6685	6.9106	8.6884	8.286	6.2981	6.7925	6.6261	8.7999	7.3727	7.0178	9.8811	8.4713	7.4439	6.3667
