Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1
EA_G__EDN1	5.2663	8.1028	6.2977	5.2078	7.9344	8.1553	6.5703	7.5041	5.7319	4.5756	4.8516	6.2763	5.0209	5.9089	6.9297	7.211	8.6515	8.6146	4.7054	5.4658	8.295	5.4886	8.2475	4.9256	5.4079	5.9415	8.3803	4.7881	4.85	6.8017	7.9053	4.7668	6.6667	7.4801	6.6039	7.3281	5.6339	8.5048	4.5134	6.3579	6.7847
EA_G__ERBB2	9.7997	12.3532	8.5748	12.3566	10.2935	7.7806	9.1247	7.7491	8.9829	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	10.2349	8.7512	8.1322	8.6875	7.0841	8.5271	8.7417	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	12.2493	10.0611	9.751
EA_G__FADS1	6.6433	4.7141	7.2546	9.5956	7.4039	10.1515	7.5281	8.2598	7.0575	9.9309	4.0972	5.4088	10.6542	8.1857	8.0502	5.5901	7.0268	4.6587	9.6457	7.7037	9.4569	9.3974	9.182	9.1142	8.5065	8.1467	9.8587	8.5301	8.809	7.6383	4.5228	9.4392	10.2821	8.8653	9.5297	7.0002	7.2535	8.3505	8.5121	6.6254	8.136
EA_G__CHN1	4.5284	4.0137	4.6079	5.619	6.1267	6.2208	7.5276	6.5904	6.2909	7.1423	3.4928	7.0242	4.1356	4.188	4.353	4.7556	3.9524	6.1469	8.2707	5.1835	6.059	6.8288	6.6782	5.13	8.7363	4.1657	6.693	6.2794	5.3912	4.3748	3.8667	6.6457	8.1629	7.7282	4.5954	6.0646	5.4836	4.5742	5.2127	7.5735	5.5815
EA_G__TUBA1A	7.6355	5.4685	5.381	5.6512	9.2456	8.5574	5.2673	7.5744	7.0553	7.0856	5.0704	8.0223	5.4043	5.756	5.3459	5.6963	5.4595	6.7726	8.2873	6.6422	6.9356	6.9879	6.9528	9.6075	9.3841	6.0716	6.1397	7.3423	5.4308	5.3052	5.5696	8.0508	6.0672	7.9037	8.3704	6.2207	5.6145	7.3729	7.6587	5.7136	7.3281
EA_G__GALNT14	6.4713	5.6202	6.9006	5.6465	5.3068	5.258	5.7724	7.5391	7.3538	5.7727	6.1496	4.9671	7.5743	8.5702	6.1607	5.2645	5.4374	6.4883	5.9174	6.7045	5.0195	6.6583	6.7424	8.4591	6.5487	5.8006	5.1108	7.2126	5.5293	8.2117	5.4656	7.1989	6.4268	7.283	8.1052	5.2478	6.2779	5.6528	5.4551	6.1075	7.7655
EA_G__SDF2	10.0876	9.1304	8.9469	9.0822	9.4165	9.2741	9.3591	8.1063	8.9935	8.6316	10.4069	8.66	9.6218	8.7141	9.0785	9.765	8.7896	9.2227	9.7018	8.9126	8.9229	9.117	9.3493	9.585	9.6399	9.6411	9.4677	9.626	9.3285	8.2248	9.5982	8.717	8.8358	9.0203	9.184	9.948	8.4796	10.2134	10.7746	9.2296	9.1488
EA_G__SLC16A1	4.1518	4.5175	8.7535	4.621	5.0518	8.3945	6.9479	8.2121	6.7131	8.0753	4.1803	6.0711	8.1756	8.6169	9.6833	7.5445	4.3803	8.5633	9.301	7.8102	8.2915	6.6982	6.3272	6.7496	8.5674	5.5971	4.2042	4.7554	9.2031	5.243	5.3943	8.0807	8.4519	8.8065	6.2744	5.3618	6.7559	5.7245	3.8845	5.3972	7.3424
EA_G__SRPX	4.8418	3.8166	4.7162	5.1588	4.2865	4.4735	4.0039	7.2853	4.7073	10.396	4.3236	4.6318	9.3757	4.3267	4.0548	5.2999	4.527	5.7129	5.7652	4.6263	6.3779	4.5545	4.5687	4.7756	6.9883	4.2764	5.8279	4.3906	5.7889	4.9086	4.3626	10.949	6.1023	9.3259	4.8527	4.4114	4.3412	4.962	4.12	4.6042	4.6542
EA_G__NEDD9	6.0988	7.0541	8.0254	6.369	5.6202	4.3702	6.2842	6.296	8.1089	4.4978	7.6662	5.8265	4.8435	5.1507	7.3277	7.9067	6.6483	8.7324	4.4449	5.8518	6.7673	5.6187	6.171	5.5023	5.6725	7.695	5.7837	7.1416	6.0837	5.3281	7.4896	4.4785	5.6738	7.5467	4.6345	6.6369	6.7999	6.6815	5.1042	5.6103	4.8497
EA_G__GGT1	7.5575	8.3568	6.9163	7.1065	7.2693	5.3711	7.6542	5.7143	6.1119	5.8255	8.3686	6.7667	5.8302	6.2027	5.5974	6.1793	7.0078	6.4158	5.6441	6.8205	6.8466	6.2737	6.3007	7.403	6.0052	7.7936	6.8593	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8609	6.8846	9.633	5.9641
EA_G__SLC45A3	8.3993	9.4614	8.5019	6.3914	7.1243	6.7449	5.9989	6.8338	7.3632	6.833	9.3329	6.1092	7.8421	7.4695	6.8411	7.3782	8.3279	8.1733	7.0086	8.2368	6.9773	6.9731	7.0142	6.8171	7.7159	8.9468	7.9903	5.9858	9.3593	8.1569	9.3131	6.4692	7.3103	6.9522	6.2317	8.39	7.9484	6.8494	7.7818	6.0996	6.6263
EA_G__ADD3	6.6458	6.7936	5.9838	6.1357	6.08	3.6675	7.3762	6.6549	7.1568	6.6177	4.7737	7.6154	6.6105	7.5674	6.5917	6.7963	6.6152	4.7335	7.1144	7.6169	7.7425	6.0556	5.1911	5.7301	7.2875	4.417	5.7074	8.3368	10.0224	4.4241	6.2413	7.1567	7.9093	4.0687	5.2859	7.9608	8.622	6.3595	5.9504	5.6145	7.1749
EA_G__ORMDL3	8.742	9.4661	7.4855	11.4831	8.9199	7.3014	8.1979	6.6416	7.9055	7.2593	8.4602	8.1771	7.8021	7.2506	8.1827	12.4038	8.7695	8.0969	8.429	7.8199	7.3423	7.8046	7.8203	9.0599	7.7325	8.5764	7.4686	7.6291	8.4639	8.7947	9.477	6.7234	6.7856	7.2867	7.9185	7.7687	8.0333	8.8896	10.8822	9.0178	8.2547
EA_G__ST6GAL1	7.1627	7.7394	5.4994	6.0727	5.7592	4.9826	5.8866	5.2929	4.8651	4.3675	7.1704	4.4732	6.6134	4.3999	5.6027	6.9928	6.3251	5.7577	4.7896	6.3255	4.7526	5.2073	4.6559	4.3331	4.6197	6.3901	4.8325	5.7496	8.8885	5.4107	6.5704	5.1495	6.8937	4.9485	5.7285	7.4109	6.9642	6.9889	6.987	7.0116	5.2249
