Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1
EA_G__TMEM45A	3.4262	5.435	6.4061	3.6833	3.8514	7.4132	3.5319	7.2249	4.0808	6.8617	7.5313	3.9416	3.8688	6.2257	8.9489	6.9746	6.5289	6.6702	7.6299	7.5793	2.931	3.9082	4.449	8.7799	5.8345	6.7967	3.7988	7.9835	4.2971	5.4476	8.3158	10.5267	8.06	7.0406	6.3913	8.6417	3.2231	4.2422	2.72	3.9655
EA_G__KIAA0195	9.2317	8.1195	7.5064	8.4064	8.8743	7.8452	8.7581	7.6728	8.2281	8.5923	7.9728	8.9658	8.4402	7.6967	7.5845	8.6972	8.2867	8.4437	8.0899	7.5258	9.0136	9.5723	8.7357	7.8019	8.1276	7.7026	10.6093	7.8048	9.2293	8.7163	8.6271	7.8546	7.5508	7.9325	8.4612	8.1096	8.3298	9.5459	9.2109	9.2433
EA_G__TSEN54	8.1719	8.2347	7.8821	7.9326	8.2435	7.3471	8.602	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.7048	7.5306	7.8915	7.7392	8.7507	7.4928	9.2291	8.6467	7.5815	7.3676	7.6907	7.6974	7.5495	7.7498	8.2297	8.3159	8.2921	8.5669
EA_G__ANXA1	9.3451	3.6072	8.2376	4.0476	6.3945	10.2017	3.5434	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	3.764	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	8.2487	5.7561	3.9458	3.0291	3.6732
EA_G__LOC349196	8.0785	5.8941	7.1981	6.0111	6.4224	5.6908	6.2716	6.8299	7.6618	6.563	6.8093	6.4141	6.9354	6.3984	6.0345	6.0867	5.8519	8.2137	5.7968	5.9554	7.1532	6.387	7.7093	6.5907	9.0873	6.6802	6.4903	6.2809	6.5531	6.1947	8.5725	5.9682	5.9493	6.1833	6.0653	7.1536	6.0121	8.2888	7.5392	7.1371
EA_G__CD68	6.0924	6.7302	6.0095	6.0308	6.4705	7.2649	5.8231	6.8934	6.2509	5.9802	6.8145	6.0723	6.0712	8.627	7.2361	6.0436	7.2269	6.3077	7.2117	8.8449	5.9699	6.2632	5.9313	6.6335	5.9061	7.9657	6.0215	6.3502	6.6785	7.2136	9.2278	8.7606	6.985	6.1473	6.1914	6.0869	6.1949	5.9665	5.9869	6.4345
EA_G__CXADR	8.1242	8.319	6.2655	8.1395	7.1178	7.7775	6.8156	8.8884	8.8088	4.5049	9.7127	4.296	6.9281	7.6426	7.2309	8.571	7.8728	7.7685	9.1079	5.8523	5.5015	4.419	8.243	5.97	7.772	5.7844	8.1596	8.4086	8.1508	7.4478	6.0175	7.8805	6.1286	8.7646	8.0084	8.2033	7.7026	6.4509	6.9211	7.1124
EA_G__CDK6	7.6087	5.6752	6.3878	5.5281	6.6409	6.9192	3.5988	8.8538	6.6364	7.2937	6.125	4.3767	6.4356	7.7804	7.8837	6.8198	7.98	7.6771	7.5952	8.5033	5.7383	5.2545	4.2023	8.4198	6.2835	7.8416	5.6047	6.5876	4.1059	6.5554	8.4041	6.9278	7.5734	6.8846	8.3805	7.8478	4.3604	4.162	3.7064	4.1368
EA_G__SEMA4C	7.2719	7.5273	7.8625	8.26	8.6249	7.0002	8.0346	6.9744	7.4205	8.0985	6.9877	9.8344	8.6208	6.4917	6.9693	6.9843	7.2017	7.7054	7.3261	7.1737	8.8988	9.6211	8.403	7.4376	7.8696	7.3859	9.169	6.8374	6.8478	7.8752	6.9353	7.2155	6.8307	8.7622	6.9926	6.6063	6.5848	7.4099	7.6439	7.2913
