Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1
EA_G__KLK8	5.603	5.4796	7.03	5.5998	5.8405	5.5788	5.5953	6.4393	7.535	5.6125	5.5485	5.4818	5.7206	6.9128	7.8264	8.2141	6.7011	5.7217	5.5303	5.979	5.4428	5.856	5.6216	5.4979	5.4527	5.6829	5.5983	5.2973	5.6231	6.3025	6.042	5.828	5.8264	5.921	5.6875	6.9151	6.9526	6.0285	7.1964	5.9249	5.5943
EA_G__KLK5	8.8612	5.7268	10.7442	6.0015	6.5371	5.7592	5.6518	9.3419	10.3177	5.8366	5.3934	5.4802	5.8684	9.1285	11.5373	11.1011	7.6912	9.4852	5.6833	10.4309	5.7396	6.3454	5.8009	5.6215	5.6034	6.2514	5.7069	5.5741	7.0938	6.284	5.6274	6.8851	5.9581	5.7464	5.8626	11.8009	9.7617	5.9085	7.268	6.058	5.8419
EA_G__GSTM3	8.0698	7.449	3.4929	5.7313	4.5577	6.0098	9.8597	4.8644	4.4013	3.8976	7.5289	7.5689	6.5758	6.3519	6.6997	6.1129	5.4939	7.4629	7.5308	6.716	4.9597	7.8988	9.2639	9.4711	7.7049	8.4579	7.2508	8.4069	10.4361	3.6536	8.2088	6.8352	5.3282	3.5419	4.5874	7.3592	9.5481	8.8951	4.6443	3.9974	3.6998
EA_G__SEMA3C	8.069	9.1401	7.5785	9.1859	10.4515	8.8093	10.252	8.3533	6.0853	8.7488	8.0163	8.2561	2.9137	7.5603	8.189	6.9055	7.6525	7.8528	9.5119	5.7494	8.8637	9.3505	9.0614	9.376	8.7573	9.5439	7.5268	8.9922	9.0283	7.2292	8.1014	8.6894	8.9908	8.3935	9.8733	8.7874	7.4464	10.0913	7.4908	7.3997	7.5159
EA_G__PGM1	7.8898	8.6544	7.9477	6.894	5.8824	8.622	4.6605	7.3383	10.4094	8.5205	6.1105	6.4397	8.8014	7.6357	8.8727	8.9912	7.8702	8.6363	7.5637	9.1468	8.202	6.5508	6.1904	7.3897	7.7642	6.6494	8.2013	6.8272	5.1604	7.7994	8.4064	8.5244	9.113	8.4196	4.5141	7.6432	8.3836	7.488	8.3279	8.1875	7.4485
EA_G__IFI27	7.372	5.8765	5.8672	5.9634	6.5869	5.8995	5.4532	5.5807	8.8289	6.063	5.688	5.9176	5.9609	7.0174	8.4091	9.0494	5.719	5.6297	5.5432	10.2193	5.4534	6.2246	5.9099	5.7179	5.6424	6.2605	5.5659	5.7446	7.0341	6.5357	5.8964	6.6504	8.3749	6.7455	5.9171	10.8426	5.8441	6.2312	5.7468	5.9358	5.876
EA_G__OXCT1	7.2396	3.8296	8.3114	8.4114	6.6974	7.6963	5.013	7.1334	8.0745	7.4034	7.2139	5.189	6.4591	7.4007	8.9635	7.5756	7.5346	8.2972	6.5524	9.2401	7.5998	4.8802	6.6138	7.6144	8.2942	6.3135	6.3182	7.2839	6.4151	7.5831	3.8325	7.0297	6.6852	8.4107	4.7164	6.7266	4.0608	4.1641	7.1322	7.5781	6.675
EA_G__FBXO32	6.4224	7.6783	8.1937	7.0116	6.2259	4.8769	6.54	7.873	5.993	8.6203	8.3564	6.1378	8.2483	4.2313	6.6466	7.1545	8.4864	6.8305	7.3539	5.7434	6.2022	4.9185	4.3157	5.8681	5.6122	6.6177	4.7735	5.5186	6.6536	7.4219	8.3307	9.0189	9.1506	7.231	7.0251	8.3507	8.4703	7.8346	7.6307	6.7079	5.3246
EA_G__TM4SF1	10.5837	9.103	8.6444	7.0223	10.4072	10.5797	6.7515	10.7816	9.0133	9.5101	4.7912	8.7278	11.0193	8.0929	10.0698	9.8907	10.7058	8.5726	9.7746	11.0964	10.8372	6.659	6.9126	9.4039	8.5816	5.4335	10.4572	4.2343	10.6986	10.1197	8.2184	11.0903	9.3613	9.8035	4.5973	10.3292	8.9507	6.8106	7.9421	9.8794	5.3992
