Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1
EA_G__SGK3	5.7648	5.5345	5.8073	7.7462	7.3721	5.8386	6.7755	6.8608	6.8632	3.7862	7.6689	8.075	6.2488	6.7499	6.9819	6.0813	4.8688	8.1469	6.143	5.6877	6.0123	6.4531	5.643	7.2611	5.2273	6.546	6.6847	8.3658	5.6821	4.6227	6.2563	6.8148	5.3602	6.0481	6.2606	6.007	7.5886	6.1775	5.8094	6.023	5.8588
EA_G__GAB2	6.5488	5.6516	5.0685	5.7538	7.2887	5.0992	5.4774	7.1803	9.1254	5.1476	5.5236	6.3058	5.4088	6.5113	7.2939	6.6694	6.0487	6.5785	6.3099	5.6834	5.2341	5.3595	6.1036	7.2553	4.9912	7.2688	6.1639	6.0832	6.4576	5.9063	6.2963	6.8582	6.0527	5.5268	6.534	6.4724	6.8633	7.2001	5.135	6.0764	5.4669
EA_G__ADAMTS2	6.1291	6.4219	6.3072	6.2602	6.0553	7.6736	6.1679	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.1105	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	10.5608	6.2993	6.1669	6.0913	5.8184	6.9592	6.5254	6.4858	6.4164	7.2845	6.2169	6.6946	6.26	6.1651	6.1176	6.6823	6.2255
EA_G__COL5A3	6.0189	6.2887	6.196	6.2862	6.0945	6.236	6.0593	5.9246	6.2869	7.0594	5.9013	6.1306	6.2508	6.5466	5.9113	6.243	6.436	6.4478	6.239	6.8404	6.6119	7.2675	6.6925	6.5985	9.8415	6.5755	6.4051	6.0249	6.0573	7.2296	6.6544	6.3384	6.7666	6.3787	6.3571	6.7902	6.5178	6.4617	6.5096	7.1105	6.4026
EA_G__COL5A1	5.9662	5.8088	7.0409	5.9598	6.6038	8.5103	7.1445	5.9127	5.7567	8.008	5.5389	5.7337	5.8423	6.4536	6.5693	7.2131	6.1585	6.946	6.8077	7.729	6.061	7.9768	6.4916	6.3881	9.3623	6.6367	6.5929	5.7747	6.1722	6.8474	6.4904	6.3898	6.7325	7.8069	5.9543	6.4945	6.1985	5.9712	6.0887	6.6405	6.061
EA_G__B4GALNT3	7.1092	6.9649	5.6312	6.0981	8.3395	5.8707	5.7563	6.8101	7.5583	6.3181	7.2793	9.0251	6.5173	7.1681	7.1566	7.3057	6.2612	6.8762	7.7833	5.8952	8.2248	5.6841	5.8718	6.0511	6.0185	5.9964	6.8599	6.3605	6.1138	6.6364	6.1034	5.842	7.6391	5.9322	5.8952	6.2917	6.4298	7.3841	6.1195	6.8541	6.4727
EA_G__HLA-DMA	7.7846	6.1096	7.2135	5.4969	7.1099	5.3203	5.607	6.4711	6.846	7.1845	7.7241	6.4108	5.909	6.3016	6.3518	6.7919	5.8885	7.7145	6.1954	5.1876	9.0448	5.6239	5.6223	6.1193	5.948	7.0516	5.2159	6.1346	10.3753	6.3527	6.7923	6.9763	6.6222	5.739	6.4534	7.3171	9.0091	6.8822	6.2863	7.6365	5.5486
EA_G__ITGB8	7.0563	4.3345	6.4719	5.1465	5.9577	4.0873	4.1401	7.5286	5.774	5.2072	5.7826	5.2163	8.4625	7.1158	7.234	7.3067	5.7032	4.659	6.9491	5.0819	7.6877	5.151	4.2771	4.6015	5.1207	5.038	4.0543	4.6954	4.9463	4.3102	4.6555	5.4208	9.0265	5.8961	5.499	4.6554	4.8433	7.1037	4.1332	4.4163	4.4104
EA_G__PLCE1	6.8135	7.8735	6.768	4.6044	7.1905	6.6847	4.7285	7.5819	5.1961	4.3522	5.7793	6.6242	7.5885	5.8775	5.937	6.8419	5.684	7.8865	4.2232	5.6112	6.4026	7.1553	4.5175	4.2639	6.0015	5.5053	7.128	6.2214	4.2294	4.6147	7.5813	8.8057	7.5622	7.4058	6.1404	5.3495	7.3688	7.8188	4.2622	9.1919	4.9077
EA_G__ELF5	4.2981	5.8202	4.2489	7.3218	7.309	4.3044	4.9445	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.1992	7.4263	5.3967	4.094	4.411	4.0815	6.4913	6.7385	4.0654	7.7369	4.2349	6.8165	4.3561	4.6392	6.1555	4.6482	4.6594	4.1047	8.7989	5.8785	8.5803	7.339	5.3151	4.6994	6.8873
EA_G__DSG3	3.9769	4.2565	4.1109	4.0172	3.8182	4.3784	3.7453	10.2052	4.0526	4.2027	3.8609	3.9505	4.0253	6.6527	7.0484	4.0715	4.0935	3.9924	5.6586	6.5914	6.9884	4.0794	4.3263	4.1693	3.9849	4.5763	4.1668	3.8874	4.0615	4.9081	4.4028	4.0574	8.3498	4.287	4.2971	4.4071	3.93	3.9234	4.1173	4.6487	4.3099
EA_G__ABCC2	3.6331	7.4715	8.1193	7.9082	6.3848	4.4975	4.8232	4.6653	3.5896	5.1058	5.6607	4.9603	4.4145	7.1229	5.2968	7.8134	6.4581	4.0107	7.3457	4.0064	3.6374	4.3962	4.1648	4.3731	4.6094	4.8797	4.9463	10.1734	7.0615	4.2	6.1408	4.0775	4.7021	7.8903	5.0043	5.3143	4.486	4.224	8.8068	8.6748	4.9605
EA_G__FBN1	4.0325	4.4696	3.7873	4.3114	3.7441	9.1291	4.5158	3.9745	4.8806	9.1111	3.8068	3.7206	3.7491	5.0767	5.1934	3.7998	4.1794	3.9682	4.7343	7.9714	4.2928	10.7199	4.1196	4.204	8.9657	5.9105	7.4142	3.7385	3.8478	4.9919	5.3032	8.5241	4.622	7.1987	4.0836	4.4269	4.0175	4.0932	4.4051	4.7631	4.1226
EA_G__ACSS1	6.8642	6.1932	5.7212	8.944	8.8433	6.6751	5.9356	7.0809	7.7073	5.7282	9.4283	9.4403	8.2659	7.664	6.1994	5.7524	6.7834	7.5795	5.797	6.8739	6.0574	5.482	6.9186	7.9288	7.7545	8.3134	5.5491	7.1266	9.0184	6.6254	7.4327	5.8531	6.3413	6.4753	9.333	7.336	7.6276	9.2122	6.1762	7.5751	5.8835
EA_G__KRT23	9.6844	6.71	4.0332	4.1386	8.425	3.63	3.6053	6.9669	3.8549	3.5091	3.9312	4.4876	9.4953	4.3026	8.6489	8.5774	4.8774	7.5157	6.7166	3.6214	9.4504	3.4724	4.0244	4.2074	3.2977	6.7056	3.5147	3.6071	4.4773	5.3331	5.8319	3.6117	5.6051	3.61	8.5478	7.5049	9.525	7.3896	3.9554	7.952	3.8349
EA_G__MYBL1	5.8525	4.2313	5.521	5.6442	7.2943	9.599	8.4287	8.7062	6.412	6.9517	6.3759	8.4057	7.0269	4.2053	6.6137	6.8389	5.3628	6.3831	6.4803	7.1391	5.5498	8.5326	6.1823	5.7995	8.52	6.2249	7.7867	6.4744	6.2884	4.6821	4.4419	9.8179	5.213	6.6995	6.7654	6.0249	7.5015	8.2648	6.4453	5.9507	5.6821
EA_G__COX6C	8.4251	8.7722	8.4294	9.3046	10.7821	8.8445	9.8554	8.8231	8.5697	8.6473	11.0978	10.6795	9.4782	8.5041	9.477	9.1648	9.118	10.0254	7.9185	9.4142	7.3975	8.1813	9.3532	11.4426	9.1365	8.8961	8.3708	8.6786	8.346	7.8627	8.7901	9.2058	8.5356	8.4797	8.2679	8.8519	8.3672	9.887	8.7243	8.9434	9.307
EA_G__SERPINE1	5.4251	5.8986	5.9074	5.4065	5.5036	5.6132	5.2081	6.988	5.5114	5.7937	5.0759	5.1916	5.1886	7.6995	7.0332	7.2798	5.9422	5.2755	7.7287	5.7854	5.5744	11.9346	5.8429	5.6226	6.3332	8.3971	10.2428	5.0146	6.1282	5.9937	7.8398	8.1438	5.5569	11.8792	5.5559	6.5275	5.4098	5.4253	5.331	5.9709	5.4464
EA_G__STAC	4.6901	5.967	6.944	4.4744	4.4739	8.7517	4.4143	8.7019	5.2245	6.8093	4.2275	4.1802	4.3895	5.9041	6.5323	7.7776	4.7595	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	6.7276	4.6546	7.5021	4.3421	4.3729	4.7293	6.4295	4.531	5.9112	7.5436	4.6565	4.9889	4.5177	4.371	4.5517	5.0755	4.6534
EA_G__WDR32	6.688	7.0005	6.9373	6.8804	10.0989	7.6017	8.0546	7.7223	7.6852	6.7785	8.2107	8.427	7.466	6.4857	7.6113	7.4965	7.8452	9.7947	6.7844	8.4793	8.3966	6.8673	7.0156	7.1314	7.2606	7.121	7.136	7.3108	8.0252	7.2598	7.0917	7.6321	5.6922	6.8736	8.3833	7.345	7.1693	7.718	7.6429	7.3593	8.1755
EA_G__CRABP2	7.4296	6.1829	7.8329	8.2111	10.912	4.4698	7.9616	8.6534	10.6063	6.122	10.0004	9.994	6.1523	5.359	9.2933	9.5237	10.1591	10.1017	7.2807	7.095	10.0598	5.7308	10.0904	10.2988	5.4326	9.6052	6.2093	6.9694	9.4935	9.9741	8.4814	6.0872	6.2944	6.0848	9.0317	8.6722	10.4906	11.0984	7.8585	8.2352	8.5211
EA_G__KRT15	6.6447	7.3006	7.2444	7.5904	10.0685	4.6526	4.7242	8.7603	5.3217	4.7074	11.2798	6.6491	8.6675	6.5006	10.2787	11.5355	5.2958	6.6294	9.1835	4.323	7.0635	4.5703	5.6076	5.4125	4.2498	8.0252	4.9823	5.8626	6.1464	4.569	6.5217	4.726	6.2376	4.6378	7.824	5.7526	6.9139	5.7426	4.8536	5.2182	7.2027
EA_G__TMEM46	6.4423	5.1015	6.5192	9.6024	10.4639	7.1859	8.6029	8.1859	7.4466	5.3487	5.5054	6.7608	5.4892	5.6572	7.7384	6.4836	10.3618	7.437	6.7356	6.8301	5.4494	4.996	6.5258	6.9716	7.2249	5.5967	4.9056	6.131	6.2753	6.8332	5.4534	5.8093	5.7947	5.4807	7.3774	5.7481	7.7154	7.5406	5.2959	6.1142	5.084
