Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	1	-1	1	-1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1
EA_G__LOX	4.0749	4.3528	4.0982	4.4889	3.8604	11.8002	3.914	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	4.5193	6.5508	7.0379	9.1134	6.2016	11.1703	4.2671	4.1135	3.8759	8.062	4.1215	7.2851	4.4892	3.6242	4.1681	3.9021	11.4184	9.062	6.3026	3.8599	4.396	3.8898	4.255	5.2499	4.1958	3.5707
EA_G__PGM1	7.8898	8.6544	7.9477	6.894	5.8824	8.622	4.6605	7.3383	10.4094	8.5205	6.1105	6.4397	8.8014	7.6357	8.8727	8.9912	7.0929	7.8702	8.6363	7.5637	9.1468	8.202	6.5508	6.1904	7.3897	7.7642	6.6494	8.2013	6.8272	5.1604	7.7994	8.4064	8.5244	9.113	8.4196	4.5141	8.3836	7.488	8.3279	8.1875	5.9426	7.4485
EA_G__CCND1	10.5395	9.3268	8.6418	9.3457	9.8957	7.3944	10.0676	11.4027	8.7569	8.04	9.2783	9.2807	5.4172	9.3223	9.806	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	11.9805	8.5732	9.7956	9.4326	9.5072	10.9368	9.1561	9.1446	7.8095	6.6524	8.9671	8.6034	8.793	8.0185	8.4978	8.9741	9.8223	9.6589
EA_G__LDHB	5.2705	9.9549	3.3443	6.5869	5.9575	10.2955	3.0453	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	2.5138	3.7516	10.4313	10.2146	10.8921	8.2479	10.3377	3.5445	3.0401	2.8244	10.252	10.0613	11.1245	9.6888	9.633	3.417	9.8014	10.5553	11.0504	10.9831	2.989	10.1744	5.3941	7.9447	2.9497	3.5765	2.7444
EA_G__LIX1L	7.0503	6.1563	6.3021	6.3732	6.1186	8.7243	6.1524	6.3183	7.1465	9.297	6.3577	6.1008	8.1997	7.2702	6.291	7.1682	6.1362	5.8085	7.3612	8.4933	7.499	8.3386	6.4769	6.4167	5.9297	8.6126	6.3139	8.6972	6.1507	5.6465	7.0801	6.2616	8.5432	6.7169	8.4945	6.0937	6.4799	6.6102	7.8906	7.1669	6.3495	6.7312
EA_G__IRF6	9.1696	8.0282	7.5604	8.1633	10.1843	3.8128	9.1797	10.0554	6.7037	4.5638	8.2055	9.4594	8.5462	9.872	9.6737	8.8168	8.5601	8.441	8.7425	4.26	8.7031	4.1966	7.1606	7.4177	8.6837	4.2715	8.9155	4.6084	8.7099	9.4025	8.2687	8.274	4.6999	8.2688	5.0442	8.089	9.079	8.3038	7.8424	9.1979	8.1744	8.3068
EA_G__CORO2A	8.836	8.192	6.0528	7.6983	7.9726	6.1212	5.916	7.1036	5.3988	5.5632	7.6917	5.9273	6.9104	8.3333	8.0255	7.9177	6.5271	7.2362	8.2172	6.5257	6.9419	5.259	7.272	7.2688	7.7225	7.9547	8.5228	6.7366	7.9694	7.9375	7.3518	8.5669	5.6086	6.7998	5.6645	9.9395	7.8776	7.0397	6.8073	7.5325	8.6257	6.9546
EA_G__NPNT	9.7175	4.796	4.7201	6.5012	7.8917	4.441	10.7625	8.1607	5.8982	4.3833	7.3872	11.8091	11.6626	5.0469	8.443	5.5542	10.1728	8.6324	7.036	4.1383	8.539	4.1836	8.3548	8.2778	7.9445	9.2354	8.4311	4.3101	6.7171	10.0655	8.3994	6.4436	3.8952	5.0532	4.2828	7.6355	5.7851	6.7138	8.0511	6.9318	8.2562	6.0306
EA_G__TSPAN15	10.7984	9.8778	9.8263	10.9843	10.8123	5.9455	9.6871	8.6585	7.7059	7.1726	10.0108	11.304	6.5389	8.5996	8.2911	9.3744	10.6364	10.3737	8.5205	6.7083	9.9074	5.7659	10.1381	9.8403	10.1996	8.4957	10.7309	8.9092	9.9043	11.0955	10.7178	10.8031	5.8294	6.72	5.9083	10.8783	9.7656	9.5826	10.1287	9.2614	10.8014	9.4224
