Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1
EA_G__EDARADD	6.0612	6.1693	4.8408	6.7034	7.3104	5.2139	5.4741	4.8861	5.7205	4.9636	5.558	5.9031	5.6679	7.6485	7.1277	4.9895	9.7576	5.308	5.2763	4.9989	5.3651	6.5377	6.8792	6.7378	5.8785	7.3308	4.8031	6.4493	7.5426	6.4147	6.3641	5.0378	6.1074	5.3734	4.704	6.2779	8.6739	7.0946	6.762	6.6416	5.3495
EA_G__ALG8	9.2355	7.9382	7.2056	6.7531	7.9467	8.0139	7.0561	6.917	7.5569	7.2337	6.6856	7.4853	8.3531	8.0797	7.5979	8.0405	7.4266	7.4106	7.3401	6.685	7.4515	7.6525	8.0903	9.871	7.9441	8.3741	8.2686	6.8936	7.0709	7.1336	7.8105	7.2857	7.7492	7.6873	8.0992	7.457	8.7998	8.1086	8.0942	7.3007	7.6616
EA_G__GYG2	7.8871	7.1576	5.0908	6.2027	6.4853	5.2693	5.7758	5.0278	5.4435	5.294	6.8818	5.6047	7.0613	5.6904	6.3938	5.9091	6.7178	4.9633	6.8701	5.4592	4.9197	6.1102	6.7559	5.4648	8.9014	7.8392	5.5224	7.9013	5.0136	6.0633	5.6047	5.4549	5.4488	5.136	5.1981	6.3422	5.6961	5.9374	7.7537	7.8063	7.0443
EA_G__DSP	8.4184	8.5174	8.3555	9.7781	9.9137	4.438	8.3945	8.8684	9.8838	4.326	9.484	6.301	8.4854	9.2614	9.8513	8.9699	10.249	9.2227	6.8289	9.9116	6.0849	9.2346	9.4662	10.0598	6.8075	8.9583	6.9698	9.1769	8.8104	5.5198	8.8651	4.3964	9.6506	5.7489	8.7123	9.5311	9.3918	9.3757	9.3323	9.2241	8.0323
EA_G__CPAMD8	7.0478	6.0825	7.2596	7.2388	6.7996	5.6587	6.0427	5.6522	7.7413	5.7791	6.8633	6.049	6.0436	5.9711	6.7098	6.1118	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	5.9579	6.7371	8.6424	5.4769	7.4537	5.9555	7.027	6.3632	5.7861	6.2587	5.9367	6.3406	7.1091	6.9385	8.6235	8.1872	6.9222	6.1828
EA_G__CPT1A	10.0084	9.7015	7.5302	9.5527	8.8672	8.3415	9.4435	8.2157	5.0064	7.7151	8.4611	7.485	8.2409	8.9857	8.4221	8.6628	8.8196	7.7552	7.8873	7.7419	7.9604	9.2672	9.1785	10.0054	7.8197	10.1675	7.996	9.5613	10.951	7.5483	9.4049	7.9403	8.8719	6.8117	7.7292	8.7383	10.2412	9.7116	9.142	9.6458	9.9982
EA_G__ZNF689	7.1686	7.9547	7.6914	7.2698	7.1272	7.1521	7.9025	7.8283	6.6913	7.788	10.1663	6.7056	7.5898	7.7696	7.5855	6.699	5.2033	7.4825	7.2877	7.3127	7.3883	7.8832	7.9564	7.4465	7.3665	7.1109	7.3277	7.8217	7.7445	8.2893	7.0525	7.7666	7.172	7.551	7.0675	6.8933	6.9406	7.2193	7.0399	7.511	7.1368
EA_G__ACY3	6.0483	6.209	5.6212	7.6306	5.5797	5.803	5.5489	5.4666	6.4014	5.4231	5.5887	5.4113	9.3883	6.0372	5.7476	5.8489	7.3446	5.6737	5.7872	6.2175	5.6258	5.8756	6.3288	5.9756	6.0016	6.6586	5.5435	5.5918	6.6392	6.646	6.6996	5.9474	6.1859	5.769	5.9326	7.6507	7.0914	6.6725	6.292	6.3002	5.8483
EA_G__MOSC2	8.0345	4.9492	4.5615	7.5891	6.0434	4.9183	6.6017	4.7275	5.6269	4.8805	7.1689	4.5447	8.1637	6.7397	7.0843	4.4107	7.6663	4.5017	6.6911	5.0552	4.6464	6.3374	6.1572	6.434	6.4259	7.506	6.9319	7.7187	7.6446	7.4599	4.5336	6.0516	8.5506	6.5042	6.0488	7.8794	7.5804	7.9605	7.1899	9.0647	5.7498
EA_G__OASL	6.3575	4.6211	4.5901	4.8774	7.4263	4.9747	4.704	4.6733	6.4553	5.86	4.8026	5.6794	7.0772	5.3296	8.9251	8.3453	6.7479	4.7037	6.6389	9.1771	4.9312	5.9856	6.1575	6.4121	5.2985	6.0756	6.5005	6.3562	5.4957	5.9698	4.8039	5.0465	7.4899	5.3478	5.3834	6.8892	6.7932	5.8265	5.3369	5.187	5.1827
EA_G__CRIP1	8.4336	5.31	5.3267	9.7731	11.423	5.334	5.4641	5.3474	8.9387	4.8935	11.7544	5.561	8.2598	7.0206	5.2656	5.5827	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	9.0144	5.3967	8.9139	4.9174	9.2424	6.8474	7.5698	5.9588	5.2163	8.9972	5.2167	5.7411	6.8932	5.2574	9.2766	9.2825	9.7626	10.5449
EA_G__CHAC1	6.4402	6.8948	7.8778	6.8373	6.0799	7.8801	8.0356	7.3749	7.5149	7.6317	7.4711	6.3025	6.3981	7.9541	7.0921	6.7527	6.156	6.4615	6.6071	8.4346	7.2855	8.1311	8.0203	6.3289	7.28	7.068	7.5078	6.4666	7.1311	7.937	6.8757	9.1523	7.1693	6.6026	10.1926	9.6415	5.765	6.5656	7.071	6.0084	5.5164
EA_G__DAB2	5.6629	6.0574	6.362	4.4007	3.9271	9.6669	4.0868	7.4827	6.3865	9.0069	10.8663	10.103	5.6433	6.1758	5.0374	6.1662	4.7337	6.9188	7.4558	7.2915	9.8138	3.729	5.115	4.1987	9.5508	6.6207	7.8924	4.6273	8.6039	4.8335	6.3081	8.1656	5.948	8.5452	6.1107	7.4008	6.5954	4.5375	3.8524	6.5683	3.8021
