Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	1
EA_G__PSMD6	7.9501	7.7603	8.6325	7.5752	7.5897	8.1262	7.502	7.4861	7.8203	7.6362	9.278	7.638	7.8165	7.4017	8.5692	8.0698	7.4448	8.0692	7.7174	7.6386	8.4171	10.3431	10.7381	8.6986	7.6745	7.9224	8.4514	8.2692	7.0524	7.6056	7.5832	7.9681	8.0584	8.5595	7.9224	7.5789	7.6847	8.1159	8.3103	7.9965	7.9197
EA_G__GBE1	6.8244	7.5239	8.155	6.3966	6.5794	8.5971	6.6869	7.4889	4.9943	8.6312	7.5394	6.471	7.5278	7.1057	7.6762	7.967	5.8657	7.6057	8.2961	6.5153	9.4952	6.8885	7.5212	7.8519	7.2937	6.8441	8.7027	6.8781	5.6533	7.102	7.1436	8.6559	8.4116	9.5431	6.0081	6.5628	6.1145	7.2027	7.5811	7.0531	6.4247
EA_G__LIF	8.4753	5.5574	9.0906	4.1308	5.6326	7.9653	4.2594	7.0714	6.2875	5.4033	4.3282	4.7354	5.1654	5.7753	6.312	7.6076	5.0649	8.8301	8.1927	5.7529	7.6527	5.5646	5.0286	4.1323	4.527	6.9474	8.8432	4.5779	4.9192	4.8537	5.3688	5.5197	6.3948	4.6722	4.8785	6.0052	4.5813	4.5721	6.6062	4.9532	5.9404
EA_G__RAB11FIP1	7.7489	7.29	6.7556	7.2374	10.9487	6.0996	8.0487	7.7821	6.9453	5.8301	8.3145	8.4506	7.1372	6.5495	6.7129	6.7962	8.1631	6.6448	7.058	7.0896	5.8517	6.8206	6.8315	9.8938	7.2036	7.6101	6.2077	7.9194	6.8136	6.9053	7.6757	6.0579	6.4956	6.959	7.013	10.2659	8.072	7.7446	7.0056	8.1997	8.3727
EA_G__ADD3	6.6458	6.7936	5.9838	6.1357	6.08	3.6675	7.3762	6.6549	7.1568	6.6177	4.7737	7.6154	6.6105	7.5674	6.5917	6.7963	6.6152	4.7335	7.1144	7.6169	7.7425	6.0556	5.1911	5.7301	7.2875	4.417	5.7074	8.3368	10.0224	4.4241	6.2413	7.1567	7.9093	4.0687	5.2859	7.9608	8.622	6.3595	5.9504	5.6145	7.1749
EA_G__KIF1A	5.441	5.8699	5.6009	9.6423	8.2468	5.5019	5.5673	8.863	9.3245	5.5078	5.1426	6.0836	5.5474	6.3807	5.3728	5.6188	5.6387	6.2192	5.5329	5.7274	5.357	6.2477	6.7221	6.5349	6.5204	5.709	5.5465	8.3424	5.3544	6.1882	5.839	6.2375	5.9585	5.7378	9.1116	6.7563	5.7625	5.6265	5.5712	6.7046	7.7672
EA_G__RNF38	6.9148	7.2954	7.5098	7.1471	7.7674	7.0463	7.9632	8.3826	7.965	7.1016	6.9801	7.7336	7.6545	7.4289	7.1738	7.2114	10.3338	7.5205	7.1693	8.0718	6.9495	6.8272	7.2114	7.4734	7.2771	7.1678	7.3289	8.5698	7.3942	7.1435	7.1538	6.9445	6.2471	7.2272	9.2181	7.6777	7.5218	6.8799	6.8963	7.6115	7.2292
EA_G__NBL1	5.6874	6.1693	6.0302	6.5123	7.91	7.2287	8.8627	7.4446	6.4894	6.4088	7.8477	8.9876	7.7277	7.8409	7.989	6.262	7.4926	6.8964	7.0244	9.3898	7.4014	6.5167	6.2728	8.6259	7.7704	5.8527	7.2223	7.4465	9.3873	8.9764	6.4183	6.2493	7.4905	7.3304	6.0452	7.0402	6.3728	7.4907	7.1949	6.2454	6.7302
EA_G__UNC5B	6.5753	7.0232	6.5577	6.8685	6.5582	6.2771	6.5899	6.6071	8.8068	7.1329	6.5515	6.58	6.441	7.6947	6.8806	6.5015	6.7795	6.7281	6.6108	6.6756	6.5481	6.8162	6.8258	6.9634	7.994	7.028	6.2731	6.7714	8.7105	8.2232	6.883	6.7858	6.9938	6.8899	8.958	9.5806	7.9586	6.9592	7.1746	7.125	7.263
