Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	1
EA_G__MRC2	9.5108	6.3393	6.5107	6.1911	8.4666	6.2529	6.9342	7.854	7.6383	6.094	6.172	6.5812	6.4211	6.1795	6.195	6.1677	6.3087	9.0085	6.3022	8.5076	6.5354	6.5896	6.3506	9.5693	6.3342	7.1079	6.09	6.0684	7.1592	6.5291	9.3857	7.3701	7.4802	6.2204	6.5062	6.9931	6.3224	6.3834	6.5285
EA_G__SIDT1	5.7225	7.4447	5.3904	8.8752	4.6729	8.5319	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	8.675	4.4179	8.167	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.6898	6.1964
EA_G__GLT8D4	5.4162	4.7151	6.1753	4.6364	8.5909	4.5511	6.4599	6.9925	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	6.439	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	5.5823	6.3558	5.8193	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	4.7053	5.652	5.7258	4.8007	5.769
EA_G__USP18	6.4502	7.6312	5.9496	8.1228	5.4966	7.592	7.7863	6.7528	5.3511	7.15	7.4145	6.6359	6.7563	7.453	6.9205	7.4281	7.1989	7.1833	9.0351	6.2376	6.6512	6.2841	7.3545	4.9911	7.97	6.2885	7.7328	7.5471	7.9046	6.6632	5.592	6.0274	5.9321	6.1311	8.9507	6.5481	6.5261	7.3981	7.0068
EA_G__CLU	7.2352	8.8649	6.2451	8.9068	8.9576	9.6033	6.8112	8.1157	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	6.824	9.5115	8.6745	7.7043	7.3793	7.2732	8.8706	8.885	9.1728	7.8152	9.6338	6.7991	9.3254	10.2466	8.8604	9.8643	7.6939	5.8874	7.0941	7.9162	8.5631	8.2237	10.2223	8.0166	6.5865
EA_G__ATP2C2	7.3612	7.1301	6.3762	8.2179	5.3497	7.7028	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	8.3016	6.6985	4.6332	6.8254	4.8393	8.5253	8.1187	6.7656	4.7757	7.7212	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.6677	6.6969
EA_G__GPR81	4.9668	6.0516	3.5022	7.939	3.5141	6.9006	2.868	3.5631	3.7151	8.6916	6.629	4.3242	6.9887	7.1222	5.8908	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	6.8412	3.373	8.2863	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	7.8144	4.8618	5.8669	6.462	6.8539	6.1376
EA_G__RND1	7.3143	8.2366	5.1518	5.5848	5.2959	7.5678	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	5.9817	7.1618	7.8627	6.9375
EA_G__KIAA1161	7.5336	8.5935	6.3491	8.0995	5.961	8.8216	7.4813	5.558	4.978	6.8816	8.6918	5.8828	6.5016	6.3173	6.5558	10.7468	7.2179	6.3672	7.4519	5.3607	6.8104	6.6223	7.1909	5.4313	7.8995	5.6807	9.0698	8.6115	7.4427	9.0701	5.6673	5.8678	4.9556	7.0576	6.2692	7.8144	8.5458	7.4192	6.7034
EA_G__LOXL1	8.8376	7.4349	7.7394	7.7773	9.0295	7.7618	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.5414	7.4587	7.4168	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	8.9285	9.9529	7.5511	8.058	8.253	8.0283	8.322	7.6632	9.634	9.1346	8.9559	8.8333	7.528	8.7906	7.5289	8.0361	7.5038
