Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1
EA_G__IDH2	9.4084	9.0203	8.5981	10.3873	8.0667	9.7965	8.2773	9.6941	9.8823	9.9588	7.8733	9.0831	6.1131	8.6125	8.1028	9.1842	8.4942	8.9461	10.4002	6.776	9.5467	9.9548	9.1699	8.3399	10.0707	6.7409	10.4101	8.7147	7.8956	9.5364	8.6078	8.1004	7.7049	8.7028	9.0819	9.8275	10.3343	9.4696	10.5446	9.3732
EA_G__UPK3B	7.4344	7.8564	7.5647	7.4318	6.9711	7.063	7.0834	7.3556	7.2931	7.5818	7.1388	7.131	7.5062	7.749	7.1097	7.5446	7.2451	7.0813	7.7129	6.7547	8.307	7.6742	7.2838	7.0001	10.3034	6.9948	7.2937	8.7072	7.8507	8.1022	7.1958	7.9558	7.0611	7.0964	7.6465	7.987	9.0936	7.3861	7.356	7.4212
EA_G__C1orf64	8.0389	7.093	5.835	8.5042	5.7056	6.4148	5.3251	5.8239	5.7955	9.3609	5.9959	5.5774	5.6345	5.7833	5.7959	6.0412	5.5348	5.7137	5.9871	5.6903	6.0348	5.929	5.6565	5.6187	7.052	5.7254	8.2425	8.7956	6.6608	7.869	5.917	6.0097	5.9263	8.388	6.8583	7.5468	7.081	7.8354	8.5419	7.5124
EA_G__FMOD	9.9266	4.7456	4.3891	8.6309	4.8797	4.254	4.4157	4.5959	4.4647	4.5711	4.2652	4.1456	4.4406	4.33	4.4191	5.0278	4.4373	4.4526	5.1068	4.315	4.9047	4.6832	4.2507	4.333	8.337	4.653	10.2266	9.4424	7.4642	4.7254	4.4797	4.8205	4.5904	4.1968	6.8222	9.5573	5.179	7.001	9.7217	5.579
EA_G__PADI2	9.3092	9.1245	7.7046	9.5608	5.5554	5.7804	6.8087	8.7344	5.891	9.9272	6.6508	5.4932	6.2254	7.8027	6.5577	9.4405	7.8639	5.5305	9.7534	5.6336	6.9998	6.5501	7.3756	5.4501	10.251	5.6259	9.952	10.1818	6.4141	8.6201	6.0273	6.5008	5.8087	10.2354	8.2646	9.4022	7.0662	8.0231	10.3101	7.2104
EA_G__TJP3	9.3077	8.0518	7.766	8.3849	5.9377	7.9192	6.4262	6.6429	5.9521	9.8328	7.6407	6.3501	6.2599	7.1653	7.5222	8.4592	6.5682	5.9474	8.0263	5.6884	8.0699	7.9648	7.8198	5.7056	8.8534	6.1169	8.5057	8.1059	8.1475	7.9939	6.014	7.1509	6.1539	8.6348	7.4672	7.8886	8.6752	8.1957	8.4645	8.0411
EA_G__MUC1	10.7485	9.3354	8.5583	9.6525	8.4104	10.0109	8.1385	7.6877	7.2345	9.5962	9.4833	6.9752	6.7513	6.8465	9.0466	9.1369	6.9437	6.835	10.7156	7.125	8.9106	9.84	6.573	7.0024	11.0353	6.32	9.2355	10.806	7.2765	7.6032	7.3348	9.1411	7.2021	8.4137	9.6284	9.3378	11.5556	11.9165	10.8592	11.0123
EA_G__ZNF750	6.7199	7.3482	4.6567	6.7097	4.9155	5.6839	4.6689	7.2202	5.1846	6.7591	6.451	4.7703	5.1668	5.5797	5.4145	7.1353	5.1352	4.7351	5.3662	4.4688	5.7987	6.4591	5.1944	4.6503	6.6426	4.6995	6.0296	5.1191	6.1847	7.0681	4.8725	5.4428	4.8895	6.5246	7.0578	6.3349	6.3737	6.0345	6.7232	5.4634
EA_G__PLA2G10	8.5249	7.4097	5.9502	6.2138	5.9734	6.4801	5.8603	6.1584	7.2084	6.4113	7.186	6.003	7.7286	6.572	6.2121	7.2149	6.2563	5.4353	7.149	5.9167	7.1404	6.5337	6.9787	5.2459	8.2977	5.5339	7.2334	10.1074	6.4499	7.7312	6.1785	6.1912	5.9954	6.0704	5.9926	5.8723	6.6205	7.9511	6.6977	6.1379
EA_G__PLCH1	5.2438	7.5273	3.3755	6.9586	3.9486	8.0482	4.651	7.1018	3.9777	7.7608	6.6251	5.4736	4.7252	4.4941	4.4556	8.1232	5.2036	3.6959	6.6154	3.6139	6.6504	6.832	4.0158	4.9347	7.0744	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	5.562	8.1434	7.3769
EA_G__C9orf152	8.4683	7.9416	3.1106	9.015	3.3253	7.5362	3.2593	3.6704	3.8201	9.6854	6.8934	3.2606	2.5096	4.7044	6.1075	7.8747	4.4017	2.9521	5.0464	3.4125	4.5846	5.7573	3.74	3.1833	7.9758	2.9212	9.606	7.4371	6.4351	7.1601	2.7658	3.7666	3.421	8.6164	7.4871	7.795	7.8891	6.4831	9.313	9.0216
EA_G__SLC9A2	6.8744	8.0221	5.0906	9.0313	4.6153	4.537	6.1778	4.6843	4.5398	9.2135	6.766	4.2235	4.6564	4.4787	4.4345	7.9773	4.8629	4.0912	4.4798	4.0015	8.3374	7.752	5.095	4.5882	8.1974	4.1751	9.4528	7.6961	7.0623	8.3122	5.8374	4.8527	6.3365	8.3496	6.9643	7.0853	8.7918	8.1692	8.7367	7.4132
EA_G__KRT86	13.3379	10.3848	8.5794	8.4565	8.3179	8.0746	7.4759	8.0969	8.9404	8.3171	8.7657	8.2766	8.5663	8.6907	8.3822	8.3819	8.363	8.1089	8.5233	7.9741	9.7851	10.0862	8.2085	7.6371	13.9235	8.0136	9.2948	13.1366	8.3402	8.4784	9.2708	9.5647	8.9904	8.0865	13.6157	13.318	8.5214	9.642	8.7488	8.6665
EA_G__C20orf114	11.0401	7.0553	5.2127	7.8852	4.6121	5.1097	5.1526	5.0573	5.3378	7.2331	4.8674	5.6278	5.3641	7.8002	6.663	10.464	5.2185	4.9445	6.5348	5.1707	6.0915	5.6898	7.9038	4.9152	13.2701	5.1911	10.0853	13.2886	5.7893	7.2236	5.1248	5.3721	5.3882	11.3388	5.3234	10.3221	7.7395	8.1169	5.6322	7.4759
EA_G__MYL9	5.9827	6.2808	8.1376	6.0403	9.0829	8.2787	8.8326	6.3362	7.2937	6.7514	6.7845	8.7136	7.7516	5.6411	6.2977	6.4925	8.9906	9.4131	7.2959	9.2271	6.6307	6.5607	6.0219	9.6946	7.5745	8.2165	5.9337	7.4537	7.4393	7.2278	7.8784	7.6641	7.7727	6.9746	6.8768	6.5586	7.8883	7.8833	6.2851	6.2681
EA_G__C11orf82	5.4609	6.6509	7.0184	5.8662	6.612	5.9729	7.3918	5.794	6.557	5.736	6.3239	6.8492	8.7831	6.1601	7.329	5.4224	6.7061	7.6886	5.452	6.9309	6.4962	6.308	5.3933	6.4071	4.8317	6.9059	5.714	5.3618	5.9928	5.8672	5.7982	5.7614	7.2557	5.8854	5.4156	5.9697	6.6975	6.4483	5.2868	5.7959
EA_G__CEACAM6	11.9576	9.4552	4.9219	10.4191	4.4249	4.3434	4.5225	3.7734	4.2987	10.2871	4.6155	4.2125	5.4873	5.8584	7.5965	10.3529	4.6112	3.9866	7.9509	4.1852	8.4815	7.3165	4.5002	3.6986	8.7179	4.1634	10.9123	10.8417	4.9382	6.4947	4.7785	4.201	4.5135	7.5353	10.2088	7.5093	6.1862	8.1197	6.9771	9.7418
EA_G__SYT7	7.3093	7.8438	6.3065	9.013	5.624	7.1669	6.5406	9.135	8.0894	6.5977	7.5207	7.5053	6.4084	7.0307	6.5839	7.5656	5.8712	5.0595	7.731	5.6967	7.7789	7.5346	9.5571	5.577	7.9565	5.5078	7.7687	8.2806	6.7126	7.8086	5.8711	5.7903	5.8368	8.2797	7.6034	7.7134	7.6941	7.9714	7.917	7.5292
EA_G__SLC7A11	5.1809	5.1817	7.4396	4.1599	6.5597	4.2618	5.8494	3.5826	8.4557	4.9675	5.0098	5.4931	7.8307	6.4145	6.5624	3.8433	5.6015	6.7087	5.6799	7.1183	5.8004	5.4594	5.75	5.2728	4.449	8.0821	4.96	5.0106	4.2806	4.9229	7.2331	5.2141	7.3597	6.9123	7.5002	4.0292	4.5781	4.0326	4.6664	4.9372
EA_G__KIF13B	8.0514	6.6768	5.72	8.2173	5.9885	5.3774	5.5277	6.7391	5.8701	9.4643	6.3293	6.1442	5.5216	6.1503	6.5938	7.6732	5.9173	6.9154	6.0326	6.0897	6.5786	6.8171	7.7809	6.5239	8.4875	6.3783	6.9655	7.7678	5.9139	6.7406	7.8265	6.2576	5.5322	8.7327	6.3598	6.6436	7.1801	7.4504	7.2131	7.2438
EA_G__LOC342897	6.8877	9.3215	7.5298	6.5232	6.341	6.1959	5.9222	7.6628	6.4521	6.3118	6.4283	6.2297	6.6868	7.9023	6.4686	8.5321	6.0562	6.1129	9.8111	6.3895	6.4818	6.8347	6.4992	6.3021	7.7221	6.2784	6.5222	7.442	7.3158	8.7168	6.8808	6.9333	6.6187	6.6136	9.7598	7.336	6.8452	7.8893	7.4687	6.4656
