Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
EA_G__LEPRE1	6.6604	6.106	7.0872	6.4096	6.721	8.8094	6.5042	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	7.7253	6.9598	7.4537	6.4544	6.851	6.5327	6.3042
EA_G__CTNND2	5.4629	8.1316	5.8497	7.5316	6.6776	5.4046	7.6145	5.578	5.923	5.2439	7.9285	5.2685	7.2004	5.5369	5.2641	5.4163	8.0858	7.6463	5.6685	5.1254	5.7386	8.1424	7.963	7.877	7.7465	5.4372	7.0886	5.2979	8.3406	8.2045	7.5643	7.5688	5.3627	5.7529	5.5902	6.5579	5.7347	5.943	5.4129	7.3165	6.9607	6.3814
EA_G__GGT1	7.5575	8.3568	6.9163	7.1065	7.2693	5.3711	7.6542	5.7143	6.1119	5.8255	8.3686	6.7667	5.8302	6.2027	5.5974	6.1793	8.8081	7.0078	6.4158	5.6441	6.8205	6.8466	6.2737	6.3007	7.403	6.0052	7.7936	6.8593	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8609	6.8846	9.633	5.9641
EA_G__TNC	6.8419	4.5317	8.0622	7.9377	5.5042	6.5045	4.5282	10.3359	11.7961	10.5952	4.4803	4.2461	6.7117	5.6666	6.5706	9.083	5.1491	6.9443	8.7277	10.3709	9.8215	9.1583	4.8052	4.8852	9.5513	10.3004	5.5014	6.8871	5.9621	9.4908	9.8865	4.591	9.3078	7.1626	9.313	6.8903	6.6164	9.3018	4.8565	4.7517	4.5568	4.34
EA_G__SRPX	4.8418	3.8166	4.7162	5.1588	4.2865	4.4735	4.0039	7.2853	4.7073	10.396	4.3236	4.6318	9.3757	4.3267	4.0548	5.2999	4.2515	4.527	5.7129	5.7652	4.6263	6.3779	4.5545	4.5687	4.7756	6.9883	4.2764	5.8279	4.3906	5.7889	4.9086	4.3626	10.949	6.1023	9.3259	4.8527	4.4114	4.3412	4.962	4.12	4.6042	4.6542
EA_G__PNPLA3	7.2811	5.5648	6.6519	4.9407	6.4017	7.4872	5.7505	6.6264	7.5731	7.0269	4.619	8.8619	8.0043	6.6288	6.294	7.2937	4.7005	6.9787	5.1807	7.2279	8.0173	6.3625	5.5723	5.0879	5.952	5.9585	5.8705	4.9472	4.7538	7.3528	7.4951	5.7974	5.933	7.725	6.646	5.0905	6.9222	8.0881	6.5966	5.8743	6.1496	6.9942
EA_G__SERPINA3	7.1642	6.2177	6.0548	6.1217	10.7679	4.5974	4.6526	7.2069	5.2839	5.7238	4.8075	7.73	8.916	4.5668	6.2128	7.2437	4.5286	4.5667	10.8451	7.5614	11.2599	4.8088	7.1757	9.7436	8.8367	5.4273	5.3343	4.4155	6.8694	4.8506	5.4777	5.6327	5.7561	7.2209	4.8189	6.2909	8.8691	7.9501	7.1982	10.398	4.7585	6.6997
EA_G__ZNF738	6.4199	4.2	7.8286	7.0941	6.7008	8.1237	3.3839	3.7679	8.2316	8.3649	7.4396	7.9623	7.594	5.9306	7.2096	5.8127	6.8361	7.6064	6.9004	6.9812	6.5093	5.8654	6.2447	6.2862	7.1484	8.006	6.143	6.4364	7.0276	6.6833	6.3408	4.2731	6.615	6.4667	5.976	7.0602	6.3585	4.5332	6.6024	6.8515	5.7957	5.798
EA_G__SLC7A2	4.1619	5.7925	3.7715	6.7311	8.2218	4.0757	8.7507	3.7876	4.1333	4.9639	5.9544	8.7823	6.0163	5.3979	3.8374	4.2238	6.6085	3.8787	4.037	3.7082	3.9158	7.6908	8.0985	9.9521	5.9318	4.9481	6.4416	6.383	6.6805	6.0503	4.4132	4.5285	4.1797	5.4227	8.1212	5.8559	4.2872	4.0673	3.9632	7.5091	7.2721	8.5677
