Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812	UACC893
Response	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1
EA_G__SMURF2	8.446	7.7298	8.0428	8.2746	7.8368	9.8564	6.6637	8.8111	10.5112	7.0418	7.8621	7.7637	8.6801	7.5054	8.9098	8.775	8.3035	8.3389	7.6877	8.9159	8.6812	7.1542	9.333	8.6744	7.0906	9.4814	7.3084	10.1395	9.8551	7.1148	8.9199	7.9894	8.1735	7.7281	10.2043	7.5872	8.0381	8.0679	7.9758	7.1862	7.3694	8.0201	7.792	8.5562
EA_G__CACNA1D	5.1325	7.7334	5.8969	6.4883	7.1711	4.3929	5.9883	4.4687	5.0697	5.9576	4.3872	7.9984	8.2401	5.3635	4.4459	4.8797	4.8552	7.1779	7.7626	4.6953	4.4363	5.9109	4.1169	6.2977	6.8725	4.2473	7.3781	4.4991	6.9919	6.4139	4.5798	7.5077	5.1313	7.7938	4.5576	4.5211	4.5248	5.9556	6.0469	6.6231	7.638	6.6987	6.9375	6.4614
EA_G__SPRY2	9.271	5.0073	7.3618	5.3095	5.8224	8.0598	3.7591	5.4492	8.6074	5.163	6.2604	3.7361	3.6432	3.7445	6.1357	8.4133	7.75	5.5286	6.9956	7.2275	6.6531	7.7115	7.8897	5.2853	5.3545	6.0105	5.8743	8.146	5.4852	4.7471	8.3577	5.6965	8.2821	4.8238	8.2139	8.6262	7.2073	6.6081	7.8466	4.1293	4.344	5.5832	4.5508	7.1134
EA_G__CMTM7	7.8658	5.9188	6.2141	7.1049	5.3678	7.6197	5.935	8.3251	8.8032	7.0911	8.1796	5.1804	5.5291	8.2411	8.1877	7.9604	5.5399	5.3654	5.849	8.9538	7.5776	8.2734	7.6982	5.7649	5.2491	7.7657	6.7889	8.3036	5.4139	6.5478	7.7845	6.1254	8.0959	6.2854	8.5469	7.8743	7.6306	7.0904	5.7507	5.6719	6.2845	7.1193	7.5985	5.9114
EA_G__TMEM63C	7.9641	8.592	6.0696	8.7886	7.8238	4.5419	8.2991	5.1121	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.603	7.3911	4.2781	6.3846	8.1346	7.6805	8.2487	4.4405	7.4794	8.0082	4.2713	9.2885	4.4969	7.5344	4.2336	4.6113	4.8724	8.902	8.7742	8.8578	7.7339	5.4872	9.4194	7.9501
EA_G__ARRB1	8.2889	9.278	8.6028	9.8252	9.1138	7.2888	9.9283	7.3377	8.1013	10.1215	7.5478	8.8726	9.7235	8.7038	5.9949	7.766	8.4052	8.3822	9.0201	6.4387	7.4618	8.705	7.8793	9.302	11.1235	8.3332	10.9277	8.1342	8.6984	8.8635	6.6255	8.7944	8.8981	9.5879	6.4149	7.6542	5.28	8.8767	8.3635	11.0699	9.7353	8.9914	9.19	9.6113
EA_G__AMIGO2	6.0828	5.9431	5.8181	5.7276	6.6004	7.6002	4.288	6.1173	6.3002	4.3864	7.5383	6.3951	6.1074	4.0049	7.5771	6.8291	6.8701	5.5431	5.3816	6.2299	6.9895	5.2112	6.5632	6.3204	5.9356	6.9502	5.9428	8.2119	6.5058	6.0749	6.465	6.2811	6.5347	5.603	9.0508	8.0812	7.7022	6.2339	4.9309	5.6216	5.5583	6.3676	5.9183	5.9377
EA_G__PLAU	5.9385	4.9315	4.724	4.8841	4.8479	8.6933	4.4801	6.9891	8.7436	5.0131	5.279	4.9719	4.9397	4.9615	8.8449	7.0979	4.7291	5.766	6.7666	5.7082	7.4742	6.0511	8.372	5.0307	4.8073	7.1008	5.1139	9.1058	5.2563	4.9718	8.7948	5.5771	7.4528	6.7449	11.4254	6.0597	6.0434	5.0122	5.3082	4.7738	5.0896	5.0643	5.9255	5.0427
EA_G__ARHGAP23	7.2203	6.0053	6.2233	5.8044	6.1833	7.0529	5.4752	8.4962	6.3843	6.9114	6.3489	5.4214	5.2812	6.1932	8.4672	9.3409	6.2881	6.0159	6.4165	6.8485	7.6738	6.8463	7.8115	5.7858	5.5407	7.3588	5.8461	8.653	5.7958	5.8236	7.8177	6.2527	7.0282	5.9964	6.9923	6.3647	8.3173	6.3409	6.3077	5.4257	5.9923	7.0707	6.1537	5.774
EA_G__ARSJ	6.7046	4.1618	3.7627	7.2598	4.4582	8.8682	4.1374	7.4675	6.9042	4.5932	7.8876	5.794	4.076	6.2482	7.0085	6.1297	6.2761	4.735	5.422	6.2652	6.6957	5.9446	7.9663	4.4831	3.7109	8.3193	6.0887	7.9827	5.8497	5.4783	6.0087	5.9855	6.9233	4.3994	6.8218	6.515	7.9454	4.071	6.0963	5.7022	5.9841	6.0991	4.5306	7.1248
EA_G__ARNTL2	6.1217	3.8101	6.5916	4.8596	6.2176	6.4819	3.8273	6.7977	7.7471	6.2038	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	6.7304	4.2247	5.9108	7.6544	6.7791	6.4344	6.9847	5.5538	4.4456	4.9612	4.6794	7.737	5.8374	4.5655	7.6837	4.671	6.0942	4.5466	8.1851	7.4415	7.0224	6.74	4.5638	3.8659	5.8324	5.2486	4.1156	3.9983
EA_G__CAV2	6.8437	4.5018	8.4908	3.7097	5.5046	9.6475	3.2968	8.6311	9.8419	4.7699	9.5411	3.41	6.384	6.665	9.7361	10.2366	8.8897	6.038	6.3564	9.7925	9.8782	9.1849	9.3055	4.985	4.251	9.9149	5.9759	8.7015	5.0696	5.7687	8.6755	3.9831	8.9411	6.1201	9.4274	10.0236	8.9668	6.5462	7.0424	2.809	6.8936	3.7499	5.2992	6.7317
EA_G__SGK	4.2316	5.0406	7.2857	5.4106	5.3314	9.0838	4.1858	8.9845	8.9248	4.3511	8.7011	6.361	5.0384	6.6596	7.7021	7.7639	6.6802	4.4304	5.1726	7.019	9.4103	6.1623	9.2354	5.3706	5.9424	8.3272	5.1426	8.4342	7.6622	3.713	9.8637	5.0158	7.9203	4.8986	9.7393	8.7562	8.0896	5.5156	6.1843	5.6074	7.5815	4.7744	5.5835	6.797
EA_G__AXL	5.6804	5.1611	5.4463	5.4209	5.1827	10.2739	5.2109	10.5367	9.8631	5.2949	9.4468	5.1746	4.9087	5.3032	6.6145	8.9208	6.9786	5.4521	5.6583	8.6491	9.9664	5.4233	11.2512	5.534	6.7552	9.689	6.5073	11.0247	5.0726	5.1294	9.3403	6.1472	6.1546	5.743	9.8877	7.8036	9.9992	5.5417	5.5984	4.9824	5.7637	5.5023	5.4593	5.5797
