Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1
EA_G__ARRB1	8.2889	9.278	8.6028	9.8252	9.1138	7.2888	9.9283	8.1013	10.1215	7.5478	8.8726	9.7235	8.7038	5.9949	7.766	8.4052	8.3822	9.0201	6.4387	7.4618	8.705	7.8793	8.548	9.302	11.1235	8.3332	10.9277	8.1342	8.6984	8.8635	8.7944	9.5879	6.4149	7.6542	5.28	8.8767	8.3635	9.7353	8.9914	9.19	7.8939	7.5003
EA_G__CD44	5.0643	6.221	10.4901	5.8402	7.147	9.4203	5.0229	11.129	6.7431	8.6542	5.9841	8.2408	10.1261	11.6066	10.3665	10.8891	4.2923	6.5189	10.2825	8.6214	8.932	10.7718	5.0212	5.5111	8.1534	9.6122	6.1197	8.8998	8.3912	8.3341	5.0009	5.3355	9.4761	9.5375	9.1489	4.4169	9.289	4.2538	7.4487	7.7525	7.9545	4.4431
EA_G__ETS1	3.8667	4.805	5.9815	3.8221	3.5321	9.1987	3.7611	9.7835	5.4674	8.8179	3.5174	3.7092	9.0214	8.4312	8.6336	7.6481	4.1411	4.2609	8.9186	6.6496	6.1098	7.8626	4.2242	4.1251	3.6311	8.5584	3.7782	8.8462	3.44	3.778	4.6855	4.7509	7.741	7.9709	8.314	4.3718	5.9158	4.288	4.0329	3.9583	4.1234	3.7159
EA_G__PPFIBP2	7.8433	6.5176	5.6898	8.685	6.6337	5.3909	6.8131	5.2124	6.2853	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	5.497	7.8702	7.7047	5.6356	5.98	5.7397	4.7978	6.5585	6.3397	6.9949	4.0523	8.1624	5.0389	7.4755	8.9514	7.7945	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.3962	6.0261	6.8366	6.9521	5.8403
EA_G__SLC24A3	6.1884	5.8567	4.866	7.6921	8.927	4.9069	8.2005	5.4026	8.4196	5.6591	7.088	7.3408	6.854	5.1651	4.81	5.1148	6.8799	7.4995	5.2071	4.6949	7.2516	7.5909	6.3113	7.6462	7.4927	4.6514	6.4122	4.8684	7.4147	6.5707	7.3839	6.6887	4.7718	5.043	4.925	7.853	6.2864	7.3459	7.4011	6.4345	6.9271	6.0728
EA_G__SERPINE2	4.0868	4.5291	7.1362	5.0367	4.5921	8.5856	4.3339	6.6648	6.196	10.0503	4.0924	4.3624	6.511	6.4522	5.0436	6.2877	4.351	4.4667	7.9244	5.5267	4.4716	8.6674	4.8736	4.5462	4.2566	7.5002	4.6258	6.157	6.2779	4.8582	4.7758	4.3674	6.3207	7.4697	5.5084	4.4828	4.7034	4.6027	4.4743	4.4909	4.3197	4.6893
EA_G__FOSL1	5.7631	6.0413	7.5462	6.1458	5.9209	7.919	5.8606	9.0589	5.8613	8.9972	6.4142	5.6608	6.5225	9.6121	8.7498	8.1476	6.1033	5.9831	8.443	7.8496	6.2968	9.5414	6.2276	6.2266	5.9202	7.7186	6.2518	9.0294	6.0945	5.7333	6.9064	6.1028	9.2315	7.675	8.8965	6.0134	6.702	6.2235	6.2177	6.1091	6.0999	6.6548
EA_G__TSPAN15	10.7984	9.8778	9.8263	10.9843	10.8123	5.9455	9.6871	8.6585	7.7059	7.1726	10.0108	11.304	6.5389	8.5996	8.2911	9.3744	10.6364	10.3737	8.5205	6.7083	9.9074	5.7659	10.1381	9.8403	10.1996	8.4957	10.7309	8.9092	9.9043	11.0955	10.7178	10.8031	5.8294	6.72	5.9083	10.8783	9.4913	9.7656	9.5826	10.1287	9.2614	9.4224
EA_G__ABCC4	4.0162	7.9015	4.1881	5.887	4.057	7.9337	4.8344	7.9145	4.1608	6.591	4.2718	3.7883	7.984	6.0505	5.8245	6.6924	4.4895	4.194	6.9176	7.1819	4.3603	7.2826	6.884	5.8639	4.3607	8.2748	5.4801	6.8775	5.2767	6.6107	4.9413	5.1307	6.5936	6.4059	7.3103	6.1696	4.4039	4.3086	4.4926	5.0538	4.9592	6.3257
EA_G__TMEM63C	7.9641	8.592	6.0696	8.7886	7.8238	4.5419	8.2991	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.603	7.3911	4.2781	5.8289	6.3846	8.1346	7.6805	8.2487	4.4405	7.4794	8.0082	9.2885	7.5344	4.2336	4.6113	4.8724	8.902	8.7742	7.7339	5.4872	9.4194	7.6357	6.3547
EA_G__KIRREL	7.5887	5.9225	6.9042	5.6081	5.7258	10.3544	5.5244	9.7389	9.3978	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	8.6382	5.5212	5.5174	9.3051	9.8443	7.0456	9.2853	5.8194	5.7806	5.2632	10.0757	6.4854	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.6723	5.8787	5.7361	6.8062	6.3514	5.7109	6.6927
EA_G__DOPEY2	8.2239	7.9457	6.5423	8.2781	7.6848	6.7292	6.8553	6.4959	7.261	5.4701	8.972	8.176	5.1726	5.2203	5.5628	6.4086	7.668	8.0014	5.6175	5.1986	6.0869	5.9919	7.9673	7.5194	7.1617	6.3299	8.384	5.0722	7.8844	7.5647	7.2843	7.5263	6.4388	5.1658	5.6352	8.4635	7.2463	8.5448	7.6241	7.9335	7.2307	6.2296
EA_G__TFF1	11.84	6.7837	4.897	11.4404	12.9215	5.4971	7.8702	4.3741	5.1241	5.0018	11.8255	12.4366	5.5277	5.3954	4.6693	5.167	7.8188	8.9703	4.6936	4.9862	5.1043	4.7645	11.9278	12.3462	9.3139	4.4746	11.1606	5.7316	11.3324	5.6288	8.5496	6.452	5.3551	4.8953	4.847	10.6487	5.5541	5.7562	7.7064	12.854	6.1027	12.0692
EA_G__EIF5A2	5.0671	6.2951	7.8413	5.3636	5.4876	7.0288	3.9816	6.5229	4.6112	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	6.6962	4.3065	4.1127	7.1292	7.9963	5.1445	8.1412	6.4023	6.2623	4.3311	7.3762	6.1378	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.8266	4.4717	5.0973
EA_G__MGAT4A	7.1175	7.2337	6.1293	7.9405	6.6441	3.5648	7.0458	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	4.2994	7.5161	4.4567	7.106	7.0817	5.7758	6.8743	4.1153	5.0296	3.4517	7.4609	7.7127	6.3828	5.6407	6.6198	5.7478	4.6306
EA_G__STARD10	8.7444	9.3189	7.1028	9.838	10.3464	6.9657	8.9884	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.0078	9.147	7.3262	6.4872	7.4777	6.0307	9.734	9.5739	9.1011	7.4208	9.3232	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.838	8.704	9.3903	8.7334	9.6701	9.2205	9.5445
EA_G__BCAM	9.8674	8.5352	7.2259	9.581	8.9707	6.2673	8.0224	7.1544	8.0057	6.9655	10.324	8.5515	6.7296	7.6049	7.9327	7.5802	9.5644	8.0228	7.377	7.7845	6.7104	7.3065	8.3757	8.9779	9.6798	6.5678	9.3828	6.643	10.3764	9.5041	8.8674	9.7229	6.3302	7.3465	6.1911	10.1589	9.4881	10.6832	9.4485	8.6028	9.8222	7.872
EA_G__ST6GALNAC2	10.2973	5.0291	5.516	10.3685	9.1426	4.5595	8.7228	6.5984	7.353	4.8036	9.9648	6.5371	4.6823	5.9709	5.9589	4.8008	9.0183	8.1178	5.1009	5.8811	7.4136	4.6967	6.3217	8.8799	9.8266	5.7877	9.9075	4.6438	11.3695	9.1258	9.9534	5.1063	4.954	6.391	4.6258	9.9215	6.6702	10.1722	9.3112	10.0639	10.5198	10.1631
EA_G__ADM	6.4321	7.8699	8.2549	6.7316	6.3919	9.2873	6.4248	8.2428	6.6451	7.5044	6.2464	7.0564	6.6729	7.9741	8.8778	8.7503	7.8693	7.2347	7.2128	7.2707	6.52	10.4389	7.4329	6.5314	6.9772	8.6667	6.6563	8.0916	6.7527	7.0205	6.9918	7.7146	8.0335	8.0033	7.3379	6.5653	7.3322	7.1694	7.7755	6.1965	6.2225	6.2827
