Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1
EA_G__STOM	8.591	9.1783	4.5654	6.9998	7.5333	3.6502	9.1499	9.7818	6.1824	7.5525	6.5692	6.029	7.8983	6.4679	7.2851	7.8592	6.8963	7.1012	6.3305	8.0693	6.9746	6.7668	7.1077	6.6551	6.7003	6.9536	7.0975	7.5557	8.5757	8.8794	8.3549	7.5708	5.8828	5.1276	6.2849	7.3799	8.0856	7.6787	6.4211	8.218	7.4044
EA_G__ZNF689	7.1686	7.9547	7.6914	7.2698	7.1272	7.1521	7.9025	7.8283	6.6913	7.788	10.1663	6.7056	7.5898	7.7696	7.5855	6.699	5.2033	7.4825	7.2877	7.3127	7.3883	7.8832	7.9564	7.4465	7.3665	7.1109	7.3277	7.8217	7.7445	8.2893	7.0525	7.7666	7.172	7.551	7.0675	6.8933	6.9406	7.2193	7.0399	7.511	7.1368
EA_G__GPX3	7.5789	7.674	4.7153	4.74	5.4562	4.6798	4.8372	4.8467	5.0002	4.8887	7.2128	5.9978	5.1039	8.1789	7.909	5.1258	5.1499	4.6263	6.2864	5.1306	4.8137	6.7304	7.1046	5.9258	5.8952	5.6241	6.3043	6.8691	6.8519	5.3461	6.5249	4.8553	5.1436	5.1288	4.6904	7.0019	5.1866	7.0751	6.6847	4.8937	4.8702
EA_G__GTF2H2	5.0168	6.2007	6.1545	5.4935	6.4197	7.134	7.0588	5.2525	6.1047	5.9034	6.7451	6.7485	5.7983	5.7171	6.458	5.5018	6.5077	6.2479	6.4542	5.9592	7.1931	6.3577	6.3349	5.6664	6.2029	5.0151	7.1046	4.5368	7.9252	4.7259	6.7036	5.6078	5.7591	8.0914	6.4786	5.2863	6.4758	6.9225	6.3934	6.5748	6.2038
EA_G__MXRA5	6.3669	5.6939	7.0799	8.355	7.7035	5.6922	5.6588	5.7879	6.8828	5.6509	5.332	5.4795	5.3846	5.9717	5.5264	6.9973	7.5141	5.5388	7.1314	5.8116	6.4568	5.8408	5.8104	5.4971	9.4697	5.9552	5.4874	5.4645	7.4138	6.2964	6.6364	6.3146	6.0046	5.5719	6.1501	7.0036	5.9821	5.9915	5.6832	7.0636	5.8478
EA_G__GYG2	7.8871	7.1576	5.0908	6.2027	6.4853	5.2693	5.7758	5.0278	5.4435	5.294	6.8818	5.6047	7.0613	5.6904	6.3938	5.9091	6.7178	4.9633	6.8701	5.4592	4.9197	6.1102	6.7559	5.4648	8.9014	7.8392	5.5224	7.9013	5.0136	6.0633	5.6047	5.4549	5.4488	5.136	5.1981	6.3422	5.6961	5.9374	7.7537	7.8063	7.0443
EA_G__C17orf37	10.2627	12.1616	9.4327	12.5067	10.0183	9.6297	9.9884	9.7393	8.7276	9.4784	13.0107	9.7623	12.9521	9.5497	8.8984	13.0916	9.1605	10.6536	10.2348	9.8217	9.1925	9.7035	9.7398	10.1657	9.7471	9.5811	9.5775	12.0721	10.1387	10.4964	12.051	9.5708	9.2545	9.6907	9.4564	13.376	9.9787	10.4971	12.8045	10.2002	10.228
EA_G__DDHD2	7.5814	6.6682	7.8297	7.8708	8.5831	8.425	9.225	7.1647	8.3195	7.1887	8.076	8.2407	8.7901	7.4931	7.7637	7.3346	6.9961	7.2047	9.0409	7.0119	7.5496	7.439	7.0192	10.2308	8.2695	7.0951	7.648	8.3489	7.3949	6.6243	7.3787	7.3833	7.7	8.0667	7.9687	6.793	9.6374	7.7394	7.461	8.5178	8.6977
EA_G__CRABP1	4.8226	5.1661	4.8173	4.9957	7.7027	4.9595	10.7418	4.8742	4.8406	4.564	5.0847	4.6772	8.4409	5.059	6.756	5.0858	5.3617	5.5451	4.3649	5.7906	4.9128	4.8034	8.0664	9.4595	6.9542	9.1514	4.7107	7.22	6.4765	5.9732	5.6534	4.863	5.1217	4.772	5.0576	5.023	5.3886	5.7072	9.7499	7.0687	5.8284
EA_G__PNPLA3	7.2811	5.5648	6.6519	4.9407	6.4017	7.4872	5.7505	6.6264	7.5731	7.0269	4.619	8.8619	8.0043	6.6288	6.294	7.2937	6.9787	5.1807	7.2279	8.0173	6.3625	5.5723	5.0879	5.952	5.9585	5.8705	4.9472	4.7538	7.3528	7.4951	5.7974	5.933	7.725	6.646	5.0905	6.9222	8.0881	6.5966	5.8743	6.1496	6.9942
EA_G__TSEN54	8.1719	8.2347	7.8821	7.9326	8.2435	7.3471	8.602	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.7048	7.5306	7.8915	7.7392	8.7507	7.4928	9.2291	8.6467	7.5815	7.3676	7.6907	7.6974	7.5495	7.7498	8.2297	8.3159	8.2921	8.5669
EA_G__STARD3	8.6038	11.0005	7.6703	11.6755	8.3238	7.704	8.3756	7.7797	7.712	8.0941	11.6862	7.7375	7.0771	8.264	7.7935	12.1044	7.9649	8.4927	8.6671	8.2598	8.272	7.8381	7.7682	8.5094	7.7795	8.2495	8.4776	10.5954	8.2645	9.3549	10.7309	8.1765	7.3145	7.8384	8.3666	12.3685	7.7257	8.5737	11.2988	8.1594	8.1242
