Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	-1
EA_G__LOC653391	6.5666	6.9131	6.9086	7.1983	7.2077	6.6292	8.0002	7.3097	6.5219	6.9319	6.3736	7.7959	7.6275	7.6459	5.7625	6.5929	7.0805	6.409	6.3346	6.4281	6.6881	6.0577	6.9954	6.7399	7.0051	7.3013	5.7961	7.2901	6.637	7.2294	8.9528	6.2286	6.5107	6.2781	6.0329	6.7981	7.771	7.1838	7.4489	7.9916	9.8749	8.768
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	4.0369	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	10.1534	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	6.5768	4.0202	10.0856	3.8114	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	9.5589	10.3671	9.2285	9.8379	10.6397	10.3255
EA_G__S100A3	4.4039	5.3412	4.9353	4.3282	4.2059	5.6023	4.3749	8.6903	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	5.8534	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	4.3606	8.4498	4.8696	6.8913	4.202	4.152	5.2117	6.455	6.0566	6.3403	6.9666	4.1692	4.1719	4.8878	4.3484	4.3595	4.5112
EA_G__TP53INP1	7.1211	4.0339	4.7723	8.5398	8.086	6.3946	6.9129	4.3717	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	8.0398	6.8808	4.0731	6.0588	6.1896	5.8195	7.2924	7.6158	7.3659	6.6539	7.4096	4.5579	8.3123	7.0256	6.518	4.5237	3.7159	4.1588	3.8629	7.5959	7.2959	5.8419	6.9661	6.8327	6.9651
EA_G__MTSS1	5.8587	5.6912	4.5068	6.8843	7.0331	6.4919	5.8012	4.7009	5.3065	7.1918	6.2432	8.5811	7.0421	7.0883	7.5023	7.0308	5.9383	5.6926	4.9353	5.3388	5.1834	4.8634	5.7994	5.7517	6.2886	5.725	5.0317	6.4292	4.561	6.0564	8.121	5.6778	5.9113	5.2908	4.9113	5.8955	5.5815	6.5243	7.5958	6.1442	7.146	6.6464
EA_G__MPP7	8.0834	7.201	6.8077	7.6254	7.7941	3.5809	7.1178	5.6788	6.0094	6.4583	3.9626	7.6765	8.069	7.0109	4.702	6.5822	6.5066	7.1208	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	7.3818	3.4258	7.7846	4.8621	7.4319	7.8872	4.7048	6.7447	3.9781	5.7979	4.8244	7.7533	8.0238	5.708	8.7197	7.4885	6.8702
EA_G__BAMBI	9.043	7.9415	8.956	10.9483	9.7965	9.5427	7.1282	6.4441	8.9009	9.2597	7.6812	11.554	8.6742	9.0298	5.2225	9.1935	8.7315	10.0132	10.7307	9.5724	7.367	8.4422	7.3105	10.6285	11.5012	9.9713	7.2104	10.8275	6.5424	11.1828	10.2395	8.4677	8.8646	4.7859	7.5736	6.0396	10.2713	10.2083	8.641	10.9692	11.0753	10.0016
EA_G__KREMEN1	6.5585	6.9751	6.0424	8.046	7.4854	6.2366	6.3047	7.0071	7.6357	6.6143	7.7238	9.2185	7.0632	7.6468	7.082	6.9969	6.8058	7.631	7.5835	6.7676	6.5842	5.4202	6.1612	7.2185	6.9237	7.4166	7.088	8.303	6.2457	9.67	7.3885	7.2974	6.9629	6.9396	6.5568	6.1826	7.9062	7.6804	7.3377	8.1413	8.2097	7.8019
EA_G__LOC100049076	7.0936	7.0762	6.7879	6.3557	7.0575	6.2671	7.8785	7.3542	6.241	7.2365	7.6562	8.0347	8.0606	7.9715	6.8279	6.8261	6.4388	6.8744	6.2467	7.4016	6.368	6.2444	7.2473	6.6934	6.7555	7.5183	7.1619	7.5832	7.0123	7.754	8.6545	6.3745	6.662	6.4034	6.3731	7.1051	8.438	6.6784	8.4421	7.3706	8.8073	7.8687
