Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1
EA_G__PGM1	7.8898	8.6544	6.894	5.8824	8.622	4.6605	8.209	7.3383	10.4094	8.5205	6.1105	6.4397	8.8014	7.6357	8.8727	8.9912	7.0929	7.8702	8.6363	7.5637	9.1468	8.202	6.5508	6.1904	7.7642	8.2013	6.8272	5.1604	8.7974	7.7994	9.0118	8.4064	7.9723	8.5244	9.113	8.4196	4.5141	8.3836	7.488	8.3279	8.1875	7.4485
EA_G__SERPINH1	7.187	7.3958	7.7554	8.1819	10.7772	9.6641	8.7146	8.7474	9.805	9.8248	6.7306	7.0871	9.6875	9.2517	8.9848	7.9256	8.0142	7.8561	9.3818	8.8324	8.5792	9.3069	8.675	8.3777	5.5225	8.0429	8.1184	7.1842	8.3636	8.3513	7.8898	7.323	7.7277	9.5428	9.1354	9.0903	5.519	9.2812	8.5007	7.8912	7.6511	7.3851
EA_G__FRS2	6.545	6.6066	7.2486	8.8278	5.9902	7.4857	6.6569	8.5966	6.2576	5.6344	7.7237	9.6185	5.7709	6.3205	6.1976	6.6407	6.8085	6.7248	6.1196	7.4001	5.826	6.294	6.9359	7.3791	6.7882	6.4004	8.5965	7.149	6.4967	5.9963	6.3146	6.217	6.9707	6.7021	6.0999	6.3039	7.21	7.6064	7.2332	7.892	7.813	7.7037
EA_G__EPHB6	5.857	8.4969	6.3002	5.5279	5.4516	5.5827	5.8782	5.6146	9.9697	5.9448	5.2634	5.6494	5.536	6.0019	6.8125	6.5558	6.8535	8.6402	6.1908	5.7022	7.7802	7.2581	5.9095	5.8963	5.4641	5.4894	6.0295	6.1026	5.765	6.261	7.729	7.3595	5.7308	5.6583	6.4799	6.0107	5.5256	6.6515	6.5689	5.6638	6.4258	5.5975
EA_G__MAML2	5.1654	6.667	4.6254	4.5892	7.6742	3.8292	6.0776	7.95	6.2085	7.2799	3.5172	3.7807	8.8662	6.2387	7.5965	8.5358	5.4807	8.6942	7.8364	7.5118	8.6885	7.9423	4.9397	5.5006	7.8878	6.8569	5.7608	3.7884	6.2059	4.3487	8.1226	6.4097	6.5553	6.6754	7.3799	7.2715	6.203	4.7606	6.1689	4.2942	5.1283	4.2388
EA_G__TOM1L1	9.489	7.6603	11.1528	8.9596	7.4255	9.1088	7.0603	8.7525	6.8062	6.4184	9.3334	10.0995	7.2869	7.4997	7.2579	8.116	7.9165	8.1689	8.1728	8.2532	7.2323	6.7395	8.5358	9.3382	7.8329	7.7808	9.9911	9.1808	7.4769	7.9222	8.1949	7.5116	8.7465	9.1269	7.732	8.0915	8.2536	8.208	8.9751	8.6278	9.847	9.8839
EA_G__PCDHGB1	5.0599	4.4612	4.367	4.5862	4.4758	5.6041	5.2418	4.4472	6.3499	9.3409	5.879	4.9562	7.4466	6.6533	7.7468	5.3934	8.2422	5.9619	6.6024	8.2842	8.2718	6.0722	6.6534	7.0064	4.4936	4.349	7.2956	5.5065	6.0721	4.7021	6.2925	5.4568	4.6585	8.206	4.5065	5.0315	7.9374	6.3798	8.1219	5.9438	4.4347	5.2577
EA_G__MYST4	7.0307	7.28	7.2199	8.4465	6.5277	6.3824	6.3675	6.8866	7.1206	6.6054	7.7331	8.0713	6.421	6.5186	5.9631	6.3027	7.7007	6.7349	5.8394	6.8652	6.0591	6.5269	6.4161	7.4607	7.212	6.5672	7.9534	7.5016	6.883	6.9041	7.1234	6.9537	6.4276	6.8183	6.9037	6.3843	7.8271	6.1145	6.8248	7.1588	8.713	9.517
EA_G__RHOB	9.2793	9.3585	9.8896	9.3985	7.6395	10.3938	8.4008	7.6986	6.9264	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	7.9047	9.6821	8.7278	7.261	6.7834	7.1452	8.2823	9.565	9.2465	8.3788	7.5833	10.0124	8.9442	8.7425	9.8377	8.1129	10.0424	8.032	7.0709	7.9873	8.8352	8.6291	9.0331	8.5103	9.1206	9.1928	9.4859
EA_G__EDG3	7.4502	6.934	10.4128	9.7139	6.3952	9.5367	8.6075	8.0358	6.8443	8.9643	9.1369	8.9153	7.8993	5.3846	7.8087	9.1444	9.3102	7.1815	7.2726	8.8852	8.5981	8.5947	8.383	8.9758	9.7428	7.7877	9.4427	8.5052	9.2437	8.8173	7.4434	8.0215	7.7399	7.9986	8.4006	7.2288	9.8528	8.3141	6.9779	7.5722	8.9381	8.2089
EA_G__CYFIP2	6.9195	7.6336	9.0937	8.0094	4.9558	9.1605	5.324	7.1359	6.1258	4.9594	6.3421	7.6514	6.2954	5.2496	4.8951	5.2998	5.1125	8.4513	6.591	5.0957	5.0147	4.9933	7.4391	7.4575	5.4852	5.7216	7.2038	9.1192	6.9705	6.5537	4.426	7.9774	7.7762	5.9874	5.4906	6.214	9.1159	9.0647	8.058	8.4102	5.4775	8.5427
EA_G__TXNIP	11.4477	9.4899	11.1834	11.1451	8.2016	8.8252	10.3525	9.5002	6.4032	8.5213	9.9252	11.1727	9.0635	9.0577	8.9978	9.1034	11.1923	11.4956	9.4844	7.1337	9.0548	6.1876	10.1424	10.7257	8.7961	10.0538	11.9748	11.7421	9.8831	10.2077	4.0258	9.9995	11.9953	6.8938	10.3401	9.2695	10.9129	10.6894	9.2288	10.4638	11.0805	10.3522
