Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	1	-1	-1	1	1	1	1
EA_G__SLC12A2	11.0489	7.7784	8.1504	10.349	9.1326	7.0937	7.5373	7.6191	8.0808	8.0458	6.9817	10.8473	7.569	7.6518	7.232	7.8916	8.4272	8.3111	9.589	7.6019	7.7225	8.0086	8.9947	8.7156	8.6511	7.1474	7.7202	11.102	10.3887	8.4168	7.7307	7.6855	6.7804	7.0958	9.8354	8.7048	8.3015	7.5585	7.4819	7.7776
EA_G__TP53INP1	7.1211	4.0339	4.7723	8.5398	8.086	6.3946	6.9129	4.3717	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	8.0398	6.8808	4.0731	6.0588	6.1896	5.8195	7.2924	7.6158	6.6539	4.5579	8.3123	7.0256	6.518	4.5237	3.7159	4.1588	3.8629	7.5959	7.2959	5.8419	6.9661	6.8327	6.9651
EA_G__ATP2C2	7.3612	7.1301	6.3762	8.2179	7.788	5.3497	7.7028	5.2331	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	7.2734	8.3016	6.6985	4.6332	6.8254	4.8393	8.5253	8.1187	4.7757	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.6677	6.6969
EA_G__DEPDC6	7.4503	6.6941	5.2717	9.1632	7.448	4.9752	7.5121	5.0898	6.4015	6.416	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	5.8436	7.74	8.5968	6.2251	6.0457	7.4547	9.2139	6.8396	7.695	7.3615	5.541	9.0918	9.6198	7.432	8.03	6.4449	6.1382	5.6161	7.127	9.8221	6.946	8.0294	6.7683	7.0533
EA_G__S100A3	4.4039	5.3412	4.9353	4.3282	4.2059	5.6023	4.3749	8.6903	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	5.8534	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	8.4498	6.8913	4.202	4.152	5.2117	6.455	6.0566	6.3403	6.9666	4.1692	4.1719	4.8878	4.3484	4.3595	4.5112
EA_G__LMX1B	6.9476	7.0005	7.2729	9.3656	9.0905	6.9439	7.6305	7.3941	7.1723	6.8839	6.6951	8.6262	8.5572	6.8858	6.9417	6.9284	6.8258	6.8833	7.4215	6.8074	6.8958	7.5919	6.4544	7.7392	8.5642	6.6147	6.5912	8.4106	7.433	7.7919	6.7515	6.5205	6.695	6.3187	8.6843	7.5381	7.564	7.6533	7.4231	8.3092
EA_G__DKK3	5.3981	5.5437	5.662	5.7281	5.4745	8.5109	5.6116	8.8344	5.7278	6.3657	8.1004	5.4808	5.5502	5.6327	6.9404	5.5621	5.7794	5.8143	5.638	6.2634	8.5884	5.6952	7.4382	6.0512	5.7428	10.7195	6.0222	5.2727	5.3942	6.4128	6.08	7.8756	5.8818	9.2136	5.5876	5.8885	6.1618	5.9572	5.8007	5.6656
EA_G__RNF43	5.3598	5.5481	6.4542	9.0024	6.2745	4.517	7.0424	5.2826	6.9704	4.5084	4.5124	6.8189	7.5374	4.6685	6.1754	6.2646	5.8021	5.4243	7.392	6.6274	4.3808	5.6474	5.393	7.2004	8.5708	4.3806	4.7247	9.1075	8.2078	6.6093	5.1643	4.3623	6.5364	6.1999	7.3213	6.961	5.925	6.1298	7.9528	5.3555
EA_G__NPNT	9.7175	4.796	4.7201	6.5012	7.8917	4.441	10.7625	4.4581	8.1607	5.8982	4.3833	7.3872	11.8091	11.6626	5.0469	8.443	5.5542	10.1728	8.6324	7.036	4.1383	8.539	4.1836	8.3548	8.2778	9.2354	4.3101	6.7171	10.0655	8.3994	6.4436	3.8952	5.0532	4.2828	7.6355	5.4506	5.7851	6.7138	6.9318	6.0306
