Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1
EA_G__MB	5.5817	7.2958	5.4405	5.2965	6.4939	4.99	4.5217	6.6331	5.3755	4.4841	4.3542	5.2556	8.1329	5.7617	4.0266	5.7767	5.9646	5.6589	3.8807	4.2898	7.3515	7.1651	5.9651	7.5111	4.3969	4.8076	3.9391	5.781	6.2852	6.3506	5.5164	6.4085	7.0086
EA_G__EIF5A2	5.0671	5.3636	5.4876	7.0288	3.9816	6.5229	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	4.1127	7.1292	7.9963	5.1445	6.4023	6.2623	7.3762	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.8266	4.4717
EA_G__CTNND2	5.4629	7.5316	6.6776	5.4046	7.6145	5.578	5.2439	7.9285	5.2685	7.2004	5.5369	5.2641	7.6463	5.6685	5.1254	5.7386	7.963	7.877	5.4372	5.2979	8.3406	8.2045	7.5643	7.5688	5.3627	5.7529	5.5902	6.5579	5.7347	5.943	5.4129	7.3165	6.9607
EA_G__RAB27B	9.4487	9.7252	8.7548	9.9569	8.8503	7.2326	5.5529	9.6875	7.5786	4.7529	6.7212	7.2258	8.5582	6.7514	6.7386	8.7507	8.1154	8.2999	6.2771	5.1949	9.7182	9.0257	9.2615	8.2384	5.5805	6.4372	6.374	8.4761	8.9339	8.1278	7.9657	8.0961	10.0686
EA_G__LHFP	6.1614	5.4274	5.774	8.7766	5.1859	7.2268	7.5145	5.1002	7.5025	6.0825	7.0349	6.7126	5.3806	6.8659	7.1626	5.8128	5.8162	5.6178	7.6395	7.2848	5.1617	5.2191	6.2937	6.4466	7.4815	5.9507	7.0226	7.117	5.2327	5.7135	6.1764	5.4187	5.6329
EA_G__XBP1	11.283	11.4285	11.4319	8.6723	11.3432	8.5408	9.4895	11.6752	10.8517	8.688	9.1233	8.734	11.2423	8.6586	8.207	9.7409	10.908	11.5332	8.4505	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.4501	11.6409
EA_G__SGCB	6.7863	4.8878	5.9552	7.0929	3.3793	6.6802	7.1509	3.04	5.2005	6.2462	5.4632	4.7161	3.212	6.5926	6.4121	3.5149	4.5618	4.753	7.3587	7.1684	4.7077	3.4655	3.4017	4.3251	7.1462	5.8862	6.8411	4.8611	3.9321	5.3476	4.7311	6.1989	3.9669
EA_G__GPD1L	7.1581	8.9161	7.7328	6.4188	7.7827	6.2488	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	9.6036	7.1174	6.939	6.6889	8.6801	8.5606	6.3214	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	7.872	8.385
EA_G__SELENBP1	9.3821	9.1265	9.3341	5.4145	10.1056	5.6859	8.1306	9.097	8.0519	8.1768	5.6338	7.0976	10.3951	5.9801	5.5176	9.058	8.4871	10.0174	5.6347	7.434	9.528	10.4363	10.1032	10.6142	5.3724	6.0275	6.422	9.7696	9.591	9.8577	8.6891	10.0604	10.8426
EA_G__ALDH3B2	7.8751	11.3608	8.8077	5.8866	9.7334	6.4255	6.1384	9.5823	7.6199	7.7955	6.3071	6.4469	10.2674	6.2786	6.047	6.1466	8.5602	9.6127	5.6515	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.1133	9.2081	9.9559
EA_G__ALDH4A1	6.6137	9.6464	7.5347	6.4231	8.4263	6.2446	6.1997	8.3781	7.28	7.0017	6.8621	7.236	8.1332	6.577	6.5174	8.276	7.8706	7.9981	6.5559	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	7.3929	8.1326	7.6348	9.4543
EA_G__PIB5PA	6.827	8.2578	6.7071	5.9039	9.6074	6.094	5.745	6.4018	5.6085	5.7297	5.4173	6.1321	8.1127	6.2215	5.7362	7.4908	6.5917	7.1141	5.4621	5.8495	7.7113	8.0325	8.7984	8.1997	5.6103	6.7177	5.7789	8.9248	8.6425	8.3854	7.2749	8.3268	7.7171
EA_G__PLCH1	5.2438	6.9586	6.0596	3.9486	8.0482	4.651	3.9777	7.7608	6.6251	5.4736	4.7252	4.4941	8.1232	5.2036	3.6959	6.6154	6.6504	6.832	4.9347	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	5.562	8.1434
EA_G__SPDEF	9.8828	10.7931	10.5658	5.6685	11.013	5.9359	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	10.0929	6.9762	5.6718	6.3194	10.0469	10.246	5.6466	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.6581	9.6624	10.226	11.1169
EA_G__GAS6	8.408	6.2495	7.4227	8.7318	6.9574	8.0175	8.2738	5.6314	8.2318	6.8698	9.5241	8.0954	6.0168	7.7492	8.9542	6.1677	6.3184	6.3637	9.0093	8.1029	6.1465	6.9816	6.629	6.2172	7.3513	9.7676	8.4195	6.3654	8.4263	6.6006	7.6072	6.1753	7.0646
EA_G__CTNNAL1	6.2431	6.4387	5.6072	8.7735	6.3931	8.1612	7.0137	7.1051	6.4816	7.2239	8.0383	7.9871	5.4545	6.4832	7.6805	5.2114	6.1901	5.6676	8.9997	8.7663	6.723	5.544	5.0793	5.2778	7.4006	6.8008	8.0664	7.008	3.6217	5.7089	6.5608	6.3006	5.4776
EA_G__KIAA1244	8.6271	7.9794	7.8373	4.7103	7.731	6.7773	4.9291	9.7452	7.5222	5.2587	7.0398	6.8008	9.4749	6.767	4.6396	7.3284	8.4806	8.5158	4.7583	6.9271	9.3135	10.3382	9.7247	8.5838	6.5364	5.8571	5.421	9.2156	9.3295	10.1233	8.0033	9.1089	8.061
EA_G__FOXA1	9.78	10.3303	10.2426	5.7805	10.2446	6.6946	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	9.8686	7.3927	5.4563	7.5836	9.5923	9.8998	5.6855	6.0524	10.1447	9.4248	10.0194	8.8238	6.1961	6.457	6.1073	9.5103	9.6063	9.8896	9.6996	9.7959	10.3109
EA_G__MUCL1	9.7015	11.9418	10.2431	4.8957	8.9223	4.5051	4.9442	8.2638	6.8099	4.7529	4.7936	4.5822	8.4609	4.7998	4.6962	4.8549	6.192	7.9264	4.9978	4.8186	11.1491	8.2536	10.2257	5.8615	6.5654	5.2871	4.4087	5.4239	12.5835	9.5991	5.3747	11.7143	10.7729
EA_G__SLC39A14	7.2392	6.7073	6.6778	9.7325	7.094	7.6136	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.898	7.8345	8.1108	6.6582	7.1446	6.7092	7.542	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	7.5143	6.2866
EA_G__MYB	6.4454	7.7499	7.6455	5.0163	7.364	5.9692	5.1898	8.3839	7.6386	5.2504	4.5412	5.2464	8.0208	5.3536	4.5154	5.93	7.1808	8.0709	4.4789	5.6926	8.6746	7.4365	7.2492	6.6892	4.7019	5.5426	4.7383	6.1985	6.1338	6.9719	6.8456	7.1594	6.537
EA_G__TOX3	7.6904	8.5875	6.9683	4.4321	6.5337	5.4214	4.415	7.6402	4.4988	4.116	4.7216	4.182	7.3639	4.4069	3.9878	4.5242	4.6907	4.7136	4.1138	4.2706	8.4109	9.1685	7.8902	5.2199	4.6364	4.374	4.3532	7.696	7.7374	7.5964	4.397	6.9844	8.4415
EA_G__GPR160	6.7527	8.0657	6.759	3.3556	7.1076	4.229	2.9609	9.3959	7.726	4.058	3.7191	5.921	6.9804	4.7694	3.446	5.8982	7.7744	7.445	2.9737	4.3088	7.3759	8.3753	7.7969	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	8.1528	7.8124	7.3001	7.6953
EA_G__ATP2C2	7.3612	8.2179	7.788	5.3497	7.7028	5.9351	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	8.3016	6.6985	4.6332	6.8254	8.5253	8.1187	4.7757	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.274	7.6677
