Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1
EA_G__GBE1	6.8244	7.5239	8.155	6.3966	6.5794	8.5971	6.6869	8.843	7.4889	4.9943	8.6312	7.5394	6.471	7.5278	7.1057	7.6762	7.967	6.3813	5.8657	7.6057	8.2961	6.5153	9.4952	6.8885	7.5212	7.2937	8.7027	6.8781	5.6533	7.102	7.1436	8.6559	8.4116	9.5431	6.0081	6.5628	6.1145	7.2027	7.0531	6.4247
EA_G__TNFSF10	7.2591	5.7198	3.5621	6.1808	6.6762	3.9131	4.191	3.6986	3.5048	7.7882	3.4474	7.5689	6.5684	3.5722	4.645	6.3477	6.4558	5.204	8.1757	5.2783	3.5772	9.709	3.725	3.7304	4.1417	6.8426	4.6852	7.0454	8.5212	6.1688	4.2662	3.6572	4.2944	3.437	7.5867	9.1214	7.7597	6.7804	5.9878	4.0143
EA_G__NCOA1	5.7013	6.7755	6.6703	6.6969	6.4277	6.0786	5.9324	6.1676	5.7387	6.4161	5.8875	7.9094	7.0539	6.4869	5.1038	6.4759	6.3607	7.8082	6.9388	5.9142	6.0282	6.6922	6.4098	6.6132	6.8043	7.2551	5.8861	7.114	6.5122	6.1483	6.4088	5.6262	5.6425	5.8318	7.6638	6.5291	6.9219	6.5437	6.6471	6.328
EA_G__GBA2	7.0611	7.9182	7.2585	7.1177	7.7517	7.7342	8.9204	7.6969	7.3434	7.9632	7.1583	7.0217	7.9961	8.1298	6.9633	7.4439	6.7869	7.8723	10.8175	7.7709	7.9028	8.3792	7.6672	7.5137	7.7553	7.8072	7.9523	7.9938	8.3174	8.0147	7.6414	6.5285	6.4815	7.3485	8.6403	7.3107	8.0718	7.2136	7.6339	7.5122
EA_G__SCUBE2	4.7629	5.0546	4.9929	5.8206	11.4402	4.9679	4.8344	5.0948	4.6654	7.3754	4.8634	5.6711	11.3873	5.0011	5.0155	4.8528	5.0303	5.0603	7.8015	4.8511	4.9676	5.1207	5.0834	6.1512	7.9257	6.3243	4.9595	7.4764	5.106	5.7841	5.3968	4.9885	5.3571	5.0823	5.1082	5.4785	5.2741	9.74	4.9859	5.4146
EA_G__FOSL1	5.7631	6.0413	7.5462	6.1458	5.9209	7.919	5.8606	9.2825	9.0589	5.8613	8.9972	6.4142	5.6608	6.5225	9.6121	8.7498	8.1476	6.1033	5.9831	8.443	7.8496	6.2968	9.5414	6.2276	6.2266	7.7186	9.0294	6.0945	5.7333	6.9064	6.1028	9.2315	7.675	8.8965	6.0134	6.702	6.2235	6.2177	6.0999	6.6548
EA_G__PLXND1	8.4841	7.676	7.6166	6.7531	8.4025	6.1691	7.3083	7.7008	6.6701	8.3487	7.0234	7.7191	8.7714	7.9056	7.1263	6.8018	6.2004	6.6459	8.554	6.3407	7.9336	8.1718	7.47	8.4443	7.9899	8.8234	7.071	7.553	7.083	7.9119	6.8313	6.881	7.4619	6.1199	9.7749	7.7921	7.7438	7.6225	6.6854	7.1503
EA_G__DOPEY2	8.2239	7.9457	6.5423	8.2781	7.6848	6.7292	6.8553	5.8713	6.4959	7.261	5.4701	8.972	8.176	5.1726	5.2203	5.5628	6.4086	7.668	8.0014	5.6175	5.1986	6.0869	5.9919	7.9673	7.5194	6.3299	5.0722	7.8844	7.5647	7.2843	7.5263	6.4388	5.1658	5.6352	8.4635	7.2463	8.5448	7.6241	7.2307	6.2296
EA_G__SACS	4.5844	5.5065	5.7151	4.387	4.7922	8.2338	5.5884	6.5643	6.3576	7.2455	7.5184	5.6008	4.9033	5.9435	6.2962	5.4477	5.9335	3.4612	3.5737	6.839	6.8542	4.146	8.3747	5.1792	4.7755	6.9225	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	4.3278	6.2313
EA_G__TMEM63C	7.9641	8.592	6.0696	8.7886	7.8238	4.5419	8.2991	5.1121	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.603	7.3911	4.2781	5.8289	6.3846	7.6805	4.4405	7.4794	8.0082	9.2885	7.5344	4.2336	4.6113	4.8724	8.902	8.7742	7.7339	5.4872	7.6357	6.3547
EA_G__CTNNAL1	6.2431	4.2542	7.954	6.4387	5.6072	8.7735	6.3931	8.6011	8.1612	4.1256	7.0137	7.1051	6.4816	7.2239	8.0383	7.9871	8.3836	6.2664	5.4545	6.4832	7.6805	5.2114	7.9664	6.1901	5.6676	8.9997	8.7663	6.723	5.544	5.0793	5.2778	7.4006	6.8008	8.0664	7.008	3.6217	5.7089	6.5608	5.4776	5.9197
