Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	-1
EA_G__KLHL2	8.3587	6.0843	5.8795	4.8245	5.5681	4.4533	5.6745	4.8289	5.2569	6.2357	7.2477	5.2499	5.7442	5.9133	7.0091	6.8963	5.9809	5.3661	6.0851	5.5678	6.1052	6.2443	5.8969	5.594	6.1928	7.3609	6.058	6.831	6.0377	5.1092	6.5699	5.3609	5.8007	6.5952	6.0257	6.0448	6.3355	7.3673	5.3257	4.8985	5.6249	5.2991
EA_G__ELF5	4.2981	5.8202	7.3218	7.309	4.3044	4.9445	4.6138	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.1992	7.4263	5.3967	4.094	4.411	4.0815	6.4913	6.7385	4.0654	4.2349	6.8165	4.3561	4.3397	4.6392	5.7308	6.1555	4.6482	4.6594	4.1047	8.7989	4.5889	5.8785	8.5803	7.339	5.3151	6.8873
EA_G__SPRY4	9.0195	6.6202	6.6733	6.5233	5.3949	4.3592	5.1087	5.8668	5.2156	4.8916	8.3628	4.455	5.675	6.5175	5.971	6.6496	7.3777	5.3601	6.1623	5.7014	4.8896	7.4247	5.4056	4.9412	5.617	8.7764	4.8798	6.9874	6.6369	7.335	5.9385	6.0836	7.291	5.7511	7.4834	7.3463	7.16	7.3526	4.5094	6.2514	4.3416	4.5361
EA_G__DUSP6	9.8728	5.2274	9.4609	7.1006	5.9895	4.9247	6.9374	5.8978	4.2526	6.6354	8.795	5.5236	4.7839	9.6087	7.3352	8.9962	7.6982	6.4023	7.7043	5.4817	5.005	7.6371	5.7042	5.4104	6.56	10.3426	5.7494	8.1152	6.1026	9.5996	7.4542	5.0428	6.9765	6.9249	6.2371	9.1666	7.692	11.3319	6.2762	7.5986	5.0224	4.2821
EA_G__MT1JP	6.7292	6.6321	6.2727	6.3985	6.9116	6.6686	6.9877	6.6193	5.8113	6.6685	6.5757	6.7785	5.8586	7.179	7.6138	7.8824	5.8863	6.3952	7.5047	6.5983	7.2695	7.4192	6.4199	6.6983	6.5937	8.0383	6.3704	7.7117	7.0822	6.9775	6.1844	7.1574	8.626	8.2754	8.4374	6.9914	6.874	8.0625	5.7723	6.1877	6.591	5.6863
EA_G__MSL-1	8.3143	9.5621	8.0684	8.5439	7.6181	8.671	7.5789	7.5438	8.1079	7.5239	7.0892	7.678	7.9667	7.5503	7.291	7.2022	7.4844	7.4556	7.6121	8.1564	7.084	7.2103	7.5327	7.4885	7.7784	7.5154	7.0039	7.2696	7.288	7.5585	7.706	9.1093	7.3865	6.9794	7.651	7.6485	7.4469	6.9326	7.8802	10.7038	7.957	7.6873
EA_G__CYBRD1	8.8064	4.3372	4.9547	4.0631	7.6114	4.3254	7.5301	5.7306	5.583	4.58	8.7916	5.217	5.8898	6.3778	6.5731	4.8922	7.4008	4.6864	4.8483	7.1127	7.7659	7.2027	4.3843	4.8649	7.9563	7.6871	6.5278	6.7933	7.352	7.5195	6.0901	4.923	8.6932	9.2077	7.1187	8.8201	9.6421	5.2229	7.3353	6.3207	5.6993	4.4819
EA_G__GAL	5.663	5.1076	5.6671	6.8518	5.351	5.6496	5.3981	6.9161	7.531	5.9946	5.0022	6.2855	9.8244	9.3584	8.1175	5.8454	5.2346	6.1611	8.1456	7.1952	5.5051	4.9659	6.3427	6.921	4.8406	4.6978	6.0197	5.0283	8.9826	5.7312	6.6721	5.6401	5.2223	6.4893	5.6417	6.0155	4.7193	5.5239	5.4186	5.8586	5.6344	7.9118
EA_G__ELOVL2	4.4509	4.6151	5.704	9.5104	6.7806	10.4794	9.2658	5.3619	7.6891	5.4073	4.5827	8.883	4.305	4.3237	5.0745	4.4337	4.4856	4.1933	5.8873	7.049	4.4812	5.4261	5.5976	7.0984	7.7464	4.2232	9.6627	4.1122	7.0029	4.6696	6.6971	4.8449	4.488	4.8972	4.6371	4.6223	8.662	5.3316	8.008	4.9692	5.4117	6.5635
EA_G__ECM1	6.7716	6.1191	6.9577	6.2551	5.786	5.6779	7.3295	7.9959	5.9024	7.5814	10.8279	5.7397	5.5639	7.0095	6.195	5.9834	5.922	5.4321	6.074	6.0819	6.0952	8.5332	5.8797	6.2035	5.8615	7.8287	6.684	6.2559	6.4758	6.4748	5.2676	6.2118	7.9966	6.6804	6.4288	6.1959	9.4233	6.0158	5.79	6.0164	5.7783	5.5644
EA_G__PDGFC	6.2406	5.2252	4.5988	4.6285	6.9602	4.254	6.294	6.6341	6.9329	6.5961	5.683	4.128	4.3127	5.9231	5.6638	7.0851	5.5828	6.1259	5.5105	6.0058	6.6886	6.8017	4.0501	4.408	6.6632	8.0265	5.6458	4.57	5.7232	5.3536	5.982	4.9157	8.2663	6.9944	7.0339	3.9536	6.0774	5.2456	6.1582	3.8801	5.4219	5.5455
EA_G__SAMD9	5.7288	4.6962	2.7646	6.5777	4.7489	3.0983	7.0023	3.4597	5.7345	5.7574	2.7804	5.9947	5.8533	6.588	7.8562	8.9928	5.3186	3.2942	5.0249	5.6006	8.6525	7.7061	4.4465	3.6845	6.4122	6.9152	5.492	6.7635	5.4216	3.1373	4.0606	4.124	6.1146	5.49	6.5337	4.4255	6.3606	7.7545	4.7244	2.8464	4.2702	3.345
EA_G__HINT2	8.0052	8.1953	8.3493	8.5204	8.0287	8.444	8.6631	8.6324	8.2309	8.3192	7.9605	8.1995	7.829	7.835	8.4917	8.1694	8.1664	11.004	8.228	7.9399	9.7754	7.7405	8.2384	8.5383	7.8426	8.1583	8.8464	8.33	8.9384	8.9275	8.2797	8.1775	7.4303	7.5048	7.462	7.8726	7.9341	7.5324	8.6064	8.5092	8.5007	8.2774
EA_G__IFI16	4.0877	3.3135	3.0329	2.8529	3.211	3.0887	7.2564	3.0011	4.1357	7.8109	2.953	3.1713	6.782	7.3153	6.8005	7.608	3.2238	3.3307	3.4206	7.3667	8.5168	6.9341	3.2072	3.5063	7.0177	6.146	2.9532	3.8313	4.8527	3.6445	3.2313	3.521	3.32	6.6117	7.8237	3.212	3.3221	3.8013	3.6526	3.1544	3.128	3.2743
SNP__ZNF462	0.003	-0.163	0.13	0.149	0.209	0.064	0.293	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	0.223	-0.633	-0.201	0.047	-0.211	0.161	0.02	0.188	-0.418	-0.176	0.297	-0.296	-0.055	0.024
EA_G__TMEM45A	3.4262	5.435	3.6833	3.8514	7.4132	3.5319	5.1699	7.2249	4.0808	6.8617	7.5313	3.9416	3.8688	6.2257	8.9489	7.9683	3.4496	6.9746	6.5289	6.6702	7.6299	7.5793	2.931	3.9082	8.7799	6.7967	3.7988	7.9835	5.7699	4.2971	7.4867	5.4476	8.3158	10.5267	8.06	7.0406	4.7847	8.6417	3.2231	4.2422	2.72	3.9655
EA_G__EMP1	7.3819	6.3911	5.8153	5.7756	6.8032	4.0355	5.0923	9.1487	4.3234	7.6364	4.3292	3.8499	4.3325	8.4222	8.4295	6.9615	4.8464	7.2113	6.964	5.7053	8.5989	7.4242	4.1604	3.8749	5.7537	7.2059	4.2582	6.4765	7.5572	4.4231	6.9579	5.8757	7.6785	7.6572	7.8355	4.3011	6.8222	6.9305	4.6827	4.4767	4.816	3.5023
EA_G__ITGA6	6.7446	3.5983	6.6671	6.3461	7.6542	5.1661	6.8924	9.2656	5.7846	8.5126	7.5573	5.6742	7.6857	10.5288	10.3204	8.9874	5.8986	3.6557	8.6883	6.2079	7.0879	7.2968	4.2723	3.9472	6.793	8.1442	6.6046	8.5089	7.6112	7.7496	7.938	4.1794	7.3789	8.221	8.2275	6.6701	9.0005	7.5001	6.7193	7.6797	6.882	4.358
EA_G__GPR126	6.8478	8.0341	6.6201	6.7439	7.9196	6.9405	8.7708	8.109	5.7541	3.8332	6.7778	6.4435	8.8443	6.6616	7.4616	7.5043	6.6911	9.3007	6.4323	8.5359	7.2764	4.4042	8.8511	7.8803	5.7475	8.7706	7.1496	6.6251	5.9444	5.4252	6.962	7.7016	4.9384	6.4364	6.2928	9.739	7.8677	7.3974	7.062	8.2171	7.2827	6.9298
EA_G__GNG12	7.9257	8.0554	6.9215	6.2823	9.5214	5.0723	8.5558	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.5179	7.3246	8.9495	9.2848	9.2523	10.1455	5.2669	6.6554	8.7552	9.0735	6.6523	8.8439	9.0434	7.2152	8.5136	7.7602	9.7441	7.9395	9.8269	7.4973	7.9682	7.8464	7.0967	6.8414	6.0561	6.6101
EA_G__DPYD	5.7967	5.64	4.3788	4.2825	8.3159	4.2017	7.8964	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	5.538	4.5943	4.9597	9.4643	8.6987	8.286	4.1438	5.5058	7.1156	8.739	4.3333	7.724	7.2207	5.5622	5.0709	5.8884	7.8689	7.0905	7.6585	4.0732	5.9466	6.7683	4.2669	4.0758	4.0451	4.3467
EA_G__CDK6	7.6087	5.6752	5.5281	6.6409	6.9192	3.5988	6.7525	8.8538	6.6364	7.2937	6.125	4.3767	6.4356	7.7804	7.8837	6.7871	6.4649	6.8198	7.98	7.6771	7.5952	8.5033	5.7383	5.2545	8.4198	7.8416	5.6047	6.5876	6.1665	4.1059	5.4074	6.5554	8.4041	6.9278	7.5734	6.8846	5.9779	7.8478	4.3604	4.162	3.7064	4.1368
EA_G__ASRGL1	7.1149	7.0425	5.6356	6.5771	6.3831	5.0036	6.4931	7.3281	7.1895	6.3351	4.5902	7.1005	5.729	6.1189	6.368	5.3845	5.4255	7.2684	7.2256	6.573	4.9263	5.1455	6.733	6.0474	6.0371	5.6172	7.5256	9.2882	6.7345	6.0556	7.8553	7.2998	5.8367	5.5255	5.1819	6.353	5.8212	7.3248	6.848	8.3195	5.795	5.7236
EA_G__AKR1C3	8.0916	5.8327	3.7726	4.7068	5.4481	3.7124	4.7289	7.3325	6.3418	10.6601	6.7336	3.9747	3.603	9.7453	7.0165	8.7086	3.8587	4.4783	8.7665	8.2096	9.9154	5.3562	4.0953	5.5774	6.6928	5.1815	4.8762	10.6157	4.9063	4.4237	9.1691	4.1457	4.9186	6.397	8.0434	8.6478	9.5521	6.251	4.6757	3.9799	4.0118	4.8184
EA_G__H2AFY2	8.1988	5.3299	9.2559	8.3241	5.3209	5.4754	8.1386	7.8704	9.4872	6.1545	5.8495	7.878	6.2785	6.7217	7.4557	7.5053	6.0565	5.8091	8.1304	8.1102	7.9249	5.6012	8.2846	7.9538	8.1688	5.5163	8.1898	5.096	7.5171	7.16	8.7501	5.5325	7.0571	5.8205	5.3303	8.8905	5.1359	5.7419	7.9909	6.8286	9.006	8.477
EA_G__CNN3	8.4208	5.6037	7.712	6.7753	9.0177	9.2162	9.186	8.9063	8.3886	8.6155	9.2855	7.7128	8.5625	7.7239	9.4372	9.1471	8.8511	7.7323	9.3889	9.7847	9.7946	9.0441	4.2049	3.5971	9.392	9.5909	8.2272	9.1239	8.1729	9.3042	9.1002	7.601	9.0462	8.283	8.3459	8.3036	11.249	8.6341	8.8297	7.4936	8.3843	4.7103
EA_G__TGFBR2	6.9434	7.122	6.5636	4.7044	7.6681	4.6862	7.6677	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	7.1766	8.7346	5.9185	7.2226	7.7136	5.4298	7.4191	6.893	8.0594	8.1697	9.4684	5.389	6.9689	5.8513	5.002	5.1139	4.6654	4.2384
EA_G__DGKA	7.433	4.4751	5.3974	7.4241	6.2792	4.3122	6.4094	6.5983	4.6969	6.6392	5.6883	5.5778	5.0049	7.8271	7.7338	4.6749	7.0938	4.6922	6.892	6.0061	7.839	7.1502	6.1252	5.6762	6.4423	6.7012	7.3961	7.82	6.5774	5.9852	5.9692	5.4855	6.732	7.4715	7.0566	5.9385	7.4059	8.9425	7.8377	6.8881	6.7272	6.9672
EA_G__TFAP2C	8.4653	10.5778	10.7608	10.6184	7.8386	9.2186	7.3581	9.3715	8.6474	8.6443	10.4105	10.6646	9.1427	7.5203	8.1918	9.9949	8.3308	9.229	8.6087	7.8509	8.6552	6.3748	9.5426	9.962	9.3239	7.7802	9.0826	7.7759	8.7367	8.0262	9.6231	10.7448	4.2527	8.6018	6.8846	9.3288	9.5985	9.3561	9.5701	9.9779	8.6696	9.141
EA_G__ATP1A3	6.5694	8.9251	5.6713	7.9862	6.7662	6.6755	7.5369	6.1781	5.4779	5.7338	5.3612	6.447	7.6039	6.5785	6.5915	5.7931	5.5629	5.4458	6.5714	6.9067	5.5707	5.6273	6.6523	6.6414	6.5633	6.8437	5.6585	6.1735	7.1303	6.1758	6.2792	6.789	6.6408	5.8709	5.5016	5.9154	5.5549	7.0571	6.8462	7.758	6.0614	7.4953
EA_G__ARSJ	6.7046	4.1618	7.2598	4.4582	8.8682	4.1374	7.4675	6.9042	4.5932	7.8876	5.794	4.076	6.2482	7.0085	6.1297	6.2761	4.735	5.422	6.2652	6.6957	5.9446	7.9663	4.401	4.4831	8.3193	7.9827	5.8497	5.4783	6.0087	5.9855	6.9233	4.3994	6.8218	6.515	7.9454	4.071	5.7022	5.9841	6.0991	4.5306	4.5496	3.8537
