Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	1
EA_G__ALDH3B2	9.1519	7.5805	11.3608	5.8866	9.7334	6.4255	8.223	9.5823	7.6199	7.7955	6.3071	10.2674	6.2786	6.047	6.1466	5.7429	8.5602	9.6127	5.6515	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.1133	9.2081	9.9559
EA_G__CFL2	6.2396	6.251	6.3734	8.7936	4.5717	7.1761	6.166	7.3432	6.5647	6.9818	6.4944	6.2266	7.5471	8.3928	5.6348	8.126	5.8954	4.952	7.5996	8.0775	5.6671	5.3072	4.1366	5.8516	7.78	6.119	7.9761	6.6884	4.9737	5.9966	6.4361	6.0929	4.1521
EA_G__ALDH4A1	7.563	7.3057	9.6464	6.4231	8.4263	6.2446	7.1993	8.3781	7.28	7.0017	6.8621	8.1332	6.577	6.5174	8.276	6.5183	7.8706	7.9981	6.5559	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	7.3929	8.1326	7.6348	9.4543
EA_G__PLCH1	7.5273	3.3755	6.9586	3.9486	8.0482	4.651	7.1018	7.7608	6.6251	5.4736	4.7252	8.1232	5.2036	3.6959	6.6154	3.6139	6.6504	6.832	4.9347	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	5.562	8.1434
EA_G__CRIP1	5.31	5.3267	9.7731	5.334	5.4641	5.3474	8.9387	11.7544	5.561	8.2598	7.0206	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	5.3967	4.9174	9.2424	6.8474	7.5698	5.9588	5.2163	8.9972	5.2167	5.7411	6.8932	5.2574	9.2766	9.2825	9.7626
EA_G__EIF5A2	6.2951	7.8413	5.3636	7.0288	3.9816	6.5229	4.6112	4.0049	6.0151	6.4365	8.0195	4.1127	7.1292	7.9963	5.1445	8.1412	6.4023	6.2623	7.3762	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.8266	4.4717
EA_G__RND1	8.2366	5.1518	5.5848	5.2959	7.5678	4.9253	6.6945	6.5432	5.3653	4.8394	5.688	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	4.321	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	5.9817	7.1618	8.9243	7.8627
EA_G__FAM120C	6.9119	6.4205	6.9027	7.5805	6.9332	6.2679	8.4703	7.0268	6.7884	6.3034	5.144	7.8624	4.9352	6.3925	6.2466	6.2966	7.8199	7.3178	6.2234	6.1857	6.9862	6.9113	7.2472	7.2245	5.878	6.9624	6.042	6.8034	6.3654	6.0982	7.9788	7.8176	7.9865
EA_G__FOXA1	9.0384	8.3542	10.3303	5.7805	10.2446	6.6946	6.2072	10.1068	9.1466	5.6115	7.0308	9.8686	7.3927	5.4563	7.5836	5.5995	9.5923	9.8998	5.6855	6.0524	10.1447	9.4248	10.0194	8.8238	6.1961	6.457	6.1073	9.5103	9.6063	9.8896	9.6996	9.7959	10.3109
EA_G__TMPRSS2	7.2062	5.9505	7.4163	4.76	5.2206	5.9465	7.398	8.4729	6.5273	4.686	4.6026	9.8984	4.5147	4.4592	8.9766	4.216	7.2592	6.7275	4.3741	4.2222	6.094	7.3281	6.4244	7.2688	4.3749	4.9769	4.5539	6.2306	7.1473	5.1128	7.3834	5.9248	4.9624
EA_G__ELK3	5.7875	6.4343	5.0173	6.3793	6.0668	6.2242	5.6844	6.0164	6.0869	6.0582	6.9747	4.5117	6.5217	6.7734	6.2157	7.2924	6.2209	5.6102	6.1929	8.1946	5.6704	5.4659	5.4923	6.0903	8.2677	6.319	8.0026	5.7072	5.567	5.9615	5.5961	5.5168	5.4524
EA_G__LARGE	7.6411	6.3724	8.2811	6.4327	9.2071	5.23	7.0295	8.5957	8.6586	7.3338	5.688	9.0514	5.108	4.9343	7.5548	5.6162	8.0168	8.493	6.9842	5.0348	9.7924	7.8886	8.0502	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	6.5147	7.7088	8.4373	8.51
EA_G__RERG	5.7883	5.1813	7.0617	6.9909	7.1023	5.2465	9.1777	7.4429	6.875	3.3728	3.7	8.5667	3.7031	3.7498	8.8424	4.2458	5.4949	7.6464	4.9248	3.7492	8.2545	7.997	5.7481	4.6398	3.8895	7.7126	3.8277	7.7315	6.8926	4.3393	7.2201	6.6304	6.0999
