Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1
EA_G__ICA1	6.8007	4.2391	5.5241	7.7109	4.2132	7.1927	4.9716	5.9258	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	5.9834	6.8093	5.7834	3.9633	4.0011	3.8101	6.8677	7.0587	4.0082	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	7.7989	6.9839	7.286	7.3446	7.8273	7.4766
EA_G__HMOX1	6.6282	7.6033	7.977	6.4604	10.3403	7.8006	7.4218	9.441	8.9858	6.3006	6.8771	7.4095	7.0947	6.6083	6.9832	7.9572	7.1287	7.5388	7.7313	8.0817	6.7644	6.9032	7.0065	6.823	6.9709	7.2995	6.9214	7.8251	10.9474	7.5801	9.7875	7.075	6.622	6.6301	6.6336	7.2665	8.529
EA_G__C17orf28	9.3617	9.729	7.4386	9.6197	5.5952	9.5722	6.3666	6.9129	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	7.3859	8.2773	7.1557	5.8027	7.1023	5.3634	9.1167	9.277	5.3589	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.5063	9.3071	9.6105	9.9773	10.4072	10.4021
EA_G__ABAT	8.23	5.4464	7.4779	8.575	5.3302	9.2967	5.496	5.4262	5.5373	7.6306	10.8312	5.688	5.6851	6.7821	6.747	5.2465	5.5203	5.3154	5.3766	4.9875	9.1146	8.6121	5.7589	5.0792	10.0971	8.0442	7.7377	5.8369	5.7817	5.8305	5.4758	5.8015	7.1274	7.9643	9.9256	7.7029	7.5442
EA_G__GPRC5C	7.6101	5.5189	6.1655	7.332	5.3112	7.1347	4.7799	5.2041	4.9386	8.4073	6.3584	5.7559	5.6562	5.7216	6.4168	6.6969	5.5993	6.833	6.1201	5.8081	6.4901	6.5073	9.035	5.7161	8.8446	6.6127	7.499	5.8373	5.3311	6.0201	5.2279	7.0565	6.8851	7.9923	7.874	7.6601	6.7807
EA_G__FOXA1	9.78	9.0384	8.3542	10.3303	5.7805	10.2446	6.6946	6.2072	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	8.5271	9.8686	7.3927	5.4563	7.5836	5.5995	9.5923	9.8998	5.6855	6.0524	10.1447	9.4248	10.0194	8.8238	6.1961	6.457	6.1073	9.6063	9.8896	9.6996	9.7959	10.3109	10.1618
EA_G__AREG	6.2041	5.7836	6.7673	5.8584	5.1731	6.7787	6.5017	4.8797	4.9522	6.8361	6.199	4.9694	8.1086	7.338	7.7748	5.5203	5.7802	4.7099	5.6865	4.9715	6.0426	5.9791	4.6884	5.8989	6.7826	5.4017	5.6694	5.462	5.2824	10.2272	6.2371	6.5822	5.7593	6.9511	6.4223	6.0466	5.9556
EA_G__REEP6	7.2756	7.3124	7.8296	8.0118	6.6815	8.2179	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	7.15	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	7.2691	7.1275	9.1377	6.3806	10.0931	7.8307	7.1074	7.1343	6.4064	9.6168	7.6949	9.7124	9.2173	9.9128	8.8387
EA_G__PRAME	4.3168	5.9018	7.9136	4.3765	8.2097	4.7005	9.6874	10.7344	8.7901	4.11	6.8148	9.6168	6.3212	3.8922	7.7804	4.4848	4.6893	9.6601	8.6348	9.1812	4.6579	4.5637	7.8007	4.2546	4.5451	5.9514	5.1225	4.507	6.5983	4.4802	4.541	6.1804	8.688	7.777	4.5325	6.8262	8.4757
EA_G__FBP1	7.5216	5.2071	4.8652	9.4178	4.6472	9.2616	4.5261	4.8	4.8787	7.7114	7.8887	4.5754	5.8823	8.7709	5.6515	4.8183	4.6158	4.5283	7.404	4.6383	9.9041	10.3261	4.6404	4.8766	9.9939	8.753	6.105	8.9461	4.7417	7.7847	4.8368	7.8951	8.5676	8.2741	9.6585	9.9927	8.1147
EA_G__GPR124	6.1572	6.2907	6.2507	6.1908	6.6865	5.9578	6.2679	6.3984	7.2256	5.9889	5.9476	8.1697	6.24	6.1227	6.2101	6.7991	6.4929	6.6489	7.1157	7.4119	6.6003	6.3922	10.3343	6.3286	6.0251	6.1809	6.7951	6.4529	6.7114	6.3026	6.7205	6.7628	6.7618	6.3279	6.2505	6.1435	6.1915
EA_G__NRP1	5.8023	6.0498	8.0452	6.71	8.2096	4.441	8.138	8.1895	9.1956	6.0792	6.4417	4.4621	6.9841	7.1779	7.9053	8.0159	6.4355	6.616	7.5902	8.3999	7.107	6.9777	7.6503	7.5617	6.343	7.5409	5.0336	6.1362	8.3488	6.1973	8.7035	5.9388	5.1546	4.6438	4.8869	4.5539	5.6674
EA_G__CALD1	4.9976	5.3745	6.4921	4.0059	6.9477	4.1231	6.8428	7.5601	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.1864	5.3524	7.4511	7.9533	6.2922	9.3633	4.4971	4.3691	9.1755	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.1459	5.5227	4.6722	4.2721	4.3237	4.2804
EA_G__DNAJA4	7.9766	4.7516	4.5141	8.0682	4.2649	6.8891	6.3925	5.3544	4.7358	8.8331	6.9037	5.5941	7.0226	7.0286	4.6258	6.1691	4.6041	7.0471	6.3352	5.3644	7.0912	6.871	4.8811	4.7158	8.324	6.9391	7.0638	5.8064	4.5857	6.9409	4.803	7.474	6.8647	7.9157	8.4296	8.8969	7.5146
