Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	-1
EA_G__TGFBR2	6.9434	7.122	8.3904	6.5636	4.7044	7.6681	4.6862	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	7.1766	8.7346	5.9185	7.2226	5.4298	6.893	8.0594	8.1697	9.4684	5.389	6.8625	5.8513	5.002	5.1139	4.6654	4.2384
EA_G__ADAMTS2	6.1291	6.4219	6.3072	6.2602	6.0553	7.6736	6.1679	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.1105	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	10.5608	6.1669	6.0913	5.8184	6.9592	6.5254	6.4858	6.4164	7.2845	6.2169	6.3472	6.6946	6.26	6.1651	6.1176	6.2255
EA_G__REEP6	7.2756	7.3124	7.8296	8.0118	9.1556	6.6815	8.2179	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	7.15	9.761	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	7.2691	7.1275	9.1377	6.3806	10.0931	7.8307	7.1074	7.1343	6.4064	7.4075	9.6168	7.6949	9.7124	9.2173	9.9128	8.8387
EA_G__TNC	6.8419	4.5317	8.0622	7.9377	5.5042	6.5045	4.5282	10.3359	11.7961	10.5952	4.4803	4.2461	6.7117	5.6666	6.5706	9.083	5.1491	6.9443	8.7277	10.3709	9.8215	9.1583	4.8052	4.8852	10.3004	6.8871	5.9621	9.4908	9.8865	4.591	9.3078	7.1626	9.313	6.8903	6.6164	9.3018	4.8565	4.7517	4.5568	4.34
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	10.1534	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	4.0202	3.8114	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	9.5589	10.3671	9.2285	9.8379	9.9968	10.6397	10.3255
EA_G__ANTXR1	5.3638	5.021	6.8935	6.2803	4.3643	8.3203	6.4484	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	4.5918	6.41	7.5128	8.3548	8.5385	8.4815	6.8244	5.5532	9.1346	7.7099	4.9336	5.5327	5.7268	5.1019	7.686	8.0006	8.3681	6.3598	4.7558	6.7588	6.3156	5.2435	4.9089	5.114
EA_G__NPAL2	6.9008	5.9027	6.8153	6.3489	6.9902	4.937	4.6577	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	7.2119	6.8325	7.3829	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	6.6986	6.4927	6.9277	6.313	5.4176	5.8846	5.0348	6.7427	5.276	5.5001	8.6295	6.5493	6.7587	7.214	6.7578	6.4154
EA_G__TCEA3	8.2375	5.9539	5.5222	6.0256	7.4926	5.0487	8.8314	5.0673	5.5704	6.1196	8.0815	7.159	8.4022	5.5647	6.6279	5.2515	8.1284	5.1551	5.0747	5.9317	8.4357	5.064	6.9062	6.2141	5.6284	6.534	6.4577	8.4136	7.6133	5.6212	5.6072	5.5857	5.4579	6.1439	8.918	8.5451	7.826	7.9185	9.0069	8.328
EA_G__C8orf38	5.6885	5.2961	6.0933	7.4005	6.7728	6.36	6.5944	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	5.5815	7.5749	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.3628	6.663	6.2003	6.4429	6.5667	6.5273	6.1991	5.3366	5.7822	6.0141	5.8823	5.7278	6.8811	5.6055	6.2685	6.7931	6.1164	6.5177
