Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	1
EA_G__PSMD6	7.9501	7.7603	8.6325	7.5752	7.5897	8.1262	7.502	7.4861	7.8203	7.6362	9.278	7.638	7.8165	7.4017	8.5692	8.0698	7.4448	8.0692	7.7174	7.6386	8.4171	10.3431	10.7381	7.6745	8.4514	8.2692	7.0524	7.6056	7.5832	7.9681	8.0584	8.5595	7.9224	7.5789	7.6847	8.1159	8.3103	7.9965	7.9197
EA_G__GBE1	6.8244	7.5239	8.155	6.3966	6.5794	8.5971	6.6869	7.4889	4.9943	8.6312	7.5394	6.471	7.5278	7.1057	7.6762	7.967	5.8657	7.6057	8.2961	6.5153	9.4952	6.8885	7.5212	7.2937	8.7027	6.8781	5.6533	7.102	7.1436	8.6559	8.4116	9.5431	6.0081	6.5628	6.1145	7.2027	7.5811	7.0531	6.4247
EA_G__SLC40A1	6.8502	8.0701	4.2189	8.1892	8.6575	3.7959	8.0269	4.4506	4.0922	4.2159	7.8833	10.106	6.5779	5.4936	4.2927	5.1166	8.1015	4.3603	6.1059	5.223	4.0297	4.289	4.0528	5.7339	4.346	9.6424	8.3737	9.2989	7.1985	4.2552	4.3975	4.2056	8.3935	7.4368	7.0743	10.0715	6.5471	8.6955	7.2722
EA_G__RAB11FIP1	7.7489	7.29	6.7556	7.2374	10.9487	6.0996	8.0487	7.7821	6.9453	5.8301	8.3145	8.4506	7.1372	6.5495	6.7129	6.7962	8.1631	6.6448	7.058	7.0896	5.8517	6.8206	6.8315	7.2036	6.2077	7.9194	6.8136	6.9053	7.6757	6.0579	6.4956	6.959	7.013	10.2659	8.072	7.7446	7.0056	8.1997	8.3727
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	6.5807	5.2856	9.8394	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	5.7096	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	6.2829	10.3923	9.6963
EA_G__USP18	6.4502	7.6312	5.9496	8.1228	8.707	5.4966	7.592	7.7863	6.7528	5.3511	7.15	7.4145	6.6359	6.7563	7.453	6.9205	7.4281	7.1989	7.1833	9.0351	6.2376	6.6512	6.2841	4.9911	6.2885	7.7328	7.5471	7.9046	6.6632	5.592	6.0274	5.9321	6.1311	8.9507	6.5481	6.5261	5.8324	7.3981	7.0068
EA_G__UNC5B	6.5753	7.0232	6.5577	6.8685	6.5582	6.2771	6.5899	6.6071	8.8068	7.1329	6.5515	6.58	6.441	7.6947	6.8806	6.5015	6.7795	6.7281	6.6108	6.6756	6.5481	6.8162	6.8258	7.994	6.2731	6.7714	8.7105	8.2232	6.883	6.7858	6.9938	6.8899	8.958	9.5806	7.9586	6.9592	7.1746	7.125	7.263
EA_G__TTC19	8.6527	8.2419	9.1502	8.8749	8.2278	8.7502	8.0066	8.9872	8.1973	8.8045	11.2654	7.9345	8.8368	8.701	8.9498	8.4536	8.3788	8.8937	8.1428	7.8048	8.3982	8.0098	8.7224	8.7694	8.8368	8.2474	8.4269	8.5385	8.4692	8.3053	8.2343	7.9473	8.2896	8.1058	8.6106	8.0567	8.1428	8.3585	8.3437
EA_G__ADD3	6.6458	6.7936	5.9838	6.1357	6.08	3.6675	7.3762	6.6549	7.1568	6.6177	4.7737	7.6154	6.6105	7.5674	6.5917	6.7963	6.6152	4.7335	7.1144	7.6169	7.7425	6.0556	5.1911	7.2875	5.7074	8.3368	10.0224	4.4241	6.2413	7.1567	7.9093	4.0687	5.2859	7.9608	8.622	6.3595	5.9504	5.6145	7.1749
EA_G__BCAS2	6.2279	6.7805	7.8709	6.1467	6.0379	6.8632	6.5338	6.1219	5.7785	6.0715	7.0184	6.4264	6.8239	6.7915	7.7819	6.0808	6.0397	7.0405	7.6989	6.5601	6.6001	8.5313	9.044	6.5099	7.5764	5.8857	6.3185	6.3712	6.487	6.8064	6.7067	6.5679	5.8583	6.4755	6.0276	6.5575	5.9642	6.1783	5.9334
EA_G__RNF38	6.9148	7.2954	7.5098	7.1471	7.7674	7.0463	7.9632	8.3826	7.965	7.1016	6.9801	7.7336	7.6545	7.4289	7.1738	7.2114	10.3338	7.5205	7.1693	8.0718	6.9495	6.8272	7.2114	7.2771	7.3289	8.5698	7.3942	7.1435	7.1538	6.9445	6.2471	7.2272	9.2181	7.6777	7.5218	6.8799	6.8963	7.6115	7.2292
EA_G__METTL7A	6.6212	6.9604	6.7362	7.0326	6.869	4.438	7.0951	4.6015	6.7344	4.7987	6.5581	7.3135	5.4968	4.9351	6.486	5.4707	7.305	6.3376	5.6256	7.1115	4.6054	5.9996	5.7336	4.9239	4.5007	8.7566	8.0203	6.7689	7.6197	4.517	6.9958	6.3483	5.7368	6.5321	8.0299	7.8142	6.044	7.2418	6.1952
EA_G__KIF1A	5.441	5.8699	5.6009	9.6423	8.2468	5.5019	5.5673	8.863	9.3245	5.5078	5.1426	6.0836	5.5474	6.3807	5.3728	5.6188	5.6387	6.2192	5.5329	5.7274	5.357	6.2477	6.7221	6.5204	5.5465	8.3424	5.3544	6.1882	5.839	6.2375	5.9585	5.7378	9.1116	6.7563	5.7625	5.6265	5.5712	6.7046	7.7672
EA_G__TESK1	7.8959	8.3032	8.1661	8.4928	8.928	7.993	8.7249	8.4959	8.4588	7.8626	8.4984	8.442	8.6059	8.527	8.1811	8.2056	11.6165	8.5538	7.971	8.7505	8.1073	8.3541	8.3853	8.4285	7.8268	9.5718	8.7004	9.3688	8.2201	7.8973	7.1274	7.8586	9.2457	8.4639	8.6664	8.1986	8.1951	9.1038	8.8505
EA_G__PWCR1	8.9888	5.3227	2.5284	10.4187	8.1334	3.0837	9.3336	8.4868	2.947	3.1295	3.0359	2.8125	2.8025	8.2323	8.2084	3.26	10.2307	8.6462	9.3808	3.2082	6.4405	2.8341	3.1931	9.7707	2.8326	9.0792	9.374	8.6979	4.3452	10.521	8.6516	8.8029	3.2803	7.2789	3.4601	7.9272	8.077	6.948	8.2631
EA_G__LIF	8.4753	5.5574	9.0906	4.1308	5.6326	7.9653	4.2594	7.0714	6.2875	5.4033	4.3282	4.7354	5.1654	5.7753	6.312	7.6076	5.0649	8.8301	8.1927	5.7529	7.6527	5.5646	5.0286	4.527	8.8432	4.5779	4.9192	4.8537	5.3688	5.5197	6.3948	4.6722	4.8785	6.0052	4.5813	4.5721	6.6062	4.9532	5.9404
EA_G__SLC7A8	8.5421	7.6746	4.869	8.8236	8.1028	5.042	10.6962	5.0441	6.3737	6.0296	9.5636	7.2944	4.7488	8.4816	5.2606	5.1604	8.1148	4.7435	5.7111	5.5632	5.0076	5.3353	5.3922	4.7921	4.9899	10.2853	9.6818	8.7371	6.5396	4.8894	6.1091	4.9765	7.0086	8.4994	8.5397	9.0232	10.533	6.8407	5.1734
EA_G__C10orf116	8.5275	7.8628	6.5106	9.234	8.6953	6.0445	8.8934	8.0972	6.6043	6.3444	10.0804	8.4497	6.3077	9.3566	5.5352	6.2731	8.2283	6.4519	6.6204	6.9088	6.4827	7.4401	6.8984	6.5491	6.4931	9.9144	9.1916	6.8429	8.3492	6.279	7.7809	6.2948	6.332	7.8405	9.3617	7.999	8.5228	8.537	9.5151
EA_G__NRARP	6.2112	6.8668	7.4791	7.5116	8.0783	5.7388	8.8482	9.6105	8.0133	6.816	7.1517	7.5848	6.127	7.5263	7.3856	6.555	7.9415	7.3128	8.7656	9.0996	5.8181	7.9483	8.0612	7.7913	6.6337	7.59	6.1351	8.1237	6.9068	6.3695	6.8421	6.4552	6.6508	5.4912	7.0922	7.4726	6.2086	7.9159	8.21
EA_G__EFS	5.6312	5.8379	7.5074	6.6899	7.0576	5.2477	6.1714	6.8069	7.6687	5.6171	7.7741	6.2187	6.8659	5.846	5.8344	5.5482	8.1291	5.4385	7.0219	6.6711	5.7584	5.7557	5.8945	5.2271	5.5316	8.757	5.6034	7.8905	6.128	5.5567	5.6693	5.8229	8.2628	7.5521	6.116	7.2822	5.9159	7.2416	6.0806
EA_G__PIP	5.4517	6.0194	4.2726	9.8248	5.6362	4.5378	4.3694	4.1597	6.2646	4.891	7.1082	5.4811	4.2352	4.3455	3.9187	5.0015	5.4016	3.98	4.2767	4.7902	4.8801	4.254	4.5241	3.9924	3.8229	6.6374	5.211	8.0533	5.4421	3.9923	5.1924	4.433	11.7168	8.0814	5.4705	12.3875	5.4503	9.2289	5.9032
EA_G__GLT8D4	5.4162	4.7151	6.1753	4.6364	5.56	8.5909	4.5511	6.4599	6.9925	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	6.439	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	6.3558	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	4.7053	5.652	5.7258	6.6445	4.8007	5.769
EA_G__EHF	8.9418	7.9677	7.8953	8.8702	8.3787	3.4608	7.0353	8.5755	9.3891	3.7674	8.0012	6.4301	4.3068	9.4851	8.5171	8.2355	9.4367	7.3563	3.5329	8.1561	3.837	7.2835	4.963	3.0694	3.5169	8.217	8.8245	9.2446	7.1737	4.1825	7.2807	3.8479	8.8579	9.2408	8.1504	9.8011	8.7526	8.8216	9.3806
EA_G__CTSH	9.1657	7.8295	9.6938	8.0322	8.7116	8.5869	5.5315	8.4511	8.0863	6.4945	9.7603	8.0625	9.3242	8.5953	8.9432	9.5252	8.341	8.4416	7.2664	9.9204	5.6387	8.4003	8.9769	7.5765	7.2789	6.8818	8.5445	6.6818	8.1243	8.5227	8.5039	5.5465	5.5571	7.9805	8.151	8.5519	8.9272	8.1753	7.6677
EA_G__MFSD2	7.2966	7.7164	6.0506	8.6138	6.477	6.0257	6.2412	6.2149	8.0212	5.8516	6.1562	5.419	6.3786	7.6426	6.6083	6.4054	7.0198	6.887	7.071	7.4308	6.0344	5.6524	5.7796	6.7033	7.8895	5.9641	8.505	8.7674	8.0289	6.471	8.3094	7.1014	10.8495	6.757	7.2966	6.0039	7.0495	5.3309	6.8767
