Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1
EA_G__TDRD1	8.5848	9.3247	3.1454	3.3968	3.1632	3.5355	3.3401	3.4024	3.3948	4.4019	3.5965	3.301	8.6857	3.3682	3.5632	3.076	8.7778	3.5396	8.1653	3.6578	3.2298	7.6194	3.3586	6.3366	3.5619	3.1603	4.5212	3.2631	3.3948	3.5465	3.9365	8.8592	3.7634	3.5056	3.5987	3.3963	8.1851	8.6035	3.8299	3.6653	3.2557
EA_G__ZNF689	7.1686	7.9547	7.6914	7.2698	7.1272	7.1521	7.9025	8.2052	7.8283	6.6913	7.788	10.1663	6.7056	7.5898	7.7696	7.5855	6.699	8.036	5.2033	7.4825	7.2877	7.3127	7.3883	7.9564	7.4465	7.3665	7.1109	7.3277	7.8217	7.7445	8.2893	7.0525	7.7666	7.172	7.551	7.0675	6.8933	6.9406	7.2193	7.511	7.1368
EA_G__HLA-DMA	7.7846	6.1096	7.2135	5.4969	7.1099	5.3203	5.607	5.563	6.4711	6.846	7.1845	7.7241	6.4108	5.909	6.3016	6.3518	6.7919	5.8885	7.7145	6.1954	5.1876	9.0448	5.6239	6.1193	6.8527	5.948	7.0516	5.2159	6.1346	10.3753	6.3527	6.7923	6.9763	6.6222	5.739	6.4534	6.8265	7.3171	9.0091	6.2863	5.5486
EA_G__SPATA20	8.607	8.2653	8.4576	9.8882	9.1813	8.1514	8.139	8.2593	8.3121	6.1306	8.2299	8.5791	8.2522	8.7598	7.2456	7.3484	7.5176	10.0703	6.5447	7.6949	8.2231	6.7962	8.138	9.2789	7.7178	8.0638	8.4625	8.5716	8.8268	8.9717	8.4922	7.7205	7.4663	7.7456	7.3248	7.3058	6.6333	7.8187	8.4599	8.1349	8.717
EA_G__TTC19	8.6527	8.2419	9.1502	8.8749	8.2278	8.7502	8.0066	8.1906	8.9872	8.1973	8.8045	11.2654	7.9345	8.8368	8.701	8.9498	8.4536	8.1676	8.3788	8.8937	8.1428	7.8048	8.3982	8.7224	8.0369	8.7694	7.8061	8.8368	8.2474	8.4269	8.5385	8.4692	8.3053	8.2343	7.9473	8.2896	8.1058	8.6106	8.0567	8.3585	8.3437
EA_G__SYT8	6.8303	7.6929	7.5678	6.44	6.5346	6.4279	6.1642	6.5381	6.2781	6.3613	6.1181	6.3438	6.6819	6.2913	6.6771	6.3662	7.5477	6.46	6.5741	7.6114	6.0903	6.5336	6.3085	6.4505	6.319	6.0314	9.1213	6.273	6.4885	5.9924	7.0635	8.2657	6.3503	6.5691	6.5606	6.3762	7.982	7.136	7.9103	6.2935	6.5223
EA_G__TRAM2	7.4919	7.4497	7.1947	7.7429	7.2405	8.3778	8.3583	8.3202	8.7676	5.9855	7.3391	8.2415	7.5937	7.8997	7.765	7.4105	7.6465	7.5642	7.4326	8.3299	7.2095	6.8508	10.1703	7.4153	7.3019	8.4506	7.2469	9.3195	7.9978	8.0145	7.3065	7.4146	8.1999	6.9641	7.2903	7.6341	6.5949	6.9516	7.3451	6.8629	6.4375
EA_G__ATP6V1B1	8.431	8.806	5.902	7.3183	6.9918	5.9325	5.7772	6.6862	6.4595	6.2043	6.3031	6.1353	9.5806	6.3115	6.287	6.7994	6.0559	5.8694	9.4686	6.157	6.0111	9.3752	5.722	6.4098	8.1139	5.9892	6.9745	5.9529	7.875	9.1033	6.5552	8.2919	6.0271	7.2476	6.1054	7.2345	8.1543	6.8779	6.3264	6.1973	6.1065
EA_G__S100A8	7.2676	10.1954	6.7219	4.7807	6.3767	4.0005	5.3255	4.8262	4.6069	6.6263	7.1282	3.9801	6.3518	4.7881	5.1313	6.4967	9.2427	5.4674	9.4726	6.0559	6.0686	6.1721	4.7518	4.9561	4.5268	4.1872	5.7241	4.7909	4.5536	3.6908	5.3875	8.9045	4.823	6.3458	4.9514	5.3488	5.5872	6.402	5.059	4.5989	5.9159
EA_G__IFI27	7.372	5.8765	5.8672	5.9634	6.5869	5.8995	5.4532	6.2438	5.5807	8.8289	6.063	5.688	5.9176	5.9609	7.0174	8.4091	9.0494	7.3854	5.719	5.6297	5.5432	10.2193	5.4534	5.9099	5.7179	5.6424	6.2605	5.5659	5.7446	7.0341	6.5357	5.8964	6.6504	8.3749	6.7455	5.9171	10.8426	5.8441	6.2312	5.9358	5.876
EA_G__PEG3	8.333	4.0029	3.9245	4.5297	5.6461	4.0271	4.8626	4.2752	3.2884	4.0877	7.773	3.8743	3.6482	4.1597	3.9488	6.875	3.923	5.2097	8.1593	7.9688	3.6556	4.3159	3.6734	4.1998	8.7497	8.9885	6.2322	3.8592	3.977	3.5198	4.8486	4.8078	6.6983	4.3192	4.3046	3.7508	5.4255	10.9733	4.4931	3.9747	3.7608
EA_G__TMEM40	7.2854	7.4334	9.5548	5.7782	7.8476	5.2513	5.2131	6.6751	7.5406	6.6415	5.0773	6.6767	7.0888	5.194	7.6131	8.3898	8.0411	6.4523	7.7376	8.3524	4.9283	7.4664	4.9958	5.4015	6.3516	5.0811	8.6503	5.1149	6.7885	5.7731	5.6452	8.0187	5.178	5.4182	5.0215	8.4149	8.9724	8.5111	7.7856	6.5906	5.847
EA_G__GAB2	6.5488	5.6516	5.0685	5.7538	7.2887	5.0992	5.4774	5.5787	7.1803	9.1254	5.1476	5.5236	6.3058	5.4088	6.5113	7.2939	6.6694	6.0487	6.5785	6.3099	5.6834	5.2341	5.3595	7.2553	8.1084	4.9912	7.2688	6.1639	6.0832	6.4576	5.9063	6.2963	6.8582	6.0527	5.5268	6.534	7.7334	6.4724	6.8633	5.135	5.4669
EA_G__STEAP4	8.7208	8.8261	8.2268	3.6065	3.9258	3.5677	3.5754	3.6885	4.1022	7.0677	3.6997	6.8604	5.1387	3.3645	3.6121	8.0281	9.744	3.776	3.9855	4.4083	3.3684	9.233	3.3895	4.5633	3.5896	3.4877	7.5717	3.6511	3.6823	8.3019	4.0973	6.8116	4.0102	10.6528	4.3021	3.5768	9.1109	3.8375	5.9035	4.1833	4.1754
EA_G__BCAS2	6.2279	6.7805	7.8709	6.1467	6.0379	6.8632	6.5338	6.5677	6.1219	5.7785	6.0715	7.0184	6.4264	6.8239	6.7915	7.7819	6.0808	6.5837	6.0397	7.0405	7.6989	6.5601	6.6001	9.044	6.7778	6.5099	5.9668	7.5764	5.8857	6.3185	6.3712	6.487	6.8064	6.7067	6.5679	5.8583	6.4755	6.0276	6.5575	6.1783	5.9334
EA_G__DLG5	8.5367	8.2051	7.6128	7.6054	7.9137	7.4257	7.389	7.4203	7.1702	8.661	7.0411	7.5975	8.4243	6.8348	8.0736	7.2262	7.4377	7.6469	7.5578	7.6163	7.1961	7.3677	6.5017	8.3969	7.8307	7.1467	8.2111	7.1437	8.1074	8.0102	7.7634	8.54	7.7252	8.865	8.3913	8.8652	7.819	8.1331	8.281	7.9025	10.8081
EA_G__STRA6	6.7414	6.289	8.1692	5.4803	5.5155	5.7664	5.3015	6.9392	5.2021	8.3085	6.2458	5.2694	5.3811	5.311	5.6253	6.1813	6.659	5.7231	6.7091	6.389	6.6861	8.5028	5.7136	5.8201	5.3665	5.747	6.0357	5.6188	5.2515	5.3631	6.3975	6.4701	5.314	7.4427	5.6336	6.0435	5.6735	5.8389	5.8468	5.6851	5.5958
EA_G__VSTM2L	7.7422	8.012	6.5151	7.0129	6.9401	6.45	6.1622	6.8264	6.337	7.1204	6.482	6.317	6.8206	7.12	6.7261	6.5938	7.0164	6.4424	7.3487	6.9493	6.5689	6.7803	6.6125	6.8905	7.0929	7.3722	8.1028	6.9369	6.4124	6.215	7.2384	8.8512	6.3243	6.7686	8.1457	6.8802	7.1857	6.5892	6.5964	6.7339	6.6447
EA_G__OASL	6.3575	4.6211	4.5901	4.8774	7.4263	4.9747	4.704	7.8016	4.6733	6.4553	5.86	4.8026	5.6794	7.0772	5.3296	8.9251	8.3453	5.673	6.7479	4.7037	6.6389	9.1771	4.9312	6.1575	6.4121	5.2985	6.0756	6.5005	6.3562	5.4957	5.9698	4.8039	5.0465	7.4899	5.3478	5.3834	6.8892	6.7932	5.8265	5.187	5.1827
EA_G__KLK8	5.603	5.4796	7.03	5.5998	5.8405	5.5788	5.5953	5.9252	6.4393	7.535	5.6125	5.5485	5.4818	5.7206	6.9128	7.8264	8.2141	5.8213	6.7011	5.7217	5.5303	5.979	5.4428	5.6216	5.4979	5.4527	5.6829	5.5983	5.2973	5.6231	6.3025	6.042	5.828	5.8264	5.921	5.6875	6.9151	6.9526	6.0285	5.9249	5.5943
EA_G__GABRA3	6.3378	7.195	7.4992	3.5926	6.5108	4.0153	3.9212	7.0659	3.5361	3.5182	3.6624	3.0698	7.5554	3.5344	5.5103	3.5005	6.405	5.5881	6.679	7.4329	3.515	4.5329	6.819	3.9856	3.8184	5.4322	9.5611	7.2023	3.9977	5.971	4.458	6.5951	7.6812	3.8109	6.4307	10.7726	7.0942	7.363	4.8882	5.777	6.1744
EA_G__NAV2	7.047	5.9388	8.3512	5.1132	6.0164	6.6849	5.544	7.5525	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	7.7367	4.7494	5.5622	7.9494	5.0788	6.3855	7.6234	4.9935	7.0901	6.821	7.11	6.9071	5.3098	8.0044	5.7505	6.8978	8.132	7.6056	8.1373	6.9788	6.4853	7.9451	4.7301	4.8832	4.7912
EA_G__LGALS9	9.1096	6.517	5.6529	5.9719	6.721	6.2617	5.7438	6.0978	5.4988	10.0256	6.0292	6.09	5.7981	5.8534	7.0698	6.5379	8.712	5.9686	8.698	6.0939	5.8828	9.4803	6.1545	6.1773	6.2079	6.3995	6.6623	6.295	6.0785	6.8322	6.6965	6.562	5.8911	7.4495	5.7866	7.2905	8.9953	6.1498	6.023	6.213	5.8876
EA_G__SNF8	8.3855	7.2629	7.9927	9.9424	8.2756	7.7066	8.5111	9.05	8.5891	7.6052	7.6153	9.8547	8.9845	8.009	7.888	7.5924	7.7794	9.8551	7.466	8.0427	8.8797	7.1608	8.1036	8.3564	8.036	8.2399	7.6711	8.3732	9.2493	7.7645	8.5238	7.2603	8.1667	7.3522	8.3283	7.295	7.0669	8.5089	8.1056	8.3836	8.5801
EA_G__SPTLC3	5.9715	4.048	4.511	6.2292	6.2518	3.5235	4.4185	3.9087	4.2612	6.2954	7.0779	3.7477	3.8641	5.2119	4.7659	6.1131	5.0516	5.4214	5.3684	5.2206	5.6688	4.6642	7.2522	4.0369	5.5352	3.7662	6.693	6.4773	4.3243	6.3132	4.4117	4.7467	5.5062	9.0652	6.2771	6.7267	6.3364	6.2536	6.9141	4.1874	3.7549
EA_G__ZNF486	4.5816	7.0878	7.2297	7.1927	5.793	6.8734	4.4232	3.3021	3.6427	4.2603	3.7728	7.781	6.35	6.4402	5.1709	5.4276	4.1531	7.3461	4.5009	3.6526	6.5268	4.5546	5.5434	4.1299	6.1025	8.033	5.19	4.159	7.2738	6.9093	4.6083	6.9688	4.5652	5.4232	4.2516	8.1507	5.6854	4.0817	5.6763	3.6857	4.9399
EA_G__ABCC4	4.0162	7.9015	4.1881	5.887	4.057	7.9337	4.8344	7.1365	7.9145	4.1608	6.591	4.2718	3.7883	7.984	6.0505	5.8245	6.6924	4.4895	4.194	6.9176	7.1819	4.3603	7.2826	5.8639	4.3607	8.2748	5.4801	6.8775	5.2767	6.6107	4.9413	5.1307	6.5936	6.4059	7.3103	6.1696	4.4039	4.3086	4.4926	4.9592	6.3257
EA_G__PCP4	10.1667	6.5286	5.0555	5.437	6.6064	4.3983	6.5311	5.4923	4.6403	5.9112	5.1521	5.6116	6.06	4.7868	5.3258	4.6097	4.3657	8.0471	10.57	5.5234	4.9326	5.3257	4.6323	7.3361	6.2066	4.9014	9.0066	5.2082	5.9918	8.2043	5.2775	7.6777	5.4337	5.3151	5.7331	6.4316	5.3913	7.8539	7.8234	5.5744	4.8747
EA_G__PLEKHB1	7.6231	5.254	5.0693	5.3977	5.4151	5.0068	4.9418	5.5443	4.9636	5.7412	4.9862	4.8703	5.4097	5.8666	5.3732	5.3426	5.1327	7.2393	5.889	6.695	4.8447	6.0074	4.9419	7.3042	6.8043	4.8678	6.6047	5.5008	7.3923	5.9226	6.5504	5.4433	5.4751	6.104	5.0925	7.2975	5.5648	7.2707	6.1883	5.1969	4.9934
EA_G__S100A9	9.9286	10.4677	9.3762	5.0812	6.9142	4.3949	4.6743	5.1548	6.0501	8.569	5.7944	4.4989	4.2624	6.1371	5.9066	7.4444	9.4016	7.1889	10.6024	7.5374	5.7237	8.3124	4.4361	5.7212	4.7981	5.1561	7.6995	4.9199	4.4352	4.3882	5.3761	9.4696	5.0333	6.3185	5.2789	5.5378	7.0502	7.3179	5.8982	4.854	4.7601
