Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	UACC893	ZR751	ZR75B
Response	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	-1	1	1
EA_G__NEDD9	7.0541	6.369	5.6202	4.3702	6.2842	5.5287	6.296	8.1089	4.4978	7.6662	5.8265	4.8435	5.1507	7.9067	6.1884	6.6483	8.7324	4.4449	5.8518	6.7673	5.6187	6.171	5.5023	5.6725	7.695	5.7837	7.1416	6.0837	4.8665	5.3281	6.5838	7.4896	6.917	4.4785	7.5467	4.6345	7.1355	6.7999	5.1042	6.2367	5.6103	4.8497
EA_G__INPP4B	5.5609	8.2586	7.8952	6.7976	9.0549	5.5846	5.2547	3.8202	3.6908	6.6821	9.0399	6.2207	7.1384	8.0145	5.8217	4.926	6.9207	4.0702	6.683	6.1541	8.4551	8.0536	8.007	6.2776	8.6376	6.7377	9.2115	8.2744	4.0436	4.6256	5.8411	5.9112	7.3532	6.4328	6.4642	4.5528	8.8566	6.9154	6.5131	7.803	4.7484	4.2681
EA_G__ATP1A3	8.9251	5.6713	7.9862	6.7662	6.6755	7.5369	6.1781	5.4779	5.7338	5.3612	6.447	7.6039	6.5785	5.7931	5.5629	5.4458	6.5714	6.9067	5.5707	5.6273	6.6523	6.6414	8.8871	6.5633	7.2116	6.8437	5.6585	6.1735	7.1303	6.1758	6.2792	6.789	5.5523	6.6408	5.5016	5.9154	5.5549	7.0571	7.758	5.7177	6.0614	7.4953
EA_G__C8orf38	5.2961	7.4005	6.7728	6.36	6.5944	5.2213	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	5.5815	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.3628	6.663	6.598	6.2003	6.087	6.4429	6.5667	6.5273	5.2261	6.1991	6.3634	5.3366	6.3158	5.7822	5.8823	5.7278	6.5187	5.6055	6.7931	6.9358	6.1164	6.5177
EA_G__CD70	6.095	5.9264	5.9891	9.2873	5.8165	8.6229	5.635	6.0109	6.1717	5.5472	5.7894	5.9084	6.3698	5.9854	6.4595	6.0164	6.57	7.3889	6.1514	7.0363	6.5176	6.2921	6.1646	7.9037	6.093	5.8775	5.838	5.6141	7.0739	6.8988	6.031	6.4766	6.498	8.247	6.1209	6.271	5.7271	6.5134	6.0505	5.9258	6.2478	6.0144
EA_G__NPAL2	5.9027	6.3489	6.9902	4.937	4.6577	3.3981	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	6.8325	7.3829	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	4.6957	6.6986	7.2536	6.4927	6.9277	6.313	4.8701	5.4176	6.0651	5.8846	8.0668	5.0348	5.276	5.5001	6.3106	6.5493	7.214	6.6721	6.7578	6.4154
EA_G__IRF9	5.7972	6.4872	9.006	7.0059	5.6445	6.3465	7.1758	7.357	7.505	6.2185	6.9788	7.1472	5.6094	7.583	7.7266	7.061	6.5593	6.0724	9.0531	6.4571	7.1904	6.8928	8.3532	6.572	6.9745	6.2395	7.5352	8.6384	6.5629	6.0192	6.2491	6.1231	8.8675	6.3522	5.5514	5.9676	6.484	5.5177	5.6357	8.2194	5.2085	5.0718
EA_G__IFI6	8.8049	7.9177	11.3769	8.1399	6.2723	8.3114	9.5254	8.5864	8.7518	7.8325	8.8305	9.6611	7.6102	9.4937	10.3343	7.7947	7.5965	7.6075	12.4696	7.8243	8.8915	9.206	10.2621	9.0368	8.9342	7.4426	9.8659	11.0616	7.5357	7.5724	6.1693	7.6435	12.2609	8.5163	7.7294	6.7292	8.6806	8.3479	7.8069	9.9803	7.9529	6.4615
EA_G__NPNT	4.796	6.5012	7.8917	4.441	10.7625	4.4581	8.1607	5.8982	4.3833	7.3872	11.8091	11.6626	5.0469	5.5542	10.1728	8.6324	7.036	4.1383	8.539	4.1836	8.3548	8.2778	7.9445	9.2354	8.4311	4.3101	6.7171	10.0655	4.2042	8.3994	5.3552	6.4436	4.8194	3.8952	4.2828	7.6355	9.326	5.7851	8.0511	9.4878	6.9318	6.0306
EA_G__ASRGL1	7.0425	5.6356	6.5771	6.3831	5.0036	6.4931	7.3281	7.1895	6.3351	4.5902	7.1005	5.729	6.1189	5.3845	5.4255	7.2684	7.2256	6.573	4.9263	5.1455	6.733	6.0474	7.7749	6.0371	6.2716	5.6172	7.5256	9.2882	6.7345	6.0556	7.8553	7.2998	5.3498	5.8367	5.1819	6.353	5.8212	7.3248	8.3195	5.1542	5.795	5.7236
EA_G__SLFN11	7.3239	3.4401	6.6335	8.8063	3.6834	7.9094	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	7.7132	4.9768	6.3828	6.6291	4.05	3.8912	8.1337	4.0513	3.6917	8.2407	5.6434	3.8951	3.6617	3.6138
EA_G__PLSCR1	4.9531	5.2434	5.7498	6.2815	4.905	5.7817	7.562	6.3723	6.1836	6.0387	5.7123	6.5254	6.119	7.654	5.7333	5.5683	7.0136	5.5771	8.2668	6.0881	5.757	5.0735	5.4781	5.158	5.696	6.174	6.115	6.533	5.0341	5.08	7.6019	5.103	7.8156	5.5	6.8309	4.4089	4.4629	5.4504	5.2	5.6048	4.3885	5.0149
EA_G__RASD2	7.0317	5.414	5.5278	5.5651	5.2306	5.8107	7.0133	4.9303	7.2952	5.0267	4.3904	7.5323	5.709	5.7056	7.608	8.57	4.9134	4.7322	6.8847	4.9978	5.4107	4.2452	5.6581	5.2652	7.1076	4.7861	4.6176	5.3761	5.2556	6.0954	6.3404	7.4073	5.1977	8.1158	5.2284	5.0798	4.3253	6.8398	5.077	6.2881	7.3208	6.4781
EA_G__ORAOV1	6.4744	7.8938	7.219	6.7332	8.1568	6.6245	9.6947	7.2866	7.9577	7.3624	7.1782	7.0665	7.3266	9.2426	6.8291	6.9966	7.0467	6.8871	5.9478	6.6288	7.3092	6.799	9.6775	6.6838	8.0037	7.4794	7.8636	9.6344	6.3117	6.2121	7.1063	6.4221	7.1279	6.4126	6.91	6.4525	7.7502	6.6058	6.6734	6.8374	7.3147	7.9994
EA_G__GHR	3.4555	7.0331	4.4249	3.2946	8.2991	3.8792	3.6146	7.3657	3.4598	6.2015	6.8667	4.7513	3.453	3.2235	4.3375	4.0767	2.9606	3.0266	4.2527	5.2987	4.6304	7.0062	5.5601	7.6029	6.6707	3.0519	5.8397	7.612	3.6096	7.7942	3.1296	3.5592	5.3126	3.7344	3.4318	6.1368	6.6016	5.217	4.3278	6.6902	5.4494	4.6905
