Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1
EA_G__GAS6	8.408	6.3458	6.2495	7.4227	8.7318	8.0175	9.3997	8.2738	5.6314	8.2318	6.8698	9.5241	8.0954	7.6018	6.0168	7.7492	8.9542	6.1677	8.4841	6.3184	6.3637	6.9333	9.0093	7.2096	6.1465	6.9816	6.2172	7.3513	9.7676	6.3654	8.4263	6.6006	7.6072	6.1753	7.0646	7.1115
EA_G__TMEM64	7.4041	5.8112	6.028	9.2968	7.3777	8.9803	5.8561	6.7361	5.2219	10.6582	7.683	7.2797	6.1302	7.2179	4.6514	7.647	8.3857	6.3327	7.7196	8.6717	8.8982	5.4313	8.2295	7.2697	6.6667	4.4371	6.7572	7.2563	7.0071	6.2322	7.0455	5.7483	6.4495	6.4628	7.4725	7.0964
EA_G__SIPA1L2	8.5694	6.6343	6.2572	7.815	6.6993	8.0341	4.755	8.1819	5.7364	6.2709	8.5011	5.8838	6.6326	6.3733	6.6001	7.5926	6.5025	7.2377	8.3601	6.329	7.5923	8.1742	9.4275	9.3835	7	7.7765	5.2007	4.996	8.2684	8.2074	7.1722	6.4728	6.4571	6.7491	7.4216	6.5946
EA_G__EDIL3	4.2675	4.1222	4.2003	4.1091	10.3398	7.7527	10.7627	10.9328	4.1415	6.574	4.1486	5.3387	3.582	5.0077	4.3808	6.4883	10.5374	4.466	10.2267	4.3709	4.7425	3.968	9.6383	4.9919	3.9369	3.9483	4.7088	7.9988	6.332	4.3348	4.5551	4.1115	4.1293	3.8469	4.2709	3.9187
EA_G__COL4A2	6.36	6.9582	5.9927	5.6818	9.1358	8.5657	5.8659	8.1435	5.706	5.736	8.5431	8.8082	7.6081	6.3498	6.3447	9.6397	9.1724	6.1702	9.4784	6.189	6.2593	5.9015	11.3453	6.2475	5.8093	5.7943	6.5292	6.5386	8.0359	6.0159	6.3401	6.3543	6.1933	5.9988	6.2438	5.8257
EA_G__LHFP	6.1614	5.5954	5.4274	5.774	8.7766	7.2268	5.5358	7.5145	5.1002	7.5025	6.0825	7.0349	6.7126	5.8718	5.3806	6.8659	7.1626	5.8128	7.4787	5.8162	5.6178	4.9328	7.6395	5.7058	5.1617	5.2191	6.4466	7.4815	5.9507	7.117	5.2327	5.7135	6.1764	5.4187	5.6329	5.9481
EA_G__TNFRSF10D	5.7276	5.2505	5.3309	4.8569	5.2122	9.4386	6.0713	4.6306	4.9172	5.1315	7.0982	8.2606	6.855	6.3335	5.0042	9.7195	8.7209	5.5037	10.295	5.3911	5.5728	5.0353	7.8567	5.239	4.9642	4.8413	5.1046	8.6491	5.4883	5.4891	7.3926	5.5695	5.3514	5.244	7.0936	5.5706
EA_G__TPD52L1	8.589	9.1708	8.3592	9.0401	6.2365	7.9181	9.0282	7.0258	8.5648	9.8594	7.6164	7.7196	8.9348	8.6555	8.4093	8.1532	5.9294	9.421	6.1162	9.7039	9.0037	8.9357	4.6259	7.8134	9.4654	10.4202	9.0714	4.5757	8.3261	8.4985	9.6596	9.4114	8.3839	8.9009	7.5603	8.1797
EA_G__SDC2	7.2099	5.2874	6.6995	6.1249	5.2366	9.0296	6.5592	8.762	6.3787	10.0049	7.7125	5.2973	5.1487	4.9227	8.355	7.8557	10.219	6.1073	9.8266	5.5128	5.6541	8.8078	11.0232	7.0777	5.3263	6.5136	5.3587	6.1784	6.1023	7.483	5.8203	5.2344	7.3972	7.2475	5.6634	6.5775
