Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1
EA_G__PPM2C	6.8303	5.9722	7.7697	7.6728	7.438	8.6017	8.5499	9.1553	6.737	7.8162	10.0805	6.7368	7.5476	7.6749	8.7905	9.442	7.8981	7.33	8.7959	6.844	8.9514	8.7395	7.4152	7.2127	7.1936	8.1894	7.0653	7.5908	7.1395	7.3435	7.4793	5.8525	8.2374	7.4353	7.6362	7.6471	8.0402	5.724	6.4073	7.4892	7.2866	7.1381
EA_G__MYO1B	6.8615	5.8133	10.7501	8.945	8.9788	8.7951	8.0103	8.3575	8.0004	9.5503	8.8665	7.959	7.7712	10.269	10.4487	10.9518	7.59	9.8555	8.4377	8.6697	8.274	9.5011	9.0457	9.1488	9.2139	9.7362	8.7937	8.4929	7.8878	9.3267	4.9158	6.4471	10.0282	7.5577	9.3042	8.7633	8.6803	7.6236	7.0142	7.2785	5.7675	4.6242
EA_G__TRIB1	6.0654	7.6744	7.3583	8.1414	7.6478	7.1402	7.0466	7.7068	5.744	7.5091	10.0096	6.0943	7.3652	8.6332	8.1202	8.4305	7.2159	7.5348	7.1922	6.9458	7.9489	7.2746	7.6339	7.6185	6.8488	7.7643	7.2685	6.0405	7.469	6.0243	6.9417	7.5015	6.9704	7.4809	7.0816	7.3701	8.6768	7.0623	6.3992	7.1432	7.0288	7.134
EA_G__GPRC5B	4.9745	6.388	8.1964	6.1617	6.2748	6.497	5.2667	6.0606	6.7039	6.2604	7.0809	4.8034	7.9743	6.8597	7.5867	8.3264	7.0387	7.6177	6.3867	5.3386	7.5323	7.0233	5.9088	5.3699	4.439	7.6679	6.8634	4.6996	6.5032	6.9632	5.7648	6.2546	5.117	5.209	6.388	6.478	6.2985	5.6048	5.5162	5.5363	6.325	6.1032
EA_G__TRIB2	6.3251	7.4633	7.6453	6.9795	7.3305	7.0461	6.2604	8.149	7.1774	8.8205	6.4106	4.9665	8.0469	7.146	7.8377	7.5341	5.341	8.184	7.7129	8.4184	8.9656	8.5709	5.2595	6.1722	7.1005	8.9665	7.2008	8.0863	6.833	8.5039	7.8125	6.8634	7.1566	6.2633	6.061	7.5797	7.083	6.4467	5.2126	6.9588	7.4249	7.903
EA_G__ITGB8	7.0563	4.3345	6.4719	5.1465	5.9577	4.0873	4.1401	7.5286	5.774	5.2072	5.7826	5.2163	8.4625	7.1158	7.234	7.3067	5.7032	4.659	6.9491	5.0819	7.6877	5.151	4.2771	4.6015	4.2081	5.1207	5.038	4.0543	4.6954	4.9463	4.3102	4.6555	5.4208	9.0265	5.8961	5.499	7.0729	4.6554	4.8433	7.1037	4.1332	4.4104
EA_G__SSFA2	7.9	8.0602	9.7001	7.5702	8.2629	7.7693	7.2627	9.1545	6.9718	8.4744	9.7091	7.8514	7.9485	9.9051	9.3286	9.1135	7.2166	7.8362	8.564	8.0507	8.5076	8.5876	7.3669	8.2823	7.4516	8.5337	7.8215	8.7472	8.2148	8.6012	7.4493	7.7685	8.9618	8.325	8.4449	8.3265	8.6295	7.735	7.4827	7.6748	7.8001	10.9545
EA_G__EXT1	6.9002	7.2851	8.0007	7.2317	7.4158	9.4078	6.2099	9.0509	8.0849	9.5899	7.5442	7.2337	7.5812	8.4481	9.2912	10.1238	7.8283	9.2087	8.4022	7.6371	8.1848	10.0477	6.7194	6.7105	5.5645	9.9259	7.4582	9.0962	7.2525	7.5283	7.3022	6.8852	8.3403	7.8279	8.393	7.9956	8.4691	6.9261	7.0398	7.4408	6.3569	6.7935
EA_G__ETV5	6.2865	4.3272	9.1423	7.3578	5.0088	6.9009	4.2365	5.8917	6.4816	7.5422	7.6289	4.0637	6.2938	6.6339	8.6748	8.1477	3.9975	4.5278	8.0022	8.106	6.3993	8.4113	5.8307	5.215	4.6177	7.0525	6.8419	7.8838	4.0658	6.391	5.5641	4.6071	8.3688	6.1142	7.3205	7.1489	8.6807	7.6779	4.437	7.0861	4.0131	3.8071
