Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	-1
EA_G__RAD51C	6.8606	4.935	6.7649	8.5637	5.8431	5.7975	7.0133	6.7198	6.1266	6.765	6.9505	7.073	6.4052	6.0643	6.7	6.7522	6.4426	6.4353	6.9924	6.4504	6.032	8.6623	8.8987	6.8283	7.2504	5.918	6.8714	8.1751	5.6679	5.7756	4.7278	7.4921	6.206	7.2721	6.2036	6.6002	6.2317	7.1679	7.1046	7.3229	8.0509
EA_G__USP32	7.6271	6.0252	7.2596	8.7771	7.7142	6.9611	7.6102	7.0164	7.1632	6.6805	8.0627	7.6703	6.8973	6.7422	6.6448	7.1184	6.7748	7.5601	7.8839	6.9035	7.2817	9.6178	10.0265	7.6124	7.3508	6.6289	7.543	8.3495	6.5092	6.749	5.4122	8.3866	7.227	7.2609	6.4349	6.3523	6.7105	7.0182	7.4956	7.1167	7.3782
EA_G__MUC5B	9.6932	6.4361	5.9022	6.9314	7.7404	5.8684	6.7346	7.1014	5.912	5.8945	5.7874	6.5453	7.6719	6.1315	5.7623	5.913	6.0889	5.8992	5.7273	6.1171	5.8392	6.768	6.814	6.4839	5.7219	7.028	6.0495	7.1666	5.8982	6.7563	6.287	6.0671	6.2929	6.0471	5.946	6.0624	6.3067	6.072	9.8801	6.2141	7.8827
EA_G__RANBP6	6.6269	7.2074	8.1489	6.783	8.1933	7.8091	8.3597	7.9058	8.2699	8.9775	7.2594	6.7298	7.6135	7.3862	8.1739	10.2783	5.8212	8.8739	9.8342	8.111	8.6086	7.0049	7.0682	8.1898	8.1927	7.1919	7.9168	6.69	7.5771	6.6933	6.9985	6.4378	7.8482	8.4859	8.4586	6.8172	7.0878	7.7893	7.204	7.4285	7.6502
EA_G__IL17RB	8.2164	4.8068	6.1735	7.7176	6.163	4.8811	7.9169	7.6651	7.2527	6.0732	4.3759	10.5956	8.2299	5.2855	6.8549	5.1317	6.0263	6.4415	5.6218	7.2592	4.4307	7.1498	5.9822	5.6592	4.4381	7.6382	4.1731	9.1388	8.6897	7.4301	4.4972	6.2121	5.7334	4.63	5.5023	6.5347	4.6039	7.6294	7.6466	8.0236	7.7553
EA_G__THBS1	10.1181	8.8537	10.1535	6.8427	9.5472	11.7756	9.5093	12.1592	9.5535	9.3881	6.4172	6.256	5.7423	10.1946	9.8642	11.2382	6.3827	11.5562	10.0309	8.1139	11.2999	8.4058	9.8527	9.6869	9.8837	9.7727	10.2805	7.7776	10.0528	10.1956	8.4328	5.1794	11.4742	11.5545	7.7318	9.2531	8.0413	8.8181	8.8273	5.1516	5.3147
EA_G__COL5A1	5.9662	5.8088	7.0409	5.9598	6.6038	8.5103	7.1445	5.9127	5.7567	8.008	5.5389	5.7337	5.8423	6.4536	6.5693	7.2131	6.946	6.8077	7.729	6.061	7.9768	6.4916	6.3881	5.8399	9.3623	6.6367	6.5929	5.7747	6.1722	6.8474	6.4904	6.3898	6.7325	7.8069	5.9543	6.5122	6.4945	6.1985	5.9712	6.0887	6.061
EA_G__APPBP2	8.9431	6.7342	7.4592	10.5591	8.8147	8.0546	8.8218	7.7055	8.1923	7.7982	8.8297	9.4795	7.949	7.5212	7.2321	7.6584	7.0415	7.6174	8.7071	7.2604	7.6962	10.8711	11.3121	8.7536	9.2611	8.0434	8.0696	9.5341	8.1541	8.1607	6.2759	8.8159	7.6164	7.6297	7.746	7.845	8.4181	8.4338	8.9107	8.9488	8.9885
EA_G__CHDH	8.1747	5.7765	6.8422	8.0397	6.7069	5.5535	7.8047	7.3454	7.4832	6.7226	5.4023	7.3578	8.4609	5.9458	6.8987	6.2812	7.2342	6.9515	6.0461	7.5888	5.1343	7.4567	6.7619	6.0203	5.6341	8.1154	5.4675	8.361	7.9733	7.7363	5.5396	6.7458	6.3557	5.3534	5.9997	7.0313	5.8103	7.2057	7.6034	7.8407	7.3754
EA_G__INHBA	4.4157	5.1581	8.1871	4.5395	5.5901	8.8598	4.8232	7.3236	6.0828	7.322	4.2724	4.7245	4.8786	6.9908	6.3432	8.1192	4.7682	7.6801	5.3617	6.0516	8.9587	5.1789	4.9393	4.6262	8.3441	5.2086	5.4346	4.3707	4.4921	5.5462	5.3421	4.2383	8.171	4.7614	4.6445	5.0442	5.0919	5.2185	4.3351	4.6254	4.2807
EA_G__L1CAM	6.6019	6.1047	9.2438	5.6828	7.8756	5.6358	6.7868	7.7666	9.1755	6.1348	5.3974	5.7573	6.0475	5.822	5.8605	7.6481	7.0703	7.7392	6.8601	5.8012	6.2124	8.5927	7.3585	7.9148	9.179	8.3841	5.842	5.6374	6.9095	6.3814	7.2458	5.6354	9.3766	5.6699	8.2837	6.3055	7.282	6.4633	8.0131	5.667	5.5988
EA_G__HEATR6	7.3025	6.2164	6.0827	9.2689	7.3956	7.1301	6.6588	6.9035	6.5789	6.843	8.5608	8.4039	6.8859	6.6037	6.5932	6.5852	6.704	7.6907	7.7526	6.1136	7.0739	9.7554	10.439	7.1498	8.2846	6.6177	7.2544	8.5679	6.7043	7.0077	5.8606	8.1886	7.1329	7.5206	6.0586	6.6064	6.5455	7.4842	7.2993	7.4352	8.0134
EA_G__PPM1D	7.1961	6.4047	6.8097	8.8326	7.4205	6.6706	7.3209	6.9889	7.2826	6.6967	7.2676	8.1753	7.3076	6.7708	6.9153	6.9638	7.1345	7.1903	7.5078	6.8495	7.0824	9.9465	10.2646	7.4232	7.4433	7.2434	7.386	8.7455	6.7745	7.5111	6.4364	7.3234	6.8069	7.3224	7.2489	6.6012	7.2373	7.7021	7.4789	7.6803	7.5994
EA_G__METTL7B	5.5148	6.7276	5.157	5.5672	7.3134	5.0485	5.4645	5.0539	7.2323	5.3311	5.6253	7.5857	7.3991	5.6456	5.0924	5.1927	5.6195	5.4629	5.9119	5.8127	5.5631	7.7683	7.6659	5.4808	5.5524	6.7481	6.9821	7.308	8.2088	6.1334	5.5998	6.8285	5.9433	7.0018	5.7263	5.2158	6.5079	5.9782	6.7481	6.5254	6.9597
EA_G__LOC51136	6.5148	5.4387	6.7547	8.1007	6.7711	6.6815	7.3176	4.9707	7.0661	6.3078	7.9339	8.3427	7.1402	5.9453	6.0978	6.3722	5.8152	6.4222	8.0179	5.9137	6.226	7.1408	8.2663	6.1904	7.406	6.3367	6.765	7.7629	6.1073	6.5309	5.1669	8.1943	6.1781	6.5384	6.8972	6.3461	6.5451	7.7327	7.1062	6.9423	7.4019
EA_G__ELL2	6.8523	5.9738	8.4801	5.4848	6.3876	9.0239	5.5223	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	8.4219	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4627	7.4624	6.6419	7.7774	5.8231	9.4469	6.9037	5.7191	7.9853	7.358	9.1605	9.5203	7.4441	6.8344	5.428	6.024	5.6388	5.8718
EA_G__SLFN11	4.0289	7.3239	5.1422	3.4401	6.6335	8.8063	3.6834	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	4.9768	6.6291	3.8912	4.3298	8.1337	4.0513	4.9569	8.2407	7.1963	5.6434	3.6617	3.6138
EA_G__SPOCK1	4.946	4.9765	6.0286	5.1159	5.4625	7.6162	4.7209	5.3633	5.375	9.4085	4.4346	5.0413	5.0742	5.568	7.4333	5.5073	5.1511	5.7525	4.7199	5.1396	10.2074	5.1569	5.0012	6.8701	9.1144	5.7999	4.6655	4.7766	5.1881	5.4304	5.7455	8.7232	5.4266	8.0167	8.4362	5.2232	5.234	4.9959	6.4582	4.8169	4.9558
EA_G__RPS6KB1	7.9285	6.8347	6.7477	9.686	7.7783	6.8791	7.8417	7.1181	7.0867	6.566	7.7392	8.4481	7.0803	7.3503	7.0176	7.2514	7.1259	7.4042	7.96	6.3461	7.2677	10.1584	10.5843	7.5458	8.3166	7.0482	7.3725	9.0959	7.2654	7.6868	6.4024	7.9014	6.8211	7.5454	7.1291	7.0397	6.9892	7.5328	7.5836	7.8682	8.2306
EA_G__DUSP10	5.7577	5.6154	6.1003	6.289	6.0738	6.1593	6.267	7.6716	5.0502	5.0317	6.7827	3.9393	4.7866	6.8954	6.7861	7.7148	6.3596	4.7663	4.9028	4.9362	6.4396	4.7536	5.3029	6.7993	7.7107	6.5051	5.2945	7.009	6.762	6.7102	4.7083	5.2415	8.8347	6.9416	5.9059	6.9959	6.273	5.8164	5.4991	6.9707	5.8049
EA_G__DSC3	3.5158	3.7035	3.4316	3.539	3.2815	3.7823	3.3979	10.0927	6.212	6.3274	3.5425	3.5169	3.3865	7.6611	9.3099	4.8897	3.7236	3.381	9.2291	9.2069	3.8229	3.7168	3.6939	3.5289	5.5583	3.6758	3.5488	3.3991	3.5628	4.0696	4.106	3.6036	8.2405	3.6447	3.5106	5.032	3.8593	3.7703	3.7684	3.7893	3.5817
EA_G__KIAA0195	9.2317	8.1195	7.5064	8.4064	8.8743	7.8452	8.7581	7.6728	8.2281	8.5923	7.9728	8.9658	8.4402	7.6967	7.5845	7.5539	8.6972	8.2867	8.4437	8.0899	7.5258	9.0136	9.5723	8.7357	7.8019	8.1276	7.7026	10.6093	7.8048	9.2293	8.7163	8.6271	7.8546	7.5508	7.9325	8.4612	8.1096	8.3298	9.5459	9.2109	9.2433
EA_G__PRICKLE1	5.9948	4.5443	6.5388	4.252	5.1478	7.3218	4.5123	7.167	8.6264	5.8312	4.1537	4.2335	5.0097	5.6541	7.094	9.0665	6.6933	6.198	7.4627	6.4523	6.2232	4.8193	4.7194	5.3831	7.5982	5.5517	7.7122	4.4927	5.8358	6.7387	5.2414	4.7019	8.662	4.792	4.9397	7.7742	5.4265	4.7979	5.337	5.0727	4.717
EA_G__CPA4	4.1804	7.9211	11.3229	4.4066	5.724	5.4767	4.4315	6.757	9.1335	5.9929	4.29	5.0516	5.3006	9.7282	8.7974	10.0728	4.6739	7.7018	5.4787	9.0755	8.1751	4.7255	4.4311	4.5068	8.7737	6.8701	5.3644	4.6014	5.2671	5.0882	8.5746	4.8185	5.0509	9.787	5.2045	6.8455	4.6699	4.9987	4.3433	5.2575	4.6245
EA_G__TRIM37	8.7373	7.5864	8.0537	10.7	8.6598	8.3833	8.4692	9.4942	8.1847	7.8183	8.885	9.3543	7.8695	8.0862	7.7025	7.7471	8.4671	8.4963	8.6105	7.6657	8.4567	11.3209	11.6125	9.0295	9.7252	7.8936	8.755	10.3724	8.0448	7.5743	7.1637	9.0025	7.8913	8.4283	8.2256	7.6914	7.5082	8.7022	8.9627	9.0566	8.8342
EA_G__C6orf145	5.4036	8.3998	8.4855	5.2388	7.33	9.3274	4.84	7.6627	6.9175	7.2514	7.2355	6.1149	7.5599	8.4464	7.8633	9.6262	8.7077	9.2521	7.4843	8.2029	8.7651	5.8759	5.2908	5.5396	9.2975	6.9192	7.5824	7.0897	5.7131	5.997	8.6844	8.3425	8.6219	8.6442	8.5776	9.1234	6.0272	7.1796	7.373	6.837	5.4988
EA_G__B3GALNT1	6.1488	4.8247	4.0581	7.7167	7.4481	4.2293	7.5074	5.454	5.5644	4.7191	7.6901	7.8454	7.4987	6.5447	6.5885	5.2193	6.9654	3.7969	6.9197	6.6681	5.229	7.4146	6.9288	6.2082	6.7603	5.3114	7.6341	7.4663	6.6235	7.1675	5.7178	6.2119	5.2284	5.5004	5.8687	7.7405	6.557	6.9052	7.1476	4.4337	4.388
EA_G__SPATA20	8.607	8.2653	8.4576	9.8882	9.1813	8.1514	8.139	8.3121	6.1306	8.2299	8.5791	8.2522	8.7598	7.2456	7.3484	7.5176	6.5447	7.6949	8.2231	6.7962	8.138	8.7451	9.2789	7.7178	8.0638	8.4625	8.5716	8.8268	8.9717	8.4922	7.7205	7.4663	7.7456	7.3248	7.3058	6.6333	7.8187	8.4599	8.4633	8.1349	8.717
