Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	1
EA_G__KRT15	6.6447	7.3006	7.5904	10.0685	4.6526	4.7242	4.613	8.7603	5.3217	4.7074	11.2798	6.6491	8.6675	6.5006	10.2787	11.5355	5.2958	6.6294	9.1835	4.323	7.0635	4.5703	5.6076	5.4125	5.1034	4.2498	8.0252	4.9823	5.8626	6.1464	4.2547	4.569	6.7887	6.5217	4.726	6.2376	4.6378	7.824	5.7526	6.9139	5.7426	7.3525	4.8536	7.2027
EA_G__NPAL2	6.9008	5.9027	6.3489	6.9902	4.937	4.6577	3.3981	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	7.2119	6.8325	7.3829	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	4.6957	6.6986	7.2536	6.4927	6.9277	6.313	4.8701	5.4176	6.0651	5.8846	5.0348	6.7427	5.276	5.5001	6.5493	6.7587	7.214	6.6721	6.7578	6.4154
EA_G__MLLT11	8.007	6.2008	5.7109	6.3736	8.5988	6.3349	7.4033	5.8992	6.8591	6.23	6.483	6.4591	6.2006	8.6925	5.9117	5.5161	7.3871	5.3775	5.7241	9.0878	6.1603	7.701	6.562	7.0744	8.2785	9.0157	6.1221	6.7845	8.4846	7.7671	8.6984	7.8246	6.7332	5.9092	7.6861	6.9994	8.4946	5.9528	6.7688	7.357	6.6726	7.6247	6.1401	5.5694
EA_G__KRT23	9.6844	6.71	4.1386	8.425	3.63	3.6053	3.3917	6.9669	3.8549	3.5091	3.9312	4.4876	9.4953	4.3026	8.6489	8.5774	4.8774	7.5157	6.7166	3.6214	9.4504	3.4724	4.0244	4.2074	4.4201	3.2977	6.7056	3.5147	3.6071	4.4773	3.6244	5.3331	9.6482	5.8319	3.6117	5.6051	3.61	8.5478	7.5049	9.525	7.3896	3.6491	3.9554	3.8349
EA_G__MPP7	8.0834	7.201	7.6254	7.7941	3.5809	7.1178	5.6788	6.0094	6.4583	3.9626	7.6765	8.069	7.0109	4.702	6.5822	6.5066	7.1208	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	7.3818	3.4258	7.7846	4.8621	7.4319	7.8872	4.733	4.7048	7.0416	6.7447	3.9781	5.7979	4.8244	7.7533	5.708	8.7197	7.3438	7.8291	7.4885	6.8702
EA_G__MAP1B	4.0691	4.1506	4.4828	4.4376	7.3859	4.0451	7.5013	7.1683	6.6007	8.4876	3.7581	4.3324	4.8655	5.0727	5.2252	5.1172	6.0937	4.0538	6.0101	7.7143	6.2577	8.7705	4.4155	5.0935	5.1036	7.836	4.0668	7.159	4.158	5.8074	7.4831	4.7968	5.1698	4.2089	8.0577	4.7129	8.5112	8.6027	4.2357	4.0326	4.3419	7.2641	4.0378	4.0619
EA_G__LIPH	8.4661	7.5135	8.2321	6.8172	3.6755	7.9496	4.4041	6.4182	3.6525	4.0753	9.3901	7.1827	3.6134	6.0356	8.0156	8.1393	7.5188	7.5421	6.9907	4.983	7.9823	3.51	5.738	6.1944	6.2969	3.7329	8.8815	6.2542	7.8334	9.0871	3.646	5.0663	6.4183	7.6077	4.2029	4.7425	3.8212	5.1787	8.8942	8.1795	7.7175	8.1537	7.6	5.5122
EA_G__CHMP4C	6.9565	7.0253	7.5918	7.4754	4.8844	7.1787	4.9775	7.8679	6.6028	4.4485	10.317	7.7176	6.0677	6.7877	7.5568	7.223	7.8252	7.8167	7.6065	7.0129	7.5536	4.1153	7.291	7.4487	7.2768	4.752	7.1539	6.6016	6.743	7.0289	5.7798	7.3943	6.9935	6.9426	4.4597	7.4901	5.7615	7.3185	7.1496	7.4523	7.0903	6.3365	7.0563	7.0406
EA_G__CHAC1	6.4402	6.8948	6.8373	6.0799	7.8801	8.0356	6.779	7.3749	7.5149	7.6317	7.4711	6.3025	6.3981	7.9541	7.0921	6.7527	7.6918	6.156	6.4615	6.6071	8.4346	7.2855	8.1311	8.0203	6.3289	7.28	7.068	7.5078	6.4666	7.1311	7.9951	7.937	8.6301	6.8757	9.1523	7.1693	6.6026	10.1926	5.765	6.5656	7.071	8.3474	6.0084	5.5164
