Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1
EA_G__GPRC5B	4.9745	6.388	8.1964	6.1617	6.2748	6.497	5.2667	6.0606	6.7039	6.2604	7.0809	4.8034	7.9743	6.8597	7.5867	8.3264	7.6177	6.3867	5.3386	7.5323	7.0233	5.3699	4.439	7.6679	6.8634	4.6996	6.5032	6.9632	5.7648	6.2546	5.117	5.209	6.388	6.478	6.2985	5.6048	5.5162	5.5363	6.325
EA_G__GUCY1B3	5.4722	4.8053	5.0459	4.2776	5.3475	8.0374	5.0634	7.2303	8.833	7.7941	8.7253	4.4872	5.9624	5.3104	5.2187	4.2365	4.2342	4.0363	6.5594	8.6541	5.8324	5.6586	3.9242	10.1264	7.3901	6.6436	6.4968	6.2236	6.7091	4.422	5.7335	4.66	4.5811	4.7908	5.2481	4.7088	4.2932	5.6111	6.9791
EA_G__MAPT	5.7018	5.1448	5.1469	6.9443	9.1397	5.1979	8.0624	5.4416	6.2766	5.0627	4.9614	9.0827	5.6293	5.3387	5.1081	5.4602	5.7802	6.5011	5.2449	5.3896	5.4343	7.1596	8.4538	5.1361	6.1992	5.4871	5.6839	6.2724	6.3443	5.4325	5.4093	5.6854	5.1477	5.3825	6.9415	5.8018	5.8948	7.4277	7.6494
EA_G__KRT10	6.7857	7.0445	6.4279	6.6254	8.0339	6.4804	6.9532	6.4993	6.641	6.7273	6.6412	6.7273	6.5188	6.9106	7.0155	6.7177	6.8042	6.5046	6.5812	6.3903	6.6742	7.0637	6.5853	6.2408	6.3063	6.5867	6.093	6.3976	6.7607	7.0754	6.7185	7.329	7.0358	6.6456	7.3607	6.7347	7.4977	7.0732	6.575
EA_G__GNE	6.5243	5.8046	8.127	6.7037	6.5616	8.1312	6.8197	8.2774	2.9506	7.6775	8.2695	6.1802	7.9216	4.7427	7.1988	8.4466	10.3439	3.761	7.4631	9.1835	7.5768	5.2929	7.1036	8.0096	7.799	7.7133	8.0783	7.203	6.9612	5.6748	7.3399	6.5398	6.8758	3.6159	8.5221	6.8196	6.2245	6.6584	8.0651
EA_G__PRMT6	5.4947	6.6852	6.893	6.6478	6.5168	5.2716	7.5566	5.0996	4.8878	5.3945	6.8564	6.661	5.3206	6.0211	6.4814	6.1415	6.0214	6.8696	6.8387	6.1845	6.6066	8.6068	6.8665	5.4532	5.8688	7.2715	5.4975	5.9887	6.2854	6.7294	6.1922	6.5385	6.412	6.2392	6.2413	6.1271	6.3901	5.6391	5.9249
EA_G__ICA1	6.8007	4.2391	5.5241	7.7109	6.3638	4.2132	7.1927	4.9716	5.9258	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	5.9834	6.8093	5.7834	3.9633	4.0011	3.8101	7.0587	6.9084	4.0082	5.8056	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	6.974	7.7989	6.9839	7.286	7.3446	7.8273
EA_G__CUL4B	6.6142	7.0274	8.4121	6.2287	6.8128	9.3472	7.0256	8.1315	7.2752	7.686	7.6102	7.6919	7.0614	6.7863	6.5816	7.5829	7.2735	7.3667	10.0552	7.1003	7.8513	7.0789	7.0753	8.6142	6.8373	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.5287	6.3816	6.6166	6.3577	7.0476	7.0727
EA_G__SRD5A1	8.0855	7.7981	8.399	7.6275	6.6327	7.4336	7.1454	8.3436	7.7263	8.1358	7.0578	6.9902	7.0641	7.5414	9.0122	7.6676	7.9855	7.9288	7.2715	10.5835	7.8071	7.2067	7.2558	8.68	6.9041	7.457	8.0689	7.8639	6.0999	7.4931	7.124	5.9887	7.6524	7.1851	7.4128	7.5333	6.3411	6.8793	6.9635
EA_G__HIST1H1A	5.8645	4.0453	8.5439	3.5876	3.5514	3.9681	3.6907	7.6004	7.6991	6.3949	3.9692	3.1037	7.5128	8.8424	8.2176	3.1446	6.9075	9.0793	8.1828	7.6253	4.7202	3.8159	3.8268	5.9687	7.1763	4.0482	3.4884	4.5521	3.8362	3.4594	4.5463	6.2006	5.5518	4.6448	4.383	4.4879	3.8866	4.3226	3.7257
