Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	1	-1	1
RS_G3462__DDX58__DDX58	4.6464	1.2425	3.6748	6.6044	3.2513	4.3522	5.5147	4.703	3.0799	3.8092	9.1085	4.3983	6.7743	4.4267	6.5675	5.7537	3.6558	8.7787	3.3188	2.216	4.2702	5.2057	2.4644	5.7884	3.5604	3.4966	1.0427	1.8856	4.3942	2.1718	2.8206	4.5015	1.9092	1.3211	3.7722	3.2852
RS_G228__IL32__IL32	5.6181	1.7467	0	4.5202	3.1875	3.1313	4.4773	3.7172	1.0388	1.9051	9.5237	4.2661	7.5667	3.3088	4.516	9.905	3.9209	4.1936	5.3523	3.0265	1.7987	2.0232	2.6639	6.2951	1.4724	0	0	3.5915	10.3044	4.842	0	3.2789	2.4651	2.0844	3.6558	0.78332
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	0	4.1599	3.2887	1.1575	0	0	1.1272	1.7769	0	1.0353	0	4.3258	1.7528	4.5822	3.1866
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	7.1384	10.5164	7.6728	5.2929	6.8239	6.2761	6.284	6.2343	6.1861	6.8933	6.3592	6.3899	7.162	6.6163	5.3713	8.2923	11.5181
RS_G11400__ADAMTS9__ADAMTS9	0.2465	0	1.37	0.39237	0	0	4.9386	0.89744	0.15387	0.10069	4.6682	0.17282	4.183	1.6897	0	2.1726	0.46728	0.55645	0.5346	2.1523	3.539	0.11316	0.060178	0.57193	0.16876	0	0	1.1799	3.8561	2.6306	0.299	0	0.098299	0.56357	0	0
RS_G17022__IFITM1__IFITM1	4.1688	6.5642	0	9.3264	6.1064	4.4432	9.9995	9.2552	2.5984	3.4169	14.0221	6.7156	9.6267	10.438	3.9334	7.6444	4.3719	13.821	7.8255	8.2274	7.9265	9.4021	10.0474	5.5216	1.1189	0	6.0727	7.1558	11.4136	7.8003	0.67796	8.022	3.0564	0.47058	5.2924	0
RS_G3584__PSMD3__PSMD3	10.394	13.2512	13.2945	10.1974	9.4771	9.9499	9.5923	8.9473	9.9654	9.501	9.3141	10.6592	10.4176	10.2489	8.9759	10.0743	10.7517	9.4688	9.7871	10.3671	9.3173	9.8704	10.6303	10.2483	11.1783	11.1809	12.3601	10.3903	9.3166	11.3511	10.1746	10.5305	14.1566	15.4823	9.9363	10.7353
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	6.3175	0	4.6361	7.1941	3.1744	0.43886	1.9508	0.16898	5.5597	0	5.126	7.0143	0	1.9493	0	5.4183	7.3697	8.5803	7.6631	6.7425	1.4454	1.5406
RS_G13007__BNC1__BNC1	0.17496	0	0	0	0.11319	0	0.81886	0.88733	0	0	1.8404	7.2166	2.397	0	0	6.2808	4.4389	4.6488	0	1.7106	0.22246	0	0.18272	0.10882	0	0	0	0	6.3515	0.33644	0	0	0	0	0.16295	0.16536
