Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	1	1
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	8.6236	1.0728	4.8527	7.0765	2.0186	7.1972	2.0514	2.0133	2.6182	1.9024	2.0164
RS_G6987__IRAK2__IRAK2	3.1643	1.4718	0.5092	1.1488	4.7227	3.1634	5.6254	5.2952	2.5617	0.94193	6.0897	3.9784	5.1855	5.6527	4.5118	4.398	2.653	4.8247	2.0925	1.0345	3.99	3.2041	5.3682	0.65158	0.48601	6.3606	0.99949	7.2984	3.1827	3.3124	3.6375	0.5055	2.5127	2.9404	1.6147	0.48699
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	0.94948	6.4578	0	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G11051__LAPTM5__LAPTM5	2.8393	0.20669	0	1.2492	0.22567	2.6129	1.7293	2.6516	0.45429	2.2405	3.3755	3.4596	4.1543	2.745	1.1634	0.66768	0.69552	0.91454	1.473	0.33275	2.7641	1.0672	9.5586	0.73502	0.39464	2.4712	0	7.01	2.1102	0	6.916	0.65062	0	1.4999	1.1637	0
RS_G7308__CAPN9__CAPN9	6.4438	3.1332	3.5347	3.5598	0	1.0939	0.31269	0.32114	6.6264	0.27084	0.18039	0	0.54781	0.42803	0	0	0.48368	0.58627	2.7745	2.9198	2.5747	3.4162	0	6.9213	2.4802	0	2.4484	0	0	3.2866	0	2.8086	4.4383	4.2802	5.3116	6.7046
RS_G16566__CSF1__CSF1	4.9267	3.3068	0.63581	2.0826	5.2612	3.3153	1.4233	5.6818	2.1574	3.7992	8.8161	4.2899	6.4616	5.0175	5.9173	8.2679	5.7738	6.5134	2.7338	1.7785	2.7317	4.4905	7.9524	1.6766	0.68883	8.8887	2.3696	8.6661	7.9034	3.0812	5.3272	1.8363	3.2028	3.3419	2.5385	0.98173
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	1.1356	0.70967	1.8382	0.95512	8.6848	6.957	6.1282	6.1222	0.83247	6.1234	2.181	0.54974	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	8.185	7.2271	7.9636
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.40268	0.4355	0
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	0.1576	1.3084	2.2724
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	0	0	5.508	0	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	5.3187	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	12.0261	11.3802	3.1773
RS_G16696__PRR16__PRR16	0.41506	0.24797	2.8974	0	8.729	0.51715	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	5.8394	6.3792	1.3786	7.437	0	0.88141	0.1435	0	6.9914	0.32306	0.65491	4.8509	0	7.3612	3.379	1.175	1.7352	0	0	1.625	0.80822	0.6793
RS_G2649__SRPX__SRPX	2.5884	1.0314	2.6197	0.97679	2.7858	0.26305	6.6006	9.7982	0.70231	2.9338	7.0833	1.997	1.2447	5.9047	3.9004	4.6477	1.8195	5.4903	2.0271	1.2433	2.542	2.1877	5.0677	1.48	0.77069	5.5235	0	9.8027	4.4822	1.5505	2.81	0	0	1.0759	2.558	1.0927
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	4.4328	2.7055	0.13375	1.5091	0.71549	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	2.5764	0	0.42536	1.3477	0	0.10127	0.55269	0.21169
RS_G692__DKK3__DKK3	0.44322	0	0	0.54068	8.236	0.18041	2.3601	6.9924	0	0.99415	0	5.0446	1.443	0.084903	3.855	7.9864	1.2245	6.1166	0.81839	0	5.6363	1.0711	3.1985	0	0.7714	6.85	0	6.645	0.60379	0	5.2981	0	0	0	0	0
RS_G13489__LRRC8C__LRRC8C	2.418	1.5417	1.7488	2.4041	6.0762	1.4049	4.2775	5.247	3.3365	3.6831	5.1997	6.6789	3.9768	4.0136	6.0583	4.9818	5.6925	6.064	0.087916	2.0266	4.3586	2.1772	8.3452	1.0245	0.97754	5.5085	0	2.3141	2.6248	0.61749	3.3056	1.4293	1.3006	1.0774	1.2874	1.824
RS_G228__IL32__IL32	5.6181	1.7467	0	4.5202	3.1875	3.1313	4.4773	3.7172	1.0388	1.9051	9.5237	4.2661	7.5667	3.3088	9.905	3.9209	4.1936	5.3523	3.0265	1.7987	2.0232	2.6639	6.2951	1.4724	0	9.6861	0	3.5915	10.3044	0.7284	4.842	0	3.2789	2.4651	3.6558	0.78332
RS_G14428__C7orf10__C7orf10	3.7743	1.0982	0.7662	0.89114	5.2894	0.14994	3.7882	2.8196	2.0669	0.37628	4.9639	4.3508	2.6963	2.255	2.9243	4.0509	0.65512	4.1949	0.3938	0.96976	1.5258	1.2013	2.0049	0.13633	0	4.5349	0	4.8912	2.9044	0	1.2329	0.30448	2.8094	1.8546	1.8441	2.0889
RS_G9764__SPOCK1__SPOCK1	0.73188	1.8385	1.5447	1.885	8.7612	0.26671	2.8401	8.7292	0.11606	1.9726	0.51264	3.357	5.8754	3.6344	2.2589	3.2299	1.9918	9.0647	2.0412	0.30801	5.5589	1.2868	1.0533	0.76718	0	5.2564	1.6003	3.5414	1.622	0.23799	3.8591	0.52115	0	4.5238	0.29584	0
RS_G8221__CDH11__CDH11	0.79052	0.19957	1.1551	0	8.6171	1.5558	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	2.1427	5.2153	0.78652	7.7193	0	0.078446	0	0.063857	7.6977	0.12672	0	0.52377	0	6.0073	0.74857	1.9015	0	0	0	0.55314	0.40122	0
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	7.5608	0	0	6.4299	0.17882	3.4352	0	0	0	0	0
