Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	-1	-1
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	0	1.9934	7.0512	5.708	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.70319	0.30943
RS_G11159__AC013480.3__AC013480.3	2.5096	5.1382	0.84262	2.1165	4.1201	2.8716	0.28818	5.3213	0.27702	0	5.9502	0.39959	3.0285	3.3463	0	2.3403	5.281	4.1734	2.2538	0.89116	7.8165	5.4132	3.387	4.0187	0	3.5094	0.11989	3.9565	3.5317	1.5217	1.0292	2.6498	0	4.7062	2.7291
RS_G2947__CA2__CA2	2.326	1.607	3.8479	3.7463	0	6.1112	9.8755	7.8397	8.9	0.40209	6.167	2.2896	6.1392	0.89211	0	2.716	7.8988	0	0.29416	6.3826	7.1346	2.8174	4.6533	5.8083	4.2171	1.5661	0	1.1873	6.3905	2.665	8.6773	4.507	0	6.8713	5.8722
RS_G22312__AC135891.3__AC135891.3	0.4869	0.37864	0	0	0	0	3.4384	2.0861	0	0	0	1.6631	0.61027	2.4285	0	0.6037	0.21884	5.5447	0	0	0	0.18453	4.7476	0.21443	0	0	0	0	0	0	3.4376	0	0	0	0.98678
RS_G7225__ELF5__ELF5	0.37677	4.5885	6.4031	6.512	0	1.9674	2.4337	0.32507	5.4417	7.078	1.1045	0	4.7027	0	5.789	4.5554	0	0.22762	4.5813	5.0972	0	4.8163	0	4.3672	0	8.4232	5.8143	0.35445	0	6.0937	0	3.5985	7.932	0.5172	4.9835
RS_G8354__PMAIP1__PMAIP1	4.0124	3.1341	5.0862	4.7247	5.4108	3.4802	5.7681	5.6443	0.25956	3.9484	9.8502	4.4074	4.8414	5.4832	0	2.9297	7.3392	5.9079	2.6823	2.1942	6.0173	3.7396	6.9079	4.193	0.73814	7.4225	1.8729	4.2525	4.0255	3.8656	5.387	2.6193	2.8566	4.9198	3.01
RS_G18066__GSPT2__GSPT2	6.2175	0	0	0	0	0.20684	4.3112	1.7446	0	0	0	0	0.16352	0	0	2.1342	4.5726	3.0978	0	0	0	2.8417	0	0.40592	0	4.1618	0	0	0.20974	0	2.4223	0	1.1025	4.9864	5.5342
RS_G5593__PTGIS__PTGIS	3.0378	0.50905	0.24849	0.58746	0.70782	0.66543	0.79291	5.3109	1.0653	0.87824	6.5345	0.52663	5.969	0.73956	0.48911	0.88407	2.4779	3.4734	0.78877	0.5584	4.7485	4.5107	0.36191	0.50222	0.45283	3.6031	0	0.52522	1.4475	2.7148	0.93871	1.9172	0.38671	1.414	0.47916
RS_G1180__TRIP13__TRIP13	7.5721	7.4435	7.9846	7.1647	9.1263	8.0353	8.804	9.0066	7.5718	7.523	7.8106	9.3162	9.2501	12.9158	8.25	9.1767	9.4439	8.6357	6.9338	7.2772	7.6464	8.421	8.7378	7.7527	7.2485	6.4602	8.6847	6.8113	6.8324	5.5775	8.2887	8.6085	8.8612	7.5677	7.2672
RS_G3173__SYNGR4__SYNGR4	2.0634	2.6928	1.8951	3.4784	1.779	1.4674	1.5507	1.0613	2.6119	1.7646	1.6931	0.38898	2.3656	1.0514	4.7824	1.7469	0.45738	0.28469	4.6505	2.71	3.4658	1.1654	0	4.58	2.7149	2.183	4.2009	0.77481	4.693	3.7437	1.1459	10.265	2.5468	1.0684	0.85816
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.4355	0
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	0	3.9325	6.1773	8.1771	0.83738	0	1.5554	1.6898	2.2202	0.76908	0.13865	1.1217	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.21832	0.31876
RS_G7618__TUBB2B__TUBB2B	0.6419	1.2852	2.7343	2.1775	4.6515	2.6451	5.2601	2.1866	2.6752	0.88256	2.2056	4.5164	2.3003	2.5969	0	0	4.9227	4.3648	3.706	1.1441	9.0735	3.4978	0.24815	6.4618	1.07	3.7079	1.8673	5.1284	0.27039	3.4292	3.8959	2.2462	1.4548	5.3435	1.9697
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	4.0118	0	1.0625	0	0	1.3617	1.032	0.28992	0	6.1551	3.8192	0	0	1.3205	0	6.7313	0.074104	0	0	0	1.1689	0.54354	0	0	0	0	0	0.40834
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	4.3004	0.36104	0	0	3.3313	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	0.47913	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	0	0
RS_G16181__NKX2-5__NKX2-5	0	0.14799	0	2.2776	0.30376	0	0	4.2666	0.17603	0	5.648	0	7.2823	0	0	7.3849	5.2771	7.6837	0	0	5.3599	6.5462	6.4732	5.7523	0.52732	8.076	0	0.74346	0	0	0.82108	4.6758	0	3.6568	0
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	6.9166	10.2834	9.9357	11.0293	8.6087	8.539	8.406	9.6896	9.0618	8.77	8.7307	8.5938	7.9661	14.2059	8.7494	7.516	9.1268	7.5318	8.3295	9.6418	9.0078
RS_G9825__PRDM8__PRDM8	0	0.22311	0.14198	0	1.2978	0	1.8698	2.636	0.53811	0	0.059588	3.1775	0.72884	1.1762	0	0	3.6636	4.8363	0	0	0.61495	0.10572	6.586	0.45871	0	0.54515	0	8.9585	1.6272	0	2.1404	0	0	0	1.5376
RS_G16619__SLITRK6__SLITRK6	5.6921	0	5.1781	2.1211	3.7194	4.5245	4.5316	4.1927	7.8925	0.92272	0.41187	5.1835	2.3251	5.4726	0.93462	3.9073	3.1682	0.39362	2.9345	1.5436	4.3069	2.3864	0.83012	4.428	1.1176	0.17754	0	0	2.1558	0.96991	0.90457	2.6655	0	2.9342	1.3351
RS_G12798__FAM178B__FAM178B	0.98678	6.1251	3.3804	4.5129	0	1.8948	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	1.438	3.2679	3.3825	4.1545	3.0771	0	4.1486	0	1.9637	4.8261	1.399	3.5345	6.4377	0.3566	2.3155	0	4.0431	0.92306
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	0	4.7885	5.8443	6.4738	0.096448	0	0	1.3846	6.0583	0	0	0.13811	0	5.8239	1.5169	0	1.5046	0.30151	0	1.9553	0.64638
RS_G1887__ARHGAP4__ARHGAP4	4.1786	3.0121	1.9665	7.2583	1.9084	2.7376	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	5.4233	1.9435	1.0348	1.5813	6.2534	4.0368	2.8938	5.8286	1.1546	3.2345	4.0066	4.2606	2.8494	9.6532	5.0163	4.6067	3.4539	3.2018	6.2045	8.5811	8.4355
RS_G8887__PLAC8__PLAC8	3.4307	0.78955	1.4119	1.8455	6.3471	2.1601	3.6961	2.6576	2.0722	2.8257	3.7442	4.2756	6.833	4.3387	2.2481	2.138	2.6302	3.3026	2.9326	2.2767	3.133	3.0243	7.9065	2.0243	1.8874	2.3395	2.7574	2.9311	5.5878	2.4519	7.3535	6.9757	3.1961	2.3072	1.8458
RS_G4707__OLFML3__OLFML3	5.2801	0.43101	0.28131	6.1475	4.1278	7.1685	0.40889	1.2181	0.39365	3.2528	0	0.39538	1.9049	1.9945	2.0256	1.5895	9.084	4.7223	5.3441	0.47602	0.85276	11.0176	2.4568	6.4233	0	0	0	0	0	0	2.0853	3.3348	6.7764	4.5297	0
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	0	8.8111	7.1102	0	8.2905	0	12.1395	12.0061	11.2517	2.3509	1.4107	5.5412	12.4513	4.9212	4.2737	1.4794	5.0572	5.5081
RS_G14837__CASKIN2__CASKIN2	6.7178	7.0439	5.436	7.3426	5.7023	6.831	7.2235	5.7037	5.7827	7.7974	6.7524	5.9286	5.9362	6.0584	7.4702	6.4785	5.6453	6.0022	9.1808	7.6481	6.0585	7.5241	6.0895	8.8242	8.7561	8.7166	7.1349	7.4565	7.0461	7.2433	7.3888	6.9692	6.3188	7.058	7.0492
RS_G21704__CXorf61__CXorf61	0	0	0	0	0	0	6.7283	6.8917	0	0	0	5.3053	5.6279	8.1888	0	7.9773	6.7528	4.7743	0	0	0	3.4023	6.4157	0.23646	0	0	0	0	0	0	0	0	0	0	0
RS_G16247__C17orf60__C17orf60	0.49808	0.30644	0.1873	0.47501	0.16983	0	1.7779	4.3243	0.35255	0.78703	0	0.28012	3.4776	6.4583	0.83997	0.7432	0.46893	3.4339	0	0	0.35027	0.27625	3.0384	0.5823	0.30115	0.24998	0	0	0	0.67601	1.5309	2.4997	0	0	0.25524
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	7.8581	0	6.0855	6.9596	6.6718	0.14834	0	0.54021	4.5962	7.6461	0.14506	0	5.0402	1.8994	2.7188	5.8777	1.6577	6.3893	3.8936	2.3297	2.3917	0
RS_G1765__GNAO1__GNAO1	2.0236	0.20204	0.16856	3.8761	0	0.5982	2.8474	4.6262	0.62384	0.83309	0.48915	0	3.3957	4.8725	0	2.618	1.1034	5.4802	1.9497	1.3593	6.8449	6.0943	2.2935	3.6542	2.8936	5.2484	0	0.6984	0.65085	2.0498	0.90966	5.5822	0	1.0349	0.98333
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	7.8731	6.4148	5.8034	12.806	7.7839	7.0505	8.0027	5.9527	8.4868	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	8.1537	7.5687
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	0.76449	5.7407	2.9858	5.3866	1.6268	2.3399	3.0596	3.9592	0.87158	2.2215	1.958	4.4511	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	3.8192	4.1112
RS_G1562__PKP1__PKP1	0.15156	0.83599	6.0682	6.0765	0.18638	0.40659	9.1236	0.52118	0.42248	0.19294	6.8236	8.7046	7.6667	0	0.097656	1.0626	1.1375	0	7.5597	4.8379	0	4.5401	0.41271	5.5674	1.1903	7.4545	3.8358	1.2462	8.7949	6.8734	1.8114	0.9191	0.68334	0.77356	0
RS_G17647__ARL4C__ARL4C	6.4058	3.9508	6.5819	4.9192	8.0292	4.7101	7.6877	9.0067	6.0138	2.9942	6.2663	7.0619	6.2607	5.9989	2.1991	6.9743	7.5755	7.9861	5.7583	4.3584	5.9484	7.7683	7.5221	4.073	1.3609	5.306	5.4578	10.7033	6.3785	4.8348	5.2782	6.5854	3.1525	3.7385	3.6318
RS_G16610__AC022080.37__AC022080.37	0.93267	0.59414	1.9349	4.8707	2.2902	1.5979	5.2245	2.7741	1.498	0.84547	2.84	5.0291	5.2462	7.0423	5.5808	0.37193	2.7053	2.6303	0	1.2721	4.8136	0	0	1.0648	0	0	0	1.0378	2.9934	0.40875	2.7794	2.9208	0	3.4213	4.9887
RS_G15166__FAM132B__FAM132B	3.6329	1.5782	0.57287	2.2309	5.0949	1.8967	4.6932	4.968	1.5716	1.833	8.137	2.1946	1.3189	4.7947	0.32541	3.4335	5.8446	4.4631	2.6238	2.7471	1.6025	3.3489	5.3574	3.3649	2.0017	5.4355	1.0046	5.1436	2.6266	4.1437	4.5079	0	0	3.7901	4.2921
RS_G5403__TWIST1__TWIST1	1.1861	0.26983	4.0614	2.5713	7.0209	4.5511	4.8892	6.1671	5.4578	0	2.0334	3.7229	0.6241	2.8708	0	3.3893	5.7755	6.474	0.1556	3.8512	4.3436	4.386	0	2.9119	0	3.4374	0	9.2954	6.6104	1.3277	5.6725	0.46509	3.096	5.3279	4.0443
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	6.4553	4.2763	1.278	2.5733	3.1425	0.77135	4.5634	0	1.0504	0	1.5594	0	3.3661	0	3.1684	0.75881	3.3698	2.6144
