Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1
RS_G5087__C10orf88__C10orf88	5.1036	3.4635	4.2138	5.1065	4.9616	5.2668	4.111	5.3159	4.8793	4.9919	5.6166	4.2636	4.7725	4.5133	5.2514	4.5469	4.3564	3.4724	4.1536	5.0384	5.6538	3.335	5.6358	4.0063	4.4706	4.7802	4.3227	4.8347	2.9816	4.2625	4.1654	10.5242	4.5255	3.7896	5.0102	3.5253
RS_G9954__CACNA2D1__CACNA2D1	2.1335	0	1.1668	3.9351	0.97323	0.32384	2.57	3.6111	0.45332	7.0533	0	1.3672	0.38075	3.3847	0	4.5934	0.23314	5.0469	0	0	0	0.05505	3.7067	0.72084	0	0	0	4.0027	2.8864	2.4024	0.69703	0	2.5334	0.17908	2.8936	4.7378
RS_G2947__CA2__CA2	2.326	1.607	3.8479	3.7463	0	6.1112	9.8755	7.8397	8.9	0.40209	6.167	2.2896	6.1392	0.89211	2.716	7.8988	6.5331	0	0.29416	6.3826	7.1346	2.8174	4.6533	5.8083	4.2171	1.5661	0	1.1873	6.3905	2.665	8.6773	4.507	0	2.4798	6.8713	5.8722
RS_G29779__HMX1__HMX1	0	0.12473	3.8952	5.4103	0	0	0	0	0	0.63916	6.1664	3.6621	2.6571	2.9916	1.7597	0.2596	0	0.29934	0	0	4.6009	3.798	0	0	0	0.19458	0	1.3222	0	4.5457	0	2.5287	4.5008	5.8831	0.6615	4.6114
RS_G19413__CSAG1__CSAG1	0	7.1653	0	0	1.6699	0	0	0.47708	0.46378	8.8537	2.1044	7.5508	1.068	0	0.78155	0	6.0034	7.7194	0	0	0	8.3766	1.8037	1.3662	0	2.3977	8.1448	4.1104	0	8.6825	0	0	2.2229	0.3039	6.5373	6.538
RS_G4351__COL7A1__COL7A1	4.9884	2.3752	2.4012	0.98581	0.77562	1.255	0.93156	2.5782	1.5435	3.2919	1.7096	5.7269	4.2544	2.9007	2.0228	2.8981	0.94048	9.3014	1.6966	1.4589	2.4282	2.9642	2.1883	4.099	5.5402	1.9488	1.9774	3.883	6.541	3.4674	9.9568	3.5282	4.0318	2.8372	3.1168	0.65322
RS_G9383__SYT8__SYT8	5.2006	6.4758	0.42144	3.4629	0.20705	0.21585	2.0059	0	2.1773	4.7176	0.8256	1.403	3.6542	6.7637	7.5701	0	0.70535	0.44075	2.032	0.21117	0.57028	7.2399	1.305	3.2331	0.36373	1.7428	6.8044	1.207	5.1812	7.6667	7.8559	7.1945	8.3643	5.5063	8.8617	3.4887
RS_G16320__PCBP3__PCBP3	0	1.233	2.8412	5.1319	4.7329	0	1.8135	7.1215	2.717	1.4734	6.7411	1.1414	3.7919	3.7675	3.7909	4.1238	5.8191	0.75128	4.5505	4.5556	4.431	2.5031	3.5964	0.47491	0	1.0568	0	3.3797	3.9459	5.3921	1.2824	5.3456	0	0	0	0
RS_G14281__AMZ1__AMZ1	4.3637	2.5402	1.9577	6.2024	0	0.80029	0.097203	0.82505	2.9497	7.2086	0.50476	4.8755	3.3	0.55233	0.33663	2.2512	0	1.4567	6.0503	4.4576	5.0749	1.1402	0.26129	5.3051	0.82924	0.31317	1.2553	1.7794	3.5693	2.3375	1.8046	0.50673	7.1278	7.3871	5.9031	2.0128
RS_G16550__CSAG2__CSAG2	0	6.6849	0	0.27141	0	0	0	0	0	7.1887	1.7652	5.59	1.8358	3.9262	0.27825	0	3.2175	4.662	0	0	0	6.6123	5.7519	0	0	0	7.4039	5.651	0	6.0503	0.72602	0	0	1.0746	0	0.91116
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	6.5703	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	6.1751	6.3835	5.8081	3.9008	5.9013	9.6937	6.6725	3.8133	7.2909	4.2476	3.6212	4.1172	5.8356	4.6297	3.0788	2.268	1.297	4.307	4.2755	2.9334	4.4104	4.2158
RS_G10910__CCL5__CCL5	3.492	1.9053	2.6625	4.9081	3.0073	3.5739	3.4087	4.5538	3.411	4.4292	11.2916	2.7366	8.0883	4.4286	6.4101	4.0382	7.181	3.9801	4.6098	3.2963	4.5923	2.2637	2.3663	3.9704	3.0851	10.12	2.8075	2.8119	4.4957	7.2268	4.2972	3.0975	3.9904	2.4924	1.8219	3.0076
RS_G6437__TNNI2__TNNI2	5.5108	4.0471	0	0.54654	0	0	2.8379	0	0.78747	4.3348	0.49938	1.2993	3.7959	7.8367	7.3623	0	0	0	1.4925	0.54639	0	5.6993	1.05	1.3885	0	1.3522	3.9243	0	3.9936	5.4738	7.2947	5.1908	7.7682	1.9039	7.5799	2.5807
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.44843	0.70319	0.30943
RS_G11065__MXRA8__MXRA8	5.9478	5.4923	2.1141	6.662	3.7777	3.2819	2.5319	0.95001	5.7045	3.6959	3.3281	2.653	2.5539	2.1699	2.044	3.4739	1.8668	9.8616	2.4791	1.8544	5.5124	4.1371	4.7722	8.7696	5.9053	2.0985	5.6677	11.6221	4.6241	5.6619	4.6872	2.8482	6.2662	8.3448	6.6064	7.4898
RS_G13657__SNTB1__SNTB1	5.3832	8.4768	2.0145	4.4193	0.46368	0	4.8195	3.6208	0.92349	3.4038	1.0708	0	3.8555	1.6321	3.1292	1.0472	4.6096	7.4302	0.58832	1.0654	0.79422	6.1443	4.9661	0.91013	0	1.2486	6.4231	4.5946	3.3807	8.5304	1.4481	0.43164	3.1699	0.94195	3.7784	3.5099
RS_G1887__ARHGAP4__ARHGAP4	4.1786	3.0121	1.9665	7.2583	1.9084	2.7376	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	1.9435	1.0348	1.9753	1.5813	6.2534	4.0368	2.8938	5.8286	1.1546	3.2345	4.0066	4.2606	2.8494	9.6532	5.0163	4.6067	3.4539	3.2018	6.2045	5.5849	8.5811	8.4355
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	0	0.16111	0.15095	0.4392	0.63111	0.17079	1.6817	2.3787	0	6.8421	1.2505	0	8.026	0	0.46451	4.2383	0	0.096899	2.7013	7.8181	6.8627	5.9547
RS_G5346__FMOD__FMOD	12.7509	1.5875	8.164	0	0	1.3314	0.28036	1.3784	2.4152	1.0433	0	0	0	0	0	0.32245	0	0.96137	0.39525	0.59626	0.54953	6.4584	0	10.606	8.7463	1.187	0	0	1.8549	6.7137	1.0838	5.7611	3.7204	8.4019	8.3586	3.7838
RS_G2983__SNX16__SNX16	4.0779	1.6934	4.2149	4.1823	4.5164	4.3061	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	5.2872	5.6931	4.6284	4.0156	1.8436	4.3623	4.5973	2.0483	4.6342	2.7031	3.0069	4.2101	2.1	2.7695	2.2722	2.668	2.6571	2.908	3.3002	2.7071	4.4856	2.4767
RS_G16181__NKX2-5__NKX2-5	0	0.14799	0	2.2776	0.30376	0	0	4.2666	0.17603	0	5.648	0	7.2823	0	7.3849	5.2771	0	7.6837	0	0	5.3599	6.5462	6.4732	5.7523	0.52732	8.076	0	0.74346	0	0	0.82108	4.6758	0	0	3.6568	0
RS_G6637__RARA__RARA	7.4958	9.1151	6.2662	9.3666	5.5867	8.6755	5.3	5.5698	6.1388	8.1484	6.2953	6.0039	5.8682	7.1367	6.4304	5.9595	5.8703	6.0758	9.2031	7.118	7.7675	7.7624	5.7313	7.2389	5.8846	6.0231	8.386	6.6856	6.8134	7.2525	7.9308	6.8151	8.3269	12.7129	8.5605	8.8544
RS_G18582__MAGEA12__MAGEA12	0	7.7305	0	0	0.29613	0	0	0.33841	0	9.4865	0.27224	8.3753	1.6656	0	1.051	0	5.8085	8.396	0.5451	0.30005	0	9.1989	0	1.36	0	1.111	8.2333	0	0	8.8769	0.45187	0	2.2033	0.83189	7.2668	7.5631
RS_G17921__PTPLAD2__PTPLAD2	2.8764	0	0.37748	3.5493	0	0.50281	0.93382	0	0.19568	3.1289	1.9272	3.1817	1.3002	0.17185	0	4.9924	7.1353	0.38818	0	0.18365	0.18487	1.0544	0	0	0	0	0	0.32372	0	0.20844	1.1937	0	4.3219	1.7048	5.0291	4.9254
RS_G15486__AC018865.4__AC018865.4	2.13	4.5406	5.0811	0.74284	0.071995	0.92425	0.76633	5.3237	3.3037	7.4879	0.34968	3.1145	0.85964	4.1003	3.552	5.228	1.0833	4.9886	3.8307	2.2298	4.6364	3.8094	0.75508	3.5143	1.0318	0.97502	3.6921	5.7375	2.8797	4.5738	2.6637	2.6865	2.4276	0.60505	1.3514	3.0839
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	5.4395	6.3585	3.0381	4.719	0.93829	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	8.4982	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0.047311	0	0.1009
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	0.94948	6.4578	0	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G11476__GRIK3__GRIK3	0.10161	0.11567	3.4404	6.7434	0	2.7903	0	0.21375	0.13788	5.5946	0.22452	0	0	5.8427	0	0	2.4098	0	3.8784	3.1195	6.9585	0.8144	0	0	0	0	0	0.2254	0	0.073992	0	0	2.2317	7.3857	7.1047	6.2115
RS_G15784__C6orf223__C6orf223	0.47075	0.45509	0.20525	0.56515	0	0.27765	2.5749	1.3141	0.29015	0	2.345	0.15117	4.2321	0.77079	4.872	0.094198	6.6822	0.20753	0.34916	0.096796	0.44141	5.6749	1.0311	0.67737	1.8618	4.9779	0.935	0	2.4532	4.7918	2.4237	5.8193	0	0.86728	0.1369	0
RS_G807__CAMK2B__CAMK2B	2.055	1.083	4.9995	6.7296	0.2691	2.5981	1.3003	0.35965	1.7145	6.897	0.053428	0.80048	2.9125	1.3969	1.2759	0.92393	0.20156	0.69563	4.7918	4.0117	6.9571	3.3654	0.35082	3.2641	0.38027	0.44242	1.0315	0.54473	1.0781	3.6915	0.79091	0.12731	2.5763	6.9971	4.9143	4.8944
RS_G5570__C20orf95__C20orf95	7.1527	5.7301	0.36922	6.5895	0	0.95995	0	0.53327	0	3.1196	6.5813	3.8441	4.4064	3.3533	0	0.17468	1.2766	0.37972	0	0.4825	0.96841	5.9026	5.4557	7.0925	1.4186	2.1898	5.6898	0.31651	5.4739	9.1567	5.0249	8.2665	6.8861	10.0052	5.7786	3.3218
RS_G1729__CEACAM6__CEACAM6	11.2531	7.9363	10.8111	5.9404	0	1.8647	1.1825	1.3513	10.349	2.7211	0	3.8865	5.1973	10.3268	2.3833	0	9.8898	0.33274	7.0239	6.9464	1.0683	5.9412	0	8.5402	0.18692	3.1528	7.701	0.64487	0	10.0528	1.3566	4.5531	5.094	6.3261	7.8943	9.4952
RS_G15449__PSTK__PSTK	3.0441	2.5953	2.506	2.888	3.4201	1.9302	3.6997	3.918	3.1924	3.047	4.0419	3.5195	3.7742	3.8694	4.1269	3.8838	3.0608	2.759	3.2617	3.0766	3.4609	2.7387	4.1285	3.3489	3.8483	5.2788	2.2706	4.3471	3.1501	3.2526	2.3549	9.5518	2.9723	3.3824	3.321	2.3236
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.40268	0.4355	0
RS_G432__GRAMD1B__GRAMD1B	0.28829	2.1581	0.75376	1.1705	0	0	0	2.6513	0	1.6006	0	3.9056	1.8936	2.5773	1.7797	2.2565	1.6947	3.2005	2.4558	0.57275	0	4.9375	0	3.6724	1.0083	0	1.9518	0	3.5469	4.0756	0.14873	3.8339	1.0294	1.0115	1.8371	0.59182
RS_G27910__CR381670.5__CR381670.5	4.1178	5.7688	0.62829	5.0352	1.4721	0.41785	4.2117	6.8566	2.0622	7.2552	1.0275	4.8	2.9294	7.5782	2.0201	2.1241	0.3738	5.8515	0.7092	2.0929	3.8594	1.2196	2.2834	3.0966	0.37898	5.1289	0.70831	2.4725	1.7426	4.4	0.60599	2.4172	4.8267	2.1014	1.1252	4.0839
RS_G6098__STEAP4__STEAP4	6.8439	5.5897	0.19263	0.72075	0	0	1.1966	0.87407	5.1818	3.1563	0	0.18835	6.4197	9.325	4.3004	0.22418	9.1773	0.31404	0.27881	1.9215	0.33277	5.8459	0.16592	1.1286	0.30194	0.84694	4.8231	0	9.6887	7.6547	2.3469	0	5.0611	2.0093	4.2154	0.95703
RS_G12257__B2M__B2M	11.205	9.5507	10.0365	10.7284	12.7723	9.9151	11.1783	13.0887	9.4968	10.4742	13.8925	12.2174	12.0721	13.0742	12.5616	11.9706	15.751	10.0038	8.7483	10.1023	11.7189	9.3765	12.5876	9.4284	10.1329	11.3039	11.3537	9.1302	10.4107	11.9582	10.8859	11.3149	11.3883	8.6614	10.9148	8.6662
RS_G2069__IKZF5__IKZF5	5.7021	4.4128	5.3513	5.0351	5.3352	5.5475	4.9167	5.9685	5.2985	5.6042	5.5172	6.1113	6.074	5.4231	5.4279	5.283	5.6724	4.1876	4.6831	5.8147	6.2913	4.6276	5.7219	5.5635	5.2171	5.3581	5.5553	4.6446	4.5729	5.2434	4.1707	11.8927	5.4297	5.0336	5.5195	4.6727
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	2.2897	0	1.5581	0	4.1609	0.24403	0.76783	2.6463	0.97751	1.224	0.11762
RS_G12983__SPRR1A__SPRR1A	2.6766	0	1.2073	4.6224	0	0	4.4152	0	0	1.1468	1.0479	0.96978	5.1369	4.8631	0	0	4.4045	0	0.3708	0	0	6.2122	0	0.35494	0	2.7869	0	0	1.1341	2.8241	2.8212	1.2049	4.8655	3.6111	2.3955	2.8989
RS_G5719__SCGB1D2__SCGB1D2	10.1167	3.7969	7.435	0	0	3.7616	0	2.4518	1.2703	1.7869	2.4186	0	0	0	0	0	0	0	0	0	2.214	4.949	0	9.8672	0	0	6.6518	0	1.4816	12.1454	0	5.8401	0	9.357	12.3511	1.1901
