Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1
RS_G17613__DNER__DNER	2.294	0	2.4646	3.4789	3.6529	1.1389	5.8237	1.9231	1.3251	0	2.8314	3.7397	2.2167	3.9148	4.4929	0.54296	1.5037	6.9983	0.29029	0.8161	8.8187	4.9399	0.99509	5.2065	0	6.8288	0	4.4448	7.0268	3.188	5.3424	5.9503	0	2.1153	2.4246	1.2397
RS_G3379__MEST__MEST	0.28456	7.7409	7.8393	7.4767	7.0437	7.6778	7.4615	1.4366	1.0201	7.6848	0.16774	8.4186	6.9275	6.6173	1.1371	11.3032	0.69041	4.0757	7.3671	8.1143	6.6208	7.5349	6.2993	7.2189	7.299	0.25759	9.0774	0.325	0	6.652	7.5819	0	1.0173	5.9816	6.7253	7.8146
RS_G11693__AC010990.3__AC010990.3	1.7961	0.68784	0	0	0	0	1.0911	1.222	2.59	0	2.9069	1.745	3.1818	6.7489	0.13845	2.4197	7.4569	3.2872	2.5149	0.36743	0	2.6547	0.63123	0	0	3.3869	0	2.4176	2.4682	1.5552	3.7252	0.27953	0	0	0	0
RS_G10667__TPPP3__TPPP3	2.2526	0	2.186	6.7959	0.41479	1.8475	2.3133	1.109	7.6865	0	4.4312	2.1008	0.83472	0	0.90646	1.6514	5.3208	2.3318	1.3278	0.42247	5.9442	5.773	0	1.9225	0	3.125	0	3.6597	4.4601	0	3.6464	0.64202	2.8537	5.2787	7.4528	1.5766
RS_G15626__MAP6D1__MAP6D1	2.2504	0.85483	5.8526	7.2206	5.4591	5.8612	3.9654	3.1315	4.4177	8.4145	3.7921	6.3579	5.3975	4.4178	5.4406	4.2591	2.9896	2.1446	6.133	5.0368	2.5589	4.9943	3.9445	5.6564	3.9162	2.4325	3.151	3.4771	3.7012	3.3235	3.6466	3.883	9.7553	7.2833	3.7728	3.0512
RS_G8613__HHIPL2__HHIPL2	8.1735	2.9216	2.0688	3.2534	0.85142	0.20529	2.3892	2.43	5.393	1.8465	0.34295	0.97012	0.85906	0.97257	1.6534	4.7801	3.951	1.9571	1.4294	1.1774	3.2687	3.3743	1.0849	1.6024	0.4932	1.6436	1.6139	5.5276	2.1155	4.4322	2.1425	3.2963	0	1.7332	4.8423	3.6282
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	5.9076	6.1323	8.4278	6.7404	1.7656	0	0.46256	3.0779	0.7415	0.55533	0.52928	6.6938	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	1.7073	0.22668	0
RS_G6331__SYT5__SYT5	4.0132	1.9982	0	3.7529	2.1684	1.3292	2.751	0.67081	3.6205	6.3433	0	4.089	0.97998	1.0482	0.72222	0.2672	1.0837	2.4688	2.6877	0.96197	7.5711	2.9951	0	0.38058	0.46803	4.0112	0	5.6054	1.1831	1.9308	6.7945	8.1888	2.8824	5.0171	4.9334	3.0571
RS_G1450__HOXA9__HOXA9	0.17011	0	0	0	0	0	4.2747	6.0684	0.42162	1.0745	0.51342	2.9381	3.8685	6.2627	0	2.0643	3.0713	5.5064	0	0.1108	0	1.3105	0	0.20088	0	7.564	0	0	4.3002	0.78151	3.8141	2.6181	0	0.14669	0.54402	0
RS_G1585__FYB__FYB	0.2113	0.19141	0.061937	0	0.20909	0	0.34147	1.9912	1.9119	1.2528	0.39857	6.1426	3.5975	2.5922	3.3846	0.15854	9.0496	0.12508	0.10911	0	0.45377	2.2729	0	0	0	0.53975	0	0	0.11113	0	4.1615	5.2149	0	0	0.42518	0
RS_G16628__PDE4B__PDE4B	6.4704	3.5464	1.9844	0.20129	3.3063	5.4525	0.24878	4.9161	5.5966	2.0004	5.192	1.4264	1.4849	3.9286	3.8978	4.5046	6.4591	2.2321	0.28862	2.0051	4.6156	3.399	3.4134	5.681	4.6651	8.64	3.4552	4.956	8.0863	3.1246	0.082897	4.8358	0.68044	3.1212	4.0708	0.94457
RS_G5593__PTGIS__PTGIS	3.0378	0.50905	0.24849	0.58746	0.70782	0.66543	0.79291	5.3109	1.0653	0.87824	6.5345	0.52663	5.969	0.73956	0.88407	2.4779	3.1099	3.4734	0.78877	0.5584	4.7485	4.5107	0.36191	0.50222	0.45283	3.6031	0	0.52522	1.4475	2.7148	0.93871	1.9172	0.38671	4.2777	1.414	0.47916
RS_G5811__C3__C3	7.1207	1.6685	0.69203	2.2919	1.3461	1.109	9.5755	2.9582	0.52857	1.3027	11.5641	5.0096	9.6169	3.7993	8.5745	3.1161	10.7546	3.071	1.0739	0.71163	3.2606	5.4593	1.766	0.54314	1.4735	11.9762	0.3753	3.3306	13.2011	3.4851	7.8954	3.5917	3.7685	3.7365	3.2756	2.3797
RS_G19430__TGM2__TGM2	5.7731	4.6351	0.075916	1.8639	2.1072	1.5359	1.1001	3.5707	1.4478	2.0468	2.7949	4.4499	9.0075	9.2277	2.5436	7.904	4.964	6.8507	5.4294	2.0974	2.9293	4.6858	7.9893	1.2109	1.8048	3.27	2.1179	2.6677	8.7502	0	12.5541	5.6263	0.8381	10.315	1.5682	0
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.34204	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	0.81235	7.8441	6.672	8.9544	1.7722	1.5798	0.72205	10.471	0.4706	0.586	0.65303	2.7753	2.6835	13.7475	11.5166	0.084498	7.974	0.8554	1.2223	6.7332	1.7071	0.4654
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	0.69729	0.25811	0	0.54424	6.4267	5.6475	0.38942	5.1452	0.63987	2.6185	1.1863	0	4.2646	0.45772	0	1.0983	0.71099	0	8.5345	6.106	4.7114	5.3932
RS_G1513__PTPRH__PTPRH	3.6863	4.9381	0.81529	4.0987	4.148	0.13715	3.7678	1.6872	4.3044	1.2026	3.5699	1.7871	4.2665	5.5253	1.1762	1.6527	5.0929	3.5538	2.4093	0.67046	6.0085	2.5402	2.2747	0.48253	0	0	4.3622	8.1775	1.54	3.0494	4.222	5.0748	0.53648	2.1391	4.5197	5.4053
RS_G6332__TNNI3__TNNI3	4.8498	0.4933	0.58895	5.7487	0	5.471	0.46847	0.60074	1.6798	3.3031	3.1984	3.3498	2.293	2.0651	1.27	0	1.7711	2.2119	1.8004	0.74889	5.6643	6.3596	1.0554	1.7982	2.3682	5.2708	0	3.2399	0.95049	0	6.4613	6.2544	5.7356	4.7589	8.0674	7.5775
RS_G4449__TP53I3__TP53I3	6.2147	5.1241	4.0524	3.1718	5.9533	5.2338	6.097	3.1749	5.1934	3.9811	5.0749	4.6901	5.846	6.3916	7.5979	5.7409	4.9518	6.7277	5.8728	6.3196	6.9346	7.6764	7.1538	6.6031	7.0284	6.6464	4.1156	6.9599	7.4397	1.4907	7.1911	5.3831	11.8603	5.2288	6.1034	5.2564
RS_G13159__ADRA1B__ADRA1B	0.18329	1.0437	0	0.11811	0	0.23221	3.1228	2.5203	0.44765	0	0.38564	2.2667	0.17378	3.1453	4.6405	1.2095	0.38458	4.1574	0.32467	0.6723	0.52594	3.0163	4.5454	0.30935	0	1.8242	1.7875	7.9508	2.9802	2.2674	6.7332	1.8183	1.1225	0.92045	1.1506	0
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.74091	5.5154	4.458	10.0294	0.50701	0	0.15291	5.9153	0	0.47804	0.67254	6.3519	0.71178	8.0913	6.8538	1.7789	5.4073	1.6774	0	3.3427	0.5521	0
RS_G23634__hsa-mir-205__hsa-mir-205	4.7533	1.3542	0	0	0	0	0	0	0	0	0	4.5349	4.3277	4.3498	0	0	3.377	0	0	0	0	3.4472	0	1.395	0	0	0	0	2.9965	0	2.7057	2.7566	0	0	0	0
RS_G28022__MIA__MIA	5.1437	0	0.42927	0	0	0.40284	9.9635	4.6515	1.5945	3.5642	10.5841	0	2.2968	1.7421	5.5567	1.908	7.7692	0.44122	0	0.70418	1.9677	5.0087	0.37373	1.8796	0	11.3062	2.7548	3.1847	6.1002	3.3097	3.6894	0	0	2.5977	3.6171	0
