Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0	0	0
RS_G9666__DPYSL4__DPYSL4	2.1402	2.0732	0.10834	2.7477	6.5065	0.36733	0.66651	6.9015	0.20354	0.57452	5.8937	5.5149	3.6203	0	0.89312	7.2924	0	8.4033	5.9845	5.4214	7.126	3.1706	0.18027	2.5149	2.3566	4.7578	1.5021	3.1696	0.35504	3.2394	0	5.5632	1.3874	7.3126	1.3908	0
RS_G2069__IKZF5__IKZF5	5.7021	4.4128	5.3513	5.0351	5.3352	5.5475	4.9167	5.9685	5.2985	5.6042	5.5172	6.1113	6.074	5.4231	5.4279	5.283	5.6724	4.1876	4.6831	5.8147	6.2913	4.6276	5.7219	5.5635	5.2171	5.3581	5.5553	4.6446	4.5729	5.2434	4.1707	11.8927	5.4297	5.0336	5.5195	4.6727
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	5.4189	6.1071	2.0939	11.6616	5.7069	12.2019	5.2958	5.5994	12.9359	7.5671	0.68484	7.2676	0.69935	6.6271	5.5221	6.5424	7.9202	4.3394	9.092	9.3835	7.9355	11.2459	0	5.772	14.3583	7.3719	7.0799	6.8735	11.3881	7.0867	7.2831
RS_G28096__CRIP1__CRIP1	7.9844	4.1652	10.7307	13.429	1.4617	2.9972	3.1334	1.3965	13.7478	3.9517	9.5409	7.9296	1.0811	2.5807	4.013	2.5551	10.3575	2.4509	6.32	4.123	11.2384	9.4178	0	11.4462	10.3518	3.5508	3.7792	3.5393	12.4211	6.1301	12.4714	1.3665	11.503	12.5563	13.3168	13.0061
RS_G18399__COL27A1__COL27A1	8.0644	3.0828	2.0741	2.2689	4.6199	1.0949	3.2578	2.9569	0.90782	3.614	5.2826	5.3374	4.1576	2.523	3.6506	5.6747	0.97574	3.8578	2.98	2.2347	3.7904	2.5515	4.1375	4.2895	0	6.1948	0.59387	3.3792	4.4903	2.0468	2.0487	0.68578	1.3211	3.9043	3.7676	2.8506
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	2.0778	3.1752	2.8722	3.1587	5.4452	3.6614	5.309	4.1984	9.4664	4.2942	3.8001
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	4.4328	2.7055	0.13375	1.5091	0.71549	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	2.5764	0	0.42536	1.3477	0	0.10127	0.55269	0.21169
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	11.6018	7.3184	6.7812
