Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1
RS_G761__KCNH2__KCNH2	4.3974	7.7662	1.4548	5.3576	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.31183	0.77169	0.11002	0	0.87414	5.3995	4.2125	6.9596	4.0376	0.65077	3.5139	0.86035	3.6229	0.98382	0.73108	3.7015	4.5043	0.55219	5.3417	1.9414	4.1343	1.7068	3.3441
RS_G6637__RARA__RARA	7.4958	9.1151	6.2662	9.3666	5.5867	8.6755	5.3	5.5698	6.1388	8.1484	6.2953	6.0039	5.8682	7.1367	6.3018	6.4304	5.9595	5.8703	6.0758	9.2031	7.118	7.7675	7.7624	5.7313	7.2389	5.8846	8.386	6.6856	6.8134	7.9308	6.8151	8.3269	12.7129	8.7165	8.5605	6.2371	8.8544
RS_G14942__PVRL3__PVRL3	3.0342	0	3.0716	0.94041	7.9748	0	3.0315	5.3155	4.3643	0	0.24295	5.4957	0.84611	3.2823	2.9367	5.4663	6.1654	4.3798	6.1795	0	1.504	0	0	7.1246	2.1541	1.4176	0	3.159	4.2008	3.0716	0	0.55555	0.18395	0	1.0069	0	0.80047
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	12.0764	9.6008	7.9408	6.7415	0.4589	8.6745	4.204	9.5072	1.276	2.3445	5.1828	7.4045	10.2263	10.0828	8.318	10.6767	9.4703	6.5261
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	5.2356	5.2064	3.5201	7.1076	2.7576	0.22595	0.60314	1.5779	1.351	0.050499	0.13512	9.1755	6.7615	4.8458	0.72083	6.9805
RS_G12798__FAM178B__FAM178B	0.98678	6.1251	3.3804	4.5129	0	1.8948	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	4.9947	1.438	3.2679	3.3825	4.1545	3.0771	0	4.1486	0	4.8261	1.399	3.5345	0.3566	2.3155	0	5.4827	5.3408	4.0431	2.0612	0.92306
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	1.6721	0	0.34272	0	1.0688	2.9627	1.5467	6.1453	3.7678	0	9.687	5.2492	0	0	0	0	3.3531	0	9.4107	10.6991	3.6158	3.7646	2.5328
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	1.235	1.7892	3.8954	4.6243	0.72126	1.595	0.29975	0.13809	0.35881	2.161	0.094808
RS_G4692__PLA2G4A__PLA2G4A	0.3939	1.7648	1.0591	0	3.7798	0	0.15113	3.5427	0.35835	0	0	6.9035	2.8598	3.4805	2.0013	3.8272	4.5847	7.7553	0.37811	0	0	0	0	3.9355	0.16825	0	2.5685	1.1468	4.8091	3.2342	0.52016	3.5699	0	0.23599	2.7344	0	3.4777
