Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1
RS_G6171__FLNC__FLNC	0.72108	1.443	0.40371	2.333	2.8047	0.14743	0.23239	5.9802	0	0.23061	5.3657	5.9628	3.5925	0.15895	1.296	0.73725	7.1029	0.20172	10.6715	3.68	0.059404	1.3811	0.65678	8.2159	0.53496	0.46659	1.0511	0.91112	8.2838	0.88729	1.6241	3.7539	0	3.0293	1.7965	1.0376	1.1445
RS_G34074__RP11-258C19.3__RP11-258C19.3	3.8291	2.8681	3.1395	2.661	1.3579	4.1726	3.0209	3.4128	4.8519	4.6919	1.5425	2.3974	3.452	1.9856	7.856	0.44921	2.4535	1.3594	2.8584	1.9851	3.3219	4.9203	3.9604	0.73805	1.7849	1.9667	2.8222	1.3973	0.99103	4.5668	0	0	1.6502	2.3215	2.5155	0	3.4593
RS_G3758__SOD3__SOD3	7.5192	4.4952	4.6305	5.0809	0	0.33068	0	0.99346	2.2897	0.9042	6.7181	5.3406	3.1972	0	3.5966	6.5962	1.8315	1.4813	0.36301	0.31984	0	0.60126	0	4.7235	5.6337	0	4.019	5.5921	0.3023	0	8.0244	2.5767	0	9.7077	0.80941	0	0.23985
RS_G2490__SALL4__SALL4	0.87541	3.0032	3.7493	1.5847	0	0.22779	2.8696	2.4846	1.3087	0.46749	2.5464	5.4893	4.1678	1.6176	0.15106	0.48619	4.7341	2.6721	2.5211	3.5542	6.0056	1.2161	1.2598	0	3.7915	0	2.0331	1.9441	2.9444	2.851	2.0342	4.282	0	0	0.28931	0.30869	1.1997
RS_G7676__MMP7__MMP7	0.47687	0.94026	0	0.42652	0.74274	0	11.7365	5.5087	0.45203	0	4.8989	1.9117	1.6535	4.5871	0	7.6055	7.0237	11.0385	0	0.22602	0.2289	0.4265	6.6786	0	0	0	11.8133	0	0	7.3366	0	2.6851	0	2.303	4.0563	0	0
RS_G11297__AC017048.6__AC017048.6	2.5528	0	0.793	5.4763	0	4.546	2.2023	0	5.1544	4.018	5.1196	4.2404	0.6038	2.0777	0	0	0	1.8202	5.6593	4.7482	2.4931	1.5275	1.293	7.776	3.7739	0	1.1146	2.5884	5.7413	1.2249	0	3.6146	4.8248	2.2602	4.0825	1.9459	3.7537
RS_G2877__XYLT1__XYLT1	2.0844	5.3814	2.4407	4.4724	0	0	0	4.3641	0.50241	0.97748	5.7699	1.0611	4.0689	2.9429	0.11321	0	0.084142	2.9742	6.5261	3.5265	3.3908	4.8806	2.0604	0	2.621	0.37812	5.5435	5.1266	7.6523	3.9492	2.7842	1.0292	1.651	2.5806	4.1291	2.3564	1.7844
RS_G9703__CCL28__CCL28	3.4659	1.8114	1.1828	4.438	0	1.1414	6.2787	1.3718	4.9862	9.1727	1.1825	4.8766	4.8853	6.2531	5.4816	2.9553	0.54407	7.5796	1.2174	0	4.6088	1.2885	5.0435	3.507	3.2631	6.3013	6.9981	2.2221	0.52257	0	5.2953	3.2568	4.8865	5.5501	6.523	6.8023	2.0285
RS_G9462__TAGLN__TAGLN	2.8945	4.626	4.3649	5.0176	12.9074	2.7645	8.6642	6.4471	4.1793	6.7896	7.2393	4.7579	8.3802	3.7555	5.0574	12.7347	3.7073	4.379	11.2783	6.5618	4.1273	4.3295	8.1001	7.1779	5.9616	5.788	11.5147	4.45	5.9423	5.8261	5.9848	9.884	2.3748	5.4031	5.6312	4.2217	3.2621
