Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1	-1
RS_G9054__SLC2A12__SLC2A12	3.649	2.6215	1.5811	1.4241	1.4865	1.2614	1.6733	7.2656	0.94141	0.33402	1.8373	1.015	3.2607	2.4662	2.6381	4.2849	4.2982	4.5068	1.1784	2.0942	1.3538	1.0379	2.7596	2.1096	1.9341	0.15829	3.1953	3.729	1.2369	0.58794	5.1466	1.8698	2.2742	1.1545	1.5005	3.8125	1.5576
RS_G5729__MT1G__MT1G	0	2.6191	0	0	0	0	4.9557	0.62973	0	0.7331	0	5.6489	1.6687	1.2197	1.541	6.9593	2.3812	5.6695	0	0	0	0	0	0	0.53834	0	4.4929	3.7126	2.7817	2.0164	1.8496	0	3.1253	0.73721	0	1.6951	0
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	2.4857	0.46269	0.21916	0	0.95514	3.3564	5.9604	1.52	3.0532	5.3403	2.3952	1.5161	0	1.3381	1.6989	5.4614	0.90948	0.96921	0	5.1246	0.28482	5.3911	0.80293	2.4289	0	0.34973	4.3318	0.32589	6.6774	1.8325
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.71871	0.74091	5.5154	4.458	10.0294	0.50701	0	0.15291	5.9153	0	0.47804	0.67254	0.71178	8.0913	6.8538	5.4073	1.6774	0	3.3427	0	0.5521	0.75427	0
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	1.4723	0	0.81377	0.69034	0	3.3482	0	1.5272	2.0692	2.4894	2.1048	7.9899	0	2.8029	0.41222	0	2.0805	0.27664
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0.097138	0	0	0.33528	0.36194	6.6388	6.3693	5.8502	0.5478	0.048768	4.0578	0.26259	0	0.26705	0	0.29656	0	4.7903	4.3059	0.033789	5.6965	0.70782	4.9746
RS_G18988__AKR1B10__AKR1B10	6.0862	6.4031	3.4204	4.4495	3.4368	1.0699	3.6936	13.2877	6.9807	1.5061	1.9267	6.7916	5.592	11.1161	5.4083	6.367	3.9192	8.1433	2.5406	4.3702	1.7214	2.4865	6.1488	1.9461	3.7713	0.52788	3.873	1.0774	4.063	9.6947	2.5692	0.50493	2.3659	5.0285	1.4491	3.5228	1.9367
RS_G8456__PADI1__PADI1	1.4137	1.9592	0.46792	0.5346	1.4893	0.14054	3.4138	1.3688	0.88796	1.0665	0	4.9116	4.4929	5.298	1.2542	1.483	1.8703	1.7684	0.97468	3.0182	0.19986	0.78537	4.9634	2.2033	1.636	0	1.7194	0.63742	2.3076	1.8151	2.3204	0	1.0416	3.2952	0.58662	0.15447	0.19609
RS_G9764__SPOCK1__SPOCK1	0.73188	1.8385	1.5447	1.885	8.7612	0.26671	2.8401	8.7292	0.11606	1.9726	0.51264	3.357	5.8754	3.6344	0.39341	2.2589	3.2299	1.9918	9.0647	2.0412	0.30801	5.5589	1.2868	1.0533	0.76718	0	1.6003	3.5414	1.622	3.8591	0.52115	0	4.5238	0.40972	0.29584	2.4965	0
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	4.0893	8.438	8.7856	8.1977	5.5418	6.2577	5.6096	7.1473	5.7509	6.7727	5.928	3.3836	5.4681	6.386	10.7433	6.6273	5.9329	7.033	5.945	6.155	2.8408	4.7669	4.8767	7.8875	7.9949	6.493	6.6429	9.2453	7.1473	8.7531
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	0	5.9076	6.1323	8.4278	6.7404	1.7656	0	0.46256	3.0779	0.7415	0.55533	0.52928	0	9.0646	10.6571	6.8006	9.2782	0	1.7073	1.4987	0.22668	0.18146	0
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	0	2.4184	0	0	5.9388	5.1825	0	5.7711	0	5.3067	0	4.4794	0	0	0	0	0.32925	0	0	0	1.4806	6.5899	5.9947	4.2898	0	0	0	0	0	0	0
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	0.24517	5.1256	5.5198	0	0	2.0876	2.7652	3.4922	6.9589	0.61436	8.326	0	2.9312	1.6538	1.0494	0	0.44826	7.6739	0	0	0	1.8503	2.1211	0.93863	3.1433	0.25517	0.87163	3.2242	0.16919	0	0	0
RS_G7729__STRA6__STRA6	3.1212	4.9445	0.43073	2.7663	2.5699	0.6656	0.51212	3.5324	0.27027	0	0.29404	0.59667	4.9074	6.5711	0	5.3369	5.7205	8.8652	2.6414	1.7416	1.1844	0.48367	3.9368	0.44146	1.3397	0	4.7034	0.16212	7.6926	7.8942	2.7278	0.73423	3.3866	6.8835	0	0.20048	0.24733
RS_G922__CHI3L2__CHI3L2	3.2198	0.51024	0	0.56368	5.798	0.56836	0.66931	5.9387	0.46306	1.1011	8.7973	0	4.899	3.6758	0.55634	5.7246	5.4771	8.3731	1.2346	0	0	0.16809	3.2906	0	0.15241	0	1.528	1.3437	1.671	1.328	3.3623	0.96833	1.5601	1.8723	0	2.0117	0
RS_G10048__NCAM2__NCAM2	0.90591	0.059094	5.8956	5.5119	4.3315	7.6151	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.091683	1.1394	0.80572	0	0.22422	0.99046	4.4702	5.91	4.3296	0.62114	0.23448	3.8161	5.5146	0.48347	0	0.25252	0.1996	0	7.7429	2.5721	1.6224	3.7889	0.34777	2.5183
RS_G17087__KRT5__KRT5	0	2.3682	3.2544	0.87342	2.2491	1.3894	13.5262	9.5837	1.8734	1.1887	4.0154	14.3688	13.5652	7.6892	1.3019	10.3691	4.1397	12.707	1.2187	4.3174	1.3229	0.60193	13.9607	0.83413	2.4598	5.6981	3.0627	2.8132	13.5919	14.182	8.7706	0.4696	1.6355	4.0164	0.16138	0.81787	1.5571
RS_G432__GRAMD1B__GRAMD1B	0.28829	2.1581	0.75376	1.1705	0	0	0	2.6513	0	1.6006	0	3.9056	1.8936	2.5773	0	1.7797	2.2565	1.6947	3.2005	2.4558	0.57275	0	4.9375	0	3.6724	1.0083	1.9518	0	3.5469	0.14873	3.8339	1.0294	1.0115	7.0113	1.8371	0	0.59182
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0.27113	0	7.9012	8.082	6.5859	4.17	1.6206	0.80808	4.8815	3.1098	0.52736	0	7.9049	3.0229	6.1828	10.4891	2.8626	3.5352	0.76102	0.44464	0	0.31112	0
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	4.3933	0.55787	1.3527	2.3273	7.8208	1.3018	2.9242	3.7231	2.9131	0.36525	0.94339
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	3.293	10.8788	9.9252	12.5244	9.3982	3.8586	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	0.25393	4.3852	7.1035	7.3456	7.1766	0.7413	7.3833	4.6036	2.4343	4.1125	0.70512
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	0.11679	7.2517	8.6794	7.4749	9.7159	2.3768	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	1.7652	4.6926	6.5604	6.081	5.2147	2.8761	0.70055	0	0.45007	0.42848	0.086745
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	4.5564	1.1636	4.1819	5.1099	4.2711	2.3894	5.3274	2.2478	2.0977	0.47368	1.1167
RS_G35581__APOBEC3C__APOBEC3C	0.345	1.8556	0	1.6981	0	0	4.6314	6.3901	0	0	0.69901	7.656	7.9072	4.2884	0	6.6221	7.1835	5.6152	7.1315	2.1893	0	0.77854	7.2322	7.4238	6.7343	2.0552	0	1.5503	7.4712	7.3631	2.0175	0	0.5452	0.76727	0	0.6821	0.59024
RS_G28131__FAM24B__FAM24B	4.0501	2.9345	2.3534	2.4469	4.9408	3.9313	0	5.7249	0	4.2709	0.53458	5.5552	6.1477	4.7625	3.7908	4.6012	4.8141	4.5653	4.2135	5.0385	4.9806	0.33137	4.7668	5.0183	4.1747	4.8854	3.6753	6.337	3.3251	4.7336	11.7746	5.008	4.263	3.7329	0	3.6494	0
RS_G18318__MME__MME	0.21685	0	4.2074	0.18363	7.4852	0	1.2735	3.0231	0.1471	0.12986	0	1.5989	5.2843	4.3203	3.5453	0.8168	8.8677	7.3029	2.6005	0.4139	3.6482	0	4.3657	0.2533	4.0613	5.1316	0	6.1159	5.8015	5.3236	1.6951	0	0.47224	0.033593	0.52545	0	0
RS_G5405__GLIPR2__GLIPR2	1.6539	7.0819	0.90362	2.8754	5.1543	2.2968	4.6416	4.6861	1.7021	0.87288	5.9912	1.4785	4.9724	4.2248	0.6752	6.7986	6.3415	6.008	5.354	5.1586	3.0034	5.421	4.1668	3.8964	3.8901	0.45074	4.0647	4.7593	4.2732	2.3158	2.7256	3.5392	3.6892	0	1.1076	0.85863	2.0736
RS_G17866__FZD9__FZD9	0	4.6771	0.4403	2.9437	3.445	2.5305	3.3357	2.1183	0.12145	0.93021	5.7118	3.3851	3.5463	2.3341	1.4657	3.7746	0	2.9777	2.2666	4.1247	1.9509	0.94309	4.9195	0	0.16042	0	4.2909	4.2862	1.9381	4.1039	2.547	3.9233	2.9662	0	0	0	0
RS_G8167__HAPLN3__HAPLN3	0.97429	3.796	0	1.3925	4.9751	0	5.7826	5.9487	0	0.19085	3.582	2.0912	1.8122	2.3328	0	5.5488	1.5702	3.4771	5.8556	1.9629	1.2117	0.3906	4.9555	4.7196	0.067181	0	1.043	3.0194	6.4629	2.8552	1.4751	0	3.0774	0.49663	0	0	0.19905
RS_G5561__PI3__PI3	3.0706	3.6429	3.0152	0	2.5138	0.73253	5.0806	3.2166	0.42835	0.53604	11.0888	3.8493	12.335	8.9357	0	5.0919	5.1559	10.2125	0.7907	1.1857	0	0	10.7066	0	0.39099	0	7.5841	0.66256	11.976	9.9971	2.5749	0	1.8475	1.0592	0	0	0
RS_G16085__HOXB4__HOXB4	0.81093	2.4456	0	4.5687	5.7023	0.66096	0.21237	0.13987	0	0.33349	0	0.54181	0.37369	0.83705	4.3864	0	1.0015	2.2899	1.1914	0.99752	0	0	3.9921	1.7633	0.062684	0	0	0.76261	0	4.2511	1.5129	2.6048	6.5478	0.70081	0	7.3368	0.49552
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	0.31511	10.0348	1.7585	4.9998	0.87841	1.9651	0	1.4592	12.0662	0	1.6783	2.1958	0	0.54237	1.3136	7.7474	10.6798	0	5.3638	5.4051	4.337	4.2305	0
RS_G2983__SNX16__SNX16	4.0779	1.6934	4.2149	4.1823	4.5164	4.3061	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	3.6058	5.2872	5.6931	4.6284	4.0156	1.8436	4.3623	4.5973	2.0483	4.6342	2.7031	3.0069	2.1	2.7695	2.2722	2.6571	2.908	3.3002	2.7071	3.7989	4.4856	2.7834	2.4767
RS_G7026__NGF__NGF	0	0	0	0.44039	8.2263	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	0	7.7309	6.0518	0	7.9757	1.5749	0	0	0.80236	4.6169	0	0	0	4.7581	0.80466	3.6174	0	0	0	0	0	0	0
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.34204	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	1.0267	0.81235	7.8441	6.672	8.9544	1.7722	1.5798	0.72205	10.471	0.4706	0.586	0.65303	2.6835	13.7475	11.5166	7.974	0.8554	1.2223	6.7332	3.5849	1.7071	0.16343	0.4654
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	7.796	5.5347	1.3362	3.3225	1.0523	3.7167	0.69586	0.98624	8.1369	3.2657	1.6994	1.1045	3.1421	2.7763	7.589	10.9573	2.5445	5.0406	8.5443	6.8695	4.4201	2.987	0
RS_G15383__ARL14__ARL14	0	0.18019	0.72953	2.3706	0	0	0.58572	0.42152	0.40015	0	0	2.6526	4.8541	3.8349	1.1272	0.93297	0.36786	3.4795	0	0	0	0.69233	0	0	0.57875	0	0	0	1.3343	1.8454	0.98861	0	0	1.3872	0	2.2672	0
RS_G22652__SERPINB3__SERPINB3	0	0.25379	0	0	0	0	0	0.57895	0	0	0.82008	1.9225	3.3203	7.064	0	0.7401	0	9.5735	0	0	0	0	1.0359	0	0	0	0	0	5.6438	4.325	0	0	0	0	0	0	0
RS_G19430__TGM2__TGM2	5.7731	4.6351	0.075916	1.8639	2.1072	1.5359	1.1001	3.5707	1.4478	2.0468	2.7949	4.4499	9.0075	9.2277	0	2.5436	7.904	4.964	6.8507	5.4294	2.0974	2.9293	4.6858	7.9893	1.2109	1.8048	2.1179	2.6677	8.7502	12.5541	5.6263	0.8381	10.315	2.5229	1.5682	2.9744	0
RS_G5851__BMP2__BMP2	0	2.2943	0	0	0.56208	0	6.1433	4.5299	0	0	0	4.5283	4.1967	4.5089	0	3.7759	1.3779	0.62897	5.0298	0.164	2.2696	0	5.4122	0.80063	0	0	1.0794	0.29414	5.7002	4.8377	0	0	1.303	0	0	0	0
