Cell lines	AU565	BT474	BT483	BT549	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	UACC893	ZR751	ZR75B
Response	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1
RS_G13794__SLFN11__SLFN11	3.9958	0.21697	4.8183	6.7477	4.7006	0.22325	0	0	0.17932	5.2052	0.85204	1.2043	0	0	7.3164	0.13555	0.11312	0.1012	0	0.053939	4.6084	1.3692	4.19	1.0505	0.1846	0.1044	0.81293	6.0743	0.071748	3.2933	0
RS_G10216__C8orf38__C8orf38	2.3135	7.2087	6.021	6.0859	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.9155	3.8127	5.874	4.967	4.503	4.0145	4.2857	4.629	4.5804	5.7507	4.6899	5.1276
RS_G2983__SNX16__SNX16	1.6934	4.2149	4.1823	4.5164	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	3.6058	5.2872	5.6931	4.6284	4.0156	1.8436	4.3623	4.5973	2.0483	4.6342	2.7031	3.0069	2.7695	2.2722	2.6571	2.908	3.7989	4.4856	2.4767
RS_G12785__SLC16A4__SLC16A4	2.8627	1.8764	3.793	1.5098	2.5332	3.8893	2.5505	2.9457	7.7481	1.8694	2.8096	1.1751	2.7355	4.7571	3.7372	3.9577	2.4846	2.1431	1.9558	3.4505	2.5055	1.342	2.4408	1.6133	0.97355	2.3942	1.1238	1.7544	2.248	1.1295	1.52
RS_G12982__SPRR1B__SPRR1B	0.63608	0	3.8097	1.4994	7.092	1.2683	0	0	0.64046	4.8334	7.6626	4.7816	0	0	0	4.001	0	0.69033	0	0	5.8907	0	1.214	1.092	1.1062	1.5367	7.3536	0	0	0	1.2275
RS_G10165__DEPDC6__DEPDC6	6.1946	7.7825	6.0532	2.4574	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	5.9438	3.252	2.4528	5.9295	7.3951	4.8614	6.0803	6.7226	5.9242	1.9036	6.7617	6.0819	4.7027	3.6608	2.335	3.9324	5.7114	6.0442	4.9031
RS_G10477__COLEC12__COLEC12	0.63558	8.1128	0.80205	0	1.1604	4.2167	5.2352	0	0.22341	0	0.47351	0	4.9758	2.7664	2.5115	3.3369	6.0277	0.84557	0	1.3449	0.13838	0	0.68978	2.5487	0	0	0	0.34827	3.9079	0.43999	1.7849
RS_G12875__MFSD7__MFSD7	5.9466	0	5.134	0.87243	0.39831	0.27981	2.9756	3.974	0.50965	1.6432	2.5464	0.69369	0.24852	0	1.8338	0.32742	1.3851	1.148	1.087	1.8221	2.8234	3.1895	1.7338	2.1995	1.462	3.5056	0.37387	4.665	0.33251	5.0269	3.5491
RS_G6275__KLK8__KLK8	2.1437	0	4.4067	0	6.9642	0	0	0	0	6.7567	8.6102	9.0065	0	4.5337	0	2.8049	0.24842	1.3141	0	0	8.6402	0	0.38986	0	0.69648	0.74274	9.9341	7.1862	6.0924	5.4714	0.31492
RS_G12887__ROR2__ROR2	0	0	3.2452	0	4.2998	2.7187	0	0.28529	1.6518	1.9581	3.8669	0.15018	0	2.2208	4.9915	0	2.6226	1.7196	0.43584	0.057404	2.4422	0	5.8797	6.4732	0.52239	7.9269	1.6918	4.8317	0	5.0886	5.4198
RS_G9341__ANKRD1__ANKRD1	0	0	0.8261	4.6532	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	0	5.0848	1.2721	0.23193	3.6273	3.9893	0.25672	0	1.1723	10.4614	0.49467	0.6149	2.257	3.3586	1.9709	4.3821	0	1.0823	0
RS_G11256__SPRR3__SPRR3	0.23122	0	5.638	0	0.98659	0	0	0	0	2.728	4.5123	3.2536	0	0	0	0	0	1.1027	0.83238	0	6.4478	0	0.45042	0	0	0	0	1.7475	1.5011	2.7222	0.6426
