Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	1	1
RS_G4692__PLA2G4A__PLA2G4A	0.3939	1.7648	1.0591	0	3.7798	0	0.15113	3.5427	0.35835	0	0	6.9035	2.8598	3.4805	2.0013	3.8272	4.5847	7.7553	0.37811	0	0	0	0	3.9355	0.16825	0	8.1941	2.5685	1.1468	4.8091	2.435	3.2342	0.52016	3.5699	2.7344	3.4777
RS_G9324__ST8SIA6__ST8SIA6	3.8932	0	4.7236	4.8714	2.1798	3.4005	2.6211	0.20409	4.2456	4.6402	4.6694	0	1.0323	0	0	0.86801	0	4.2708	0.3832	3.6887	4.65	6.6877	1.5032	0	2.0304	3.3897	0.96536	0	0	1.0637	2.499	0.50878	4.465	3.4748	0.25324	0.47484
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	0.3789	3.0125	6.0192	0	9.3304	0.3731	0	0	0	9.9268	0	0	3.2169	0	2.0368	0	0	0.57078	3.6571	3.931	0.7318	0
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	0.69471	5.5643	11.2166	9.5247	2.0807	6.5407	4.0569	8.8576	6.2473	0.95379	7.1449	0.13153	7.0112	6.9973	6.7223	3.7574	0.55913	6.476	7.469	4.2307	2.3733	0.20857	2.0193	2.2592	2.6366	2.0589	3.9583	7.4204	3.5592
RS_G10165__DEPDC6__DEPDC6	5.8259	6.1946	7.7825	6.0532	2.4574	5.8304	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	5.9438	3.252	2.4528	5.9295	7.3951	4.8614	6.0803	6.7226	5.9242	1.9036	6.7617	6.0819	4.8403	5.9379	4.7027	3.6608	8.5343	2.335	3.9324	5.5378	6.0442	4.9031
RS_G3221__UPK1A__UPK1A	0.8528	1.0252	6.1111	8.1689	0.3617	1.1309	1.2971	0.73223	8.1177	2.4971	0.47554	0	2.2747	1.1508	1.9535	2.1001	1.0908	0.93519	4.0595	6.4552	2.0695	3.8393	6.4601	0	4.3151	3.5316	0	0	2.1671	1.3118	1.9598	0.94107	0	2.1181	4.9489	0.50994
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	3.4635	4.5564	1.1636	4.1819	1.6303	5.1099	4.2711	2.3894	2.0977	1.1167
RS_G11240__BNIPL__BNIPL	5.5896	1.461	1.5848	6.6248	0.88936	4.9437	2.4225	2.1343	4.6787	2.8799	1.5072	1.0147	1.6343	0.85542	3.0365	1.8391	1.507	4.0517	1.4803	3.9015	4.0577	4.3487	3.0474	0.60034	4.2019	4.4136	1.3684	1.9664	1.7426	1.0803	4.9129	2.13	3.2095	8.8835	4.0362	2.3258
RS_G12356__B4GALNT2__B4GALNT2	2.7107	0.12324	8.2519	1.3762	0	7.1334	0	0.1554	6.5897	1.0798	0	0	3.4328	0	2.0574	0.78283	0.25663	0	0.74854	1.1907	1.9268	0.14215	3.4839	0	6.3505	7.5269	1.9441	0	0	0	4.7258	0.39668	1.3938	2.4222	4.766	2.8273
