Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1
RS_G14428__C7orf10__C7orf10	3.7743	1.0982	0.7662	0.89114	5.2894	0.14994	3.7882	2.8196	2.0669	0.37628	4.9639	4.3508	2.6963	2.255	0.88611	2.9243	4.0509	0.65512	4.1949	0.3938	0.96976	1.5258	1.2013	2.0049	0.13633	0	4.5349	0	4.8912	2.9044	0	1.2329	0.30448	2.8094	1.8441	2.0889
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.9246	7.2669
RS_G5403__TWIST1__TWIST1	1.1861	0.26983	4.0614	2.5713	7.0209	4.5511	4.8892	6.1671	5.4578	0	2.0334	3.7229	0.6241	2.8708	0	3.3893	5.7755	0.27115	6.474	0.1556	3.8512	4.3436	4.386	0	2.9119	0	3.4374	0	9.2954	6.6104	1.3277	5.6725	0.46509	3.096	5.3279	4.0443
RS_G3173__SYNGR4__SYNGR4	2.0634	2.6928	1.8951	3.4784	1.779	1.4674	1.5507	1.0613	2.6119	1.7646	1.6931	0.38898	2.3656	1.0514	4.7824	1.7469	0.45738	2.2555	0.28469	4.6505	2.71	3.4658	1.1654	0	4.58	2.7149	2.183	4.2009	0.77481	4.693	3.7437	1.1459	10.265	2.5468	1.0684	0.85816
RS_G9697__SACS__SACS	2.067	1.5539	2.7128	2.6618	7.5446	3.9356	3.7448	6.2877	3.522	2.4697	2.1369	4.2963	3.1799	3.5032	0.069102	3.8339	6.3153	2.2163	5.8931	1.7435	2.3215	0.95951	0.95544	5.6932	0.64456	0.83687	3.0566	1.783	3.7786	3.1724	0.61696	2.3061	1.7719	2.088	1.5692	3.5968
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	4.548	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.35881	0.094808
RS_G6987__IRAK2__IRAK2	3.1643	1.4718	0.5092	1.1488	4.7227	3.1634	5.6254	5.2952	2.5617	0.94193	6.0897	3.9784	5.1855	5.6527	1.2703	4.5118	4.398	2.653	4.8247	2.0925	1.0345	3.99	3.2041	5.3682	0.65158	0.48601	6.3606	0.99949	7.2984	3.1827	3.3124	3.6375	0.5055	2.5127	1.6147	0.48699
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	5.3187	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	11.3802	3.1773
RS_G13378__SOX7__SOX7	1.0588	0.80182	0.33529	0.37561	2.2023	0.73492	1.4256	0.908	1.4048	0.41113	3.8063	7.2916	4.6599	0.35444	0.42879	0.57451	3.0217	1.1564	1.5305	0.49771	0.44132	1.1929	1.6638	1.6426	1.246	1.1283	3.1652	1.9944	0.7326	1.8712	0.048543	6.6796	0.17357	1.1133	0.95838	1.3032
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	3.9298	0.37376
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	1.3084	2.2724
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	1.5309	5.1082	0.17517	7.3934	0.37743	6.2258	5.5602	0.23447	8.2988	7.1961	7.0426	1.3656	0	2.2612	3.6181	7.0606	5.7759	0	0	9.2757	0	0.75056	6.2159	0.6064	0.52553	0	0	1.2189	0.95463
RS_G2195__SUSD2__SUSD2	9.5721	12.9805	4.5994	6.4995	0.77228	6.1627	4.8384	0.6937	7.5174	10.8044	1.7112	4.6173	6.3905	5.5285	10.1244	8.6238	3.3648	2.2529	5.9218	6.0348	5.1737	8.0181	8.8025	5.7008	10.4084	9.9673	2.6368	12.6232	1.6938	8.6608	11.9002	6.8074	10.2734	4.6774	3.7359	2.6465
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	2.0778	3.1752	2.8722	3.1587	5.4452	3.6614	5.309	4.1984	4.2942	3.8001
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	0	5.4395	6.3585	3.0381	4.719	0.93829	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	8.4982	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0	0.1009
RS_G5919__SLURP1__SLURP1	1.6964	3.5263	0.83884	1.8081	0	0.79327	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	6.3316	0	0	2.1742	0	4.2731	2.746	0	5.2151	0	2.0254	0.72351	1.335	0	0	0.79023	4.85	0	2.5992	3.9811	2.0289	1.0161
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	8.3003	0	8.8111	7.1102	0	8.2905	0	12.1395	12.0061	11.2517	2.3509	1.4107	5.5412	12.4513	4.9212	4.2737	1.4794	5.0572	5.5081
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	0	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0
RS_G12350__NKX3-1__NKX3-1	4.0111	3.0421	4.5967	3.2193	5.9168	0.20679	3.4163	2.8754	8.2383	2.2197	2.5014	4.5082	5.0436	4.5614	0	2.108	3.6481	2.9619	4.6247	2.6249	2.2666	4.0113	4.4838	5.0431	1.9725	0.74777	5.608	3.6696	4.5496	2.7666	2.43	4.7663	3.8792	4.0238	2.1251	2.5927
RS_G10326__NMNAT2__NMNAT2	6.6	0.30207	0.5195	4.1564	2.4102	0.093162	5.2476	3.0218	2.6025	1.3761	1.4049	3.0914	4.7602	1.6212	0.17633	4.0426	0.32631	0.33832	4.3466	0.089314	0.54336	0.88415	4.3612	5.3772	2.181	0.62001	5.1991	1.6548	1.5533	4.0954	0.10382	0.6965	1.1755	4.3552	4.2739	1.8525
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	7.5608	0	0	6.4299	0.17882	3.4352	0	0	0	0
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	0.281	4.4328	2.7055	0.13375	1.5091	0.71549	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	2.5764	0	0.42536	1.3477	0	0.55269	0.21169
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	0	2.2751	0	0	7.9807	0	10.7986	0.76241	1.2949	0.37323
RS_G17647__ARL4C__ARL4C	6.4058	3.9508	6.5819	4.9192	8.0292	4.7101	7.6877	9.0067	6.0138	2.9942	6.2663	7.0619	6.2607	5.9989	2.1991	6.9743	7.5755	6.7168	7.9861	5.7583	4.3584	5.9484	7.7683	7.5221	4.073	1.3609	5.306	5.4578	10.7033	6.3785	4.8348	5.2782	6.5854	3.1525	3.7385	3.6318
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	0	2.8552	8.078	0	5.7452	2.4205	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	1.6561	0	4.598	3.5179	0.14966	6.5708	0.9599	3.6759	0.4458	0.6065
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	0	8.1647	6.4473	2.5456	9.5902	2.7962	1.3238	1.0935	5.4003	6.5495	4.3532	2.126	10.4702	0	6.0111	6.9672	2.2537	5.6749	0	0.83906	3.4753	1.5784
RS_G16371__NOG__NOG	1.0519	0	2.2697	0	2.4767	0.38977	5.9809	0.41694	0	0	5.9691	2.4824	4.4078	2.8449	0	1.7954	0.37246	0	1.2498	2.0981	0.67981	0.39325	1.9775	4.0505	0.28562	0	2.5744	0	4.5948	2.2238	1.4442	5.7748	2.1665	0	1.1986	0
RS_G16239__CCBE1__CCBE1	1.1161	0.50662	0.87902	0.61557	0.55127	0.78538	1.6318	1.3054	1.0989	1.887	0.44792	1.9175	2.0205	0.58084	1.1984	1.3956	1.9127	0.50876	6.035	0.6116	0.6678	1.8377	0.77331	6.1112	0.45356	1.0472	0.67266	0.6324	2.1768	3.0047	0.37002	4.2038	0.17808	0.74833	1.2971	0.83157
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	0.34247	5.4117	9.4437	3.6546	8.4025	0.09372	0.095561	2.8231	0.14991	1.2518	0.04683	0	4.3271	0	8.5985	2.6669	0	2.3223	0	0.767	0.25878	0.42998
RS_G10481__SLC13A3__SLC13A3	0.8818	0.055746	3.7237	0.80626	1.8261	3.3395	0	0.42843	4.2751	0	8.2186	0.19007	2.845	1.6482	0	3.0073	2.9172	0.10998	0.26446	0.80051	1.0078	2.2173	3.6434	1.7158	0.81066	0.11165	5.2519	0.36805	0.21899	4.581	0.84976	1.4916	5.2448	4.6136	1.7166	1.9336
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	1.6721	0	0.34272	0	1.0688	2.9627	1.5467	6.1453	3.7678	0	9.687	5.2492	1.5675	0	0	0	3.1016	0	3.3531	0	3.6158	2.5328
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	0.22544	3.135	7.1336	0.29773	4.0806	0	0.59638	0.61194	0	5.5472	0.11398	0.92648	6.6016	0	5.2696	1.9796	0	2.6767	0	3.4413	0.16657	3.3942
RS_G10491__RIBC1__RIBC1	3.9264	3.101	2.5422	4.4233	1.5303	4.0011	0.7201	1.3014	3.7302	4.2275	2.634	2.1808	2.2063	3.2129	8.1277	4.1118	2.0924	1.1848	1.4566	3.7258	3.6101	3.7148	3.6913	0.68483	4.1442	4.9097	4.0846	2.4338	2.1117	3.0577	3.7109	1.5979	4.4471	5.9036	4.2151	3.6118
RS_G14028__SUSD5__SUSD5	4.1374	0.2278	1.652	1.4189	7.4136	0.79899	3.8409	6.9339	2.5299	0.95948	0.80769	2.9449	2.9382	3.1619	1.2317	4.0329	6.9944	0.6891	4.6281	0.52125	0.29324	2.9912	3.0817	7.5128	1.1616	0.81957	3.0604	1.4101	6.1608	1.8309	4.5563	2.0915	0.27212	3.4141	0.075385	0.35588
RS_G18066__GSPT2__GSPT2	6.2175	0	0	0	0	0.20684	4.3112	1.7446	0	0	0	0	0.16352	0	0	2.1342	4.5726	0	3.0978	0	0	0	2.8417	0	0.40592	0	4.1618	0	0	0.20974	0	2.4223	0	1.1025	4.9864	5.5342
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	2.5362	5.5091	2.4432	0.41607	0	4.135	0.95867	0.55468	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	5.3682	2.3153
