Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	1
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	0.281	4.4328	2.7055	0.13375	1.5091	0.71549	2.8721	0	0.12149	6.4587	0.13992	0	0	4.4556	2.5764	0.42536	1.3477	0	0.10127	0	0.55269	0	0.21169
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	10.9728	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	6.4578	0	0	0	3.8345	13.277	2.2284	7.4939	6.4281	8.3865	3.0258
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	3.7499	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	4.6003	3.4051	0	0	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	4.4893	0	1.6785	1.2521	0	3.4241	0.22289	3.5875
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	0	4.227	6.4227	5.4288	0.17025	0	0.1576	0	1.3084	0.18168	2.2724
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	0	4.7885	5.8443	0.70526	6.4738	0.096448	0	0	1.3846	6.0583	0	0	0	5.8239	1.5169	1.5046	0.30151	0	0	0	1.9553	0.057919	0.64638
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	0	0	6.4299	3.4352	0	0	0	0	0	0	0
RS_G13007__BNC1__BNC1	0.17496	0	0	0	0.11319	0	0.81886	0.88733	0	0	1.8404	7.2166	2.397	0	0	6.2808	4.4389	4.6488	0	1.7106	0.22246	0	0.18272	0.10882	0	0	0	0	6.3515	0.33644	0	0	0	0	0.16295	0	0.16536
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	2.2751	0	0	0	10.7986	0.76241	4.7405	7.265	1.2949	10.4817	0.37323
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	10.3657	5.6013	6.5852	6.0695	5.4877	7.267	11.6018	11.2609	7.3184	11.5747	6.7812
RS_G8399__COL6A2__COL6A2	0.09725	1.2175	2.8781	5.7926	7.9295	1.5704	9.9917	10.7921	0.12627	1.3977	8.5995	6.9876	7.7184	3.3578	0	4.7661	10.2763	0.66729	13.2127	4.7809	5.0646	0.064059	0.64549	6.3192	4.4906	0.84685	0.54742	9.0792	8.6458	9.1203	0.74141	3.3194	4.0451	0.16147	2.3452	0	6.8501
