Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1
RS_G15192__FAM101A__FAM101A	0	0	5.0831	3.729	0	4.3808	1.9118	0.12967	0.23103	1.0259	0	1.2172	2.5187	0	0	0.48686	0	0	0	1.9609	1.1709	0.95138	4.1848	3.6832	3.3613	0	0	5.271	0	0	0	4.0247	5.5645	8.5957
RS_G17866__FZD9__FZD9	0	4.6771	0.4403	2.9437	3.445	2.5305	3.3357	2.1183	0.12145	0.93021	5.7118	3.3851	3.5463	2.3341	3.7746	0	2.9777	4.1247	1.9509	0.94309	4.9195	0	0.16042	0	9.7636	4.2909	4.2862	1.9381	4.1039	2.547	3.9233	2.9662	0	0
RS_G16693__ZBTB7C__ZBTB7C	4.9082	2.1996	7.6395	5.8051	0	0.99374	5.0083	4.4477	6.063	5.4933	0	0	2.3605	3.7543	0.27205	0.62879	6.1524	1.7838	0.14048	5.198	5.4074	0.36556	7.5242	8.3673	0.28509	3.3857	2.6545	2.9881	1.5913	1.2642	2.1151	5.5966	5.5484	2.8967
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	3.0125	6.0192	0	0.3731	0	0	0	9.9268	0	0	3.2169	0	2.0368	0	0.57078	3.6571	3.931	0	0.7318	0
RS_G28131__FAM24B__FAM24B	4.0501	2.9345	2.3534	2.4469	4.9408	3.9313	0	5.7249	0	4.2709	0.53458	5.5552	6.1477	4.7625	4.6012	4.8141	4.5653	5.0385	4.9806	0.33137	4.7668	5.0183	4.1747	4.8854	5.0075	3.6753	6.337	3.3251	4.7336	11.7746	5.008	4.263	0	0
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	4.2991	1.361	3.6096	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	8.309	7.4344	1.1701	0.90614	2.5652	2.0206
RS_G5719__SCGB1D2__SCGB1D2	10.1167	3.7969	7.435	0	0	3.7616	0	2.4518	1.2703	1.7869	2.4186	0	0	0	0	0	0	0	0	2.214	4.949	0	9.8672	0	0	6.6518	0	1.4816	0	5.8401	0	9.357	12.3511	1.1901
RS_G12549__ANGPTL4__ANGPTL4	1.3628	1.7355	0.28988	1.6842	7.1002	2.6448	1.0067	0.41541	3.6172	2.1231	3.7472	4.8525	6.5014	3.8004	3.7687	4.8409	3.5734	5.7269	6.1066	1.3524	6.5731	5.4475	1.9371	3.028	3.5753	5.5559	7.218	7.3786	6.5586	10.3721	5.9315	5.0877	6.2922	1.8001
RS_G7127__TCN1__TCN1	3.0187	0.28564	12.4902	0.57705	0	0	2.1014	0.35529	0.33689	0.22798	0.15109	3.8921	1.106	7.5608	0.46196	0	10.507	0.56437	0	0.5899	0	2.6547	9.5381	0	0	0	0	4.6244	0.47354	0	0	0.98567	4.0451	0.92242
