Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	5.4189	6.1071	2.0939	11.6616	5.7069	12.2019	5.2958	5.5994	12.9359	10.3673	7.5671	0.68484	7.2676	0.69935	5.5221	6.5424	7.9202	4.3394	9.092	9.3835	7.9355	11.2459	0	14.3583	7.3719	7.0799	6.8735	11.3881	7.0867	7.2831
RS_G8362__PNMT__PNMT	0.44623	4.8999	7.3726	5.2727	0	1.4466	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	8.8248	0	2.0961	0.97013	0.42865	0.68934	7.0506	4.7939	0	6.2953	2.8879	1.0688	4.8305	0	5.8587	2.6683	0	2.3264	10.3755	2.1811	0
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	14.7454	6.0695	5.4877	7.267	11.6018	7.3184	6.7812
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	0	4.7885	5.8443	0.70526	6.4738	0	0	1.3846	6.0583	0	0	0.13811	0	5.8239	0	1.5046	0.30151	0	0	1.9553	0.64638
RS_G13473__C18orf4__C18orf4	2.916	0.19285	1.8636	0.81516	6.8813	2.0898	3.5813	2.2879	0.32997	0.85351	1.2471	4.2512	0.70224	0.051857	2.0646	2.9336	0.30277	0.5877	5.6726	0.83484	5.3935	0.6096	3.6129	0.593	0.79273	2.0735	0.074512	4.3534	0.58445	2.8849	3.8849	0.37249	0.51605	1.2527	2.7154
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	0	2.8552	8.078	0	5.7452	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	1.6561	0	4.598	0.14966	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.1357	4.3193	4.3657	1.907	4.538	3.6612	6.0295	4.0256	6.7244	5.8191
RS_G14722__SOX11__SOX11	1.6202	1.7439	5.867	0.80538	0	2.1931	1.301	0.92379	0	0.085999	2.1426	0	0.22485	2.04	6.8695	1.1929	2.7944	2.6119	2.5781	3.6079	0.62698	1.5044	0	3.8528	2.3554	4.3383	1.4443	0.26818	4.6098	0.098441	0.4718	0	2.8675	0.67554	0.29162
RS_G6638__PPP1R1B__PPP1R1B	9.1888	7.6126	4.4299	3.4995	0.23954	0.35988	1.8579	0.70371	8.2727	0.7143	13.4847	0.80076	4.3668	6.14	5.4565	6.6736	0.53447	6.17	0.79314	0	6.2008	7.1262	0	5.8269	0	9.2041	8.7928	0.59718	7.2683	2.2995	2.5734	1.9065	6.5712	1.0367	0
