Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1
RS_G7989__DUSP6__DUSP6	8.8722	4.0294	7.901	5.3174	4.5415	2.485	2.9877	4.2907	6.9751	2.6098	2.9926	7.9465	5.446	7.6316	5.4248	5.0696	3.6727	3.2063	5.8845	3.6147	2.6403	8.7444	7.0701	9.3471	8.318	7.6548	3.7186	5.1116	4.5967	8.0483	12.5025	3.7899	5.6693	7.9007	2.4317	8.8564	1.0603
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	0	4.1599	3.2887	1.1575	0	0	1.1272	1.7769	0	1.0353	0	4.3258	1.7528	4.5822	0.8749	3.1866
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	3.7499	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	4.6003	3.4051	0	0	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	4.4893	0	1.6785	1.2521	0	3.4241	0.22289	3.5875
RS_G7398__LCP1__LCP1	4.1166	6.0434	5.0433	4.8794	1.8294	4.588	4.3062	8.2685	5.8426	6.1982	4.4913	10.2591	9.7329	4.2566	4.5472	11.0525	5.4528	6.3488	2.2274	5.5781	6.4225	5.5158	4.7877	7.1754	4.6101	4.4502	6.626	3.7703	2.6067	1.0508	2.4076	3.8342	3.5894	2.1843	4.7125	4.3065	4.9519
RS_G13007__BNC1__BNC1	0.17496	0	0	0	0.11319	0	0.81886	0.88733	0	0	1.8404	7.2166	2.397	0	0	6.2808	4.4389	4.6488	0	1.7106	0.22246	0	0.18272	0.10882	0	0	0	0	6.3515	0.33644	0	0	0	0	0.16295	0	0.16536
RS_G45__SLC7A2__SLC7A2	2.2979	5.257	6.0287	7.8315	0.033499	8.2847	0.21791	3.4194	4.3532	8.2226	3.5612	3.5354	0.61206	0.31931	5.4064	0.37847	1.1688	0.031074	6.2103	6.5939	10.1412	1.0726	2.6761	5.3274	3.6823	0	0	1.1459	2.7482	0.46914	1.0828	0	4.9194	0	8.416	0	7.9142
RS_G9455__FEZ1__FEZ1	0.11989	0.25622	0.88065	0	0	0	2.4745	0.69568	0.86168	0.6851	2.2646	6.9104	4.3227	2.9029	0.89921	1.0831	3.6465	0.13447	2.796	4.9761	4.7184	0	0	0	0.33508	0	0	1.2689	0	0.42745	0	6.2858	0.66453	0	0.95527	0	1.079
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	0	7.1704	1.6118	0	0	4.8992	0.88539	7.3083	3.5987	5.714	0	2.939	5.2253	0	1.0156	0
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	0.76449	5.7407	2.9858	0.11011	5.3866	1.6268	2.3399	3.0596	3.9592	0.87158	2.2215	1.958	1.8969	2.2283	0.53598	2.7785	1.9298	0.59396	4.8693	3.4611	3.8192	1.726	4.1112
