Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	1	1	-1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.9155	3.8127	5.874	4.967	4.503	4.5255	4.0145	4.2857	4.629	4.5804	5.8105	5.2216	5.7507	4.6899	5.1276
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	0.77226	4.2185	1.838	0.71485	2.033	4.4953	2.4041	3.0335	2.7335	0.49161	1.4905	1.4344	1.7416	5.0066	7.3112	2.3465	2.027	1.75	3.1416	0.4834	2.1009	3.6259
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	0	1.5581	0	0.24403	0.76783	2.6463	0.97751	3.4624	1.224	0.11762
RS_G12887__ROR2__ROR2	0.99671	0	0	3.2452	0	6.8376	4.2998	2.7187	0	0.28529	1.6518	1.9581	3.8669	0.15018	0	2.2208	4.9915	0	2.6226	1.7196	0.43584	0.057404	2.4422	0	5.8797	6.4732	0	0.52239	7.9269	1.6918	4.8317	6.1975	5.4064	0	5.0886	5.4198
RS_G6312__CDKN1C__CDKN1C	1.5663	3.4209	1.4135	4.1129	2.0193	1.5752	3.2115	1.6214	0.43044	1.3211	3.7532	1.1465	0.74775	1.2033	1.8338	1.872	1.8139	0.74747	2.187	2.5887	0.62031	5.8987	3.0673	3.0532	2.5782	2.8636	0	3.0329	4.9828	5.6167	2.6888	0.80526	2.5041	2.6224	3.0998	4.1276
RS_G11349__FBLN2__FBLN2	0.39761	11.101	0.2534	6.3401	0.23155	0.89252	10.8382	3.7514	1.0239	4.0648	5.9735	4.6059	8.1195	0.93459	0.43315	1.9516	0.6412	5.0908	1.9731	0.56682	0.52712	1.2761	5.399	0	6.3892	0	8.4706	3.8971	5.4564	7.0764	7.3138	0	10.8093	0.89134	8.9052	7.0003
RS_G13794__SLFN11__SLFN11	0.90388	3.9958	0.21697	4.8183	6.7477	0.052023	4.7006	0.22325	0	0	0.17932	5.2052	0.85204	1.2043	0	0	7.3164	0.13555	0.11312	0.1012	0	0.053939	4.6084	1.3692	4.19	1.0505	5.0278	0.1846	0.1044	0.81293	6.0743	6.0277	4.5582	0.071748	3.2933	0
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	1.4723	0	0.81377	0.69034	0	3.3482	0	1.5272	2.0692	2.4894	2.1048	7.9899	0	2.8029	0.41222	0	0.27664
RS_G10662__SPON2__SPON2	2.7812	6.1264	1.323	1.9091	9.9503	1.7098	1.7203	1.2119	0.29091	0.37481	4.2431	0.42609	1.4054	0	0.26969	1.9704	1.2893	1.9114	4.3765	1.8882	1.8656	1.3386	9.2918	0	2.7858	0.82777	0	5.8784	7.0758	5.7229	3.9687	2.5838	6.3939	3.9285	1.0492	0.68924
RS_G19185__HIST1H4L__HIST1H4L	3.7752	0	0	0	0	0	0	1.6321	0	0	0	3.2968	3.6486	0	0	3.3027	4.1982	0	0	0	0	0	7.1322	0	1.1292	4.0585	0	1.7151	1.1733	6.1887	0	0	3.7685	0	0	0
RS_G27825__RP5-857K21.11__RP5-857K21.11	10.9434	6.6704	13.2896	12.1731	10.1851	12.3866	12.2165	12.1985	12.3339	11.8487	10.0205	11.1852	10.4344	10.7845	13.3398	10.3199	11.7062	10.6909	11.5127	7.1751	11.6662	11.723	9.4247	10.3684	10.1889	9.1151	9.7862	8.7916	12.4549	9.1959	9.7	10.1982	9.1015	9.5745	9.4473	12.2867
RS_G5137__PCDHB8__PCDHB8	4.1245	0	0.40791	0.19959	1.1122	0.29489	0	4.7627	1.7502	1.5596	0.8932	0	4.7931	0.92476	2.3469	0.75205	1.2825	3.5918	3.0537	5.0151	3.7676	2.0712	4.0203	0.57331	2.9026	0.48847	0	4.5919	0	0.94975	0.21773	6.7331	0.99402	0.4429	0.27829	1.5526
RS_G11780__GPR30__GPR30	0.78743	1.3949	2.9158	1.7559	0.30558	3.7144	2.5551	2.5452	3.2315	2.6799	0.62738	1.4092	3.8532	1.1675	3.2541	2.4931	4.3017	5.6098	2.3456	7.1539	6.6849	3.3657	3.7092	3.9508	5.808	0.53026	2.787	1.2363	2.5352	2.3624	0.73872	1.7272	1.6963	3.1355	1.2609	2.1461
RS_G761__KCNH2__KCNH2	4.3974	7.7662	1.4548	5.3576	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.31183	0.77169	0.11002	0	0.87414	5.3995	4.2125	6.9596	4.0376	0.65077	3.5139	0.86035	3.6229	0.98382	0.73108	3.7015	4.5043	0.55219	5.3417	1.9414	4.1343	3.3441
RS_G17716__IGFL1__IGFL1	0.51855	5.2215	1.994	2.7983	2.2231	3.3051	6.3222	1.5139	0.66238	0	0	4.3337	5.2263	2.9253	0	8.5702	0	3.1231	0	4.8811	0	0	9.7328	0	0	0	2.1947	1.5873	4.1314	6.8497	0	0	5.5371	2.135	0.83279	2.5156
